"X","cropCode","numPixelsWiZone","cropCodeFrom","cropCodeTo","yearFrom","yearTo"
"Aitkin",1005,1543,1,5,2008,2009
"Aitkin",1023,702,1,23,2008,2009
"Aitkin",1028,151,1,28,2008,2009
"Aitkin",1036,140,1,36,2008,2009
"Aitkin",1037,156,1,37,2008,2009
"Aitkin",1043,2,1,43,2008,2009
"Aitkin",1044,94,1,44,2008,2009
"Aitkin",1061,213,1,61,2008,2009
"Aitkin",1111,162,1,111,2008,2009
"Aitkin",1121,61,1,121,2008,2009
"Aitkin",1152,54,1,152,2008,2009
"Aitkin",1176,3280,1,176,2008,2009
"Aitkin",1190,284,1,190,2008,2009
"Aitkin",1195,2172,1,195,2008,2009
"Aitkin",5005,6257,5,5,2008,2009
"Aitkin",5023,8401,5,23,2008,2009
"Aitkin",5024,17,5,24,2008,2009
"Aitkin",5028,910,5,28,2008,2009
"Aitkin",5036,141,5,36,2008,2009
"Aitkin",5037,638,5,37,2008,2009
"Aitkin",5043,2,5,43,2008,2009
"Aitkin",5044,1165,5,44,2008,2009
"Aitkin",5058,3,5,58,2008,2009
"Aitkin",5061,440,5,61,2008,2009
"Aitkin",5111,541,5,111,2008,2009
"Aitkin",5121,32,5,121,2008,2009
"Aitkin",5141,248,5,141,2008,2009
"Aitkin",5142,18,5,142,2008,2009
"Aitkin",5152,31,5,152,2008,2009
"Aitkin",5176,5790,5,176,2008,2009
"Aitkin",5190,1107,5,190,2008,2009
"Aitkin",5195,4232,5,195,2008,2009
"Aitkin",6005,94,6,5,2008,2009
"Aitkin",6023,250,6,23,2008,2009
"Aitkin",6061,7,6,61,2008,2009
"Aitkin",6131,4,6,131,2008,2009
"Aitkin",6176,341,6,176,2008,2009
"Aitkin",6190,35,6,190,2008,2009
"Aitkin",6195,30,6,195,2008,2009
"Aitkin",21005,2,21,5,2008,2009
"Aitkin",21023,2,21,23,2008,2009
"Aitkin",21176,11,21,176,2008,2009
"Aitkin",21190,1,21,190,2008,2009
"Aitkin",23005,1375,23,5,2008,2009
"Aitkin",23023,682,23,23,2008,2009
"Aitkin",23024,9,23,24,2008,2009
"Aitkin",23028,100,23,28,2008,2009
"Aitkin",23031,56,23,31,2008,2009
"Aitkin",23036,43,23,36,2008,2009
"Aitkin",23037,259,23,37,2008,2009
"Aitkin",23044,122,23,44,2008,2009
"Aitkin",23058,1,23,58,2008,2009
"Aitkin",23061,39,23,61,2008,2009
"Aitkin",23111,225,23,111,2008,2009
"Aitkin",23121,3,23,121,2008,2009
"Aitkin",23131,14,23,131,2008,2009
"Aitkin",23141,228,23,141,2008,2009
"Aitkin",23142,38,23,142,2008,2009
"Aitkin",23152,19,23,152,2008,2009
"Aitkin",23176,2129,23,176,2008,2009
"Aitkin",23190,233,23,190,2008,2009
"Aitkin",23195,601,23,195,2008,2009
"Aitkin",24005,4,24,5,2008,2009
"Aitkin",24023,6,24,23,2008,2009
"Aitkin",24028,3,24,28,2008,2009
"Aitkin",24037,1,24,37,2008,2009
"Aitkin",24131,1,24,131,2008,2009
"Aitkin",24176,28,24,176,2008,2009
"Aitkin",24195,10,24,195,2008,2009
"Aitkin",27176,27,27,176,2008,2009
"Aitkin",27195,9,27,195,2008,2009
"Aitkin",28005,918,28,5,2008,2009
"Aitkin",28023,308,28,23,2008,2009
"Aitkin",28028,68,28,28,2008,2009
"Aitkin",28031,14,28,31,2008,2009
"Aitkin",28036,50,28,36,2008,2009
"Aitkin",28037,167,28,37,2008,2009
"Aitkin",28044,11,28,44,2008,2009
"Aitkin",28061,6,28,61,2008,2009
"Aitkin",28141,14,28,141,2008,2009
"Aitkin",28176,658,28,176,2008,2009
"Aitkin",28190,24,28,190,2008,2009
"Aitkin",28195,154,28,195,2008,2009
"Aitkin",36005,128,36,5,2008,2009
"Aitkin",36006,12,36,6,2008,2009
"Aitkin",36023,55,36,23,2008,2009
"Aitkin",36028,13,36,28,2008,2009
"Aitkin",36036,1149,36,36,2008,2009
"Aitkin",36037,948,36,37,2008,2009
"Aitkin",36044,4,36,44,2008,2009
"Aitkin",36058,11,36,58,2008,2009
"Aitkin",36059,1,36,59,2008,2009
"Aitkin",36061,7,36,61,2008,2009
"Aitkin",36131,2,36,131,2008,2009
"Aitkin",36141,68,36,141,2008,2009
"Aitkin",36152,7,36,152,2008,2009
"Aitkin",36176,3996,36,176,2008,2009
"Aitkin",36190,77,36,190,2008,2009
"Aitkin",36195,146,36,195,2008,2009
"Aitkin",37005,1035,37,5,2008,2009
"Aitkin",37023,265,37,23,2008,2009
"Aitkin",37024,13,37,24,2008,2009
"Aitkin",37028,329,37,28,2008,2009
"Aitkin",37031,1,37,31,2008,2009
"Aitkin",37036,1195,37,36,2008,2009
"Aitkin",37037,8676,37,37,2008,2009
"Aitkin",37044,53,37,44,2008,2009
"Aitkin",37058,6,37,58,2008,2009
"Aitkin",37059,4,37,59,2008,2009
"Aitkin",37061,152,37,61,2008,2009
"Aitkin",37111,49,37,111,2008,2009
"Aitkin",37141,584,37,141,2008,2009
"Aitkin",37142,37,37,142,2008,2009
"Aitkin",37152,54,37,152,2008,2009
"Aitkin",37176,38209,37,176,2008,2009
"Aitkin",37190,1117,37,190,2008,2009
"Aitkin",37195,1918,37,195,2008,2009
"Aitkin",41195,3,41,195,2008,2009
"Aitkin",42005,13,42,5,2008,2009
"Aitkin",42023,2,42,23,2008,2009
"Aitkin",42176,12,42,176,2008,2009
"Aitkin",42195,2,42,195,2008,2009
"Aitkin",43023,139,43,23,2008,2009
"Aitkin",43176,35,43,176,2008,2009
"Aitkin",43195,22,43,195,2008,2009
"Aitkin",44005,1746,44,5,2008,2009
"Aitkin",44023,322,44,23,2008,2009
"Aitkin",44024,5,44,24,2008,2009
"Aitkin",44044,1293,44,44,2008,2009
"Aitkin",44061,305,44,61,2008,2009
"Aitkin",44111,860,44,111,2008,2009
