"xCoords","yCoords","width","colorToUse"
1,6.4,0.0229580927712491,"#ffd300"
1.2,6.4,0.0229580927712491,"#ffd300"
1.4,6.4,0.0229580927712491,"#ffd300"
2,6.4,0.0229580927712491,"#ffd300"
1.8,6.4,0.0229580927712491,"#ffd300"
1.6,6.4,0.0229580927712491,"#ffd300"
1,6.4,0.00031353996197457,"#e41a1c"
1.2,5.9,0.00031353996197457,"#e41a1c"
1.4,5.9,0.00031353996197457,"#e41a1c"
2,1.9,0.00031353996197457,"#ffd300"
1.8,2.4,0.00031353996197457,"#ffd300"
1.6,2.4,0.00031353996197457,"#ffd300"
1,6.4,0.0024386441486911,"#f781bf"
1.2,6.2,0.0024386441486911,"#f781bf"
1.4,6.2,0.0024386441486911,"#f781bf"
2,4.6,0.0024386441486911,"#ffd300"
1.8,4.8,0.0024386441486911,"#ffd300"
1.6,4.8,0.0024386441486911,"#ffd300"
1,6.4,0.119580657719746,"#AAAAAA"
1.2,5.8,0.119580657719746,"#AAAAAA"
1.4,5.8,0.119580657719746,"#AAAAAA"
2,1,0.119580657719746,"#ffd300"
1.8,1.6,0.119580657719746,"#ffd300"
1.6,1.6,0.119580657719746,"#ffd300"
1,6.4,0.0268773422959312,"#4daf4a"
1.2,6.3,0.0268773422959312,"#4daf4a"
1.4,6.3,0.0268773422959312,"#4daf4a"
2,5.5,0.0268773422959312,"#ffd300"
1.8,5.6,0.0268773422959312,"#ffd300"
1.6,5.6,0.0268773422959312,"#ffd300"
1,6.4,0.0122280585170082,"#a65628"
1.2,6.1,0.0122280585170082,"#a65628"
1.4,6.1,0.0122280585170082,"#a65628"
2,3.7,0.0122280585170082,"#ffd300"
1.8,4,0.0122280585170082,"#ffd300"
1.6,4,0.0122280585170082,"#ffd300"
1,1.9,1.7418886776365e-05,"#ffd300"
1.2,2.4,1.7418886776365e-05,"#ffd300"
1.4,2.4,1.7418886776365e-05,"#ffd300"
2,6.4,1.7418886776365e-05,"#e41a1c"
1.8,5.9,1.7418886776365e-05,"#e41a1c"
1.6,5.9,1.7418886776365e-05,"#e41a1c"
1,1.9,5.2256660329095e-05,"#f781bf"
1.2,2.2,5.2256660329095e-05,"#f781bf"
1.4,2.2,5.2256660329095e-05,"#f781bf"
2,4.6,5.2256660329095e-05,"#e41a1c"
1.8,4.3,5.2256660329095e-05,"#e41a1c"
1.6,4.3,5.2256660329095e-05,"#e41a1c"
1,1.9,0.000261283301645475,"#AAAAAA"
1.2,1.8,0.000261283301645475,"#AAAAAA"
1.4,1.8,0.000261283301645475,"#AAAAAA"
2,1,0.000261283301645475,"#e41a1c"
1.8,1.1,0.000261283301645475,"#e41a1c"
1.6,1.1,0.000261283301645475,"#e41a1c"
1,1.9,0.000226445528092745,"#4daf4a"
1.2,2.3,0.000226445528092745,"#4daf4a"
1.4,2.3,0.000226445528092745,"#4daf4a"
2,5.5,0.000226445528092745,"#e41a1c"
1.8,5.1,0.000226445528092745,"#e41a1c"
1.6,5.1,0.000226445528092745,"#e41a1c"
1,1.9,3.483777355273e-05,"#a65628"
1.2,2.1,3.483777355273e-05,"#a65628"
1.4,2.1,3.483777355273e-05,"#a65628"
2,3.7,3.483777355273e-05,"#e41a1c"
1.8,3.5,3.483777355273e-05,"#e41a1c"
1.6,3.5,3.483777355273e-05,"#e41a1c"
1,4.6,0.0123151529508901,"#ffd300"
1.2,4.8,0.0123151529508901,"#ffd300"
1.4,4.8,0.0123151529508901,"#ffd300"
2,6.4,0.0123151529508901,"#f781bf"
1.8,6.2,0.0123151529508901,"#f781bf"
1.6,6.2,0.0123151529508901,"#f781bf"
1,4.6,0.935237449909814,"#f781bf"
1.2,4.6,0.935237449909814,"#f781bf"
1.4,4.6,0.935237449909814,"#f781bf"
2,4.6,0.935237449909814,"#f781bf"
1.8,4.6,0.935237449909814,"#f781bf"
1.6,4.6,0.935237449909814,"#f781bf"
1,4.6,0.0930516931593419,"#AAAAAA"
1.2,4.2,0.0930516931593419,"#AAAAAA"
1.4,4.2,0.0930516931593419,"#AAAAAA"
2,1,0.0930516931593419,"#f781bf"
1.8,1.4,0.0930516931593419,"#f781bf"
1.6,1.4,0.0930516931593419,"#f781bf"
1,4.6,0.0202581653209125,"#4daf4a"
1.2,4.7,0.0202581653209125,"#4daf4a"
1.4,4.7,0.0202581653209125,"#4daf4a"
2,5.5,0.0202581653209125,"#f781bf"
1.8,5.4,0.0202581653209125,"#f781bf"
1.6,5.4,0.0202581653209125,"#f781bf"
1,4.6,0.0055740437684368,"#a65628"
1.2,4.5,0.0055740437684368,"#a65628"
1.4,4.5,0.0055740437684368,"#a65628"
2,3.7,0.0055740437684368,"#f781bf"
1.8,3.8,0.0055740437684368,"#f781bf"
1.6,3.8,0.0055740437684368,"#f781bf"
1,1,0.102440473131803,"#ffd300"
1.2,1.6,0.102440473131803,"#ffd300"
1.4,1.6,0.102440473131803,"#ffd300"
2,6.4,0.102440473131803,"#AAAAAA"
1.8,5.8,0.102440473131803,"#AAAAAA"
1.6,5.8,0.102440473131803,"#AAAAAA"
1,1,0.000783849904936425,"#e41a1c"
1.2,1.1,0.000783849904936425,"#e41a1c"
1.4,1.1,0.000783849904936425,"#e41a1c"
2,1.9,0.000783849904936425,"#AAAAAA"
1.8,1.8,0.000783849904936425,"#AAAAAA"
1.6,1.8,0.000783849904936425,"#AAAAAA"
1,1,0.0730373922532985,"#f781bf"
1.2,1.4,0.0730373922532985,"#f781bf"
1.4,1.4,0.0730373922532985,"#f781bf"
2,4.6,0.0730373922532985,"#AAAAAA"
1.8,4.2,0.0730373922532985,"#AAAAAA"
1.6,4.2,0.0730373922532985,"#AAAAAA"
1,1,97.5005813553462,"#AAAAAA"
1.2,1,97.5005813553462,"#AAAAAA"
1.4,1,97.5005813553462,"#AAAAAA"
2,1,97.5005813553462,"#AAAAAA"
1.8,1,97.5005813553462,"#AAAAAA"
1.6,1,97.5005813553462,"#AAAAAA"
1,1,0.274974546651698,"#4daf4a"
1.2,1.5,0.274974546651698,"#4daf4a"
1.4,1.5,0.274974546651698,"#4daf4a"
2,5.5,0.274974546651698,"#AAAAAA"
1.8,5,0.274974546651698,"#AAAAAA"
1.6,5,0.274974546651698,"#AAAAAA"
1,1,0.1145291805546,"#a65628"
1.2,1.3,0.1145291805546,"#a65628"
1.4,1.3,0.1145291805546,"#a65628"
2,3.7,0.1145291805546,"#AAAAAA"
1.8,3.4,0.1145291805546,"#AAAAAA"
1.6,3.4,0.1145291805546,"#AAAAAA"
1,5.5,0.0273824900124458,"#ffd300"
1.2,5.6,0.0273824900124458,"#ffd300"
1.4,5.6,0.0273824900124458,"#ffd300"
2,6.4,0.0273824900124458,"#4daf4a"
1.8,6.3,0.0273824900124458,"#4daf4a"
1.6,6.3,0.0273824900124458,"#4daf4a"
1,5.5,0.000191607754540015,"#e41a1c"
1.2,5.1,0.000191607754540015,"#e41a1c"
1.4,5.1,0.000191607754540015,"#e41a1c"
2,1.9,0.000191607754540015,"#4daf4a"
1.8,2.3,0.000191607754540015,"#4daf4a"
1.6,2.3,0.000191607754540015,"#4daf4a"
1,5.5,0.00245606303546747,"#f781bf"
1.2,5.4,0.00245606303546747,"#f781bf"
1.4,5.4,0.00245606303546747,"#f781bf"
2,4.6,0.00245606303546747,"#4daf4a"
1.8,4.7,0.00245606303546747,"#4daf4a"
1.6,4.7,0.00245606303546747,"#4daf4a"
1,5.5,0.266508967678385,"#AAAAAA"
1.2,5,0.266508967678385,"#AAAAAA"
1.4,5,0.266508967678385,"#AAAAAA"
2,1,0.266508967678385,"#4daf4a"
1.8,1.5,0.266508967678385,"#4daf4a"
1.6,1.5,0.266508967678385,"#4daf4a"
1,5.5,0.108989974559716,"#4daf4a"
1.2,5.5,0.108989974559716,"#4daf4a"
1.4,5.5,0.108989974559716,"#4daf4a"
2,5.5,0.108989974559716,"#4daf4a"
1.8,5.5,0.108989974559716,"#4daf4a"
1.6,5.5,0.108989974559716,"#4daf4a"
1,5.5,0.146336067808242,"#a65628"
1.2,5.3,0.146336067808242,"#a65628"
1.4,5.3,0.146336067808242,"#a65628"
2,3.7,0.146336067808242,"#4daf4a"
1.8,3.9,0.146336067808242,"#4daf4a"
1.6,3.9,0.146336067808242,"#4daf4a"
1,3.7,0.0177150078515632,"#ffd300"
1.2,4,0.0177150078515632,"#ffd300"
1.4,4,0.0177150078515632,"#ffd300"
2,6.4,0.0177150078515632,"#a65628"
1.8,6.1,0.0177150078515632,"#a65628"
1.6,6.1,0.0177150078515632,"#a65628"
