"X","cropCode","numPixelsWiZone","cropCodeFrom","cropCodeTo","yearFrom","yearTo"
"Anoka",1005,8139,1,5,2008,2009
"Anoka",1023,147,1,23,2008,2009
"Anoka",1028,7,1,28,2008,2009
"Anoka",1036,138,1,36,2008,2009
"Anoka",1037,2,1,37,2008,2009
"Anoka",1059,1,1,59,2008,2009
"Anoka",1061,53,1,61,2008,2009
"Anoka",1111,121,1,111,2008,2009
"Anoka",1121,39,1,121,2008,2009
"Anoka",1152,3,1,152,2008,2009
"Anoka",1176,3766,1,176,2008,2009
"Anoka",1190,2,1,190,2008,2009
"Anoka",1195,1383,1,195,2008,2009
"Anoka",5005,7380,5,5,2008,2009
"Anoka",5023,595,5,23,2008,2009
"Anoka",5024,35,5,24,2008,2009
"Anoka",5028,46,5,28,2008,2009
"Anoka",5036,131,5,36,2008,2009
"Anoka",5037,8,5,37,2008,2009
"Anoka",5059,5,5,59,2008,2009
"Anoka",5061,432,5,61,2008,2009
"Anoka",5111,73,5,111,2008,2009
"Anoka",5121,122,5,121,2008,2009
"Anoka",5141,42,5,141,2008,2009
"Anoka",5152,39,5,152,2008,2009
"Anoka",5176,5255,5,176,2008,2009
"Anoka",5190,1,5,190,2008,2009
"Anoka",5195,765,5,195,2008,2009
"Anoka",21005,2,21,5,2008,2009
"Anoka",21036,1,21,36,2008,2009
"Anoka",21176,1,21,176,2008,2009
"Anoka",23005,99,23,5,2008,2009
"Anoka",23023,59,23,23,2008,2009
"Anoka",23024,9,23,24,2008,2009
"Anoka",23028,2,23,28,2008,2009
"Anoka",23036,1,23,36,2008,2009
"Anoka",23037,1,23,37,2008,2009
"Anoka",23061,4,23,61,2008,2009
"Anoka",23111,5,23,111,2008,2009
"Anoka",23121,11,23,121,2008,2009
"Anoka",23141,3,23,141,2008,2009
"Anoka",23176,237,23,176,2008,2009
"Anoka",23195,28,23,195,2008,2009
"Anoka",24005,27,24,5,2008,2009
"Anoka",24023,53,24,23,2008,2009
"Anoka",24036,2,24,36,2008,2009
"Anoka",24111,10,24,111,2008,2009
"Anoka",24131,1,24,131,2008,2009
"Anoka",24176,120,24,176,2008,2009
"Anoka",24195,10,24,195,2008,2009
"Anoka",27176,793,27,176,2008,2009
"Anoka",27195,49,27,195,2008,2009
"Anoka",28005,12,28,5,2008,2009
"Anoka",28037,1,28,37,2008,2009
"Anoka",28061,1,28,61,2008,2009
"Anoka",28141,1,28,141,2008,2009
"Anoka",28176,36,28,176,2008,2009
"Anoka",28195,5,28,195,2008,2009
"Anoka",36005,349,36,5,2008,2009
"Anoka",36023,27,36,23,2008,2009
"Anoka",36028,2,36,28,2008,2009
"Anoka",36036,2385,36,36,2008,2009
"Anoka",36037,67,36,37,2008,2009
"Anoka",36059,7,36,59,2008,2009
"Anoka",36061,7,36,61,2008,2009
"Anoka",36141,22,36,141,2008,2009
"Anoka",36142,1,36,142,2008,2009
"Anoka",36152,2,36,152,2008,2009
"Anoka",36176,4404,36,176,2008,2009
"Anoka",36190,1,36,190,2008,2009
"Anoka",36195,77,36,195,2008,2009
"Anoka",37005,36,37,5,2008,2009
"Anoka",37023,31,37,23,2008,2009
"Anoka",37024,3,37,24,2008,2009
"Anoka",37036,116,37,36,2008,2009
"Anoka",37037,19,37,37,2008,2009
"Anoka",37059,2,37,59,2008,2009
"Anoka",37111,21,37,111,2008,2009
"Anoka",37141,8,37,141,2008,2009
"Anoka",37176,1027,37,176,2008,2009
"Anoka",37195,34,37,195,2008,2009
"Anoka",42005,1,42,5,2008,2009
"Anoka",42023,1,42,23,2008,2009
"Anoka",42176,2,42,176,2008,2009
"Anoka",42195,1,42,195,2008,2009
"Anoka",43023,1,43,23,2008,2009
"Anoka",44005,4,44,5,2008,2009
"Anoka",53190,2,53,190,2008,2009
"Anoka",59005,4,59,5,2008,2009
"Anoka",59023,1,59,23,2008,2009
"Anoka",59036,4,59,36,2008,2009
"Anoka",59037,1,59,37,2008,2009
