"X","cropCode","numPixelsWiZone","cropCodeFrom","cropCodeTo","yearFrom","yearTo"
"Becker",1005,119317,1,5,2008,2009
"Becker",1023,7550,1,23,2008,2009
"Becker",1028,1183,1,28,2008,2009
"Becker",1036,1462,1,36,2008,2009
"Becker",1037,21,1,37,2008,2009
"Becker",1043,222,1,43,2008,2009
"Becker",1044,2,1,44,2008,2009
"Becker",1059,13,1,59,2008,2009
"Becker",1061,15021,1,61,2008,2009
"Becker",1111,95,1,111,2008,2009
"Becker",1121,170,1,121,2008,2009
"Becker",1152,46,1,152,2008,2009
"Becker",1176,10605,1,176,2008,2009
"Becker",1190,34,1,190,2008,2009
"Becker",1195,3229,1,195,2008,2009
"Becker",5005,134834,5,5,2008,2009
"Becker",5023,114937,5,23,2008,2009
"Becker",5024,18,5,24,2008,2009
"Becker",5028,551,5,28,2008,2009
"Becker",5031,1,5,31,2008,2009
"Becker",5036,1605,5,36,2008,2009
"Becker",5037,47,5,37,2008,2009
"Becker",5043,1937,5,43,2008,2009
"Becker",5044,1,5,44,2008,2009
"Becker",5059,8,5,59,2008,2009
"Becker",5061,951,5,61,2008,2009
"Becker",5111,97,5,111,2008,2009
"Becker",5121,345,5,121,2008,2009
"Becker",5141,2146,5,141,2008,2009
"Becker",5142,43,5,142,2008,2009
"Becker",5152,17,5,152,2008,2009
"Becker",5176,10178,5,176,2008,2009
"Becker",5190,25,5,190,2008,2009
"Becker",5195,2790,5,195,2008,2009
"Becker",6005,159,6,5,2008,2009
"Becker",6023,872,6,23,2008,2009
"Becker",6061,6,6,61,2008,2009
"Becker",6176,177,6,176,2008,2009
"Becker",6195,24,6,195,2008,2009
"Becker",21005,9,21,5,2008,2009
"Becker",21023,55,21,23,2008,2009
"Becker",21036,15,21,36,2008,2009
"Becker",21061,1,21,61,2008,2009
"Becker",21141,2,21,141,2008,2009
"Becker",21176,64,21,176,2008,2009
"Becker",21195,3,21,195,2008,2009
"Becker",23005,124450,23,5,2008,2009
"Becker",23023,14009,23,23,2008,2009
"Becker",23024,1113,23,24,2008,2009
"Becker",23028,1603,23,28,2008,2009
"Becker",23036,1942,23,36,2008,2009
"Becker",23037,124,23,37,2008,2009
"Becker",23043,6537,23,43,2008,2009
"Becker",23058,20,23,58,2008,2009
"Becker",23059,10,23,59,2008,2009
"Becker",23061,450,23,61,2008,2009
"Becker",23111,76,23,111,2008,2009
"Becker",23121,252,23,121,2008,2009
"Becker",23131,153,23,131,2008,2009
"Becker",23141,1449,23,141,2008,2009
"Becker",23142,78,23,142,2008,2009
"Becker",23152,19,23,152,2008,2009
"Becker",23176,9650,23,176,2008,2009
"Becker",23190,6,23,190,2008,2009
"Becker",23195,2031,23,195,2008,2009
"Becker",24005,421,24,5,2008,2009
"Becker",24023,14,24,23,2008,2009
"Becker",24028,1,24,28,2008,2009
"Becker",24036,1,24,36,2008,2009
"Becker",24037,1,24,37,2008,2009
"Becker",24061,6,24,61,2008,2009
"Becker",24111,1,24,111,2008,2009
"Becker",24131,22,24,131,2008,2009
"Becker",24141,84,24,141,2008,2009
"Becker",24152,4,24,152,2008,2009
"Becker",24176,91,24,176,2008,2009
"Becker",24190,1,24,190,2008,2009
"Becker",24195,7,24,195,2008,2009
"Becker",27176,94,27,176,2008,2009
"Becker",28005,202,28,5,2008,2009
"Becker",28023,512,28,23,2008,2009
"Becker",28028,288,28,28,2008,2009
"Becker",28036,1262,28,36,2008,2009
"Becker",28037,31,28,37,2008,2009
"Becker",28058,1,28,58,2008,2009
"Becker",28061,6,28,61,2008,2009
"Becker",28141,170,28,141,2008,2009
"Becker",28176,1948,28,176,2008,2009
"Becker",28195,48,28,195,2008,2009
"Becker",29005,1,29,5,2008,2009
"Becker",31005,4,31,5,2008,2009
"Becker",31023,13,31,23,2008,2009
"Becker",31028,9,31,28,2008,2009
"Becker",31044,1,31,44,2008,2009
"Becker",31061,1,31,61,2008,2009
"Becker",31176,15,31,176,2008,2009
"Becker",31195,1,31,195,2008,2009
"Becker",36005,1359,36,5,2008,2009
"Becker",36006,5,36,6,2008,2009
"Becker",36023,2090,36,23,2008,2009
"Becker",36028,483,36,28,2008,2009
"Becker",36036,25790,36,36,2008,2009
"Becker",36037,1660,36,37,2008,2009
"Becker",36044,1,36,44,2008,2009
"Becker",36058,11,36,58,2008,2009
"Becker",36059,4,36,59,2008,2009
"Becker",36061,75,36,61,2008,2009
"Becker",36131,118,36,131,2008,2009
"Becker",36141,1770,36,141,2008,2009
"Becker",36142,156,36,142,2008,2009
"Becker",36152,21,36,152,2008,2009
"Becker",36176,23060,36,176,2008,2009
"Becker",36190,3,36,190,2008,2009
"Becker",36195,238,36,195,2008,2009
"Becker",37005,95,37,5,2008,2009
"Becker",37023,50,37,23,2008,2009
"Becker",37024,2,37,24,2008,2009
"Becker",37028,14,37,28,2008,2009
"Becker",37036,967,37,36,2008,2009
"Becker",37037,235,37,37,2008,2009
"Becker",37044,3,37,44,2008,2009
"Becker",37058,2,37,58,2008,2009
"Becker",37061,5,37,61,2008,2009
"Becker",37141,698,37,141,2008,2009
"Becker",37142,117,37,142,2008,2009
"Becker",37152,10,37,152,2008,2009
"Becker",37176,2430,37,176,2008,2009
"Becker",37190,1,37,190,2008,2009
"Becker",37195,31,37,195,2008,2009
"Becker",39005,21,39,5,2008,2009
"Becker",41005,12686,41,5,2008,2009
"Becker",41023,8091,41,23,2008,2009
"Becker",41195,32,41,195,2008,2009
"Becker",42005,580,42,5,2008,2009
"Becker",42023,5095,42,23,2008,2009
"Becker",42061,25,42,61,2008,2009
"Becker",42141,80,42,141,2008,2009
"Becker",42176,1175,42,176,2008,2009
"Becker",42195,54,42,195,2008,2009
"Becker",43023,1466,43,23,2008,2009
"Becker",43061,2,43,61,2008,2009
"Becker",43176,189,43,176,2008,2009
"Becker",43195,7,43,195,2008,2009
"Becker",44141,1,44,141,2008,2009
"Becker",44190,1,44,190,2008,2009
"Becker",58176,2,58,176,2008,2009
"Becker",59005,1,59,5,2008,2009
"Becker",59023,1,59,23,2008,2009
"Becker",59042,1,59,42,2008,2009
"Becker",59061,1,59,61,2008,2009
"Becker",59141,3,59,141,2008,2009
"Becker",59152,1,59,152,2008,2009
"Becker",59176,5,59,176,2008,2009
"Becker",59195,3,59,195,2008,2009
"Becker",61005,6,61,5,2008,2009
"Becker",61023,9,61,23,2008,2009
"Becker",61028,1,61,28,2008,2009
"Becker",61036,3,61,36,2008,2009
