"X","cropCode","numPixelsWiZone","cropCodeFrom","cropCodeTo","yearFrom","yearTo"
"Beltrami",1005,1265,1,5,2008,2009
"Beltrami",1023,771,1,23,2008,2009
"Beltrami",1028,1200,1,28,2008,2009
"Beltrami",1036,387,1,36,2008,2009
"Beltrami",1037,59,1,37,2008,2009
"Beltrami",1043,7,1,43,2008,2009
"Beltrami",1044,4,1,44,2008,2009
"Beltrami",1061,705,1,61,2008,2009
"Beltrami",1111,13,1,111,2008,2009
"Beltrami",1121,40,1,121,2008,2009
"Beltrami",1152,109,1,152,2008,2009
"Beltrami",1176,3013,1,176,2008,2009
"Beltrami",1190,57,1,190,2008,2009
"Beltrami",1195,656,1,195,2008,2009
"Beltrami",5005,8895,5,5,2008,2009
"Beltrami",5023,19381,5,23,2008,2009
"Beltrami",5024,6,5,24,2008,2009
"Beltrami",5028,707,5,28,2008,2009
"Beltrami",5031,41,5,31,2008,2009
"Beltrami",5036,712,5,36,2008,2009
"Beltrami",5037,171,5,37,2008,2009
"Beltrami",5043,145,5,43,2008,2009
"Beltrami",5044,156,5,44,2008,2009
"Beltrami",5059,60,5,59,2008,2009
"Beltrami",5061,2381,5,61,2008,2009
"Beltrami",5111,11,5,111,2008,2009
"Beltrami",5121,13,5,121,2008,2009
"Beltrami",5141,521,5,141,2008,2009
"Beltrami",5142,84,5,142,2008,2009
"Beltrami",5152,77,5,152,2008,2009
"Beltrami",5176,3479,5,176,2008,2009
"Beltrami",5190,638,5,190,2008,2009
"Beltrami",5195,5027,5,195,2008,2009
"Beltrami",6005,14,6,5,2008,2009
"Beltrami",6023,356,6,23,2008,2009
"Beltrami",6044,20,6,44,2008,2009
"Beltrami",6061,6,6,61,2008,2009
"Beltrami",6176,102,6,176,2008,2009
"Beltrami",6195,10,6,195,2008,2009
"Beltrami",21005,519,21,5,2008,2009
"Beltrami",21023,975,21,23,2008,2009
"Beltrami",21028,181,21,28,2008,2009
"Beltrami",21036,94,21,36,2008,2009
"Beltrami",21037,9,21,37,2008,2009
"Beltrami",21061,28,21,61,2008,2009
"Beltrami",21141,101,21,141,2008,2009
"Beltrami",21176,476,21,176,2008,2009
"Beltrami",21190,12,21,190,2008,2009
"Beltrami",21195,86,21,195,2008,2009
"Beltrami",23005,9223,23,5,2008,2009
"Beltrami",23023,4154,23,23,2008,2009
"Beltrami",23024,123,23,24,2008,2009
"Beltrami",23028,719,23,28,2008,2009
"Beltrami",23031,85,23,31,2008,2009
"Beltrami",23036,496,23,36,2008,2009
"Beltrami",23037,189,23,37,2008,2009
"Beltrami",23043,24,23,43,2008,2009
"Beltrami",23044,16,23,44,2008,2009
"Beltrami",23059,3966,23,59,2008,2009
"Beltrami",23061,1837,23,61,2008,2009
"Beltrami",23111,14,23,111,2008,2009
"Beltrami",23121,70,23,121,2008,2009
"Beltrami",23131,12,23,131,2008,2009
"Beltrami",23141,340,23,141,2008,2009
"Beltrami",23142,37,23,142,2008,2009
"Beltrami",23152,64,23,152,2008,2009
"Beltrami",23176,2571,23,176,2008,2009
"Beltrami",23190,189,23,190,2008,2009
"Beltrami",23195,1028,23,195,2008,2009
"Beltrami",24005,43,24,5,2008,2009
"Beltrami",24023,12,24,23,2008,2009
"Beltrami",24028,5,24,28,2008,2009
"Beltrami",24036,7,24,36,2008,2009
"Beltrami",24044,4,24,44,2008,2009
"Beltrami",24059,1,24,59,2008,2009
"Beltrami",24061,13,24,61,2008,2009
"Beltrami",24131,4,24,131,2008,2009
"Beltrami",24141,8,24,141,2008,2009
"Beltrami",24152,4,24,152,2008,2009
"Beltrami",24176,90,24,176,2008,2009
"Beltrami",24190,9,24,190,2008,2009
"Beltrami",24195,35,24,195,2008,2009
"Beltrami",27176,43,27,176,2008,2009
"Beltrami",27195,2,27,195,2008,2009
"Beltrami",28005,386,28,5,2008,2009
"Beltrami",28023,1186,28,23,2008,2009
"Beltrami",28028,1032,28,28,2008,2009
"Beltrami",28031,27,28,31,2008,2009
"Beltrami",28036,1867,28,36,2008,2009
"Beltrami",28037,132,28,37,2008,2009
"Beltrami",28044,1,28,44,2008,2009
"Beltrami",28059,4,28,59,2008,2009
"Beltrami",28061,105,28,61,2008,2009
"Beltrami",28141,38,28,141,2008,2009
"Beltrami",28176,3444,28,176,2008,2009
"Beltrami",28190,35,28,190,2008,2009
"Beltrami",28195,352,28,195,2008,2009
"Beltrami",31005,5,31,5,2008,2009
"Beltrami",31023,83,31,23,2008,2009
"Beltrami",31028,52,31,28,2008,2009
"Beltrami",31061,25,31,61,2008,2009
"Beltrami",31141,1,31,141,2008,2009
"Beltrami",31176,261,31,176,2008,2009
"Beltrami",31190,3,31,190,2008,2009
"Beltrami",31195,26,31,195,2008,2009
"Beltrami",36005,1082,36,5,2008,2009
"Beltrami",36006,22,36,6,2008,2009
"Beltrami",36023,750,36,23,2008,2009
"Beltrami",36028,227,36,28,2008,2009
"Beltrami",36036,30172,36,36,2008,2009
"Beltrami",36037,2563,36,37,2008,2009
"Beltrami",36044,15,36,44,2008,2009
"Beltrami",36058,10,36,58,2008,2009
"Beltrami",36059,112,36,59,2008,2009
"Beltrami",36061,187,36,61,2008,2009
"Beltrami",36141,2131,36,141,2008,2009
"Beltrami",36142,424,36,142,2008,2009
"Beltrami",36152,108,36,152,2008,2009
"Beltrami",36176,27227,36,176,2008,2009
"Beltrami",36190,391,36,190,2008,2009
"Beltrami",36195,2816,36,195,2008,2009
"Beltrami",37005,391,37,5,2008,2009
"Beltrami",37023,349,37,23,2008,2009
"Beltrami",37024,7,37,24,2008,2009
"Beltrami",37028,161,37,28,2008,2009
"Beltrami",37036,2815,37,36,2008,2009
"Beltrami",37037,2616,37,37,2008,2009
"Beltrami",37044,9,37,44,2008,2009
"Beltrami",37058,1,37,58,2008,2009
"Beltrami",37059,6,37,59,2008,2009
"Beltrami",37061,115,37,61,2008,2009
"Beltrami",37111,4,37,111,2008,2009
"Beltrami",37141,859,37,141,2008,2009
"Beltrami",37142,445,37,142,2008,2009
"Beltrami",37152,30,37,152,2008,2009
"Beltrami",37176,9612,37,176,2008,2009
"Beltrami",37190,500,37,190,2008,2009
"Beltrami",37195,1793,37,195,2008,2009
"Beltrami",39005,4,39,5,2008,2009
"Beltrami",39061,3,39,61,2008,2009
"Beltrami",42005,69,42,5,2008,2009
"Beltrami",42023,193,42,23,2008,2009
"Beltrami",42059,1,42,59,2008,2009
"Beltrami",42061,51,42,61,2008,2009
"Beltrami",42141,38,42,141,2008,2009
