"xCoords","yCoords","width","colorToUse"
1,6.4,0.043450761451567,"#ffd300"
1.2,6.4,0.043450761451567,"#ffd300"
1.4,6.4,0.043450761451567,"#ffd300"
2,6.4,0.043450761451567,"#ffd300"
1.8,6.4,0.043450761451567,"#ffd300"
1.6,6.4,0.043450761451567,"#ffd300"
1,6.4,0.00653865161859488,"#e41a1c"
1.2,5.9,0.00653865161859488,"#e41a1c"
1.4,5.9,0.00653865161859488,"#e41a1c"
2,1.9,0.00653865161859488,"#ffd300"
1.8,2.4,0.00653865161859488,"#ffd300"
1.6,2.4,0.00653865161859488,"#ffd300"
1,6.4,0.00440079682851516,"#f781bf"
1.2,6.2,0.00440079682851516,"#f781bf"
1.4,6.2,0.00440079682851516,"#f781bf"
2,4.6,0.00440079682851516,"#ffd300"
1.8,4.8,0.00440079682851516,"#ffd300"
1.6,4.8,0.00440079682851516,"#ffd300"
1,6.4,0.0729713520635188,"#AAAAAA"
1.2,5.8,0.0729713520635188,"#AAAAAA"
1.4,5.8,0.0729713520635188,"#AAAAAA"
2,1,0.0729713520635188,"#ffd300"
1.8,1.6,0.0729713520635188,"#ffd300"
1.6,1.6,0.0729713520635188,"#ffd300"
1,6.4,0.0143850335609087,"#4daf4a"
1.2,6.3,0.0143850335609087,"#4daf4a"
1.4,6.3,0.0143850335609087,"#4daf4a"
2,5.5,0.0143850335609087,"#ffd300"
1.8,5.6,0.0143850335609087,"#ffd300"
1.6,5.6,0.0143850335609087,"#ffd300"
1,6.4,0.00876747895293331,"#a65628"
1.2,6.1,0.00876747895293331,"#a65628"
1.4,6.1,0.00876747895293331,"#a65628"
2,3.7,0.00876747895293331,"#ffd300"
1.8,4,0.00876747895293331,"#ffd300"
1.6,4,0.00876747895293331,"#ffd300"
1,6.4,5.68578401616946e-05,"#377eb8"
1.2,6,5.68578401616946e-05,"#377eb8"
1.4,6,5.68578401616946e-05,"#377eb8"
2,2.8,5.68578401616946e-05,"#ffd300"
1.8,3.2,5.68578401616946e-05,"#ffd300"
1.6,3.2,5.68578401616946e-05,"#ffd300"
1,1.9,7.96009762263724e-05,"#ffd300"
1.2,2.4,7.96009762263724e-05,"#ffd300"
1.4,2.4,7.96009762263724e-05,"#ffd300"
2,6.4,7.96009762263724e-05,"#e41a1c"
1.8,5.9,7.96009762263724e-05,"#e41a1c"
1.6,5.9,7.96009762263724e-05,"#e41a1c"
1,1.9,0.000147830384420406,"#e41a1c"
1.2,1.9,0.000147830384420406,"#e41a1c"
1.4,1.9,0.000147830384420406,"#e41a1c"
2,1.9,0.000147830384420406,"#e41a1c"
1.8,1.9,0.000147830384420406,"#e41a1c"
1.6,1.9,0.000147830384420406,"#e41a1c"
1,1.9,7.96009762263724e-05,"#f781bf"
1.2,2.2,7.96009762263724e-05,"#f781bf"
1.4,2.2,7.96009762263724e-05,"#f781bf"
2,4.6,7.96009762263724e-05,"#e41a1c"
1.8,4.3,7.96009762263724e-05,"#e41a1c"
1.6,4.3,7.96009762263724e-05,"#e41a1c"
1,1.9,0.0127930140363813,"#AAAAAA"
1.2,1.8,0.0127930140363813,"#AAAAAA"
1.4,1.8,0.0127930140363813,"#AAAAAA"
2,1,0.0127930140363813,"#e41a1c"
1.8,1.1,0.0127930140363813,"#e41a1c"
1.6,1.1,0.0127930140363813,"#e41a1c"
1,1.9,0.000784638194231386,"#4daf4a"
1.2,2.3,0.000784638194231386,"#4daf4a"
1.4,2.3,0.000784638194231386,"#4daf4a"
2,5.5,0.000784638194231386,"#e41a1c"
1.8,5.1,0.000784638194231386,"#e41a1c"
1.6,5.1,0.000784638194231386,"#e41a1c"
1,1.9,0.00219471263024141,"#a65628"
1.2,2.1,0.00219471263024141,"#a65628"
1.4,2.1,0.00219471263024141,"#a65628"
2,3.7,0.00219471263024141,"#e41a1c"
1.8,3.5,0.00219471263024141,"#e41a1c"
1.6,3.5,0.00219471263024141,"#e41a1c"
1,4.6,0.0100638377086199,"#ffd300"
1.2,4.8,0.0100638377086199,"#ffd300"
1.4,4.8,0.0100638377086199,"#ffd300"
2,6.4,0.0100638377086199,"#f781bf"
1.8,6.2,0.0100638377086199,"#f781bf"
1.6,6.2,0.0100638377086199,"#f781bf"
1,4.6,0.00282014887202005,"#e41a1c"
1.2,4.3,0.00282014887202005,"#e41a1c"
1.4,4.3,0.00282014887202005,"#e41a1c"
2,1.9,0.00282014887202005,"#f781bf"
1.8,2.2,0.00282014887202005,"#f781bf"
1.6,2.2,0.00282014887202005,"#f781bf"
1,4.6,0.559776807959916,"#f781bf"
1.2,4.6,0.559776807959916,"#f781bf"
1.4,4.6,0.559776807959916,"#f781bf"
2,4.6,0.559776807959916,"#f781bf"
1.8,4.6,0.559776807959916,"#f781bf"
1.6,4.6,0.559776807959916,"#f781bf"
1,4.6,0.414607370459077,"#AAAAAA"
1.2,4.2,0.414607370459077,"#AAAAAA"
1.4,4.2,0.414607370459077,"#AAAAAA"
2,1,0.414607370459077,"#f781bf"
1.8,1.4,0.414607370459077,"#f781bf"
1.6,1.4,0.414607370459077,"#f781bf"
1,4.6,0.0167503197116352,"#4daf4a"
1.2,4.7,0.0167503197116352,"#4daf4a"
1.4,4.7,0.0167503197116352,"#4daf4a"
