"X","cropCode","numPixelsWiZone","cropCodeFrom","cropCodeTo","yearFrom","yearTo"
"Benton",1005,87055,1,5,2008,2009
"Benton",1023,3479,1,23,2008,2009
"Benton",1028,2541,1,28,2008,2009
"Benton",1036,1261,1,36,2008,2009
"Benton",1037,95,1,37,2008,2009
"Benton",1043,3650,1,43,2008,2009
"Benton",1044,1,1,44,2008,2009
"Benton",1059,2,1,59,2008,2009
"Benton",1061,420,1,61,2008,2009
"Benton",1111,20,1,111,2008,2009
"Benton",1121,193,1,121,2008,2009
"Benton",1152,3,1,152,2008,2009
"Benton",1176,25715,1,176,2008,2009
"Benton",1190,6,1,190,2008,2009
"Benton",1195,1579,1,195,2008,2009
"Benton",5005,17817,5,5,2008,2009
"Benton",5023,7864,5,23,2008,2009
"Benton",5024,56,5,24,2008,2009
"Benton",5028,1192,5,28,2008,2009
"Benton",5036,684,5,36,2008,2009
"Benton",5037,82,5,37,2008,2009
"Benton",5043,355,5,43,2008,2009
"Benton",5044,1,5,44,2008,2009
"Benton",5059,2,5,59,2008,2009
"Benton",5061,383,5,61,2008,2009
"Benton",5111,11,5,111,2008,2009
"Benton",5121,183,5,121,2008,2009
"Benton",5141,248,5,141,2008,2009
"Benton",5142,14,5,142,2008,2009
"Benton",5152,1,5,152,2008,2009
"Benton",5176,14272,5,176,2008,2009
"Benton",5190,32,5,190,2008,2009
"Benton",5195,919,5,195,2008,2009
"Benton",6005,1,6,5,2008,2009
"Benton",6176,6,6,176,2008,2009
"Benton",21005,21,21,5,2008,2009
"Benton",21023,5,21,23,2008,2009
"Benton",21028,3,21,28,2008,2009
"Benton",21036,45,21,36,2008,2009
"Benton",21037,1,21,37,2008,2009
"Benton",21061,1,21,61,2008,2009
"Benton",21176,74,21,176,2008,2009
"Benton",23005,1490,23,5,2008,2009
"Benton",23023,260,23,23,2008,2009
"Benton",23024,102,23,24,2008,2009
"Benton",23028,154,23,28,2008,2009
"Benton",23036,693,23,36,2008,2009
"Benton",23037,52,23,37,2008,2009
"Benton",23043,4,23,43,2008,2009
"Benton",23061,8,23,61,2008,2009
"Benton",23111,1,23,111,2008,2009
"Benton",23121,12,23,121,2008,2009
"Benton",23131,10,23,131,2008,2009
"Benton",23141,14,23,141,2008,2009
"Benton",23176,2068,23,176,2008,2009
"Benton",23190,4,23,190,2008,2009
"Benton",23195,40,23,195,2008,2009
"Benton",24005,580,24,5,2008,2009
"Benton",24023,48,24,23,2008,2009
"Benton",24028,18,24,28,2008,2009
"Benton",24036,37,24,36,2008,2009
"Benton",24037,4,24,37,2008,2009
"Benton",24061,2,24,61,2008,2009
"Benton",24131,1,24,131,2008,2009
"Benton",24176,506,24,176,2008,2009
"Benton",24195,4,24,195,2008,2009
"Benton",27176,2083,27,176,2008,2009
"Benton",27195,5,27,195,2008,2009
"Benton",28005,635,28,5,2008,2009
"Benton",28023,95,28,23,2008,2009
"Benton",28028,111,28,28,2008,2009
"Benton",28036,435,28,36,2008,2009
"Benton",28037,45,28,37,2008,2009
"Benton",28061,4,28,61,2008,2009
"Benton",28176,1150,28,176,2008,2009
"Benton",28195,16,28,195,2008,2009
"Benton",36005,574,36,5,2008,2009
"Benton",36023,34,36,23,2008,2009
"Benton",36028,58,36,28,2008,2009
"Benton",36036,17960,36,36,2008,2009
"Benton",36037,475,36,37,2008,2009
"Benton",36058,1,36,58,2008,2009
"Benton",36061,7,36,61,2008,2009
"Benton",36131,2,36,131,2008,2009
"Benton",36141,92,36,141,2008,2009
"Benton",36142,3,36,142,2008,2009
"Benton",36152,1,36,152,2008,2009
"Benton",36176,14960,36,176,2008,2009
"Benton",36190,3,36,190,2008,2009
"Benton",36195,95,36,195,2008,2009
"Benton",37005,233,37,5,2008,2009
"Benton",37023,45,37,23,2008,2009
"Benton",37024,2,37,24,2008,2009
"Benton",37028,33,37,28,2008,2009
"Benton",37036,615,37,36,2008,2009
"Benton",37037,250,37,37,2008,2009
"Benton",37058,1,37,58,2008,2009
"Benton",37061,6,37,61,2008,2009
"Benton",37111,1,37,111,2008,2009
"Benton",37141,196,37,141,2008,2009
"Benton",37142,10,37,142,2008,2009
"Benton",37176,5250,37,176,2008,2009
"Benton",37190,24,37,190,2008,2009
"Benton",37195,165,37,195,2008,2009
"Benton",41005,14,41,5,2008,2009
"Benton",41195,2,41,195,2008,2009
"Benton",42005,178,42,5,2008,2009
"Benton",42023,67,42,23,2008,2009
"Benton",42061,100,42,61,2008,2009
"Benton",42176,384,42,176,2008,2009
"Benton",42195,3,42,195,2008,2009
"Benton",43023,6,43,23,2008,2009
"Benton",43176,149,43,176,2008,2009
"Benton",43195,11,43,195,2008,2009
"Benton",44141,12,44,141,2008,2009
"Benton",44190,1,44,190,2008,2009
"Benton",44195,2,44,195,2008,2009
"Benton",58005,4,58,5,2008,2009
"Benton",59036,1,59,36,2008,2009
"Benton",59141,1,59,141,2008,2009
"Benton",59176,13,59,176,2008,2009
"Benton",61005,223,61,5,2008,2009
"Benton",61023,88,61,23,2008,2009
"Benton",61024,1,61,24,2008,2009
"Benton",61028,30,61,28,2008,2009
"Benton",61036,22,61,36,2008,2009
"Benton",61037,3,61,37,2008,2009
"Benton",61061,42,61,61,2008,2009
"Benton",61111,2,61,111,2008,2009
"Benton",61141,4,61,141,2008,2009
"Benton",61152,1,61,152,2008,2009
"Benton",61176,431,61,176,2008,2009
"Benton",61195,14,61,195,2008,2009
"Benton",111005,6,111,5,2008,2009
"Benton",111023,15,111,23,2008,2009
"Benton",111037,1,111,37,2008,2009
