"xCoords","yCoords","width","colorToUse"
1,6.4,9.92972614993382,"#ffd300"
1.2,6.4,9.92972614993382,"#ffd300"
1.4,6.4,9.92972614993382,"#ffd300"
2,6.4,9.92972614993382,"#ffd300"
1.8,6.4,9.92972614993382,"#ffd300"
1.6,6.4,9.92972614993382,"#ffd300"
1,6.4,0.452896492702914,"#e41a1c"
1.2,5.9,0.452896492702914,"#e41a1c"
1.4,5.9,0.452896492702914,"#e41a1c"
2,1.9,0.452896492702914,"#ffd300"
1.8,2.4,0.452896492702914,"#ffd300"
1.6,2.4,0.452896492702914,"#ffd300"
1,6.4,0.106113429449716,"#f781bf"
1.2,6.2,0.106113429449716,"#f781bf"
1.4,6.2,0.106113429449716,"#f781bf"
2,4.6,0.106113429449716,"#ffd300"
1.8,4.8,0.106113429449716,"#ffd300"
1.6,4.8,0.106113429449716,"#ffd300"
1,6.4,2.95788028957774,"#AAAAAA"
1.2,5.8,2.95788028957774,"#AAAAAA"
1.4,5.8,2.95788028957774,"#AAAAAA"
2,1,2.95788028957774,"#ffd300"
1.8,1.6,2.95788028957774,"#ffd300"
1.6,1.6,2.95788028957774,"#ffd300"
1,6.4,7.32569754222448,"#4daf4a"
1.2,6.3,7.32569754222448,"#4daf4a"
1.4,6.3,7.32569754222448,"#4daf4a"
2,5.5,7.32569754222448,"#ffd300"
1.8,5.6,7.32569754222448,"#ffd300"
1.6,5.6,7.32569754222448,"#ffd300"
1,6.4,0.292758620979828,"#a65628"
1.2,6.1,0.292758620979828,"#a65628"
1.4,6.1,0.292758620979828,"#a65628"
2,3.7,0.292758620979828,"#ffd300"
1.8,4,0.292758620979828,"#ffd300"
1.6,4,0.292758620979828,"#ffd300"
1,6.4,0.000252450664828826,"#377eb8"
1.2,6,0.000252450664828826,"#377eb8"
1.4,6,0.000252450664828826,"#377eb8"
2,2.8,0.000252450664828826,"#ffd300"
1.8,3.2,0.000252450664828826,"#ffd300"
1.6,3.2,0.000252450664828826,"#ffd300"
1,1.9,0.200529978095697,"#ffd300"
1.2,2.4,0.200529978095697,"#ffd300"
1.4,2.4,0.200529978095697,"#ffd300"
2,6.4,0.200529978095697,"#e41a1c"
1.8,5.9,0.200529978095697,"#e41a1c"
1.6,5.9,0.200529978095697,"#e41a1c"
1,1.9,0.00866747282578969,"#e41a1c"
1.2,1.9,0.00866747282578969,"#e41a1c"
1.4,1.9,0.00866747282578969,"#e41a1c"
2,1.9,0.00866747282578969,"#e41a1c"
1.8,1.9,0.00866747282578969,"#e41a1c"
1.6,1.9,0.00866747282578969,"#e41a1c"
1,1.9,0.000925652437705695,"#f781bf"
1.2,2.2,0.000925652437705695,"#f781bf"
1.4,2.2,0.000925652437705695,"#f781bf"
2,4.6,0.000925652437705695,"#e41a1c"
