"X","cropCode","numPixelsWiZone","cropCodeFrom","cropCodeTo","yearFrom","yearTo"
"Big Stone",0,939,0,0,2008,2009
"Big Stone",1005,326364,1,5,2008,2009
"Big Stone",1023,3895,1,23,2008,2009
"Big Stone",1028,11,1,28,2008,2009
"Big Stone",1036,199,1,36,2008,2009
"Big Stone",1037,20,1,37,2008,2009
"Big Stone",1043,10,1,43,2008,2009
"Big Stone",1061,241,1,61,2008,2009
"Big Stone",1111,759,1,111,2008,2009
"Big Stone",1121,593,1,121,2008,2009
"Big Stone",1152,2,1,152,2008,2009
"Big Stone",1176,6311,1,176,2008,2009
"Big Stone",1190,13,1,190,2008,2009
"Big Stone",1195,9490,1,195,2008,2009
"Big Stone",5005,83953,5,5,2008,2009
"Big Stone",5023,102395,5,23,2008,2009
"Big Stone",5024,266,5,24,2008,2009
"Big Stone",5028,15,5,28,2008,2009
"Big Stone",5036,579,5,36,2008,2009
"Big Stone",5037,69,5,37,2008,2009
"Big Stone",5043,16,5,43,2008,2009
"Big Stone",5061,121,5,61,2008,2009
"Big Stone",5111,181,5,111,2008,2009
"Big Stone",5121,194,5,121,2008,2009
"Big Stone",5141,64,5,141,2008,2009
"Big Stone",5152,2,5,152,2008,2009
"Big Stone",5176,12098,5,176,2008,2009
"Big Stone",5190,25,5,190,2008,2009
"Big Stone",5195,9307,5,195,2008,2009
"Big Stone",6005,72,6,5,2008,2009
"Big Stone",6023,11,6,23,2008,2009
"Big Stone",6061,1,6,61,2008,2009
"Big Stone",6176,23,6,176,2008,2009
"Big Stone",6195,47,6,195,2008,2009
"Big Stone",21005,4,21,5,2008,2009
"Big Stone",21141,1,21,141,2008,2009
"Big Stone",21176,3,21,176,2008,2009
"Big Stone",21195,1,21,195,2008,2009
"Big Stone",23005,69383,23,5,2008,2009
"Big Stone",23023,3848,23,23,2008,2009
"Big Stone",23024,191,23,24,2008,2009
"Big Stone",23028,7,23,28,2008,2009
"Big Stone",23036,145,23,36,2008,2009
"Big Stone",23037,9,23,37,2008,2009
"Big Stone",23043,5,23,43,2008,2009
"Big Stone",23044,5,23,44,2008,2009
"Big Stone",23061,81,23,61,2008,2009
"Big Stone",23111,167,23,111,2008,2009
"Big Stone",23121,25,23,121,2008,2009
"Big Stone",23131,110,23,131,2008,2009
"Big Stone",23141,15,23,141,2008,2009
"Big Stone",23176,2460,23,176,2008,2009
"Big Stone",23190,3,23,190,2008,2009
"Big Stone",23195,2164,23,195,2008,2009
"Big Stone",24005,326,24,5,2008,2009
"Big Stone",24023,1,24,23,2008,2009
"Big Stone",24111,1,24,111,2008,2009
"Big Stone",24131,3,24,131,2008,2009
"Big Stone",24141,2,24,141,2008,2009
"Big Stone",24176,29,24,176,2008,2009
"Big Stone",24195,10,24,195,2008,2009
"Big Stone",28005,41,28,5,2008,2009
"Big Stone",28023,53,28,23,2008,2009
"Big Stone",28036,8,28,36,2008,2009
"Big Stone",28037,1,28,37,2008,2009
"Big Stone",28176,28,28,176,2008,2009
"Big Stone",28195,35,28,195,2008,2009
"Big Stone",31005,1,31,5,2008,2009
"Big Stone",31176,2,31,176,2008,2009
"Big Stone",36005,523,36,5,2008,2009
"Big Stone",36023,636,36,23,2008,2009
"Big Stone",36028,6,36,28,2008,2009
"Big Stone",36036,5240,36,36,2008,2009
"Big Stone",36037,14,36,37,2008,2009
"Big Stone",36061,1,36,61,2008,2009
"Big Stone",36131,12,36,131,2008,2009
"Big Stone",36141,12,36,141,2008,2009
"Big Stone",36152,1,36,152,2008,2009
"Big Stone",36176,2016,36,176,2008,2009
"Big Stone",36190,9,36,190,2008,2009
"Big Stone",36195,740,36,195,2008,2009
"Big Stone",37005,17,37,5,2008,2009
"Big Stone",37023,1,37,23,2008,2009
"Big Stone",37036,10,37,36,2008,2009
"Big Stone",37037,65,37,37,2008,2009
"Big Stone",37111,3,37,111,2008,2009
"Big Stone",37176,416,37,176,2008,2009
"Big Stone",37195,199,37,195,2008,2009
"Big Stone",39005,50,39,5,2008,2009
"Big Stone",41005,164,41,5,2008,2009
"Big Stone",41023,13,41,23,2008,2009
"Big Stone",41195,101,41,195,2008,2009
"Big Stone",42005,404,42,5,2008,2009
"Big Stone",42023,746,42,23,2008,2009
"Big Stone",42061,1,42,61,2008,2009
"Big Stone",42141,1,42,141,2008,2009
"Big Stone",42176,124,42,176,2008,2009
"Big Stone",42190,1,42,190,2008,2009
"Big Stone",42195,44,42,195,2008,2009
"Big Stone",43176,2,43,176,2008,2009
"Big Stone",43195,2,43,195,2008,2009
"Big Stone",44195,2,44,195,2008,2009
"Big Stone",58005,1,58,5,2008,2009
"Big Stone",59036,1,59,36,2008,2009
"Big Stone",59141,1,59,141,2008,2009
"Big Stone",59176,1,59,176,2008,2009
"Big Stone",59190,1,59,190,2008,2009
"Big Stone",59195,1,59,195,2008,2009
"Big Stone",61005,334,61,5,2008,2009
"Big Stone",61023,34,61,23,2008,2009
"Big Stone",61036,20,61,36,2008,2009
"Big Stone",61037,1,61,37,2008,2009
"Big Stone",61061,4,61,61,2008,2009
"Big Stone",61111,21,61,111,2008,2009
"Big Stone",61176,100,61,176,2008,2009
"Big Stone",61195,200,61,195,2008,2009
"Big Stone",111005,225,111,5,2008,2009
"Big Stone",111023,100,111,23,2008,2009
"Big Stone",111028,2,111,28,2008,2009
"Big Stone",111044,7,111,44,2008,2009
"Big Stone",111061,40,111,61,2008,2009
"Big Stone",111111,120983,111,111,2008,2009
"Big Stone",111141,21,111,141,2008,2009
"Big Stone",111152,1,111,152,2008,2009
"Big Stone",111176,262,111,176,2008,2009
"Big Stone",111190,12,111,190,2008,2009
"Big Stone",111195,4122,111,195,2008,2009
"Big Stone",121005,773,121,5,2008,2009
"Big Stone",121023,105,121,23,2008,2009
"Big Stone",121036,6,121,36,2008,2009
"Big Stone",121041,1,121,41,2008,2009
"Big Stone",121061,9,121,61,2008,2009
"Big Stone",121121,64130,121,121,2008,2009
"Big Stone",121122,1567,121,122,2008,2009
"Big Stone",121123,27,121,123,2008,2009
"Big Stone",121176,4,121,176,2008,2009
"Big Stone",121195,5,121,195,2008,2009
"Big Stone",122023,1,122,23,2008,2009
"Big Stone",122121,900,122,121,2008,2009
"Big Stone",122122,5434,122,122,2008,2009
"Big Stone",122123,165,122,123,2008,2009
"Big Stone",122176,3,122,176,2008,2009
"Big Stone",123061,1,123,61,2008,2009
"Big Stone",123121,74,123,121,2008,2009
"Big Stone",123122,268,123,122,2008,2009
"Big Stone",123123,1728,123,123,2008,2009
"Big Stone",123124,53,123,124,2008,2009
"Big Stone",124122,2,124,122,2008,2009
"Big Stone",124123,53,124,123,2008,2009
"Big Stone",124124,387,124,124,2008,2009
"Big Stone",131005,123,131,5,2008,2009
"Big Stone",131023,21,131,23,2008,2009
"Big Stone",131061,5,131,61,2008,2009
"Big Stone",131176,251,131,176,2008,2009
"Big Stone",131195,10,131,195,2008,2009
"Big Stone",141005,66,141,5,2008,2009
"Big Stone",141023,3,141,23,2008,2009
"Big Stone",141036,3,141,36,2008,2009
"Big Stone",141037,2,141,37,2008,2009
"Big Stone",141043,1,141,43,2008,2009
"Big Stone",141061,3,141,61,2008,2009
"Big Stone",141111,50,141,111,2008,2009
"Big Stone",141141,12430,141,141,2008,2009
"Big Stone",141142,17,141,142,2008,2009
"Big Stone",141176,63,141,176,2008,2009
"Big Stone",141190,1448,141,190,2008,2009
"Big Stone",141195,139,141,195,2008,2009
"Big Stone",142005,8,142,5,2008,2009
"Big Stone",142141,41,142,141,2008,2009
"Big Stone",142142,1,142,142,2008,2009
"Big Stone",142190,18,142,190,2008,2009
"Big Stone",152005,2,152,5,2008,2009
"Big Stone",152176,2,152,176,2008,2009
"Big Stone",152195,7,152,195,2008,2009
"Big Stone",176001,3138,176,1,2008,2009
"Big Stone",176005,6286,176,5,2008,2009
"Big Stone",176006,8,176,6,2008,2009
"Big Stone",176021,3,176,21,2008,2009
"Big Stone",176023,1492,176,23,2008,2009
"Big Stone",176024,31,176,24,2008,2009
"Big Stone",176028,8,176,28,2008,2009
"Big Stone",176036,2869,176,36,2008,2009
"Big Stone",176037,221,176,37,2008,2009
"Big Stone",176044,1,176,44,2008,2009
"Big Stone",176059,1,176,59,2008,2009
"Big Stone",176061,43,176,61,2008,2009
"Big Stone",176111,264,176,111,2008,2009
"Big Stone",176121,2,176,121,2008,2009
"Big Stone",176131,289,176,131,2008,2009
"Big Stone",176141,63,176,141,2008,2009
"Big Stone",176152,2,176,152,2008,2009
"Big Stone",176176,65534,176,176,2008,2009
"Big Stone",176190,19,176,190,2008,2009
"Big Stone",176195,31081,176,195,2008,2009
"Big Stone",190005,23,190,5,2008,2009
"Big Stone",190036,12,190,36,2008,2009
"Big Stone",190061,1,190,61,2008,2009
"Big Stone",190111,8,190,111,2008,2009
"Big Stone",190141,1777,190,141,2008,2009
"Big Stone",190142,19,190,142,2008,2009
"Big Stone",190176,11,190,176,2008,2009
"Big Stone",190190,2820,190,190,2008,2009
"Big Stone",190195,50,190,195,2008,2009
"Big Stone",195001,5893,195,1,2008,2009
"Big Stone",195005,5136,195,5,2008,2009
"Big Stone",195006,16,195,6,2008,2009
"Big Stone",195021,1,195,21,2008,2009
"Big Stone",195023,1205,195,23,2008,2009
"Big Stone",195024,21,195,24,2008,2009
"Big Stone",195027,2,195,27,2008,2009
"Big Stone",195028,5,195,28,2008,2009
"Big Stone",195032,1,195,32,2008,2009
"Big Stone",195036,545,195,36,2008,2009
"Big Stone",195037,60,195,37,2008,2009
"Big Stone",195061,92,195,61,2008,2009
"Big Stone",195111,7247,195,111,2008,2009
"Big Stone",195131,23,195,131,2008,2009
"Big Stone",195141,95,195,141,2008,2009
"Big Stone",195142,3,195,142,2008,2009
"Big Stone",195152,7,195,152,2008,2009
"Big Stone",195176,34274,195,176,2008,2009
"Big Stone",195190,124,195,190,2008,2009
"Big Stone",195195,103378,195,195,2008,2009
"Big Stone",1001,35152,1,1,2008,2009
"Big Stone",1006,48,1,6,2008,2009
"Big Stone",1021,10,1,21,2008,2009
"Big Stone",1024,11,1,24,2008,2009
"Big Stone",1041,510,1,41,2008,2009
"Big Stone",1042,1125,1,42,2008,2009
"Big Stone",1141,137,1,141,2008,2009
"Big Stone",5001,304239,5,1,2008,2009
"Big Stone",5006,44,5,6,2008,2009
"Big Stone",5021,541,5,21,2008,2009
"Big Stone",5032,22,5,32,2008,2009
"Big Stone",5041,176,5,41,2008,2009
"Big Stone",5042,131,5,42,2008,2009
"Big Stone",5123,3,5,123,2008,2009
"Big Stone",6001,21,6,1,2008,2009
"Big Stone",6006,77,6,6,2008,2009
"Big Stone",6041,15,6,41,2008,2009
"Big Stone",6111,8,6,111,2008,2009
"Big Stone",6141,1,6,141,2008,2009
"Big Stone",23001,30912,23,1,2008,2009
"Big Stone",23006,33,23,6,2008,2009
"Big Stone",23021,1,23,21,2008,2009
"Big Stone",23032,1,23,32,2008,2009
"Big Stone",23041,41,23,41,2008,2009
"Big Stone",23042,371,23,42,2008,2009
"Big Stone",23123,5,23,123,2008,2009
"Big Stone",24001,73,24,1,2008,2009
"Big Stone",28001,22,28,1,2008,2009
"Big Stone",28111,1,28,111,2008,2009
"Big Stone",31036,6,31,36,2008,2009
"Big Stone",36001,636,36,1,2008,2009
"Big Stone",36021,1,36,21,2008,2009
"Big Stone",36024,11,36,24,2008,2009
"Big Stone",36111,16,36,111,2008,2009
"Big Stone",37001,8,37,1,2008,2009
"Big Stone",41001,548,41,1,2008,2009
"Big Stone",41006,52,41,6,2008,2009
"Big Stone",41036,7,41,36,2008,2009
"Big Stone",41041,2,41,41,2008,2009
"Big Stone",41042,2,41,42,2008,2009
"Big Stone",41111,4,41,111,2008,2009
"Big Stone",41176,54,41,176,2008,2009
"Big Stone",42001,952,42,1,2008,2009
"Big Stone",42006,2,42,6,2008,2009
"Big Stone",42024,2,42,24,2008,2009
"Big Stone",42041,6,42,41,2008,2009
"Big Stone",42042,2,42,42,2008,2009
"Big Stone",61001,955,61,1,2008,2009
"Big Stone",111001,210,111,1,2008,2009
"Big Stone",111006,7,111,6,2008,2009
"Big Stone",111024,1,111,24,2008,2009
"Big Stone",111036,7,111,36,2008,2009
"Big Stone",111041,22,111,41,2008,2009
"Big Stone",152001,2,152,1,2008,2009
"Big Stone",176041,28,176,41,2008,2009
"Big Stone",176042,11,176,42,2008,2009
"Big Stone",190001,5,190,1,2008,2009
"Big Stone",195041,56,195,41,2008,2009
"Big Stone",195042,8,195,42,2008,2009
"Big Stone",195043,1,195,43,2008,2009
"Big Stone",5027,4,5,27,2008,2009
"Big Stone",5039,14,5,39,2008,2009
"Big Stone",5131,188,5,131,2008,2009
"Big Stone",23029,1,23,29,2008,2009
"Big Stone",23039,2,23,39,2008,2009
