"xCoords","yCoords","width","colorToUse"
1,6.4,2.31341083312274,"#ffd300"
1.2,6.4,2.31341083312274,"#ffd300"
1.4,6.4,2.31341083312274,"#ffd300"
2,6.4,2.31341083312274,"#ffd300"
1.8,6.4,2.31341083312274,"#ffd300"
1.6,6.4,2.31341083312274,"#ffd300"
1,6.4,0.0740380970432146,"#e41a1c"
1.2,5.9,0.0740380970432146,"#e41a1c"
1.4,5.9,0.0740380970432146,"#e41a1c"
2,1.9,0.0740380970432146,"#ffd300"
1.8,2.4,0.0740380970432146,"#ffd300"
1.6,2.4,0.0740380970432146,"#ffd300"
1,6.4,0.013096516721422,"#f781bf"
1.2,6.2,0.013096516721422,"#f781bf"
1.4,6.2,0.013096516721422,"#f781bf"
2,4.6,0.013096516721422,"#ffd300"
1.8,4.8,0.013096516721422,"#ffd300"
1.6,4.8,0.013096516721422,"#ffd300"
1,6.4,1.16401050880297,"#AAAAAA"
1.2,5.8,1.16401050880297,"#AAAAAA"
1.4,5.8,1.16401050880297,"#AAAAAA"
2,1,1.16401050880297,"#ffd300"
1.8,1.6,1.16401050880297,"#ffd300"
1.6,1.6,1.16401050880297,"#ffd300"
1,6.4,21.4785506696993,"#4daf4a"
1.2,6.3,21.4785506696993,"#4daf4a"
1.4,6.3,21.4785506696993,"#4daf4a"
2,5.5,21.4785506696993,"#ffd300"
1.8,5.6,21.4785506696993,"#ffd300"
1.6,5.6,21.4785506696993,"#ffd300"
1,6.4,0.256336344874063,"#a65628"
1.2,6.1,0.256336344874063,"#a65628"
1.4,6.1,0.256336344874063,"#a65628"
2,3.7,0.256336344874063,"#ffd300"
1.8,4,0.256336344874063,"#ffd300"
1.6,4,0.256336344874063,"#ffd300"
1,6.4,0.0335639373262573,"#377eb8"
1.2,6,0.0335639373262573,"#377eb8"
1.4,6,0.0335639373262573,"#377eb8"
2,2.8,0.0335639373262573,"#ffd300"
1.8,3.2,0.0335639373262573,"#ffd300"
1.6,3.2,0.0335639373262573,"#ffd300"
1,1.9,0.0626526830090136,"#ffd300"
1.2,2.4,0.0626526830090136,"#ffd300"
1.4,2.4,0.0626526830090136,"#ffd300"
2,6.4,0.0626526830090136,"#e41a1c"
1.8,5.9,0.0626526830090136,"#e41a1c"
1.6,5.9,0.0626526830090136,"#e41a1c"
1,1.9,0.000131623283632381,"#e41a1c"
1.2,1.9,0.000131623283632381,"#e41a1c"
1.4,1.9,0.000131623283632381,"#e41a1c"
2,1.9,0.000131623283632381,"#e41a1c"
1.8,1.9,0.000131623283632381,"#e41a1c"
1.6,1.9,0.000131623283632381,"#e41a1c"
1,1.9,0.012767458512341,"#AAAAAA"
1.2,1.8,0.012767458512341,"#AAAAAA"
1.4,1.8,0.012767458512341,"#AAAAAA"
2,1,0.012767458512341,"#e41a1c"
1.8,1.1,0.012767458512341,"#e41a1c"
1.6,1.1,0.012767458512341,"#e41a1c"
1,1.9,0.0265879032937411,"#4daf4a"
1.2,2.3,0.0265879032937411,"#4daf4a"
1.4,2.3,0.0265879032937411,"#4daf4a"
2,5.5,0.0265879032937411,"#e41a1c"
1.8,5.1,0.0265879032937411,"#e41a1c"
1.6,5.1,0.0265879032937411,"#e41a1c"
1,1.9,0.0490954847948783,"#a65628"
1.2,2.1,0.0490954847948783,"#a65628"
1.4,2.1,0.0490954847948783,"#a65628"
2,3.7,0.0490954847948783,"#e41a1c"
1.8,3.5,0.0490954847948783,"#e41a1c"
1.6,3.5,0.0490954847948783,"#e41a1c"
1,1.9,0.000394869850897144,"#377eb8"
1.2,2,0.000394869850897144,"#377eb8"
1.4,2,0.000394869850897144,"#377eb8"
2,2.8,0.000394869850897144,"#e41a1c"
1.8,2.7,0.000394869850897144,"#e41a1c"
1.6,2.7,0.000394869850897144,"#e41a1c"
1,4.6,0.0423826973296268,"#ffd300"
1.2,4.8,0.0423826973296268,"#ffd300"
1.4,4.8,0.0423826973296268,"#ffd300"
2,6.4,0.0423826973296268,"#f781bf"
1.8,6.2,0.0423826973296268,"#f781bf"
1.6,6.2,0.0423826973296268,"#f781bf"
1,4.6,0.39046047089546,"#f781bf"
1.2,4.6,0.39046047089546,"#f781bf"
1.4,4.6,0.39046047089546,"#f781bf"
2,4.6,0.39046047089546,"#f781bf"
1.8,4.6,0.39046047089546,"#f781bf"
1.6,4.6,0.39046047089546,"#f781bf"
1,4.6,0.186905062757982,"#AAAAAA"
1.2,4.2,0.186905062757982,"#AAAAAA"
1.4,4.2,0.186905062757982,"#AAAAAA"
2,1,0.186905062757982,"#f781bf"
1.8,1.4,0.186905062757982,"#f781bf"
1.6,1.4,0.186905062757982,"#f781bf"
1,4.6,0.035538286580743,"#4daf4a"
1.2,4.7,0.035538286580743,"#4daf4a"
1.4,4.7,0.035538286580743,"#4daf4a"
2,5.5,0.035538286580743,"#f781bf"
1.8,5.4,0.035538286580743,"#f781bf"
1.6,5.4,0.035538286580743,"#f781bf"
1,4.6,0.0419220158369135,"#a65628"
1.2,4.5,0.0419220158369135,"#a65628"
1.4,4.5,0.0419220158369135,"#a65628"
2,3.7,0.0419220158369135,"#f781bf"
1.8,3.8,0.0419220158369135,"#f781bf"
1.6,3.8,0.0419220158369135,"#f781bf"
1,1,0.755386024766237,"#ffd300"
1.2,1.6,0.755386024766237,"#ffd300"
1.4,1.6,0.755386024766237,"#ffd300"
2,6.4,0.755386024766237,"#AAAAAA"
1.8,5.8,0.755386024766237,"#AAAAAA"
