"X","cropCode","numPixelsWiZone","cropCodeFrom","cropCodeTo","yearFrom","yearTo"
"Blue Earth",1005,639135,1,5,2008,2009
"Blue Earth",1023,520,1,23,2008,2009
"Blue Earth",1028,251,1,28,2008,2009
"Blue Earth",1036,141,1,36,2008,2009
"Blue Earth",1037,32,1,37,2008,2009
"Blue Earth",1111,450,1,111,2008,2009
"Blue Earth",1121,2134,1,121,2008,2009
"Blue Earth",1152,16,1,152,2008,2009
"Blue Earth",1176,14937,1,176,2008,2009
"Blue Earth",1190,7,1,190,2008,2009
"Blue Earth",1195,7685,1,195,2008,2009
"Blue Earth",5005,64896,5,5,2008,2009
"Blue Earth",5023,2780,5,23,2008,2009
"Blue Earth",5024,97,5,24,2008,2009
"Blue Earth",5028,170,5,28,2008,2009
"Blue Earth",5036,208,5,36,2008,2009
"Blue Earth",5037,36,5,37,2008,2009
"Blue Earth",5058,2,5,58,2008,2009
"Blue Earth",5061,3,5,61,2008,2009
"Blue Earth",5111,225,5,111,2008,2009
"Blue Earth",5121,747,5,121,2008,2009
"Blue Earth",5141,175,5,141,2008,2009
"Blue Earth",5142,3,5,142,2008,2009
"Blue Earth",5152,3,5,152,2008,2009
"Blue Earth",5176,12706,5,176,2008,2009
"Blue Earth",5190,18,5,190,2008,2009
"Blue Earth",5195,3454,5,195,2008,2009
"Blue Earth",6023,1,6,23,2008,2009
"Blue Earth",6176,1,6,176,2008,2009
"Blue Earth",21005,1,21,5,2008,2009
"Blue Earth",21023,1,21,23,2008,2009
"Blue Earth",21028,1,21,28,2008,2009
"Blue Earth",21176,5,21,176,2008,2009
"Blue Earth",23005,720,23,5,2008,2009
"Blue Earth",23023,25,23,23,2008,2009
"Blue Earth",23024,3,23,24,2008,2009
"Blue Earth",23028,11,23,28,2008,2009
"Blue Earth",23036,11,23,36,2008,2009
"Blue Earth",23037,1,23,37,2008,2009
"Blue Earth",23111,8,23,111,2008,2009
"Blue Earth",23121,3,23,121,2008,2009
"Blue Earth",23131,11,23,131,2008,2009
"Blue Earth",23176,314,23,176,2008,2009
"Blue Earth",23195,50,23,195,2008,2009
"Blue Earth",24005,30,24,5,2008,2009
"Blue Earth",24023,8,24,23,2008,2009
"Blue Earth",24036,1,24,36,2008,2009
"Blue Earth",24111,1,24,111,2008,2009
"Blue Earth",24131,8,24,131,2008,2009
"Blue Earth",24176,65,24,176,2008,2009
"Blue Earth",24195,10,24,195,2008,2009
"Blue Earth",27176,7,27,176,2008,2009
"Blue Earth",27195,2,27,195,2008,2009
"Blue Earth",28005,131,28,5,2008,2009
"Blue Earth",28023,8,28,23,2008,2009
"Blue Earth",28036,50,28,36,2008,2009
"Blue Earth",28176,185,28,176,2008,2009
