"xCoords","yCoords","width","colorToUse"
1,6.4,7.29711317612311,"#ffd300"
1.2,6.4,7.29711317612311,"#ffd300"
1.4,6.4,7.29711317612311,"#ffd300"
2,6.4,7.29711317612311,"#ffd300"
1.8,6.4,7.29711317612311,"#ffd300"
1.6,6.4,7.29711317612311,"#ffd300"
1,6.4,9.07121630496703e-05,"#e41a1c"
1.2,5.9,9.07121630496703e-05,"#e41a1c"
1.4,5.9,9.07121630496703e-05,"#e41a1c"
2,1.9,9.07121630496703e-05,"#ffd300"
1.8,2.4,9.07121630496703e-05,"#ffd300"
1.6,2.4,9.07121630496703e-05,"#ffd300"
1,6.4,0.00639520749500176,"#f781bf"
1.2,6.2,0.00639520749500176,"#f781bf"
1.4,6.2,0.00639520749500176,"#f781bf"
2,4.6,0.00639520749500176,"#ffd300"
1.8,4.8,0.00639520749500176,"#ffd300"
1.6,4.8,0.00639520749500176,"#ffd300"
1,6.4,1.30661799656745,"#AAAAAA"
1.2,5.8,1.30661799656745,"#AAAAAA"
1.4,5.8,1.30661799656745,"#AAAAAA"
2,1,1.30661799656745,"#ffd300"
1.8,1.6,1.30661799656745,"#ffd300"
1.6,1.6,1.30661799656745,"#ffd300"
1,6.4,28.9886591653755,"#4daf4a"
1.2,6.3,28.9886591653755,"#4daf4a"
1.4,6.3,28.9886591653755,"#4daf4a"
2,5.5,28.9886591653755,"#ffd300"
1.8,5.6,28.9886591653755,"#ffd300"
1.6,5.6,28.9886591653755,"#ffd300"
1,6.4,0.0235851623929143,"#a65628"
1.2,6.1,0.0235851623929143,"#a65628"
1.4,6.1,0.0235851623929143,"#a65628"
2,3.7,0.0235851623929143,"#ffd300"
1.8,4,0.0235851623929143,"#ffd300"
1.6,4,0.0235851623929143,"#ffd300"
1,6.4,0.00136068244574506,"#377eb8"
1.2,6,0.00136068244574506,"#377eb8"
1.4,6,0.00136068244574506,"#377eb8"
2,2.8,0.00136068244574506,"#ffd300"
1.8,3.2,0.00136068244574506,"#ffd300"
1.6,3.2,0.00136068244574506,"#ffd300"
1,1.9,0.000272136489149011,"#ffd300"
1.2,2.4,0.000272136489149011,"#ffd300"
1.4,2.4,0.000272136489149011,"#ffd300"
2,6.4,0.000272136489149011,"#e41a1c"
1.8,5.9,0.000272136489149011,"#e41a1c"
1.6,5.9,0.000272136489149011,"#e41a1c"
1,1.9,0.00131532636422022,"#AAAAAA"
1.2,1.8,0.00131532636422022,"#AAAAAA"
1.4,1.8,0.00131532636422022,"#AAAAAA"
2,1,0.00131532636422022,"#e41a1c"
1.8,1.1,0.00131532636422022,"#e41a1c"
1.6,1.1,0.00131532636422022,"#e41a1c"
1,1.9,0.00108854595659604,"#4daf4a"
1.2,2.3,0.00108854595659604,"#4daf4a"
1.4,2.3,0.00108854595659604,"#4daf4a"
2,5.5,0.00108854595659604,"#e41a1c"
1.8,5.1,0.00108854595659604,"#e41a1c"
1.6,5.1,0.00108854595659604,"#e41a1c"
1,1.9,4.53560815248352e-05,"#a65628"
1.2,2.1,4.53560815248352e-05,"#a65628"
1.4,2.1,4.53560815248352e-05,"#a65628"
2,3.7,4.53560815248352e-05,"#e41a1c"
1.8,3.5,4.53560815248352e-05,"#e41a1c"
1.6,3.5,4.53560815248352e-05,"#e41a1c"
1,1.9,4.53560815248352e-05,"#377eb8"
1.2,2,4.53560815248352e-05,"#377eb8"
1.4,2,4.53560815248352e-05,"#377eb8"
2,2.8,4.53560815248352e-05,"#e41a1c"
1.8,2.7,4.53560815248352e-05,"#e41a1c"
1.6,2.7,4.53560815248352e-05,"#e41a1c"
1,4.6,0.0505266748186664,"#ffd300"
1.2,4.8,0.0505266748186664,"#ffd300"
1.4,4.8,0.0505266748186664,"#ffd300"
2,6.4,0.0505266748186664,"#f781bf"
1.8,6.2,0.0505266748186664,"#f781bf"
1.6,6.2,0.0505266748186664,"#f781bf"
1,4.6,0.0576475796180655,"#f781bf"
1.2,4.6,0.0576475796180655,"#f781bf"
1.4,4.6,0.0576475796180655,"#f781bf"
2,4.6,0.0576475796180655,"#f781bf"
1.8,4.6,0.0576475796180655,"#f781bf"
1.6,4.6,0.0576475796180655,"#f781bf"
1,4.6,0.154346745429014,"#AAAAAA"
1.2,4.2,0.154346745429014,"#AAAAAA"
1.4,4.2,0.154346745429014,"#AAAAAA"
2,1,0.154346745429014,"#f781bf"
1.8,1.4,0.154346745429014,"#f781bf"
1.6,1.4,0.154346745429014,"#f781bf"
1,4.6,0.027531141485575,"#4daf4a"
1.2,4.7,0.027531141485575,"#4daf4a"
1.4,4.7,0.027531141485575,"#4daf4a"
2,5.5,0.027531141485575,"#f781bf"
1.8,5.4,0.027531141485575,"#f781bf"
1.6,5.4,0.027531141485575,"#f781bf"
1,4.6,0.000226780407624176,"#a65628"
1.2,4.5,0.000226780407624176,"#a65628"
1.4,4.5,0.000226780407624176,"#a65628"
2,3.7,0.000226780407624176,"#f781bf"
1.8,3.8,0.000226780407624176,"#f781bf"
1.6,3.8,0.000226780407624176,"#f781bf"
1,1,0.81740730124058,"#ffd300"
1.2,1.6,0.81740730124058,"#ffd300"
1.4,1.6,0.81740730124058,"#ffd300"
2,6.4,0.81740730124058,"#AAAAAA"
1.8,5.8,0.81740730124058,"#AAAAAA"
1.6,5.8,0.81740730124058,"#AAAAAA"
1,1,4.53560815248352e-05,"#e41a1c"
1.2,1.1,4.53560815248352e-05,"#e41a1c"
1.4,1.1,4.53560815248352e-05,"#e41a1c"
2,1.9,4.53560815248352e-05,"#AAAAAA"
1.8,1.8,4.53560815248352e-05,"#AAAAAA"
1.6,1.8,4.53560815248352e-05,"#AAAAAA"
1,1,0.0805070447065824,"#f781bf"
1.2,1.4,0.0805070447065824,"#f781bf"
1.4,1.4,0.0805070447065824,"#f781bf"
2,4.6,0.0805070447065824,"#AAAAAA"
1.8,4.2,0.0805070447065824,"#AAAAAA"
1.6,4.2,0.0805070447065824,"#AAAAAA"
1,1,26.9793847538253,"#AAAAAA"
1.2,1,26.9793847538253,"#AAAAAA"
1.4,1,26.9793847538253,"#AAAAAA"
2,1,26.9793847538253,"#AAAAAA"
1.8,1,26.9793847538253,"#AAAAAA"
1.6,1,26.9793847538253,"#AAAAAA"
1,1,0.774001531221312,"#4daf4a"
1.2,1.5,0.774001531221312,"#4daf4a"
1.4,1.5,0.774001531221312,"#4daf4a"
2,5.5,0.774001531221312,"#AAAAAA"
1.8,5,0.774001531221312,"#AAAAAA"
1.6,5,0.774001531221312,"#AAAAAA"
1,1,0.0282114827084475,"#a65628"
1.2,1.3,0.0282114827084475,"#a65628"
1.4,1.3,0.0282114827084475,"#a65628"
2,3.7,0.0282114827084475,"#AAAAAA"
1.8,3.4,0.0282114827084475,"#AAAAAA"
1.6,3.4,0.0282114827084475,"#AAAAAA"
1,1,0.00303885746216396,"#377eb8"
1.2,1.2,0.00303885746216396,"#377eb8"
1.4,1.2,0.00303885746216396,"#377eb8"
2,2.8,0.00303885746216396,"#AAAAAA"
1.8,2.6,0.00303885746216396,"#AAAAAA"
1.6,2.6,0.00303885746216396,"#AAAAAA"
1,5.5,28.885428723825,"#ffd300"
1.2,5.6,28.885428723825,"#ffd300"
1.4,5.6,28.885428723825,"#ffd300"
2,6.4,28.885428723825,"#4daf4a"
1.8,6.3,28.885428723825,"#4daf4a"
1.6,6.3,28.885428723825,"#4daf4a"
1,5.5,0.000226780407624176,"#e41a1c"
1.2,5.1,0.000226780407624176,"#e41a1c"
1.4,5.1,0.000226780407624176,"#e41a1c"
2,1.9,0.000226780407624176,"#4daf4a"
1.8,2.3,0.000226780407624176,"#4daf4a"
1.6,2.3,0.000226780407624176,"#4daf4a"
1,5.5,0.00943406495716572,"#f781bf"
1.2,5.4,0.00943406495716572,"#f781bf"
1.4,5.4,0.00943406495716572,"#f781bf"
2,4.6,0.00943406495716572,"#4daf4a"
1.8,4.7,0.00943406495716572,"#4daf4a"
1.6,4.7,0.00943406495716572,"#4daf4a"
1,5.5,1.31741274397036,"#AAAAAA"
1.2,5,1.31741274397036,"#AAAAAA"
1.4,5,1.31741274397036,"#AAAAAA"
2,1,1.31741274397036,"#4daf4a"
1.8,1.5,1.31741274397036,"#4daf4a"
1.6,1.5,1.31741274397036,"#4daf4a"
1,5.5,2.9434282666357,"#4daf4a"
1.2,5.5,2.9434282666357,"#4daf4a"
1.4,5.5,2.9434282666357,"#4daf4a"
2,5.5,2.9434282666357,"#4daf4a"
1.8,5.5,2.9434282666357,"#4daf4a"
1.6,5.5,2.9434282666357,"#4daf4a"
1,5.5,0.126089906639042,"#a65628"
1.2,5.3,0.126089906639042,"#a65628"
1.4,5.3,0.126089906639042,"#a65628"
2,3.7,0.126089906639042,"#4daf4a"
1.8,3.9,0.126089906639042,"#4daf4a"
1.6,3.9,0.126089906639042,"#4daf4a"
1,5.5,0.00190495542404308,"#377eb8"
1.2,5.2,0.00190495542404308,"#377eb8"
1.4,5.2,0.00190495542404308,"#377eb8"
2,2.8,0.00190495542404308,"#4daf4a"
1.8,3.1,0.00190495542404308,"#4daf4a"
1.6,3.1,0.00190495542404308,"#4daf4a"
1,3.7,0.0538830248515042,"#ffd300"
1.2,4,0.0538830248515042,"#ffd300"
1.4,4,0.0538830248515042,"#ffd300"
2,6.4,0.0538830248515042,"#a65628"
1.8,6.1,0.0538830248515042,"#a65628"
1.6,6.1,0.0538830248515042,"#a65628"
1,3.7,0.000498916896773187,"#f781bf"
1.2,3.8,0.000498916896773187,"#f781bf"
1.4,3.8,0.000498916896773187,"#f781bf"
2,4.6,0.000498916896773187,"#a65628"
1.8,4.5,0.000498916896773187,"#a65628"
1.6,4.5,0.000498916896773187,"#a65628"
1,3.7,0.0235851623929143,"#AAAAAA"
1.2,3.4,0.0235851623929143,"#AAAAAA"
1.4,3.4,0.0235851623929143,"#AAAAAA"
2,1,0.0235851623929143,"#a65628"
1.8,1.3,0.0235851623929143,"#a65628"
1.6,1.3,0.0235851623929143,"#a65628"
1,3.7,0.0326563786978813,"#4daf4a"
1.2,3.9,0.0326563786978813,"#4daf4a"
1.4,3.9,0.0326563786978813,"#4daf4a"
2,5.5,0.0326563786978813,"#a65628"
1.8,5.3,0.0326563786978813,"#a65628"
1.6,5.3,0.0326563786978813,"#a65628"
1,3.7,0.00113390203812088,"#a65628"
1.2,3.7,0.00113390203812088,"#a65628"
1.4,3.7,0.00113390203812088,"#a65628"
2,3.7,0.00113390203812088,"#a65628"
1.8,3.7,0.00113390203812088,"#a65628"
1.6,3.7,0.00113390203812088,"#a65628"
1,2.8,0.00249458448386593,"#ffd300"
1.2,3.2,0.00249458448386593,"#ffd300"
1.4,3.2,0.00249458448386593,"#ffd300"
2,6.4,0.00249458448386593,"#377eb8"
1.8,6,0.00249458448386593,"#377eb8"
1.6,6,0.00249458448386593,"#377eb8"
1,2.8,4.53560815248352e-05,"#f781bf"
1.2,3,4.53560815248352e-05,"#f781bf"
1.4,3,4.53560815248352e-05,"#f781bf"
2,4.6,4.53560815248352e-05,"#377eb8"
1.8,4.4,4.53560815248352e-05,"#377eb8"
1.6,4.4,4.53560815248352e-05,"#377eb8"
1,2.8,0.00117925811964571,"#AAAAAA"
1.2,2.6,0.00117925811964571,"#AAAAAA"
1.4,2.6,0.00117925811964571,"#AAAAAA"
2,1,0.00117925811964571,"#377eb8"
1.8,1.2,0.00117925811964571,"#377eb8"
1.6,1.2,0.00117925811964571,"#377eb8"
1,2.8,0.000997833793546374,"#4daf4a"
1.2,3.1,0.000997833793546374,"#4daf4a"
1.4,3.1,0.000997833793546374,"#4daf4a"
2,5.5,0.000997833793546374,"#377eb8"
1.8,5.2,0.000997833793546374,"#377eb8"
1.6,5.2,0.000997833793546374,"#377eb8"
1,2.8,0.000136068244574506,"#377eb8"
1.2,2.8,0.000136068244574506,"#377eb8"
1.4,2.8,0.000136068244574506,"#377eb8"
2,2.8,0.000136068244574506,"#377eb8"
1.8,2.8,0.000136068244574506,"#377eb8"
1.6,2.8,0.000136068244574506,"#377eb8"
2,6.4,6.88092577205122,"#ffd300"
2.2,6.4,6.88092577205122,"#ffd300"
2.4,6.4,6.88092577205122,"#ffd300"
3,6.4,6.88092577205122,"#ffd300"
2.8,6.4,6.88092577205122,"#ffd300"
2.6,6.4,6.88092577205122,"#ffd300"
2,6.4,0.00834551900056967,"#f781bf"
2.2,6.2,0.00834551900056967,"#f781bf"
2.4,6.2,0.00834551900056967,"#f781bf"
3,4.6,0.00834551900056967,"#ffd300"
2.8,4.8,0.00834551900056967,"#ffd300"
2.6,4.8,0.00834551900056967,"#ffd300"
2,6.4,1.09108589716144,"#AAAAAA"
2.2,5.8,1.09108589716144,"#AAAAAA"
2.4,5.8,1.09108589716144,"#AAAAAA"
3,1,1.09108589716144,"#ffd300"
2.8,1.6,1.09108589716144,"#ffd300"
2.6,1.6,1.09108589716144,"#ffd300"
2,6.4,29.1194661044932,"#4daf4a"
2.2,6.3,29.1194661044932,"#4daf4a"
2.4,6.3,29.1194661044932,"#4daf4a"
3,5.5,29.1194661044932,"#ffd300"
2.8,5.6,29.1194661044932,"#ffd300"
2.6,5.6,29.1194661044932,"#ffd300"
2,6.4,0.00703019263634945,"#a65628"
2.2,6.1,0.00703019263634945,"#a65628"
2.4,6.1,0.00703019263634945,"#a65628"
3,3.7,0.00703019263634945,"#ffd300"
2.8,4,0.00703019263634945,"#ffd300"
2.6,4,0.00703019263634945,"#ffd300"
2,6.4,0.000272136489149011,"#377eb8"
2.2,6,0.000272136489149011,"#377eb8"
2.4,6,0.000272136489149011,"#377eb8"
3,2.8,0.000272136489149011,"#ffd300"
2.8,3.2,0.000272136489149011,"#ffd300"
2.6,3.2,0.000272136489149011,"#ffd300"
2,1.9,9.07121630496703e-05,"#ffd300"
2.2,2.4,9.07121630496703e-05,"#ffd300"
2.4,2.4,9.07121630496703e-05,"#ffd300"
3,6.4,9.07121630496703e-05,"#e41a1c"
2.8,5.9,9.07121630496703e-05,"#e41a1c"
2.6,5.9,9.07121630496703e-05,"#e41a1c"
2,1.9,4.53560815248352e-05,"#AAAAAA"
2.2,1.8,4.53560815248352e-05,"#AAAAAA"
2.4,1.8,4.53560815248352e-05,"#AAAAAA"
3,1,4.53560815248352e-05,"#e41a1c"
2.8,1.1,4.53560815248352e-05,"#e41a1c"
2.6,1.1,4.53560815248352e-05,"#e41a1c"
2,1.9,0.000226780407624176,"#4daf4a"
2.2,2.3,0.000226780407624176,"#4daf4a"
2.4,2.3,0.000226780407624176,"#4daf4a"
3,5.5,0.000226780407624176,"#e41a1c"
2.8,5.1,0.000226780407624176,"#e41a1c"
2.6,5.1,0.000226780407624176,"#e41a1c"
2,4.6,0.0217709191319209,"#ffd300"
2.2,4.8,0.0217709191319209,"#ffd300"
2.4,4.8,0.0217709191319209,"#ffd300"
3,6.4,0.0217709191319209,"#f781bf"
2.8,6.2,0.0217709191319209,"#f781bf"
2.6,6.2,0.0217709191319209,"#f781bf"
2,4.6,0.0563776093353701,"#f781bf"
2.2,4.6,0.0563776093353701,"#f781bf"
2.4,4.6,0.0563776093353701,"#f781bf"
3,4.6,0.0563776093353701,"#f781bf"
2.8,4.6,0.0563776093353701,"#f781bf"
2.6,4.6,0.0563776093353701,"#f781bf"
