"X","cropCode","numPixelsWiZone","cropCodeFrom","cropCodeTo","yearFrom","yearTo"
"Brown",1005,508701,1,5,2008,2009
"Brown",1023,5288,1,23,2008,2009
"Brown",1028,234,1,28,2008,2009
"Brown",1036,1715,1,36,2008,2009
"Brown",1037,79,1,37,2008,2009
"Brown",1044,1,1,44,2008,2009
"Brown",1061,83,1,61,2008,2009
"Brown",1111,465,1,111,2008,2009
"Brown",1121,1481,1,121,2008,2009
"Brown",1152,8,1,152,2008,2009
"Brown",1176,9267,1,176,2008,2009
"Brown",1190,13,1,190,2008,2009
"Brown",1195,10932,1,195,2008,2009
"Brown",5005,50682,5,5,2008,2009
"Brown",5023,7581,5,23,2008,2009
"Brown",5024,269,5,24,2008,2009
"Brown",5028,207,5,28,2008,2009
"Brown",5036,1291,5,36,2008,2009
"Brown",5037,54,5,37,2008,2009
"Brown",5059,2,5,59,2008,2009
"Brown",5061,22,5,61,2008,2009
"Brown",5111,74,5,111,2008,2009
"Brown",5121,622,5,121,2008,2009
"Brown",5141,88,5,141,2008,2009
"Brown",5142,2,5,142,2008,2009
"Brown",5152,5,5,152,2008,2009
"Brown",5176,7728,5,176,2008,2009
"Brown",5190,2,5,190,2008,2009
"Brown",5195,6390,5,195,2008,2009
"Brown",6005,2,6,5,2008,2009
"Brown",6176,1,6,176,2008,2009
"Brown",6195,2,6,195,2008,2009
"Brown",21005,23,21,5,2008,2009
"Brown",21023,4,21,23,2008,2009
"Brown",21036,4,21,36,2008,2009
"Brown",21176,3,21,176,2008,2009
"Brown",21195,3,21,195,2008,2009
"Brown",23005,3289,23,5,2008,2009
"Brown",23023,231,23,23,2008,2009
"Brown",23024,27,23,24,2008,2009
"Brown",23028,20,23,28,2008,2009
"Brown",23036,686,23,36,2008,2009
"Brown",23037,2,23,37,2008,2009
"Brown",23061,7,23,61,2008,2009
"Brown",23111,8,23,111,2008,2009
"Brown",23121,26,23,121,2008,2009
"Brown",23131,7,23,131,2008,2009
"Brown",23152,1,23,152,2008,2009
"Brown",23176,444,23,176,2008,2009
"Brown",23195,332,23,195,2008,2009
"Brown",24005,228,24,5,2008,2009
"Brown",24023,16,24,23,2008,2009
"Brown",24028,2,24,28,2008,2009
"Brown",24036,49,24,36,2008,2009
"Brown",24037,3,24,37,2008,2009
"Brown",24111,3,24,111,2008,2009
"Brown",24131,1,24,131,2008,2009
"Brown",24176,69,24,176,2008,2009
"Brown",24195,71,24,195,2008,2009
"Brown",27176,6,27,176,2008,2009
"Brown",27195,7,27,195,2008,2009
"Brown",28005,372,28,5,2008,2009
"Brown",28023,29,28,23,2008,2009
"Brown",28028,1,28,28,2008,2009
"Brown",28036,521,28,36,2008,2009
"Brown",28141,1,28,141,2008,2009
"Brown",28176,117,28,176,2008,2009
"Brown",28195,58,28,195,2008,2009
"Brown",36005,1371,36,5,2008,2009
"Brown",36023,105,36,23,2008,2009
"Brown",36028,1,36,28,2008,2009
"Brown",36036,13984,36,36,2008,2009
"Brown",36037,100,36,37,2008,2009
"Brown",36058,2,36,58,2008,2009
"Brown",36059,1,36,59,2008,2009
"Brown",36061,6,36,61,2008,2009
"Brown",36131,18,36,131,2008,2009
"Brown",36141,19,36,141,2008,2009
"Brown",36152,1,36,152,2008,2009
"Brown",36176,4587,36,176,2008,2009
"Brown",36190,5,36,190,2008,2009
"Brown",36195,2799,36,195,2008,2009
"Brown",37005,52,37,5,2008,2009
"Brown",37023,7,37,23,2008,2009
"Brown",37024,1,37,24,2008,2009
"Brown",37028,1,37,28,2008,2009
"Brown",37036,97,37,36,2008,2009
"Brown",37037,2,37,37,2008,2009
"Brown",37061,1,37,61,2008,2009
"Brown",37141,2,37,141,2008,2009
"Brown",37176,408,37,176,2008,2009
"Brown",37195,285,37,195,2008,2009
"Brown",41005,1322,41,5,2008,2009
"Brown",41023,6,41,23,2008,2009
"Brown",41195,29,41,195,2008,2009
"Brown",42005,127,42,5,2008,2009
"Brown",42023,15,42,23,2008,2009
"Brown",42061,1,42,61,2008,2009
"Brown",42176,43,42,176,2008,2009
"Brown",42195,29,42,195,2008,2009
"Brown",43195,2,43,195,2008,2009
