"xCoords","yCoords","width","colorToUse"
1,6.4,8.72869484924496,"#ffd300"
1.2,6.4,8.72869484924496,"#ffd300"
1.4,6.4,8.72869484924496,"#ffd300"
2,6.4,8.72869484924496,"#ffd300"
1.8,6.4,8.72869484924496,"#ffd300"
1.6,6.4,8.72869484924496,"#ffd300"
1,6.4,0.0015164807760787,"#e41a1c"
1.2,5.9,0.0015164807760787,"#e41a1c"
1.4,5.9,0.0015164807760787,"#e41a1c"
2,1.9,0.0015164807760787,"#ffd300"
1.8,2.4,0.0015164807760787,"#ffd300"
1.6,2.4,0.0015164807760787,"#ffd300"
1,6.4,0.0963246122583319,"#f781bf"
1.2,6.2,0.0963246122583319,"#f781bf"
1.4,6.2,0.0963246122583319,"#f781bf"
2,4.6,0.0963246122583319,"#ffd300"
1.8,4.8,0.0963246122583319,"#ffd300"
1.6,4.8,0.0963246122583319,"#ffd300"
1,6.4,1.96226995829116,"#AAAAAA"
1.2,5.8,1.96226995829116,"#AAAAAA"
1.4,5.8,1.96226995829116,"#AAAAAA"
2,1,1.96226995829116,"#ffd300"
1.8,1.6,1.96226995829116,"#ffd300"
1.6,1.6,1.96226995829116,"#ffd300"
1,6.4,28.5716773063707,"#4daf4a"
1.2,6.3,28.5716773063707,"#4daf4a"
1.4,6.3,28.5716773063707,"#4daf4a"
2,5.5,28.5716773063707,"#ffd300"
1.8,5.6,28.5716773063707,"#ffd300"
1.6,5.6,28.5716773063707,"#ffd300"
1,6.4,0.297005568292746,"#a65628"
1.2,6.1,0.297005568292746,"#a65628"
1.4,6.1,0.297005568292746,"#a65628"
2,3.7,0.297005568292746,"#ffd300"
1.8,4,0.297005568292746,"#ffd300"
1.6,4,0.297005568292746,"#ffd300"
1,6.4,0.0093235484751505,"#377eb8"
1.2,6,0.0093235484751505,"#377eb8"
1.4,6,0.0093235484751505,"#377eb8"
2,2.8,0.0093235484751505,"#ffd300"
1.8,3.2,0.0093235484751505,"#ffd300"
1.6,3.2,0.0093235484751505,"#ffd300"
1,1.9,0.00999753993118547,"#ffd300"
1.2,2.4,0.00999753993118547,"#ffd300"
