"X","cropCode","numPixelsWiZone","cropCodeFrom","cropCodeTo","yearFrom","yearTo"
"Carlton",0,122,0,0,2008,2009
"Carlton",1005,91,1,5,2008,2009
"Carlton",1023,30,1,23,2008,2009
"Carlton",1028,37,1,28,2008,2009
"Carlton",1036,86,1,36,2008,2009
"Carlton",1037,41,1,37,2008,2009
"Carlton",1061,6,1,61,2008,2009
"Carlton",1111,23,1,111,2008,2009
"Carlton",1121,7,1,121,2008,2009
"Carlton",1152,59,1,152,2008,2009
"Carlton",1176,1227,1,176,2008,2009
"Carlton",1190,144,1,190,2008,2009
"Carlton",1195,383,1,195,2008,2009
"Carlton",5005,11,5,5,2008,2009
"Carlton",5023,13,5,23,2008,2009
"Carlton",5028,6,5,28,2008,2009
"Carlton",5036,38,5,36,2008,2009
"Carlton",5037,31,5,37,2008,2009
"Carlton",5044,1,5,44,2008,2009
"Carlton",5061,2,5,61,2008,2009
"Carlton",5111,6,5,111,2008,2009
"Carlton",5121,3,5,121,2008,2009
"Carlton",5141,43,5,141,2008,2009
"Carlton",5142,3,5,142,2008,2009
"Carlton",5152,22,5,152,2008,2009
"Carlton",5176,584,5,176,2008,2009
"Carlton",5190,78,5,190,2008,2009
"Carlton",5195,312,5,195,2008,2009
"Carlton",6176,21,6,176,2008,2009
"Carlton",6195,4,6,195,2008,2009
"Carlton",21037,2,21,37,2008,2009
"Carlton",21176,2,21,176,2008,2009
"Carlton",23023,4,23,23,2008,2009
"Carlton",23028,1,23,28,2008,2009
"Carlton",23036,4,23,36,2008,2009
"Carlton",23037,2,23,37,2008,2009
"Carlton",23111,2,23,111,2008,2009
"Carlton",23131,4,23,131,2008,2009
"Carlton",23141,3,23,141,2008,2009
"Carlton",23142,9,23,142,2008,2009
"Carlton",23152,2,23,152,2008,2009
"Carlton",23176,79,23,176,2008,2009
"Carlton",23190,11,23,190,2008,2009
"Carlton",23195,17,23,195,2008,2009
"Carlton",24037,1,24,37,2008,2009
"Carlton",24176,51,24,176,2008,2009
"Carlton",27176,3,27,176,2008,2009
"Carlton",27195,1,27,195,2008,2009
"Carlton",28023,1,28,23,2008,2009
"Carlton",28036,11,28,36,2008,2009
"Carlton",28037,11,28,37,2008,2009
"Carlton",28058,4,28,58,2008,2009
"Carlton",28141,3,28,141,2008,2009
"Carlton",28176,95,28,176,2008,2009
"Carlton",28190,2,28,190,2008,2009
"Carlton",28195,7,28,195,2008,2009
"Carlton",36005,11,36,5,2008,2009
"Carlton",36023,2,36,23,2008,2009
"Carlton",36028,5,36,28,2008,2009
"Carlton",36031,1,36,31,2008,2009
"Carlton",36036,519,36,36,2008,2009
"Carlton",36037,420,36,37,2008,2009
"Carlton",36058,1,36,58,2008,2009
"Carlton",36131,2,36,131,2008,2009
"Carlton",36141,82,36,141,2008,2009
"Carlton",36142,1,36,142,2008,2009
"Carlton",36152,13,36,152,2008,2009
"Carlton",36176,3013,36,176,2008,2009
"Carlton",36190,35,36,190,2008,2009
"Carlton",36195,123,36,195,2008,2009
"Carlton",37005,8,37,5,2008,2009
"Carlton",37023,4,37,23,2008,2009
"Carlton",37028,3,37,28,2008,2009
"Carlton",37036,338,37,36,2008,2009
"Carlton",37037,973,37,37,2008,2009
"Carlton",37058,1,37,58,2008,2009
"Carlton",37061,3,37,61,2008,2009
"Carlton",37111,1,37,111,2008,2009
"Carlton",37141,176,37,141,2008,2009
