"xCoords","yCoords","width","colorToUse"
1,6.4,0.0357963781367469,"#ffd300"
1.2,6.4,0.0357963781367469,"#ffd300"
1.4,6.4,0.0357963781367469,"#ffd300"
2,6.4,0.0357963781367469,"#ffd300"
1.8,6.4,0.0357963781367469,"#ffd300"
1.6,6.4,0.0357963781367469,"#ffd300"
1,6.4,0.00341295844762776,"#f781bf"
1.2,6.2,0.00341295844762776,"#f781bf"
1.4,6.2,0.00341295844762776,"#f781bf"
2,4.6,0.00341295844762776,"#ffd300"
1.8,4.8,0.00341295844762776,"#ffd300"
1.6,4.8,0.00341295844762776,"#ffd300"
1,6.4,0.0815935182363101,"#AAAAAA"
1.2,5.8,0.0815935182363101,"#AAAAAA"
1.4,5.8,0.0815935182363101,"#AAAAAA"
2,1,0.0815935182363101,"#ffd300"
1.8,1.6,0.0815935182363101,"#ffd300"
1.6,1.6,0.0815935182363101,"#ffd300"
1,6.4,0.0036113862643503,"#4daf4a"
1.2,6.3,0.0036113862643503,"#4daf4a"
1.4,6.3,0.0036113862643503,"#4daf4a"
2,5.5,0.0036113862643503,"#ffd300"
1.8,5.6,0.0036113862643503,"#ffd300"
1.6,5.6,0.0036113862643503,"#ffd300"
1,6.4,0.00119056690033526,"#a65628"
1.2,6.1,0.00119056690033526,"#a65628"
1.4,6.1,0.00119056690033526,"#a65628"
2,3.7,0.00119056690033526,"#ffd300"
1.8,4,0.00119056690033526,"#ffd300"
1.6,4,0.00119056690033526,"#ffd300"
1,4.6,0.0117469267499746,"#ffd300"
1.2,4.8,0.0117469267499746,"#ffd300"
1.4,4.8,0.0117469267499746,"#ffd300"
2,6.4,0.0117469267499746,"#f781bf"
1.8,6.2,0.0117469267499746,"#f781bf"
1.6,6.2,0.0117469267499746,"#f781bf"
1,4.6,0.474163110840191,"#f781bf"
1.2,4.6,0.474163110840191,"#f781bf"
1.4,4.6,0.474163110840191,"#f781bf"
2,4.6,0.474163110840191,"#f781bf"
1.8,4.6,0.474163110840191,"#f781bf"
1.6,4.6,0.474163110840191,"#f781bf"
1,4.6,0.147669981204917,"#AAAAAA"
1.2,4.2,0.147669981204917,"#AAAAAA"
1.4,4.2,0.147669981204917,"#AAAAAA"
2,1,0.147669981204917,"#f781bf"
1.8,1.4,0.147669981204917,"#f781bf"
1.6,1.4,0.147669981204917,"#f781bf"
1,4.6,0.000754025703545667,"#4daf4a"
1.2,4.7,0.000754025703545667,"#4daf4a"
1.4,4.7,0.000754025703545667,"#4daf4a"
2,5.5,0.000754025703545667,"#f781bf"
1.8,5.4,0.000754025703545667,"#f781bf"
1.6,5.4,0.000754025703545667,"#f781bf"
1,4.6,0.000238113380067053,"#a65628"
1.2,4.5,0.000238113380067053,"#a65628"
1.4,4.5,0.000238113380067053,"#a65628"
2,3.7,0.000238113380067053,"#f781bf"
1.8,3.8,0.000238113380067053,"#f781bf"
1.6,3.8,0.000238113380067053,"#f781bf"
1,1,0.134811858681296,"#ffd300"
1.2,1.6,0.134811858681296,"#ffd300"
1.4,1.6,0.134811858681296,"#ffd300"
2,6.4,0.134811858681296,"#AAAAAA"
1.8,5.8,0.134811858681296,"#AAAAAA"
1.6,5.8,0.134811858681296,"#AAAAAA"
1,1,7.93711266890176e-05,"#e41a1c"
1.2,1.1,7.93711266890176e-05,"#e41a1c"
1.4,1.1,7.93711266890176e-05,"#e41a1c"
2,1.9,7.93711266890176e-05,"#AAAAAA"
1.8,1.8,7.93711266890176e-05,"#AAAAAA"
1.6,1.8,7.93711266890176e-05,"#AAAAAA"
1,1,0.140129724169461,"#f781bf"
1.2,1.4,0.140129724169461,"#f781bf"
1.4,1.4,0.140129724169461,"#f781bf"
2,4.6,0.140129724169461,"#AAAAAA"
1.8,4.2,0.140129724169461,"#AAAAAA"
1.6,4.2,0.140129724169461,"#AAAAAA"
1,1,98.8713425784822,"#AAAAAA"
1.2,1,98.8713425784822,"#AAAAAA"
1.4,1,98.8713425784822,"#AAAAAA"
2,1,98.8713425784822,"#AAAAAA"
1.8,1,98.8713425784822,"#AAAAAA"
1.6,1,98.8713425784822,"#AAAAAA"
1,1,0.0217080031494463,"#4daf4a"
1.2,1.5,0.0217080031494463,"#4daf4a"
1.4,1.5,0.0217080031494463,"#4daf4a"
2,5.5,0.0217080031494463,"#AAAAAA"
1.8,5,0.0217080031494463,"#AAAAAA"
1.6,5,0.0217080031494463,"#AAAAAA"
1,1,0.0160726531545261,"#a65628"
1.2,1.3,0.0160726531545261,"#a65628"
1.4,1.3,0.0160726531545261,"#a65628"
2,3.7,0.0160726531545261,"#AAAAAA"
1.8,3.4,0.0160726531545261,"#AAAAAA"
1.6,3.4,0.0160726531545261,"#AAAAAA"
1,5.5,0.00265893274408209,"#ffd300"
1.2,5.6,0.00265893274408209,"#ffd300"
1.4,5.6,0.00265893274408209,"#ffd300"
2,6.4,0.00265893274408209,"#4daf4a"
1.8,6.3,0.00265893274408209,"#4daf4a"
1.6,6.3,0.00265893274408209,"#4daf4a"
1,5.5,0.00150805140709133,"#f781bf"
1.2,5.4,0.00150805140709133,"#f781bf"
1.4,5.4,0.00150805140709133,"#f781bf"
2,4.6,0.00150805140709133,"#4daf4a"
1.8,4.7,0.00150805140709133,"#4daf4a"
1.6,4.7,0.00150805140709133,"#4daf4a"
1,5.5,0.0441700320024383,"#AAAAAA"
1.2,5,0.0441700320024383,"#AAAAAA"
1.4,5,0.0441700320024383,"#AAAAAA"
2,1,0.0441700320024383,"#4daf4a"
1.8,1.5,0.0441700320024383,"#4daf4a"
1.6,1.5,0.0441700320024383,"#4daf4a"
1,5.5,0.000436541196789597,"#4daf4a"
1.2,5.5,0.000436541196789597,"#4daf4a"
1.4,5.5,0.000436541196789597,"#4daf4a"
2,5.5,0.000436541196789597,"#4daf4a"
1.8,5.5,0.000436541196789597,"#4daf4a"
1.6,5.5,0.000436541196789597,"#4daf4a"
1,5.5,0.000515912323478614,"#a65628"
1.2,5.3,0.000515912323478614,"#a65628"
1.4,5.3,0.000515912323478614,"#a65628"
2,3.7,0.000515912323478614,"#4daf4a"
1.8,3.9,0.000515912323478614,"#4daf4a"
1.6,3.9,0.000515912323478614,"#4daf4a"
1,3.7,0.000873082393579193,"#ffd300"
1.2,4,0.000873082393579193,"#ffd300"
1.4,4,0.000873082393579193,"#ffd300"
2,6.4,0.000873082393579193,"#a65628"
1.8,6.1,0.000873082393579193,"#a65628"
1.6,6.1,0.000873082393579193,"#a65628"
1,3.7,0.000158742253378035,"#f781bf"
1.2,3.8,0.000158742253378035,"#f781bf"
1.4,3.8,0.000158742253378035,"#f781bf"
2,4.6,0.000158742253378035,"#a65628"
1.8,4.5,0.000158742253378035,"#a65628"
1.6,4.5,0.000158742253378035,"#a65628"
1,3.7,0.00519880879813065,"#AAAAAA"
1.2,3.4,0.00519880879813065,"#AAAAAA"
1.4,3.4,0.00519880879813065,"#AAAAAA"
2,1,0.00519880879813065,"#a65628"
1.8,1.3,0.00519880879813065,"#a65628"
1.6,1.3,0.00519880879813065,"#a65628"
1,3.7,0.000158742253378035,"#a65628"
1.2,3.7,0.000158742253378035,"#a65628"
1.4,3.7,0.000158742253378035,"#a65628"
2,3.7,0.000158742253378035,"#a65628"
1.8,3.7,0.000158742253378035,"#a65628"
1.6,3.7,0.000158742253378035,"#a65628"
2,6.4,0.0456383978461851,"#ffd300"
2.2,6.4,0.0456383978461851,"#ffd300"
2.4,6.4,0.0456383978461851,"#ffd300"
3,6.4,0.0456383978461851,"#ffd300"
2.8,6.4,0.0456383978461851,"#ffd300"
2.6,6.4,0.0456383978461851,"#ffd300"
2,6.4,0.00607189119170984,"#f781bf"
2.2,6.2,0.00607189119170984,"#f781bf"
2.4,6.2,0.00607189119170984,"#f781bf"
3,4.6,0.00607189119170984,"#ffd300"
2.8,4.8,0.00607189119170984,"#ffd300"
2.6,4.8,0.00607189119170984,"#ffd300"
2,6.4,0.131875126993803,"#AAAAAA"
2.2,5.8,0.131875126993803,"#AAAAAA"
2.4,5.8,0.131875126993803,"#AAAAAA"
3,1,0.131875126993803,"#ffd300"
2.8,1.6,0.131875126993803,"#ffd300"
2.6,1.6,0.131875126993803,"#ffd300"
2,6.4,0.00206364929391446,"#4daf4a"
2.2,6.3,0.00206364929391446,"#4daf4a"
2.4,6.3,0.00206364929391446,"#4daf4a"
3,5.5,0.00206364929391446,"#ffd300"
