"yearFrom","yearTo","cropRotate","cropFrom","cropTo","plottingColorFrom","plottingColorTo","plotXAxisFrom","plotXAxisTo","plotYAxisFrom","plotYAxisTo","xEndFrom","xEndTo","yEndFrom_streamlined","yEndTo_streamlined","totalNumPixels_cropTransition","totalPercPixelsWiArea_cropTransition","totalNumPixels_cropYearFrom","totalPercPixelsWiArea_cropYearFrom","totalNumPixels_cropYearTo","totalPercPixelsWiArea_cropYearTo"
2008,2009,"corn_corn","corn","corn","#ffd300","#ffd300",1,2,6.4,6.4,1.2,1.8,6.4,6.4,902,0.0357963781367469,3165,0.12560480798537,4684,0.185887178705679
2008,2009,"corn_hay","corn","hay","#ffd300","#f781bf",1,2,6.4,4.6,1.2,1.8,6.2,4.8,86,0.00341295844762776,3165,0.12560480798537,15607,0.619372587117749
2008,2009,"corn_other","corn","other","#ffd300","#AAAAAA",1,2,6.4,1,1.2,1.8,5.8,1.6,2056,0.0815935182363101,3165,0.12560480798537,2498389,99.149974918724
2008,2009,"corn_soy","corn","soy","#ffd300","#4daf4a",1,2,6.4,5.5,1.2,1.8,6.3,5.6,91,0.0036113862643503,3165,0.12560480798537,668,0.0265099563141319
2008,2009,"corn_springWheat","corn","springWheat","#ffd300","#a65628",1,2,6.4,3.7,1.2,1.8,6.1,4,30,0.00119056690033526,3165,0.12560480798537,458,0.018175988011785
2008,2009,"hay_corn","hay","corn","#f781bf","#ffd300",1,2,4.6,6.4,1.2,1.8,4.8,6.2,296,0.0117469267499746,15990,0.634572157878696,4684,0.185887178705679
2008,2009,"hay_hay","hay","hay","#f781bf","#f781bf",1,2,4.6,4.6,1.2,1.8,4.6,4.6,11948,0.474163110840191,15990,0.634572157878696,15607,0.619372587117749
2008,2009,"hay_other","hay","other","#f781bf","#AAAAAA",1,2,4.6,1,1.2,1.8,4.2,1.4,3721,0.147669981204917,15990,0.634572157878696,2498389,99.149974918724
2008,2009,"hay_soy","hay","soy","#f781bf","#4daf4a",1,2,4.6,5.5,1.2,1.8,4.7,5.4,19,0.000754025703545667,15990,0.634572157878696,668,0.0265099563141319
2008,2009,"hay_springWheat","hay","springWheat","#f781bf","#a65628",1,2,4.6,3.7,1.2,1.8,4.5,3.8,6,0.000238113380067053,15990,0.634572157878696,458,0.018175988011785
2008,2009,"other_corn","other","corn","#AAAAAA","#ffd300",1,2,1,6.4,1.2,1.8,1.6,5.8,3397,0.134811858681296,2499250,99.1841441887636,4684,0.185887178705679
2008,2009,"other_dryBeans","other","dryBeans","#AAAAAA","#e41a1c",1,2,1,1.9,1.2,1.8,1.1,1.8,2,7.93711266890176e-05,2499250,99.1841441887636,2,7.93711266890176e-05
2008,2009,"other_hay","other","hay","#AAAAAA","#f781bf",1,2,1,4.6,1.2,1.8,1.4,4.2,3531,0.140129724169461,2499250,99.1841441887636,15607,0.619372587117749
2008,2009,"other_other","other","other","#AAAAAA","#AAAAAA",1,2,1,1,1.2,1.8,1,1,2491368,98.8713425784822,2499250,99.1841441887636,2498389,99.149974918724
2008,2009,"other_soy","other","soy","#AAAAAA","#4daf4a",1,2,1,5.5,1.2,1.8,1.5,5,547,0.0217080031494463,2499250,99.1841441887636,668,0.0265099563141319
2008,2009,"other_springWheat","other","springWheat","#AAAAAA","#a65628",1,2,1,3.7,1.2,1.8,1.3,3.4,405,0.0160726531545261,2499250,99.1841441887636,458,0.018175988011785
2008,2009,"soy_corn","soy","corn","#4daf4a","#ffd300",1,2,5.5,6.4,1.2,1.8,5.6,6.3,67,0.00265893274408209,1242,0.0492894696738799,4684,0.185887178705679
2008,2009,"soy_hay","soy","hay","#4daf4a","#f781bf",1,2,5.5,4.6,1.2,1.8,5.4,4.7,38,0.00150805140709133,1242,0.0492894696738799,15607,0.619372587117749
2008,2009,"soy_other","soy","other","#4daf4a","#AAAAAA",1,2,5.5,1,1.2,1.8,5,1.5,1113,0.0441700320024383,1242,0.0492894696738799,2498389,99.149974918724
2008,2009,"soy_soy","soy","soy","#4daf4a","#4daf4a",1,2,5.5,5.5,1.2,1.8,5.5,5.5,11,0.000436541196789597,1242,0.0492894696738799,668,0.0265099563141319
2008,2009,"soy_springWheat","soy","springWheat","#4daf4a","#a65628",1,2,5.5,3.7,1.2,1.8,5.3,3.9,13,0.000515912323478614,1242,0.0492894696738799,458,0.018175988011785
2008,2009,"springWheat_corn","springWheat","corn","#a65628","#ffd300",1,2,3.7,6.4,1.2,1.8,4,6.1,22,0.000873082393579193,161,0.00638937569846592,4684,0.185887178705679
2008,2009,"springWheat_hay","springWheat","hay","#a65628","#f781bf",1,2,3.7,4.6,1.2,1.8,3.8,4.5,4,0.000158742253378035,161,0.00638937569846592,15607,0.619372587117749
