"X","cropCode","numPixelsWiZone","cropCodeFrom","cropCodeTo","yearFrom","yearTo"
"Carver",1005,133048,1,5,2008,2009
"Carver",1023,1949,1,23,2008,2009
"Carver",1028,231,1,28,2008,2009
"Carver",1036,1288,1,36,2008,2009
"Carver",1037,30,1,37,2008,2009
"Carver",1059,2,1,59,2008,2009
"Carver",1061,4,1,61,2008,2009
"Carver",1111,119,1,111,2008,2009
"Carver",1121,292,1,121,2008,2009
"Carver",1152,41,1,152,2008,2009
"Carver",1176,15728,1,176,2008,2009
"Carver",1190,8,1,190,2008,2009
"Carver",1195,1878,1,195,2008,2009
"Carver",5005,18333,5,5,2008,2009
"Carver",5023,2267,5,23,2008,2009
"Carver",5024,404,5,24,2008,2009
"Carver",5028,97,5,28,2008,2009
"Carver",5036,1709,5,36,2008,2009
"Carver",5037,27,5,37,2008,2009
"Carver",5043,4,5,43,2008,2009
"Carver",5059,1,5,59,2008,2009
"Carver",5061,26,5,61,2008,2009
"Carver",5111,137,5,111,2008,2009
"Carver",5121,256,5,121,2008,2009
"Carver",5141,481,5,141,2008,2009
"Carver",5152,10,5,152,2008,2009
"Carver",5176,12414,5,176,2008,2009
"Carver",5190,1,5,190,2008,2009
"Carver",5195,687,5,195,2008,2009
"Carver",6195,1,6,195,2008,2009
"Carver",21005,1,21,5,2008,2009
"Carver",21036,8,21,36,2008,2009
"Carver",21176,12,21,176,2008,2009
"Carver",23005,1713,23,5,2008,2009
"Carver",23023,86,23,23,2008,2009
"Carver",23024,198,23,24,2008,2009
"Carver",23028,4,23,28,2008,2009
"Carver",23036,274,23,36,2008,2009
"Carver",23037,4,23,37,2008,2009
"Carver",23061,2,23,61,2008,2009
"Carver",23111,6,23,111,2008,2009
"Carver",23121,8,23,121,2008,2009
"Carver",23131,8,23,131,2008,2009
"Carver",23141,1,23,141,2008,2009
"Carver",23176,634,23,176,2008,2009
"Carver",23195,27,23,195,2008,2009
"Carver",24005,472,24,5,2008,2009
"Carver",24023,20,24,23,2008,2009
"Carver",24036,172,24,36,2008,2009
"Carver",24037,1,24,37,2008,2009
"Carver",24111,3,24,111,2008,2009
"Carver",24131,1,24,131,2008,2009
"Carver",24152,1,24,152,2008,2009
"Carver",24176,335,24,176,2008,2009
"Carver",24195,11,24,195,2008,2009
"Carver",27176,116,27,176,2008,2009
"Carver",27195,2,27,195,2008,2009
"Carver",28005,49,28,5,2008,2009
"Carver",28023,4,28,23,2008,2009
"Carver",28036,213,28,36,2008,2009
"Carver",28141,6,28,141,2008,2009
"Carver",28176,156,28,176,2008,2009
"Carver",28195,3,28,195,2008,2009
"Carver",36005,865,36,5,2008,2009
"Carver",36023,79,36,23,2008,2009
"Carver",36028,7,36,28,2008,2009
"Carver",36036,13359,36,36,2008,2009
"Carver",36037,33,36,37,2008,2009
"Carver",36059,1,36,59,2008,2009
