"yearFrom","yearTo","cropRotate","cropFrom","cropTo","plottingColorFrom","plottingColorTo","plotXAxisFrom","plotXAxisTo","plotYAxisFrom","plotYAxisTo","xEndFrom","xEndTo","yEndFrom_streamlined","yEndTo_streamlined","totalNumPixels_cropTransition","totalPercPixelsWiArea_cropTransition","totalNumPixels_cropYearFrom","totalPercPixelsWiArea_cropYearFrom","totalNumPixels_cropYearTo","totalPercPixelsWiArea_cropYearTo"
2008,2009,"corn_corn","corn","corn","#ffd300","#ffd300",1,2,6.4,6.4,1.2,1.8,6.4,6.4,82816,7.65415804816012,239138,22.1020098449685,248949,23.0087783994809
2008,2009,"corn_dryBeans","corn","dryBeans","#ffd300","#e41a1c",1,2,6.4,1.9,1.2,1.8,5.9,2.4,9,0.000831812964082316,239138,22.1020098449685,21,0.00194089691619207
2008,2009,"corn_hay","corn","hay","#ffd300","#f781bf",1,2,6.4,4.6,1.2,1.8,6.2,4.8,1288,0.119041677526447,239138,22.1020098449685,26448,2.4444210304499
2008,2009,"corn_other","corn","other","#ffd300","#AAAAAA",1,2,6.4,1,1.2,1.8,5.8,1.6,19990,1.8475490168895,239138,22.1020098449685,634092,58.6051051134316
2008,2009,"corn_soy","corn","soy","#ffd300","#4daf4a",1,2,6.4,5.5,1.2,1.8,6.3,5.6,133048,12.2967834716916,239138,22.1020098449685,166933,15.4285592814615
2008,2009,"corn_springWheat","corn","springWheat","#ffd300","#a65628",1,2,6.4,3.7,1.2,1.8,6.1,4,1949,0.180133718555159,239138,22.1020098449685,5358,0.495205984617006
2008,2009,"corn_sugarbeets","corn","sugarbeets","#ffd300","#377eb8",1,2,6.4,2.8,1.2,1.8,6,3.2,38,0.00351209918168089,239138,22.1020098449685,173,0.0159892936429156
2008,2009,"dryBeans_corn","dryBeans","corn","#e41a1c","#ffd300",1,2,1.9,6.4,1.2,1.8,2.4,5.9,6,0.000554541976054878,42,0.00388179383238414,248949,23.0087783994809
2008,2009,"dryBeans_dryBeans","dryBeans","dryBeans","#e41a1c","#e41a1c",1,2,1.9,1.9,1.2,1.8,1.9,1.9,1,9.24236626758129e-05,42,0.00388179383238414,21,0.00194089691619207
2008,2009,"dryBeans_other","dryBeans","other","#e41a1c","#AAAAAA",1,2,1.9,1,1.2,1.8,1.8,1.1,29,0.00268028621759857,42,0.00388179383238414,634092,58.6051051134316
2008,2009,"dryBeans_soy","dryBeans","soy","#e41a1c","#4daf4a",1,2,1.9,5.5,1.2,1.8,2.3,5.1,5,0.000462118313379065,42,0.00388179383238414,166933,15.4285592814615
2008,2009,"dryBeans_springWheat","dryBeans","springWheat","#e41a1c","#a65628",1,2,1.9,3.7,1.2,1.8,2.1,3.5,1,9.24236626758129e-05,42,0.00388179383238414,5358,0.495205984617006
2008,2009,"hay_corn","hay","corn","#f781bf","#ffd300",1,2,4.6,6.4,1.2,1.8,4.8,6.2,5928,0.547887472342219,33044,3.05404750945956,248949,23.0087783994809
2008,2009,"hay_hay","hay","hay","#f781bf","#f781bf",1,2,4.6,4.6,1.2,1.8,4.6,4.6,13969,1.29106614391843,33044,3.05404750945956,26448,2.4444210304499
2008,2009,"hay_other","hay","other","#f781bf","#AAAAAA",1,2,4.6,1,1.2,1.8,4.2,1.4,12172,1.12498082208999,33044,3.05404750945956,634092,58.6051051134316
2008,2009,"hay_soy","hay","soy","#f781bf","#4daf4a",1,2,4.6,5.5,1.2,1.8,4.7,5.4,891,0.0823494834441493,33044,3.05404750945956,166933,15.4285592814615
2008,2009,"hay_springWheat","hay","springWheat","#f781bf","#a65628",1,2,4.6,3.7,1.2,1.8,4.5,3.8,80,0.00739389301406503,33044,3.05404750945956,5358,0.495205984617006
2008,2009,"hay_sugarbeets","hay","sugarbeets","#f781bf","#377eb8",1,2,4.6,2.8,1.2,1.8,4.4,3,4,0.000369694650703252,33044,3.05404750945956,173,0.0159892936429156
2008,2009,"other_corn","other","corn","#AAAAAA","#ffd300",1,2,1,6.4,1.2,1.8,1.6,5.8,18883,1.74523602230738,627947,58.0371617062887,248949,23.0087783994809
2008,2009,"other_dryBeans","other","dryBeans","#AAAAAA","#e41a1c",1,2,1,1.9,1.2,1.8,1.1,1.8,4,0.000369694650703252,627947,58.0371617062887,21,0.00194089691619207
2008,2009,"other_hay","other","hay","#AAAAAA","#f781bf",1,2,1,4.6,1.2,1.8,1.4,4.2,9201,0.850390120280155,627947,58.0371617062887,26448,2.4444210304499
2008,2009,"other_other","other","other","#AAAAAA","#AAAAAA",1,2,1,1,1.2,1.8,1,1,585850,54.146402778625,627947,58.0371617062887,634092,58.6051051134316
2008,2009,"other_soy","other","soy","#AAAAAA","#4daf4a",1,2,1,5.5,1.2,1.8,1.5,5,12933,1.19531522938629,627947,58.0371617062887,166933,15.4285592814615
2008,2009,"other_springWheat","other","springWheat","#AAAAAA","#a65628",1,2,1,3.7,1.2,1.8,1.3,3.4,975,0.0901130711089176,627947,58.0371617062887,5358,0.495205984617006
2008,2009,"other_sugarbeets","other","sugarbeets","#AAAAAA","#377eb8",1,2,1,2.8,1.2,1.8,1.2,2.6,101,0.0093347899302571,627947,58.0371617062887,173,0.0159892936429156
2008,2009,"soy_corn","soy","corn","#4daf4a","#ffd300",1,2,5.5,6.4,1.2,1.8,5.6,6.3,139285,12.8732298558006,176733,16.3343111756844,248949,23.0087783994809
2008,2009,"soy_dryBeans","soy","dryBeans","#4daf4a","#e41a1c",1,2,5.5,1.9,1.2,1.8,5.1,2.3,5,0.000462118313379065,176733,16.3343111756844,21,0.00194089691619207
2008,2009,"soy_hay","soy","hay","#4daf4a","#f781bf",1,2,5.5,4.6,1.2,1.8,5.4,4.7,1709,0.157952039512964,176733,16.3343111756844,26448,2.4444210304499
2008,2009,"soy_other","soy","other","#4daf4a","#AAAAAA",1,2,5.5,1,1.2,1.8,5,1.5,15105,1.39605942471815,176733,16.3343111756844,634092,58.6051051134316
2008,2009,"soy_soy","soy","soy","#4daf4a","#4daf4a",1,2,5.5,5.5,1.2,1.8,5.5,5.5,18333,1.69440300783568,176733,16.3343111756844,166933,15.4285592814615
2008,2009,"soy_springWheat","soy","springWheat","#4daf4a","#a65628",1,2,5.5,3.7,1.2,1.8,5.3,3.9,2267,0.209524443286068,176733,16.3343111756844,5358,0.495205984617006
2008,2009,"soy_sugarbeets","soy","sugarbeets","#4daf4a","#377eb8",1,2,5.5,2.8,1.2,1.8,5.2,3.1,29,0.00268028621759857,176733,16.3343111756844,173,0.0159892936429156
2008,2009,"springWheat_corn","springWheat","corn","#a65628","#ffd300",1,2,3.7,6.4,1.2,1.8,4,6.1,2015,0.186233680291763,5014,0.463412244656526,248949,23.0087783994809
2008,2009,"springWheat_dryBeans","springWheat","dryBeans","#a65628","#e41a1c",1,2,3.7,1.9,1.2,1.8,3.5,2.1,2,0.000184847325351626,5014,0.463412244656526,21,0.00194089691619207
2008,2009,"springWheat_hay","springWheat","hay","#a65628","#f781bf",1,2,3.7,4.6,1.2,1.8,3.8,4.5,274,0.0253240835731727,5014,0.463412244656526,26448,2.4444210304499
2008,2009,"springWheat_other","springWheat","other","#a65628","#AAAAAA",1,2,3.7,1,1.2,1.8,3.4,1.3,924,0.0853994643124511,5014,0.463412244656526,634092,58.6051051134316
2008,2009,"springWheat_soy","springWheat","soy","#a65628","#4daf4a",1,2,3.7,5.5,1.2,1.8,3.9,5.3,1713,0.158321734163668,5014,0.463412244656526,166933,15.4285592814615
2008,2009,"springWheat_springWheat","springWheat","springWheat","#a65628","#a65628",1,2,3.7,3.7,1.2,1.8,3.7,3.7,86,0.00794843499011991,5014,0.463412244656526,5358,0.495205984617006
2008,2009,"sugarbeets_corn","sugarbeets","corn","#377eb8","#ffd300",1,2,2.8,6.4,1.2,1.8,3.2,6,16,0.00147877860281301,56,0.00517572510984552,248949,23.0087783994809
2008,2009,"sugarbeets_hay","sugarbeets","hay","#377eb8","#f781bf",1,2,2.8,4.6,1.2,1.8,3,4.4,7,0.00064696563873069,56,0.00517572510984552,26448,2.4444210304499
2008,2009,"sugarbeets_other","sugarbeets","other","#377eb8","#AAAAAA",1,2,2.8,1,1.2,1.8,2.6,1.2,22,0.00203332057886788,56,0.00517572510984552,634092,58.6051051134316
2008,2009,"sugarbeets_soy","sugarbeets","soy","#377eb8","#4daf4a",1,2,2.8,5.5,1.2,1.8,3.1,5.2,10,0.000924236626758129,56,0.00517572510984552,166933,15.4285592814615
2008,2009,"sugarbeets_sugarbeets","sugarbeets","sugarbeets","#377eb8","#377eb8",1,2,2.8,2.8,1.2,1.8,2.8,2.8,1,9.24236626758129e-05,56,0.00517572510984552,173,0.0159892936429156
2009,2010,"corn_corn","corn","corn","#ffd300","#ffd300",2,3,6.4,6.4,2.2,2.8,6.4,6.4,80905,7.47753642878664,248949,23.0087783994809,234573,21.6800958248535
2009,2010,"corn_hay","corn","hay","#ffd300","#f781bf",2,3,6.4,4.6,2.2,2.8,6.2,4.8,1543,0.142609711508779,248949,23.0087783994809,18105,1.67333041274559
2009,2010,"corn_other","corn","other","#ffd300","#AAAAAA",2,3,6.4,1,2.2,2.8,5.8,1.6,25994,2.40246068759508,248949,23.0087783994809,652512,60.30754897992
2009,2010,"corn_soy","corn","soy","#ffd300","#4daf4a",2,3,6.4,5.5,2.2,2.8,6.3,5.6,139666,12.9084432712801,248949,23.0087783994809,173763,16.0598128975373
2009,2010,"corn_springWheat","corn","springWheat","#ffd300","#a65628",2,3,6.4,3.7,2.2,2.8,6.1,4,825,0.0762495217075456,248949,23.0087783994809,2981,0.275514938436598
2009,2010,"corn_sugarbeets","corn","sugarbeets","#ffd300","#377eb8",2,3,6.4,2.8,2.2,2.8,6,3.2,16,0.00147877860281301,248949,23.0087783994809,37,0.00341967551900508
2009,2010,"dryBeans_corn","dryBeans","corn","#e41a1c","#ffd300",2,3,1.9,6.4,2.2,2.8,2.4,5.9,5,0.000462118313379065,21,0.00194089691619207,234573,21.6800958248535
2009,2010,"dryBeans_hay","dryBeans","hay","#e41a1c","#f781bf",2,3,1.9,4.6,2.2,2.8,2.2,4.3,1,9.24236626758129e-05,21,0.00194089691619207,18105,1.67333041274559
2009,2010,"dryBeans_other","dryBeans","other","#e41a1c","#AAAAAA",2,3,1.9,1,2.2,2.8,1.8,1.1,12,0.00110908395210976,21,0.00194089691619207,652512,60.30754897992
2009,2010,"dryBeans_soy","dryBeans","soy","#e41a1c","#4daf4a",2,3,1.9,5.5,2.2,2.8,2.3,5.1,3,0.000277270988027439,21,0.00194089691619207,173763,16.0598128975373
2009,2010,"hay_corn","hay","corn","#f781bf","#ffd300",2,3,4.6,6.4,2.2,2.8,4.8,6.2,5608,0.518311900285959,26695,2.46724967513083,234573,21.6800958248535
2009,2010,"hay_hay","hay","hay","#f781bf","#f781bf",2,3,4.6,4.6,2.2,2.8,4.6,4.6,8145,0.752790732494496,26695,2.46724967513083,18105,1.67333041274559
2009,2010,"hay_other","hay","other","#f781bf","#AAAAAA",2,3,4.6,1,2.2,2.8,4.2,1.4,12028,1.11167181466468,26695,2.46724967513083,652512,60.30754897992
2009,2010,"hay_soy","hay","soy","#f781bf","#4daf4a",2,3,4.6,5.5,2.2,2.8,4.7,5.4,859,0.0793919262385233,26695,2.46724967513083,173763,16.0598128975373
2009,2010,"hay_springWheat","hay","springWheat","#f781bf","#a65628",2,3,4.6,3.7,2.2,2.8,4.5,3.8,54,0.0049908777844939,26695,2.46724967513083,2981,0.275514938436598
2009,2010,"hay_sugarbeets","hay","sugarbeets","#f781bf","#377eb8",2,3,4.6,2.8,2.2,2.8,4.4,3,1,9.24236626758129e-05,26695,2.46724967513083,37,0.00341967551900508
2009,2010,"other_corn","other","corn","#AAAAAA","#ffd300",2,3,1,6.4,2.2,2.8,1.6,5.8,17893,1.65373659625832,633845,58.5822764687506,234573,21.6800958248535
2009,2010,"other_dryBeans","other","dryBeans","#AAAAAA","#e41a1c",2,3,1,1.9,2.2,2.8,1.1,1.8,3,0.000277270988027439,633845,58.5822764687506,3,0.000277270988027439
2009,2010,"other_hay","other","hay","#AAAAAA","#f781bf",2,3,1,4.6,2.2,2.8,1.4,4.2,7068,0.653250447792646,633845,58.5822764687506,18105,1.67333041274559
2009,2010,"other_other","other","other","#AAAAAA","#AAAAAA",2,3,1,1,2.2,2.8,1,1,595947,55.0796045006627,633845,58.5822764687506,652512,60.30754897992
2009,2010,"other_soy","other","soy","#AAAAAA","#4daf4a",2,3,1,5.5,2.2,2.8,1.5,5,12298,1.13662620358715,633845,58.5822764687506,173763,16.0598128975373
2009,2010,"other_springWheat","other","springWheat","#AAAAAA","#a65628",2,3,1,3.7,2.2,2.8,1.3,3.4,619,0.0572102471963282,633845,58.5822764687506,2981,0.275514938436598
2009,2010,"other_sugarbeets","other","sugarbeets","#AAAAAA","#377eb8",2,3,1,2.8,2.2,2.8,1.2,2.6,17,0.00157120226548882,633845,58.5822764687506,37,0.00341967551900508
2009,2010,"soy_corn","soy","corn","#4daf4a","#ffd300",2,3,5.5,6.4,2.2,2.8,5.6,6.3,128540,11.880137600349,166933,15.4285592814615,234573,21.6800958248535
2009,2010,"soy_hay","soy","hay","#4daf4a","#f781bf",2,3,5.5,4.6,2.2,2.8,5.4,4.7,1006,0.0929782046518678,166933,15.4285592814615,18105,1.67333041274559
2009,2010,"soy_other","soy","other","#4daf4a","#AAAAAA",2,3,5.5,1,2.2,2.8,5,1.5,16379,1.51380717096714,166933,15.4285592814615,652512,60.30754897992
2009,2010,"soy_soy","soy","soy","#4daf4a","#4daf4a",2,3,5.5,5.5,2.2,2.8,5.5,5.5,19610,1.81242802507269,166933,15.4285592814615,173763,16.0598128975373
2009,2010,"soy_springWheat","soy","springWheat","#4daf4a","#a65628",2,3,5.5,3.7,2.2,2.8,5.3,3.9,1395,0.128931009432759,166933,15.4285592814615,2981,0.275514938436598
2009,2010,"soy_sugarbeets","soy","sugarbeets","#4daf4a","#377eb8",2,3,5.5,2.8,2.2,2.8,5.2,3.1,3,0.000277270988027439,166933,15.4285592814615,37,0.00341967551900508
2009,2010,"springWheat_corn","springWheat","corn","#a65628","#ffd300",2,3,3.7,6.4,2.2,2.8,4,6.1,1608,0.148617249582707,5358,0.495205984617006,234573,21.6800958248535
2009,2010,"springWheat_hay","springWheat","hay","#a65628","#f781bf",2,3,3.7,4.6,2.2,2.8,3.8,4.5,341,0.0315164689724522,5358,0.495205984617006,18105,1.67333041274559
2009,2010,"springWheat_other","springWheat","other","#a65628","#AAAAAA",2,3,3.7,1,2.2,2.8,3.4,1.3,2035,0.188082153545279,5358,0.495205984617006,652512,60.30754897992
2009,2010,"springWheat_soy","springWheat","soy","#a65628","#4daf4a",2,3,3.7,5.5,2.2,2.8,3.9,5.3,1286,0.118856830201095,5358,0.495205984617006,173763,16.0598128975373
2009,2010,"springWheat_springWheat","springWheat","springWheat","#a65628","#a65628",2,3,3.7,3.7,2.2,2.8,3.7,3.7,88,0.00813328231547154,5358,0.495205984617006,2981,0.275514938436598
2009,2010,"sugarbeets_corn","sugarbeets","corn","#377eb8","#ffd300",2,3,2.8,6.4,2.2,2.8,3.2,6,14,0.00129393127746138,173,0.0159892936429156,234573,21.6800958248535
2009,2010,"sugarbeets_hay","sugarbeets","hay","#377eb8","#f781bf",2,3,2.8,4.6,2.2,2.8,3,4.4,1,9.24236626758129e-05,173,0.0159892936429156,18105,1.67333041274559
2009,2010,"sugarbeets_other","sugarbeets","other","#377eb8","#AAAAAA",2,3,2.8,1,2.2,2.8,2.6,1.2,117,0.0108135685330701,173,0.0159892936429156,652512,60.30754897992
2009,2010,"sugarbeets_soy","sugarbeets","soy","#377eb8","#4daf4a",2,3,2.8,5.5,2.2,2.8,3.1,5.2,41,0.00378937016970833,173,0.0159892936429156,173763,16.0598128975373
2010,2011,"corn_corn","corn","corn","#ffd300","#ffd300",3,4,6.4,6.4,3.2,3.8,6.4,6.4,91346,8.44253189078481,234573,21.6800958248535,276959,25.5975651910305
2010,2011,"corn_dryBeans","corn","dryBeans","#ffd300","#e41a1c",3,4,6.4,1.9,3.2,3.8,5.9,2.4,87,0.00804085865279572,234573,21.6800958248535,304,0.0280967934534471
2010,2011,"corn_hay","corn","hay","#ffd300","#f781bf",3,4,6.4,4.6,3.2,3.8,6.2,4.8,2877,0.265902877518314,234573,21.6800958248535,83318,7.70055472682338
2010,2011,"corn_other","corn","other","#ffd300","#AAAAAA",3,4,6.4,1,3.2,3.8,5.8,1.6,7382,0.682271477872851,234573,21.6800958248535,532467,49.2125503940021
2010,2011,"corn_soy","corn","soy","#ffd300","#4daf4a",3,4,6.4,5.5,3.2,3.8,6.3,5.6,131506,12.1542661838455,234573,21.6800958248535,182962,16.9100181704921
2010,2011,"corn_springWheat","corn","springWheat","#ffd300","#a65628",3,4,6.4,3.7,3.2,3.8,6.1,4,1339,0.123755284322913,234573,21.6800958248535,5867,0.542249628918994
