"xCoords","yCoords","width","colorToUse"
1,6.4,0.194933850469714,"#ffd300"
1.2,6.4,0.194933850469714,"#ffd300"
1.4,6.4,0.194933850469714,"#ffd300"
2,6.4,0.194933850469714,"#ffd300"
1.8,6.4,0.194933850469714,"#ffd300"
1.6,6.4,0.194933850469714,"#ffd300"
1,6.4,0.0101058683280215,"#e41a1c"
1.2,5.9,0.0101058683280215,"#e41a1c"
1.4,5.9,0.0101058683280215,"#e41a1c"
2,1.9,0.0101058683280215,"#ffd300"
1.8,2.4,0.0101058683280215,"#ffd300"
1.6,2.4,0.0101058683280215,"#ffd300"
1,6.4,0.00380049749087989,"#f781bf"
1.2,6.2,0.00380049749087989,"#f781bf"
1.4,6.2,0.00380049749087989,"#f781bf"
2,4.6,0.00380049749087989,"#ffd300"
1.8,4.8,0.00380049749087989,"#ffd300"
1.6,4.8,0.00380049749087989,"#ffd300"
1,6.4,0.122566044080876,"#AAAAAA"
1.2,5.8,0.122566044080876,"#AAAAAA"
1.4,5.8,0.122566044080876,"#AAAAAA"
2,1,0.122566044080876,"#ffd300"
1.8,1.6,0.122566044080876,"#ffd300"
1.6,1.6,0.122566044080876,"#ffd300"
1,6.4,0.0779389902106958,"#4daf4a"
1.2,6.3,0.0779389902106958,"#4daf4a"
1.4,6.3,0.0779389902106958,"#4daf4a"
2,5.5,0.0779389902106958,"#ffd300"
1.8,5.6,0.0779389902106958,"#ffd300"
1.6,5.6,0.0779389902106958,"#ffd300"
1,6.4,0.00987553514675607,"#a65628"
1.2,6.1,0.00987553514675607,"#a65628"
1.4,6.1,0.00987553514675607,"#a65628"
2,3.7,0.00987553514675607,"#ffd300"
1.8,4,0.00987553514675607,"#ffd300"
1.6,4,0.00987553514675607,"#ffd300"
1,6.4,0.000158354062119995,"#377eb8"
1.2,6,0.000158354062119995,"#377eb8"
1.4,6,0.000158354062119995,"#377eb8"
2,2.8,0.000158354062119995,"#ffd300"
1.8,3.2,0.000158354062119995,"#ffd300"
1.6,3.2,0.000158354062119995,"#ffd300"
1,1.9,0.0155474897354177,"#ffd300"
1.2,2.4,0.0155474897354177,"#ffd300"
1.4,2.4,0.0155474897354177,"#ffd300"
2,6.4,0.0155474897354177,"#e41a1c"
1.8,5.9,0.0155474897354177,"#e41a1c"
1.6,5.9,0.0155474897354177,"#e41a1c"
1,1.9,0.000115166590632724,"#e41a1c"
1.2,1.9,0.000115166590632724,"#e41a1c"
1.4,1.9,0.000115166590632724,"#e41a1c"
2,1.9,0.000115166590632724,"#e41a1c"
1.8,1.9,0.000115166590632724,"#e41a1c"
1.6,1.9,0.000115166590632724,"#e41a1c"
1,1.9,0.000158354062119995,"#f781bf"
1.2,2.2,0.000158354062119995,"#f781bf"
1.4,2.2,0.000158354062119995,"#f781bf"
2,4.6,0.000158354062119995,"#e41a1c"
1.8,4.3,0.000158354062119995,"#e41a1c"
1.6,4.3,0.000158354062119995,"#e41a1c"
1,1.9,0.00427555967723987,"#AAAAAA"
1.2,1.8,0.00427555967723987,"#AAAAAA"
1.4,1.8,0.00427555967723987,"#AAAAAA"
2,1,0.00427555967723987,"#e41a1c"
1.8,1.1,0.00427555967723987,"#e41a1c"
1.6,1.1,0.00427555967723987,"#e41a1c"
1,1.9,0.00103649931569451,"#4daf4a"
1.2,2.3,0.00103649931569451,"#4daf4a"
1.4,2.3,0.00103649931569451,"#4daf4a"
2,5.5,0.00103649931569451,"#e41a1c"
1.8,5.1,0.00103649931569451,"#e41a1c"
1.6,5.1,0.00103649931569451,"#e41a1c"
1,1.9,0.000244729005094538,"#a65628"
1.2,2.1,0.000244729005094538,"#a65628"
1.4,2.1,0.000244729005094538,"#a65628"
2,3.7,0.000244729005094538,"#e41a1c"
1.8,3.5,0.000244729005094538,"#e41a1c"
1.6,3.5,0.000244729005094538,"#e41a1c"
1,4.6,0.012884262327036,"#ffd300"
1.2,4.8,0.012884262327036,"#ffd300"
1.4,4.8,0.012884262327036,"#ffd300"
