"X","cropCode","numPixelsWiZone","cropCodeFrom","cropCodeTo","yearFrom","yearTo"
"Chippewa",1005,367088,1,5,2008,2009
"Chippewa",1023,10335,1,23,2008,2009
"Chippewa",1028,254,1,28,2008,2009
"Chippewa",1036,659,1,36,2008,2009
"Chippewa",1037,84,1,37,2008,2009
"Chippewa",1043,66,1,43,2008,2009
"Chippewa",1059,36,1,59,2008,2009
"Chippewa",1061,23,1,61,2008,2009
"Chippewa",1111,185,1,111,2008,2009
"Chippewa",1121,973,1,121,2008,2009
"Chippewa",1152,4,1,152,2008,2009
"Chippewa",1176,8349,1,176,2008,2009
"Chippewa",1190,19,1,190,2008,2009
"Chippewa",1195,12343,1,195,2008,2009
"Chippewa",5005,17892,5,5,2008,2009
"Chippewa",5023,11875,5,23,2008,2009
"Chippewa",5024,23,5,24,2008,2009
"Chippewa",5028,413,5,28,2008,2009
"Chippewa",5031,1,5,31,2008,2009
"Chippewa",5036,594,5,36,2008,2009
"Chippewa",5037,101,5,37,2008,2009
"Chippewa",5043,6,5,43,2008,2009
"Chippewa",5059,10,5,59,2008,2009
"Chippewa",5061,9,5,61,2008,2009
"Chippewa",5111,36,5,111,2008,2009
"Chippewa",5121,239,5,121,2008,2009
"Chippewa",5141,10,5,141,2008,2009
"Chippewa",5152,2,5,152,2008,2009
"Chippewa",5176,5392,5,176,2008,2009
"Chippewa",5190,1,5,190,2008,2009
"Chippewa",5195,5230,5,195,2008,2009
"Chippewa",6005,176,6,5,2008,2009
"Chippewa",6023,14,6,23,2008,2009
"Chippewa",6131,1,6,131,2008,2009
"Chippewa",6176,8,6,176,2008,2009
"Chippewa",6195,8,6,195,2008,2009
"Chippewa",21036,1,21,36,2008,2009
"Chippewa",21195,1,21,195,2008,2009
"Chippewa",23005,6745,23,5,2008,2009
"Chippewa",23023,733,23,23,2008,2009
"Chippewa",23024,9,23,24,2008,2009
"Chippewa",23028,2,23,28,2008,2009
"Chippewa",23036,421,23,36,2008,2009
"Chippewa",23037,19,23,37,2008,2009
"Chippewa",23043,2,23,43,2008,2009
"Chippewa",23059,2,23,59,2008,2009
"Chippewa",23061,1,23,61,2008,2009
"Chippewa",23111,8,23,111,2008,2009
"Chippewa",23121,1,23,121,2008,2009
"Chippewa",23131,20,23,131,2008,2009
"Chippewa",23141,7,23,141,2008,2009
"Chippewa",23152,1,23,152,2008,2009
"Chippewa",23176,810,23,176,2008,2009
"Chippewa",23195,635,23,195,2008,2009
"Chippewa",24005,5,24,5,2008,2009
"Chippewa",24023,2,24,23,2008,2009
"Chippewa",24037,1,24,37,2008,2009
"Chippewa",24176,20,24,176,2008,2009
"Chippewa",24195,3,24,195,2008,2009
"Chippewa",27176,2,27,176,2008,2009
"Chippewa",28005,47,28,5,2008,2009
"Chippewa",28023,6,28,23,2008,2009
"Chippewa",28036,59,28,36,2008,2009
"Chippewa",28176,35,28,176,2008,2009
"Chippewa",28195,14,28,195,2008,2009
"Chippewa",31005,25,31,5,2008,2009
"Chippewa",31023,2,31,23,2008,2009
"Chippewa",31031,1,31,31,2008,2009
"Chippewa",31111,1,31,111,2008,2009
"Chippewa",31176,11,31,176,2008,2009
"Chippewa",31195,9,31,195,2008,2009
"Chippewa",36005,471,36,5,2008,2009
"Chippewa",36006,1,36,6,2008,2009
"Chippewa",36023,98,36,23,2008,2009
"Chippewa",36028,1,36,28,2008,2009
"Chippewa",36036,3902,36,36,2008,2009
"Chippewa",36037,72,36,37,2008,2009
"Chippewa",36131,1,36,131,2008,2009
"Chippewa",36141,4,36,141,2008,2009
"Chippewa",36176,1080,36,176,2008,2009
"Chippewa",36190,2,36,190,2008,2009
"Chippewa",36195,649,36,195,2008,2009
"Chippewa",37005,48,37,5,2008,2009
"Chippewa",37023,8,37,23,2008,2009
"Chippewa",37036,87,37,36,2008,2009
"Chippewa",37037,30,37,37,2008,2009
"Chippewa",37061,1,37,61,2008,2009
"Chippewa",37111,2,37,111,2008,2009
"Chippewa",37141,4,37,141,2008,2009
"Chippewa",37176,762,37,176,2008,2009
"Chippewa",37195,170,37,195,2008,2009
"Chippewa",41005,49684,41,5,2008,2009
"Chippewa",41023,2236,41,23,2008,2009
"Chippewa",41195,462,41,195,2008,2009
"Chippewa",42005,898,42,5,2008,2009
"Chippewa",42023,436,42,23,2008,2009
"Chippewa",42059,2,42,59,2008,2009
"Chippewa",42061,4,42,61,2008,2009
"Chippewa",42141,1,42,141,2008,2009
"Chippewa",42176,271,42,176,2008,2009
"Chippewa",42190,1,42,190,2008,2009
"Chippewa",42195,136,42,195,2008,2009
"Chippewa",43176,1,43,176,2008,2009
"Chippewa",43195,2,43,195,2008,2009
"Chippewa",44111,1,44,111,2008,2009
"Chippewa",44190,1,44,190,2008,2009
"Chippewa",44195,1,44,195,2008,2009
"Chippewa",58176,1,58,176,2008,2009
"Chippewa",61005,22,61,5,2008,2009
"Chippewa",61023,2,61,23,2008,2009
"Chippewa",61036,1,61,36,2008,2009
"Chippewa",61061,1,61,61,2008,2009
"Chippewa",61111,2,61,111,2008,2009
"Chippewa",61176,28,61,176,2008,2009
"Chippewa",61195,24,61,195,2008,2009
"Chippewa",111005,9,111,5,2008,2009
"Chippewa",111023,9,111,23,2008,2009
"Chippewa",111044,1,111,44,2008,2009
"Chippewa",111061,3,111,61,2008,2009
"Chippewa",111111,19370,111,111,2008,2009
"Chippewa",111141,4,111,141,2008,2009
"Chippewa",111176,85,111,176,2008,2009
"Chippewa",111190,1,111,190,2008,2009
"Chippewa",111195,1932,111,195,2008,2009
"Chippewa",121005,638,121,5,2008,2009
"Chippewa",121023,8,121,23,2008,2009
"Chippewa",121036,19,121,36,2008,2009
"Chippewa",121041,36,121,41,2008,2009
"Chippewa",121061,3,121,61,2008,2009
"Chippewa",121121,71736,121,121,2008,2009
"Chippewa",121122,1190,121,122,2008,2009
"Chippewa",121123,53,121,123,2008,2009
"Chippewa",121176,6,121,176,2008,2009
"Chippewa",122023,2,122,23,2008,2009
"Chippewa",122121,1035,122,121,2008,2009
"Chippewa",122122,9786,122,122,2008,2009
"Chippewa",122123,468,122,123,2008,2009
"Chippewa",122176,26,122,176,2008,2009
"Chippewa",123001,29,123,1,2008,2009
"Chippewa",123005,5,123,5,2008,2009
"Chippewa",123023,2,123,23,2008,2009
"Chippewa",123061,1,123,61,2008,2009
"Chippewa",123121,48,123,121,2008,2009
"Chippewa",123122,350,123,122,2008,2009
"Chippewa",123123,2799,123,123,2008,2009
"Chippewa",123124,39,123,124,2008,2009
"Chippewa",123176,18,123,176,2008,2009
"Chippewa",123195,3,123,195,2008,2009
"Chippewa",124122,11,124,122,2008,2009
"Chippewa",124123,155,124,123,2008,2009
"Chippewa",124124,613,124,124,2008,2009
"Chippewa",124176,1,124,176,2008,2009
"Chippewa",131005,47,131,5,2008,2009
"Chippewa",131023,15,131,23,2008,2009
"Chippewa",131059,1,131,59,2008,2009
"Chippewa",131061,1,131,61,2008,2009
"Chippewa",131111,5,131,111,2008,2009
"Chippewa",131176,176,131,176,2008,2009
"Chippewa",131195,30,131,195,2008,2009
"Chippewa",141005,286,141,5,2008,2009
"Chippewa",141023,3,141,23,2008,2009
"Chippewa",141028,2,141,28,2008,2009
"Chippewa",141036,2,141,36,2008,2009
"Chippewa",141043,4,141,43,2008,2009
"Chippewa",141131,23,141,131,2008,2009
"Chippewa",141141,16427,141,141,2008,2009
"Chippewa",141142,11,141,142,2008,2009
"Chippewa",141152,4,141,152,2008,2009
"Chippewa",141176,118,141,176,2008,2009
"Chippewa",141190,5188,141,190,2008,2009
"Chippewa",141195,37,141,195,2008,2009
"Chippewa",142141,14,142,141,2008,2009
"Chippewa",142176,1,142,176,2008,2009
"Chippewa",142190,2,142,190,2008,2009
"Chippewa",152005,2,152,5,2008,2009
"Chippewa",152141,5,152,141,2008,2009
"Chippewa",152176,16,152,176,2008,2009
"Chippewa",152190,5,152,190,2008,2009
"Chippewa",152195,11,152,195,2008,2009
"Chippewa",176001,4067,176,1,2008,2009
"Chippewa",176005,4403,176,5,2008,2009
"Chippewa",176006,3,176,6,2008,2009
"Chippewa",176021,4,176,21,2008,2009
"Chippewa",176023,585,176,23,2008,2009
"Chippewa",176024,16,176,24,2008,2009
"Chippewa",176027,11,176,27,2008,2009
"Chippewa",176028,16,176,28,2008,2009
"Chippewa",176032,2,176,32,2008,2009
"Chippewa",176036,2067,176,36,2008,2009
