"xCoords","yCoords","width","colorToUse"
1,6.4,8.97416116448264,"#ffd300"
1.2,6.4,8.97416116448264,"#ffd300"
1.4,6.4,8.97416116448264,"#ffd300"
2,6.4,8.97416116448264,"#ffd300"
1.8,6.4,8.97416116448264,"#ffd300"
1.6,6.4,8.97416116448264,"#ffd300"
1,6.4,0.717604210449154,"#e41a1c"
1.2,5.9,0.717604210449154,"#e41a1c"
1.4,5.9,0.717604210449154,"#e41a1c"
2,1.9,0.717604210449154,"#ffd300"
1.8,2.4,0.717604210449154,"#ffd300"
1.6,2.4,0.717604210449154,"#ffd300"
1,6.4,0.0389571772539742,"#f781bf"
1.2,6.2,0.0389571772539742,"#f781bf"
1.4,6.2,0.0389571772539742,"#f781bf"
2,4.6,0.0389571772539742,"#ffd300"
1.8,4.8,0.0389571772539742,"#ffd300"
1.6,4.8,0.0389571772539742,"#ffd300"
1,6.4,1.74036312345524,"#AAAAAA"
1.2,5.8,1.74036312345524,"#AAAAAA"
1.4,5.8,1.74036312345524,"#AAAAAA"
2,1,1.74036312345524,"#ffd300"
1.8,1.6,1.74036312345524,"#ffd300"
1.6,1.6,1.74036312345524,"#ffd300"
1,6.4,21.7006256203443,"#4daf4a"
1.2,6.3,21.7006256203443,"#4daf4a"
1.4,6.3,21.7006256203443,"#4daf4a"
2,5.5,21.7006256203443,"#ffd300"
1.8,5.6,21.7006256203443,"#ffd300"
1.6,5.6,21.7006256203443,"#ffd300"
1,6.4,0.61095967666134,"#a65628"
1.2,6.1,0.61095967666134,"#a65628"
1.4,6.1,0.61095967666134,"#a65628"
2,3.7,0.61095967666134,"#ffd300"
1.8,4,0.61095967666134,"#ffd300"
1.6,4,0.61095967666134,"#ffd300"
1,6.4,7.00111905821763,"#377eb8"
1.2,6,7.00111905821763,"#377eb8"
1.4,6,7.00111905821763,"#377eb8"
2,2.8,7.00111905821763,"#ffd300"
1.8,3.2,7.00111905821763,"#ffd300"
1.6,3.2,7.00111905821763,"#ffd300"
1,1.9,1.03162625228999,"#ffd300"
1.2,2.4,1.03162625228999,"#ffd300"
1.4,2.4,1.03162625228999,"#ffd300"
2,6.4,1.03162625228999,"#e41a1c"
1.8,5.9,1.03162625228999,"#e41a1c"
1.6,5.9,1.03162625228999,"#e41a1c"
1,1.9,0.00171435226155577,"#e41a1c"
1.2,1.9,0.00171435226155577,"#e41a1c"
1.4,1.9,0.00171435226155577,"#e41a1c"
2,1.9,0.00171435226155577,"#e41a1c"
1.8,1.9,0.00171435226155577,"#e41a1c"
1.6,1.9,0.00171435226155577,"#e41a1c"
1,1.9,0.00124142749974728,"#f781bf"
