"X","cropCode","numPixelsWiZone","cropCodeFrom","cropCodeTo","yearFrom","yearTo"
"Chisago",0,283,0,0,2008,2009
"Chisago",1005,53369,1,5,2008,2009
"Chisago",1023,483,1,23,2008,2009
"Chisago",1028,102,1,28,2008,2009
"Chisago",1036,604,1,36,2008,2009
"Chisago",1037,42,1,37,2008,2009
"Chisago",1059,1,1,59,2008,2009
"Chisago",1061,154,1,61,2008,2009
"Chisago",1111,22,1,111,2008,2009
"Chisago",1121,181,1,121,2008,2009
"Chisago",1152,32,1,152,2008,2009
"Chisago",1176,10975,1,176,2008,2009
"Chisago",1190,6,1,190,2008,2009
"Chisago",1195,1189,1,195,2008,2009
"Chisago",5005,26967,5,5,2008,2009
"Chisago",5023,2606,5,23,2008,2009
"Chisago",5024,192,5,24,2008,2009
"Chisago",5028,177,5,28,2008,2009
"Chisago",5036,478,5,36,2008,2009
"Chisago",5037,39,5,37,2008,2009
"Chisago",5059,47,5,59,2008,2009
"Chisago",5061,780,5,61,2008,2009
"Chisago",5111,62,5,111,2008,2009
"Chisago",5121,235,5,121,2008,2009
"Chisago",5141,65,5,141,2008,2009
"Chisago",5142,4,5,142,2008,2009
"Chisago",5152,168,5,152,2008,2009
"Chisago",5176,13215,5,176,2008,2009
"Chisago",5190,22,5,190,2008,2009
"Chisago",5195,752,5,195,2008,2009
"Chisago",21005,2,21,5,2008,2009
"Chisago",21176,2,21,176,2008,2009
"Chisago",23005,949,23,5,2008,2009
"Chisago",23023,21,23,23,2008,2009
"Chisago",23024,72,23,24,2008,2009
"Chisago",23028,8,23,28,2008,2009
"Chisago",23036,52,23,36,2008,2009
"Chisago",23037,6,23,37,2008,2009
"Chisago",23059,2,23,59,2008,2009
"Chisago",23061,5,23,61,2008,2009
"Chisago",23111,1,23,111,2008,2009
"Chisago",23121,4,23,121,2008,2009
"Chisago",23131,1,23,131,2008,2009
"Chisago",23141,12,23,141,2008,2009
"Chisago",23152,4,23,152,2008,2009
"Chisago",23176,598,23,176,2008,2009
"Chisago",23195,32,23,195,2008,2009
"Chisago",24005,53,24,5,2008,2009
"Chisago",24023,181,24,23,2008,2009
"Chisago",24028,3,24,28,2008,2009
"Chisago",24036,8,24,36,2008,2009
"Chisago",24059,3,24,59,2008,2009
"Chisago",24061,13,24,61,2008,2009
"Chisago",24176,150,24,176,2008,2009
"Chisago",24195,12,24,195,2008,2009
"Chisago",27176,536,27,176,2008,2009
"Chisago",27195,30,27,195,2008,2009
"Chisago",28005,136,28,5,2008,2009
"Chisago",28023,3,28,23,2008,2009
"Chisago",28028,1,28,28,2008,2009
"Chisago",28036,41,28,36,2008,2009
"Chisago",28037,1,28,37,2008,2009
"Chisago",28059,1,28,59,2008,2009
"Chisago",28061,3,28,61,2008,2009
"Chisago",28141,3,28,141,2008,2009
"Chisago",28176,247,28,176,2008,2009
"Chisago",28195,10,28,195,2008,2009
"Chisago",36005,309,36,5,2008,2009
"Chisago",36023,17,36,23,2008,2009
"Chisago",36036,5718,36,36,2008,2009
"Chisago",36037,790,36,37,2008,2009
"Chisago",36058,2,36,58,2008,2009
"Chisago",36059,8,36,59,2008,2009
"Chisago",36061,8,36,61,2008,2009
"Chisago",36141,16,36,141,2008,2009
"Chisago",36152,9,36,152,2008,2009
"Chisago",36176,7499,36,176,2008,2009
"Chisago",36190,7,36,190,2008,2009
"Chisago",36195,72,36,195,2008,2009
"Chisago",37005,207,37,5,2008,2009
"Chisago",37023,5,37,23,2008,2009
"Chisago",37024,7,37,24,2008,2009
"Chisago",37028,1,37,28,2008,2009
"Chisago",37036,227,37,36,2008,2009
"Chisago",37037,246,37,37,2008,2009
"Chisago",37058,2,37,58,2008,2009
"Chisago",37059,5,37,59,2008,2009
"Chisago",37061,4,37,61,2008,2009
"Chisago",37111,7,37,111,2008,2009
"Chisago",37141,1,37,141,2008,2009
"Chisago",37152,5,37,152,2008,2009
"Chisago",37176,2487,37,176,2008,2009
"Chisago",37195,66,37,195,2008,2009
"Chisago",42176,1,42,176,2008,2009
"Chisago",42195,1,42,195,2008,2009
"Chisago",44005,1,44,5,2008,2009
"Chisago",58036,3,58,36,2008,2009
"Chisago",58176,2,58,176,2008,2009
"Chisago",59005,23,59,5,2008,2009
"Chisago",59036,14,59,36,2008,2009
"Chisago",59037,3,59,37,2008,2009
"Chisago",59059,48,59,59,2008,2009
"Chisago",59061,2,59,61,2008,2009
"Chisago",59111,8,59,111,2008,2009
"Chisago",59131,1,59,131,2008,2009
"Chisago",59176,180,59,176,2008,2009
"Chisago",59195,6,59,195,2008,2009
"Chisago",61005,208,61,5,2008,2009
"Chisago",61023,15,61,23,2008,2009
"Chisago",61024,13,61,24,2008,2009
"Chisago",61028,2,61,28,2008,2009
"Chisago",61036,43,61,36,2008,2009
"Chisago",61037,2,61,37,2008,2009
"Chisago",61059,5,61,59,2008,2009
"Chisago",61061,28,61,61,2008,2009
"Chisago",61111,4,61,111,2008,2009
"Chisago",61152,10,61,152,2008,2009
"Chisago",61176,544,61,176,2008,2009
"Chisago",61195,44,61,195,2008,2009
"Chisago",111005,20,111,5,2008,2009
"Chisago",111023,9,111,23,2008,2009
"Chisago",111028,2,111,28,2008,2009
"Chisago",111037,4,111,37,2008,2009
"Chisago",111044,33,111,44,2008,2009
"Chisago",111061,4,111,61,2008,2009
"Chisago",111111,68441,111,111,2008,2009
"Chisago",111141,1065,111,141,2008,2009
"Chisago",111142,30,111,142,2008,2009
"Chisago",111152,12,111,152,2008,2009
"Chisago",111176,688,111,176,2008,2009
"Chisago",111190,297,111,190,2008,2009
"Chisago",111195,2019,111,195,2008,2009
"Chisago",121005,136,121,5,2008,2009
"Chisago",121023,22,121,23,2008,2009
"Chisago",121036,12,121,36,2008,2009
"Chisago",121059,1,121,59,2008,2009
"Chisago",121061,8,121,61,2008,2009
"Chisago",121121,68846,121,121,2008,2009
"Chisago",121122,2769,121,122,2008,2009
"Chisago",121123,278,121,123,2008,2009
"Chisago",121176,719,121,176,2008,2009
"Chisago",121195,27,121,195,2008,2009
"Chisago",122023,14,122,23,2008,2009
"Chisago",122061,2,122,61,2008,2009
"Chisago",122121,2888,122,121,2008,2009
"Chisago",122122,14223,122,122,2008,2009
"Chisago",122123,921,122,123,2008,2009
"Chisago",122176,262,122,176,2008,2009
"Chisago",123001,12,123,1,2008,2009
"Chisago",123005,25,123,5,2008,2009
"Chisago",123023,43,123,23,2008,2009
"Chisago",123028,2,123,28,2008,2009
"Chisago",123061,6,123,61,2008,2009
"Chisago",123121,321,123,121,2008,2009
"Chisago",123122,684,123,122,2008,2009
"Chisago",123123,4637,123,123,2008,2009
"Chisago",123124,78,123,124,2008,2009
"Chisago",123176,167,123,176,2008,2009
"Chisago",123195,55,123,195,2008,2009
"Chisago",124023,2,124,23,2008,2009
"Chisago",124061,1,124,61,2008,2009
"Chisago",124122,29,124,122,2008,2009
"Chisago",124123,94,124,123,2008,2009
"Chisago",124124,1968,124,124,2008,2009
"Chisago",124176,12,124,176,2008,2009
"Chisago",131005,31,131,5,2008,2009
"Chisago",131023,12,131,23,2008,2009
"Chisago",131028,1,131,28,2008,2009
"Chisago",131111,1,131,111,2008,2009
"Chisago",131176,43,131,176,2008,2009
"Chisago",131195,23,131,195,2008,2009
"Chisago",141005,329,141,5,2008,2009
"Chisago",141023,9,141,23,2008,2009
"Chisago",141024,2,141,24,2008,2009
"Chisago",141036,78,141,36,2008,2009
"Chisago",141037,11,141,37,2008,2009
"Chisago",141058,1,141,58,2008,2009
"Chisago",141059,25,141,59,2008,2009
"Chisago",141061,37,141,61,2008,2009
"Chisago",141111,551,141,111,2008,2009
"Chisago",141121,54,141,121,2008,2009
"Chisago",141131,2,141,131,2008,2009
"Chisago",141141,276633,141,141,2008,2009
"Chisago",141142,2313,141,142,2008,2009
"Chisago",141152,600,141,152,2008,2009
"Chisago",141176,6738,141,176,2008,2009
"Chisago",141190,11061,141,190,2008,2009
"Chisago",141195,14613,141,195,2008,2009
"Chisago",142005,6,142,5,2008,2009
"Chisago",142036,3,142,36,2008,2009
"Chisago",142059,3,142,59,2008,2009
"Chisago",142061,3,142,61,2008,2009
"Chisago",142141,3189,142,141,2008,2009
"Chisago",142142,5626,142,142,2008,2009
"Chisago",142152,19,142,152,2008,2009
"Chisago",142176,139,142,176,2008,2009
"Chisago",142190,586,142,190,2008,2009
"Chisago",142195,189,142,195,2008,2009
"Chisago",143190,40,143,190,2008,2009
"Chisago",152005,49,152,5,2008,2009
"Chisago",152023,1,152,23,2008,2009
"Chisago",152037,4,152,37,2008,2009
"Chisago",152059,4,152,59,2008,2009
"Chisago",152061,5,152,61,2008,2009
"Chisago",152141,714,152,141,2008,2009
"Chisago",152142,28,152,142,2008,2009
"Chisago",152152,28,152,152,2008,2009
"Chisago",152176,813,152,176,2008,2009
"Chisago",152190,45,152,190,2008,2009
"Chisago",152195,365,152,195,2008,2009
"Chisago",176001,18695,176,1,2008,2009
"Chisago",176005,17810,176,5,2008,2009
"Chisago",176021,107,176,21,2008,2009
"Chisago",176023,1329,176,23,2008,2009
"Chisago",176024,301,176,24,2008,2009
"Chisago",176027,2634,176,27,2008,2009
"Chisago",176028,132,176,28,2008,2009
"Chisago",176031,1,176,31,2008,2009
"Chisago",176036,8537,176,36,2008,2009
"Chisago",176037,2243,176,37,2008,2009
"Chisago",176053,11,176,53,2008,2009
"Chisago",176058,12,176,58,2008,2009
"Chisago",176059,524,176,59,2008,2009
"Chisago",176061,685,176,61,2008,2009
"Chisago",176111,409,176,111,2008,2009
"Chisago",176121,915,176,121,2008,2009
"Chisago",176131,56,176,131,2008,2009
"Chisago",176141,6936,176,141,2008,2009
"Chisago",176142,253,176,142,2008,2009
"Chisago",176152,1448,176,152,2008,2009
"Chisago",176176,330897,176,176,2008,2009
"Chisago",176190,311,176,190,2008,2009
"Chisago",176195,40163,176,195,2008,2009
"Chisago",190005,35,190,5,2008,2009
"Chisago",190036,11,190,36,2008,2009
"Chisago",190037,2,190,37,2008,2009
"Chisago",190059,1,190,59,2008,2009
"Chisago",190061,9,190,61,2008,2009
"Chisago",190111,175,190,111,2008,2009
"Chisago",190141,14204,190,141,2008,2009
"Chisago",190142,607,190,142,2008,2009
"Chisago",190143,111,190,143,2008,2009
"Chisago",190152,87,190,152,2008,2009
"Chisago",190176,351,190,176,2008,2009
"Chisago",190190,11025,190,190,2008,2009
"Chisago",190195,2634,190,195,2008,2009
"Chisago",195001,1171,195,1,2008,2009
"Chisago",195005,669,195,5,2008,2009
"Chisago",195021,1,195,21,2008,2009
"Chisago",195023,81,195,23,2008,2009
"Chisago",195024,12,195,24,2008,2009
"Chisago",195027,53,195,27,2008,2009
"Chisago",195028,10,195,28,2008,2009
