"yearFrom","yearTo","cropRotate","cropFrom","cropTo","plottingColorFrom","plottingColorTo","plotXAxisFrom","plotXAxisTo","plotYAxisFrom","plotYAxisTo","xEndFrom","xEndTo","yEndFrom_streamlined","yEndTo_streamlined","totalNumPixels_cropTransition","totalPercPixelsWiArea_cropTransition","totalNumPixels_cropYearFrom","totalPercPixelsWiArea_cropYearFrom","totalNumPixels_cropYearTo","totalPercPixelsWiArea_cropYearTo"
2008,2009,"corn_corn","corn","corn","#ffd300","#ffd300",1,2,6.4,6.4,1.2,1.8,6.4,6.4,26202,2.05898623884932,93911,7.37964493842372,103811,8.15759943672951
2008,2009,"corn_dryBeans","corn","dryBeans","#ffd300","#e41a1c",1,2,6.4,1.9,1.2,1.8,5.9,2.4,65,0.00510778205958346,93911,7.37964493842372,91,0.00715089488341684
2008,2009,"corn_hay","corn","hay","#ffd300","#f781bf",1,2,6.4,4.6,1.2,1.8,6.2,4.8,604,0.0474630825228986,93911,7.37964493842372,18905,1.48557876671423
2008,2009,"corn_other","corn","other","#ffd300","#AAAAAA",1,2,6.4,1,1.2,1.8,5.8,1.6,13188,1.03632968925826,93911,7.37964493842372,1043215,81.9771517121285
2008,2009,"corn_soy","corn","soy","#ffd300","#4daf4a",1,2,6.4,5.5,1.2,1.8,6.3,5.6,53369,4.19380339596784,93911,7.37964493842372,101598,7.98369910291631
2008,2009,"corn_springWheat","corn","springWheat","#ffd300","#a65628",1,2,6.4,3.7,1.2,1.8,6.1,4,483,0.0379547497658278,93911,7.37964493842372,4948,0.388820086627984
2008,2009,"dryBeans_other","dryBeans","other","#e41a1c","#AAAAAA",1,2,1.9,1,1.2,1.8,1.8,1.1,3,0.00023574378736539,3,0.00023574378736539,1043215,81.9771517121285
2008,2009,"hay_corn","hay","corn","#f781bf","#ffd300",1,2,4.6,6.4,1.2,1.8,4.8,6.2,1164,0.0914685894977714,19014,1.49414412432184,103811,8.15759943672951
2008,2009,"hay_hay","hay","hay","#f781bf","#f781bf",1,2,4.6,4.6,1.2,1.8,4.6,4.6,8817,0.692850991066882,19014,1.49414412432184,18905,1.48557876671423
2008,2009,"hay_other","hay","other","#f781bf","#AAAAAA",1,2,4.6,1,1.2,1.8,4.2,1.4,8495,0.66754782455633,19014,1.49414412432184,1043215,81.9771517121285
2008,2009,"hay_soy","hay","soy","#f781bf","#4daf4a",1,2,4.6,5.5,1.2,1.8,4.7,5.4,516,0.0405479314268471,19014,1.49414412432184,101598,7.98369910291631
2008,2009,"hay_springWheat","hay","springWheat","#f781bf","#a65628",1,2,4.6,3.7,1.2,1.8,4.5,3.8,22,0.00172878777401286,19014,1.49414412432184,4948,0.388820086627984
2008,2009,"other_corn","other","corn","#AAAAAA","#ffd300",1,2,1,6.4,1.2,1.8,1.6,5.8,21296,1.67346656524445,1054782,82.886101174947,103811,8.15759943672951
2008,2009,"other_dryBeans","other","dryBeans","#AAAAAA","#e41a1c",1,2,1,1.9,1.2,1.8,1.1,1.8,19,0.00149304398664747,1054782,82.886101174947,91,0.00715089488341684
2008,2009,"other_hay","other","hay","#AAAAAA","#f781bf",1,2,1,4.6,1.2,1.8,1.4,4.2,8954,0.703616624023235,1054782,82.886101174947,18905,1.48557876671423
2008,2009,"other_other","other","other","#AAAAAA","#AAAAAA",1,2,1,1,1.2,1.8,1,1,1002900,78.80914811625,1054782,82.886101174947,1043215,81.9771517121285
2008,2009,"other_soy","other","soy","#AAAAAA","#4daf4a",1,2,1,5.5,1.2,1.8,1.5,5,19797,1.55567325282421,1054782,82.886101174947,101598,7.98369910291631
2008,2009,"other_springWheat","other","springWheat","#AAAAAA","#a65628",1,2,1,3.7,1.2,1.8,1.3,3.4,1816,0.142703572618516,1054782,82.886101174947,4948,0.388820086627984
2008,2009,"soy_corn","soy","corn","#4daf4a","#ffd300",1,2,5.5,6.4,1.2,1.8,5.6,6.3,54172,4.25690414971931,102012,8.01623174557273,103811,8.15759943672951
2008,2009,"soy_dryBeans","soy","dryBeans","#4daf4a","#e41a1c",1,2,5.5,1.9,1.2,1.8,5.1,2.3,7,0.000550068837185911,102012,8.01623174557273,91,0.00715089488341684
2008,2009,"soy_hay","soy","hay","#4daf4a","#f781bf",1,2,5.5,4.6,1.2,1.8,5.4,4.7,478,0.0375618434535522,102012,8.01623174557273,18905,1.48557876671423
2008,2009,"soy_other","soy","other","#4daf4a","#AAAAAA",1,2,5.5,1,1.2,1.8,5,1.5,17782,1.39733200897712,102012,8.01623174557273,1043215,81.9771517121285
2008,2009,"soy_soy","soy","soy","#4daf4a","#4daf4a",1,2,5.5,5.5,1.2,1.8,5.5,5.5,26967,2.11910090462749,102012,8.01623174557273,101598,7.98369910291631
2008,2009,"soy_springWheat","soy","springWheat","#4daf4a","#a65628",1,2,5.5,3.7,1.2,1.8,5.3,3.9,2606,0.204782769958069,102012,8.01623174557273,4948,0.388820086627984
2008,2009,"springWheat_corn","springWheat","corn","#a65628","#ffd300",1,2,3.7,6.4,1.2,1.8,4,6.1,977,0.0767738934186621,2846,0.2236422729473,103811,8.15759943672951
2008,2009,"springWheat_hay","springWheat","hay","#a65628","#f781bf",1,2,3.7,4.6,1.2,1.8,3.8,4.5,52,0.00408622564766677,2846,0.2236422729473,18905,1.48557876671423
2008,2009,"springWheat_other","springWheat","other","#a65628","#AAAAAA",1,2,3.7,1,1.2,1.8,3.4,1.3,847,0.0665583292994952,2846,0.2236422729473,1043215,81.9771517121285
2008,2009,"springWheat_soy","springWheat","soy","#a65628","#4daf4a",1,2,3.7,5.5,1.2,1.8,3.9,5.3,949,0.0745736180699185,2846,0.2236422729473,101598,7.98369910291631
2008,2009,"springWheat_springWheat","springWheat","springWheat","#a65628","#a65628",1,2,3.7,3.7,1.2,1.8,3.7,3.7,21,0.00165020651155773,2846,0.2236422729473,4948,0.388820086627984
2009,2010,"corn_corn","corn","corn","#ffd300","#ffd300",2,3,6.4,6.4,2.2,2.8,6.4,6.4,26632,2.09277618170502,103811,8.15759943672951,100710,7.91391894185615
2009,2010,"corn_dryBeans","corn","dryBeans","#ffd300","#e41a1c",2,3,6.4,1.9,2.2,2.8,5.9,2.4,2,0.00015716252491026,103811,8.15759943672951,9,0.000707231362096171
