"X","cropCode","numPixelsWiZone","cropCodeFrom","cropCodeTo","yearFrom","yearTo"
"Clay",0,1256,0,0,2008,2009
"Clay",1005,328746,1,5,2008,2009
"Clay",1023,12507,1,23,2008,2009
"Clay",1028,5,1,28,2008,2009
"Clay",1036,1034,1,36,2008,2009
"Clay",1037,98,1,37,2008,2009
"Clay",1043,8,1,43,2008,2009
"Clay",1044,3,1,44,2008,2009
"Clay",1059,64,1,59,2008,2009
"Clay",1061,9277,1,61,2008,2009
"Clay",1111,1658,1,111,2008,2009
"Clay",1121,80,1,121,2008,2009
"Clay",1176,3517,1,176,2008,2009
"Clay",1190,89,1,190,2008,2009
"Clay",1195,5170,1,195,2008,2009
"Clay",5005,226667,5,5,2008,2009
"Clay",5023,305457,5,23,2008,2009
"Clay",5024,261,5,24,2008,2009
"Clay",5028,73,5,28,2008,2009
"Clay",5031,4,5,31,2008,2009
"Clay",5036,6972,5,36,2008,2009
"Clay",5037,424,5,37,2008,2009
"Clay",5043,20,5,43,2008,2009
"Clay",5044,16,5,44,2008,2009
"Clay",5059,309,5,59,2008,2009
"Clay",5061,5610,5,61,2008,2009
"Clay",5111,1278,5,111,2008,2009
"Clay",5121,430,5,121,2008,2009
"Clay",5141,568,5,141,2008,2009
"Clay",5142,9,5,142,2008,2009
"Clay",5176,10893,5,176,2008,2009
"Clay",5190,184,5,190,2008,2009
"Clay",5195,5999,5,195,2008,2009
"Clay",6005,2964,6,5,2008,2009
"Clay",6023,5087,6,23,2008,2009
"Clay",6059,8,6,59,2008,2009
"Clay",6061,124,6,61,2008,2009
"Clay",6131,1,6,131,2008,2009
"Clay",6176,194,6,176,2008,2009
"Clay",6190,4,6,190,2008,2009
"Clay",6195,186,6,195,2008,2009
"Clay",21005,1317,21,5,2008,2009
"Clay",21023,286,21,23,2008,2009
"Clay",21028,1,21,28,2008,2009
"Clay",21036,37,21,36,2008,2009
"Clay",21037,2,21,37,2008,2009
"Clay",21061,254,21,61,2008,2009
"Clay",21141,5,21,141,2008,2009
"Clay",21176,63,21,176,2008,2009
"Clay",21190,3,21,190,2008,2009
"Clay",21195,23,21,195,2008,2009
"Clay",23005,241690,23,5,2008,2009
"Clay",23023,38800,23,23,2008,2009
"Clay",23024,209,23,24,2008,2009
"Clay",23028,21,23,28,2008,2009
"Clay",23031,23,23,31,2008,2009
"Clay",23036,6306,23,36,2008,2009
"Clay",23037,298,23,37,2008,2009
"Clay",23043,788,23,43,2008,2009
"Clay",23044,10,23,44,2008,2009
"Clay",23059,233,23,59,2008,2009
"Clay",23061,4131,23,61,2008,2009
"Clay",23111,1369,23,111,2008,2009
"Clay",23121,518,23,121,2008,2009
"Clay",23131,14,23,131,2008,2009
"Clay",23141,403,23,141,2008,2009
"Clay",23142,20,23,142,2008,2009
"Clay",23176,8083,23,176,2008,2009
"Clay",23190,192,23,190,2008,2009
"Clay",23195,5127,23,195,2008,2009
"Clay",24005,1416,24,5,2008,2009
"Clay",24023,464,24,23,2008,2009
"Clay",24028,1,24,28,2008,2009
"Clay",24036,197,24,36,2008,2009
"Clay",24037,109,24,37,2008,2009
"Clay",24044,1,24,44,2008,2009
"Clay",24059,12,24,59,2008,2009
"Clay",24061,553,24,61,2008,2009
"Clay",24111,110,24,111,2008,2009
"Clay",24131,4,24,131,2008,2009
"Clay",24141,6,24,141,2008,2009
"Clay",24176,1006,24,176,2008,2009
"Clay",24190,8,24,190,2008,2009
"Clay",24195,697,24,195,2008,2009
"Clay",27176,14,27,176,2008,2009
"Clay",27195,8,27,195,2008,2009
"Clay",28005,79,28,5,2008,2009
"Clay",28023,38,28,23,2008,2009
"Clay",28036,661,28,36,2008,2009
"Clay",28061,16,28,61,2008,2009
"Clay",28141,8,28,141,2008,2009
"Clay",28176,55,28,176,2008,2009
"Clay",28190,1,28,190,2008,2009
"Clay",28195,12,28,195,2008,2009
"Clay",29005,3,29,5,2008,2009
"Clay",31005,191,31,5,2008,2009
"Clay",31023,384,31,23,2008,2009
"Clay",31031,1,31,31,2008,2009
"Clay",31037,34,31,37,2008,2009
"Clay",31059,2,31,59,2008,2009
"Clay",31061,121,31,61,2008,2009
"Clay",31111,32,31,111,2008,2009
"Clay",31176,388,31,176,2008,2009
"Clay",31190,3,31,190,2008,2009
"Clay",31195,93,31,195,2008,2009
"Clay",32061,3,32,61,2008,2009
"Clay",36005,6211,36,5,2008,2009
"Clay",36006,367,36,6,2008,2009
"Clay",36023,3870,36,23,2008,2009
"Clay",36028,4,36,28,2008,2009
"Clay",36036,25700,36,36,2008,2009
"Clay",36037,754,36,37,2008,2009
