"xCoords","yCoords","width","colorToUse"
1,6.4,1.42550566779046,"#ffd300"
1.2,6.4,1.42550566779046,"#ffd300"
1.4,6.4,1.42550566779046,"#ffd300"
2,6.4,1.42550566779046,"#ffd300"
1.8,6.4,1.42550566779046,"#ffd300"
1.6,6.4,1.42550566779046,"#ffd300"
1,6.4,0.0217871324535513,"#e41a1c"
1.2,5.9,0.0217871324535513,"#e41a1c"
1.4,5.9,0.0217871324535513,"#e41a1c"
2,1.9,0.0217871324535513,"#ffd300"
1.8,2.4,0.0217871324535513,"#ffd300"
1.6,2.4,0.0217871324535513,"#ffd300"
1,6.4,0.0341331741772304,"#f781bf"
1.2,6.2,0.0341331741772304,"#f781bf"
1.4,6.2,0.0341331741772304,"#f781bf"
2,4.6,0.0341331741772304,"#ffd300"
1.8,4.8,0.0341331741772304,"#ffd300"
1.6,4.8,0.0341331741772304,"#ffd300"
1,6.4,0.693656082191627,"#AAAAAA"
1.2,5.8,0.693656082191627,"#AAAAAA"
1.4,5.8,0.693656082191627,"#AAAAAA"
2,1,0.693656082191627,"#ffd300"
1.8,1.6,0.693656082191627,"#ffd300"
1.6,1.6,0.693656082191627,"#ffd300"
1,6.4,10.8521706751139,"#4daf4a"
1.2,6.3,10.8521706751139,"#4daf4a"
1.4,6.3,10.8521706751139,"#4daf4a"
2,5.5,10.8521706751139,"#ffd300"
1.8,5.6,10.8521706751139,"#ffd300"
1.6,5.6,10.8521706751139,"#ffd300"
1,6.4,0.412866159994797,"#a65628"
1.2,6.1,0.412866159994797,"#a65628"
1.4,6.1,0.412866159994797,"#a65628"
2,3.7,0.412866159994797,"#ffd300"
1.8,4,0.412866159994797,"#ffd300"
1.6,4,0.412866159994797,"#ffd300"
1,6.4,0.586106873807278,"#377eb8"
1.2,6,0.586106873807278,"#377eb8"
1.4,6,0.586106873807278,"#377eb8"
2,2.8,0.586106873807278,"#ffd300"
1.8,3.2,0.586106873807278,"#ffd300"
1.6,3.2,0.586106873807278,"#ffd300"
1,1.9,0.0390187735759055,"#ffd300"
1.2,2.4,0.0390187735759055,"#ffd300"
1.4,2.4,0.0390187735759055,"#ffd300"
2,6.4,0.0390187735759055,"#e41a1c"
1.8,5.9,0.0390187735759055,"#e41a1c"
1.6,5.9,0.0390187735759055,"#e41a1c"
1,1.9,0.000891291782190736,"#e41a1c"
1.2,1.9,0.000891291782190736,"#e41a1c"
1.4,1.9,0.000891291782190736,"#e41a1c"
2,1.9,0.000891291782190736,"#e41a1c"
1.8,1.9,0.000891291782190736,"#e41a1c"
1.6,1.9,0.000891291782190736,"#e41a1c"
1,1.9,0.000759248555199516,"#f781bf"
1.2,2.2,0.000759248555199516,"#f781bf"
1.4,2.2,0.000759248555199516,"#f781bf"
2,4.6,0.000759248555199516,"#e41a1c"
1.8,4.3,0.000759248555199516,"#e41a1c"
1.6,4.3,0.000759248555199516,"#e41a1c"
1,1.9,0.00623904247533515,"#AAAAAA"
1.2,1.8,0.00623904247533515,"#AAAAAA"
1.4,1.8,0.00623904247533515,"#AAAAAA"
2,1,0.00623904247533515,"#e41a1c"
1.8,1.1,0.00623904247533515,"#e41a1c"
1.6,1.1,0.00623904247533515,"#e41a1c"
1,1.9,0.0648332244526891,"#4daf4a"
1.2,2.3,0.0648332244526891,"#4daf4a"
1.4,2.3,0.0648332244526891,"#4daf4a"
2,5.5,0.0648332244526891,"#e41a1c"
1.8,5.1,0.0648332244526891,"#e41a1c"
1.6,5.1,0.0648332244526891,"#e41a1c"
1,1.9,0.220149070201112,"#a65628"
1.2,2.1,0.220149070201112,"#a65628"
1.4,2.1,0.220149070201112,"#a65628"
2,3.7,0.220149070201112,"#e41a1c"
1.8,3.5,0.220149070201112,"#e41a1c"
1.6,3.5,0.220149070201112,"#e41a1c"
1,1.9,0.0225463810087508,"#377eb8"
1.2,2,0.0225463810087508,"#377eb8"
1.4,2,0.0225463810087508,"#377eb8"
2,2.8,0.0225463810087508,"#e41a1c"
1.8,2.7,0.0225463810087508,"#e41a1c"
1.6,2.7,0.0225463810087508,"#e41a1c"
1,4.6,0.183044923416579,"#ffd300"
1.2,4.8,0.183044923416579,"#ffd300"
1.4,4.8,0.183044923416579,"#ffd300"
2,6.4,0.183044923416579,"#f781bf"
1.8,6.2,0.183044923416579,"#f781bf"
1.6,6.2,0.183044923416579,"#f781bf"
1,4.6,0.000759248555199516,"#e41a1c"
1.2,4.3,0.000759248555199516,"#e41a1c"
1.4,4.3,0.000759248555199516,"#e41a1c"
2,1.9,0.000759248555199516,"#f781bf"
1.8,2.2,0.000759248555199516,"#f781bf"
1.6,2.2,0.000759248555199516,"#f781bf"
1,4.6,1.08258940729427,"#f781bf"
1.2,4.6,1.08258940729427,"#f781bf"
1.4,4.6,1.08258940729427,"#f781bf"
2,4.6,1.08258940729427,"#f781bf"
1.8,4.6,1.08258940729427,"#f781bf"
1.6,4.6,1.08258940729427,"#f781bf"
1,4.6,0.564748881841448,"#AAAAAA"
1.2,4.2,0.564748881841448,"#AAAAAA"
1.4,4.2,0.564748881841448,"#AAAAAA"
2,1,0.564748881841448,"#f781bf"
1.8,1.4,0.564748881841448,"#f781bf"
1.6,1.4,0.564748881841448,"#f781bf"
1,4.6,0.218597562283965,"#4daf4a"
1.2,4.7,0.218597562283965,"#4daf4a"
1.4,4.7,0.218597562283965,"#4daf4a"
2,5.5,0.218597562283965,"#f781bf"
1.8,5.4,0.218597562283965,"#f781bf"
1.6,5.4,0.218597562283965,"#f781bf"
1,4.6,0.133726778135358,"#a65628"
1.2,4.5,0.133726778135358,"#a65628"
1.4,4.5,0.133726778135358,"#a65628"
2,3.7,0.133726778135358,"#f781bf"
1.8,3.8,0.133726778135358,"#f781bf"
1.6,3.8,0.133726778135358,"#f781bf"
1,4.6,0.0101013068648283,"#377eb8"
1.2,4.4,0.0101013068648283,"#377eb8"
1.4,4.4,0.0101013068648283,"#377eb8"
2,2.8,0.0101013068648283,"#f781bf"
1.8,3,0.0101013068648283,"#f781bf"
1.6,3,0.0101013068648283,"#f781bf"
1,1,0.462877532217722,"#ffd300"
1.2,1.6,0.462877532217722,"#ffd300"
