"X","cropCode","numPixelsWiZone","cropCodeFrom","cropCodeTo","yearFrom","yearTo"
"Clearwater",1005,6061,1,5,2008,2009
"Clearwater",1023,556,1,23,2008,2009
"Clearwater",1028,430,1,28,2008,2009
"Clearwater",1036,407,1,36,2008,2009
"Clearwater",1037,11,1,37,2008,2009
"Clearwater",1043,3,1,43,2008,2009
"Clearwater",1044,181,1,44,2008,2009
"Clearwater",1061,258,1,61,2008,2009
"Clearwater",1111,2,1,111,2008,2009
"Clearwater",1121,23,1,121,2008,2009
"Clearwater",1152,20,1,152,2008,2009
"Clearwater",1176,2740,1,176,2008,2009
"Clearwater",1190,3,1,190,2008,2009
"Clearwater",1195,500,1,195,2008,2009
"Clearwater",5005,21236,5,5,2008,2009
"Clearwater",5023,13406,5,23,2008,2009
"Clearwater",5024,23,5,24,2008,2009
"Clearwater",5028,293,5,28,2008,2009
"Clearwater",5031,2,5,31,2008,2009
"Clearwater",5036,879,5,36,2008,2009
"Clearwater",5037,29,5,37,2008,2009
"Clearwater",5043,30,5,43,2008,2009
"Clearwater",5044,1229,5,44,2008,2009
"Clearwater",5061,574,5,61,2008,2009
"Clearwater",5111,36,5,111,2008,2009
"Clearwater",5121,18,5,121,2008,2009
"Clearwater",5141,1890,5,141,2008,2009
"Clearwater",5142,100,5,142,2008,2009
"Clearwater",5152,14,5,152,2008,2009
"Clearwater",5176,5918,5,176,2008,2009
"Clearwater",5190,241,5,190,2008,2009
"Clearwater",5195,2933,5,195,2008,2009
"Clearwater",6005,282,6,5,2008,2009
"Clearwater",6023,632,6,23,2008,2009
"Clearwater",6061,33,6,61,2008,2009
"Clearwater",6176,84,6,176,2008,2009
"Clearwater",6195,14,6,195,2008,2009
"Clearwater",21005,41,21,5,2008,2009
"Clearwater",21023,81,21,23,2008,2009
"Clearwater",21028,50,21,28,2008,2009
"Clearwater",21036,316,21,36,2008,2009
"Clearwater",21037,2,21,37,2008,2009
"Clearwater",21061,6,21,61,2008,2009
"Clearwater",21141,27,21,141,2008,2009
"Clearwater",21176,767,21,176,2008,2009
"Clearwater",21190,6,21,190,2008,2009
"Clearwater",21195,93,21,195,2008,2009
"Clearwater",23005,9179,23,5,2008,2009
"Clearwater",23023,2061,23,23,2008,2009
"Clearwater",23024,48,23,24,2008,2009
"Clearwater",23028,246,23,28,2008,2009
"Clearwater",23031,13,23,31,2008,2009
"Clearwater",23036,824,23,36,2008,2009
"Clearwater",23037,50,23,37,2008,2009
"Clearwater",23043,1,23,43,2008,2009
"Clearwater",23044,39,23,44,2008,2009
"Clearwater",23061,941,23,61,2008,2009
"Clearwater",23111,5,23,111,2008,2009
"Clearwater",23121,2,23,121,2008,2009
"Clearwater",23131,7,23,131,2008,2009
"Clearwater",23141,361,23,141,2008,2009
