"xCoords","yCoords","width","colorToUse"
1,6.4,0.0993461176218888,"#ffd300"
1.2,6.4,0.0993461176218888,"#ffd300"
1.4,6.4,0.0993461176218888,"#ffd300"
2,6.4,0.0993461176218888,"#ffd300"
1.8,6.4,0.0993461176218888,"#ffd300"
1.6,6.4,0.0993461176218888,"#ffd300"
1,6.4,0.000269962276146437,"#e41a1c"
1.2,5.9,0.000269962276146437,"#e41a1c"
1.4,5.9,0.000269962276146437,"#e41a1c"
2,1.9,0.000269962276146437,"#ffd300"
1.8,2.4,0.000269962276146437,"#ffd300"
1.6,2.4,0.000269962276146437,"#ffd300"
1,6.4,0.01373433079895,"#f781bf"
1.2,6.2,0.01373433079895,"#f781bf"
1.4,6.2,0.01373433079895,"#f781bf"
2,4.6,0.01373433079895,"#ffd300"
1.8,4.8,0.01373433079895,"#ffd300"
1.6,4.8,0.01373433079895,"#ffd300"
1,6.4,0.156105686181677,"#AAAAAA"
1.2,5.8,0.156105686181677,"#AAAAAA"
1.4,5.8,0.156105686181677,"#AAAAAA"
2,1,0.156105686181677,"#ffd300"
1.8,1.6,0.156105686181677,"#ffd300"
1.6,1.6,0.156105686181677,"#ffd300"
1,6.4,0.204530169465444,"#4daf4a"
1.2,6.3,0.204530169465444,"#4daf4a"
1.4,6.3,0.204530169465444,"#4daf4a"
2,5.5,0.204530169465444,"#ffd300"
1.8,5.6,0.204530169465444,"#ffd300"
1.6,5.6,0.204530169465444,"#ffd300"
1,6.4,0.0187623781921774,"#a65628"
1.2,6.1,0.0187623781921774,"#a65628"
1.4,6.1,0.0187623781921774,"#a65628"
2,3.7,0.0187623781921774,"#ffd300"
1.8,4,0.0187623781921774,"#ffd300"
1.6,4,0.0187623781921774,"#ffd300"
1,6.4,3.37452845183046e-05,"#377eb8"
1.2,6,3.37452845183046e-05,"#377eb8"
1.4,6,3.37452845183046e-05,"#377eb8"
2,2.8,3.37452845183046e-05,"#ffd300"
1.8,3.2,3.37452845183046e-05,"#ffd300"
1.6,3.2,3.37452845183046e-05,"#ffd300"
1,1.9,0.00121483024265897,"#ffd300"
1.2,2.4,0.00121483024265897,"#ffd300"
1.4,2.4,0.00121483024265897,"#ffd300"
2,6.4,0.00121483024265897,"#e41a1c"
1.8,5.9,0.00121483024265897,"#e41a1c"
1.6,5.9,0.00121483024265897,"#e41a1c"
1,1.9,0.000101235853554914,"#e41a1c"
1.2,1.9,0.000101235853554914,"#e41a1c"
1.4,1.9,0.000101235853554914,"#e41a1c"
2,1.9,0.000101235853554914,"#e41a1c"
1.8,1.9,0.000101235853554914,"#e41a1c"
1.6,1.9,0.000101235853554914,"#e41a1c"
1,1.9,0.00131606609621388,"#f781bf"
1.2,2.2,0.00131606609621388,"#f781bf"
1.4,2.2,0.00131606609621388,"#f781bf"
2,4.6,0.00131606609621388,"#e41a1c"
1.8,4.3,0.00131606609621388,"#e41a1c"
1.6,4.3,0.00131606609621388,"#e41a1c"
1,1.9,0.0193697933135069,"#AAAAAA"
1.2,1.8,0.0193697933135069,"#AAAAAA"
1.4,1.8,0.0193697933135069,"#AAAAAA"
2,1,0.0193697933135069,"#e41a1c"
1.8,1.1,0.0193697933135069,"#e41a1c"
1.6,1.1,0.0193697933135069,"#e41a1c"
1,1.9,0.00391445300412334,"#4daf4a"
1.2,2.3,0.00391445300412334,"#4daf4a"
1.4,2.3,0.00391445300412334,"#4daf4a"
2,5.5,0.00391445300412334,"#e41a1c"
1.8,5.1,0.00391445300412334,"#e41a1c"
1.6,5.1,0.00391445300412334,"#e41a1c"
1,1.9,0.00259838690790946,"#a65628"
1.2,2.1,0.00259838690790946,"#a65628"
1.4,2.1,0.00259838690790946,"#a65628"
2,3.7,0.00259838690790946,"#e41a1c"
1.8,3.5,0.00259838690790946,"#e41a1c"
1.6,3.5,0.00259838690790946,"#e41a1c"
1,4.6,0.0226768311963007,"#ffd300"
1.2,4.8,0.0226768311963007,"#ffd300"
1.4,4.8,0.0226768311963007,"#ffd300"
2,6.4,0.0226768311963007,"#f781bf"
1.8,6.2,0.0226768311963007,"#f781bf"
1.6,6.2,0.0226768311963007,"#f781bf"
1,4.6,0.00134981138073218,"#e41a1c"
1.2,4.3,0.00134981138073218,"#e41a1c"
1.4,4.3,0.00134981138073218,"#e41a1c"
2,1.9,0.00134981138073218,"#f781bf"
1.8,2.2,0.00134981138073218,"#f781bf"
1.6,2.2,0.00134981138073218,"#f781bf"
1,4.6,1.65321523383626,"#f781bf"
1.2,4.6,1.65321523383626,"#f781bf"
1.4,4.6,1.65321523383626,"#f781bf"
2,4.6,1.65321523383626,"#f781bf"
1.8,4.6,1.65321523383626,"#f781bf"
1.6,4.6,1.65321523383626,"#f781bf"
1,4.6,1.55920087116827,"#AAAAAA"
1.2,4.2,1.55920087116827,"#AAAAAA"
1.4,4.2,1.55920087116827,"#AAAAAA"
2,1,1.55920087116827,"#f781bf"
1.8,1.4,1.55920087116827,"#f781bf"
1.6,1.4,1.55920087116827,"#f781bf"
1,4.6,0.056388370430087,"#4daf4a"
1.2,4.7,0.056388370430087,"#4daf4a"
1.4,4.7,0.056388370430087,"#4daf4a"
2,5.5,0.056388370430087,"#f781bf"
1.8,5.4,0.056388370430087,"#f781bf"
1.6,5.4,0.056388370430087,"#f781bf"
1,4.6,0.0560846628694223,"#a65628"
1.2,4.5,0.0560846628694223,"#a65628"
1.4,4.5,0.0560846628694223,"#a65628"
2,3.7,0.0560846628694223,"#f781bf"
1.8,3.8,0.0560846628694223,"#f781bf"
1.6,3.8,0.0560846628694223,"#f781bf"
1,4.6,0.000978613251030834,"#377eb8"
1.2,4.4,0.000978613251030834,"#377eb8"
1.4,4.4,0.000978613251030834,"#377eb8"
2,2.8,0.000978613251030834,"#f781bf"
1.8,3,0.000978613251030834,"#f781bf"
1.6,3,0.000978613251030834,"#f781bf"
1,1,0.172067205758835,"#ffd300"
1.2,1.6,0.172067205758835,"#ffd300"
1.4,1.6,0.172067205758835,"#ffd300"
2,6.4,0.172067205758835,"#AAAAAA"
1.8,5.8,0.172067205758835,"#AAAAAA"
1.6,5.8,0.172067205758835,"#AAAAAA"
1,1,0.00755894373210023,"#e41a1c"
1.2,1.1,0.00755894373210023,"#e41a1c"
1.4,1.1,0.00755894373210023,"#e41a1c"
2,1.9,0.00755894373210023,"#AAAAAA"
1.8,1.8,0.00755894373210023,"#AAAAAA"
1.6,1.8,0.00755894373210023,"#AAAAAA"
1,1,1.0032473087292,"#f781bf"
1.2,1.4,1.0032473087292,"#f781bf"
1.4,1.4,1.0032473087292,"#f781bf"
2,4.6,1.0032473087292,"#AAAAAA"
1.8,4.2,1.0032473087292,"#AAAAAA"
1.6,4.2,1.0032473087292,"#AAAAAA"
1,1,91.6853306211123,"#AAAAAA"
1.2,1,91.6853306211123,"#AAAAAA"
1.4,1,91.6853306211123,"#AAAAAA"
2,1,91.6853306211123,"#AAAAAA"
1.8,1,91.6853306211123,"#AAAAAA"
1.6,1,91.6853306211123,"#AAAAAA"
1,1,0.432547056955629,"#4daf4a"
1.2,1.5,0.432547056955629,"#4daf4a"
1.4,1.5,0.432547056955629,"#4daf4a"
2,5.5,0.432547056955629,"#AAAAAA"
1.8,5,0.432547056955629,"#AAAAAA"
1.6,5,0.432547056955629,"#AAAAAA"
1,1,0.248534020477314,"#a65628"
1.2,1.3,0.248534020477314,"#a65628"
1.4,1.3,0.248534020477314,"#a65628"
2,3.7,0.248534020477314,"#AAAAAA"
1.8,3.4,0.248534020477314,"#AAAAAA"
1.6,3.4,0.248534020477314,"#AAAAAA"
1,1,0.00199097178657997,"#377eb8"
1.2,1.2,0.00199097178657997,"#377eb8"
1.4,1.2,0.00199097178657997,"#377eb8"
2,2.8,0.00199097178657997,"#AAAAAA"
1.8,2.6,0.00199097178657997,"#AAAAAA"
1.6,2.6,0.00199097178657997,"#AAAAAA"
1,5.5,0.169198856574779,"#ffd300"
1.2,5.6,0.169198856574779,"#ffd300"
1.4,5.6,0.169198856574779,"#ffd300"
2,6.4,0.169198856574779,"#4daf4a"
1.8,6.3,0.169198856574779,"#4daf4a"
1.6,6.3,0.169198856574779,"#4daf4a"
1,5.5,0.00404943414219656,"#e41a1c"
1.2,5.1,0.00404943414219656,"#e41a1c"
