"X","cropCode","numPixelsWiZone","cropCodeFrom","cropCodeTo","yearFrom","yearTo"
"Cook",0,8135,0,0,2008,2009
"Cook",111111,404963,111,111,2008,2009
"Cook",111141,262,111,141,2008,2009
"Cook",111142,6438,111,142,2008,2009
"Cook",111152,458,111,152,2008,2009
"Cook",111176,10,111,176,2008,2009
"Cook",111190,7879,111,190,2008,2009
"Cook",111195,420,111,195,2008,2009
"Cook",121005,1,121,5,2008,2009
"Cook",121121,64413,121,121,2008,2009
"Cook",121122,1132,121,122,2008,2009
"Cook",121123,5,121,123,2008,2009
"Cook",121176,2,121,176,2008,2009
"Cook",122121,1756,122,121,2008,2009
"Cook",122122,5919,122,122,2008,2009
"Cook",122123,100,122,123,2008,2009
"Cook",123121,38,123,121,2008,2009
"Cook",123122,376,123,122,2008,2009
"Cook",123123,1330,123,123,2008,2009
"Cook",123124,250,123,124,2008,2009
"Cook",124122,111,124,122,2008,2009
"Cook",124123,164,124,123,2008,2009
"Cook",124124,475,124,124,2008,2009
"Cook",131111,275,131,111,2008,2009
"Cook",131141,102,131,141,2008,2009
"Cook",131142,291,131,142,2008,2009
"Cook",131176,81,131,176,2008,2009
"Cook",131190,162,131,190,2008,2009
"Cook",131195,58,131,195,2008,2009
"Cook",141111,242,141,111,2008,2009
"Cook",141121,2,141,121,2008,2009
"Cook",141131,25,141,131,2008,2009
"Cook",141141,748164,141,141,2008,2009
"Cook",141142,21286,141,142,2008,2009
"Cook",141152,64867,141,152,2008,2009
"Cook",141176,1346,141,176,2008,2009
"Cook",141190,68252,141,190,2008,2009
"Cook",141195,910,141,195,2008,2009
"Cook",142141,20754,142,141,2008,2009
"Cook",142142,716988,142,142,2008,2009
"Cook",142152,9395,142,152,2008,2009
"Cook",142176,192,142,176,2008,2009
"Cook",142190,223581,142,190,2008,2009
"Cook",142195,201,142,195,2008,2009
"Cook",143190,102348,143,190,2008,2009
"Cook",152141,93887,152,141,2008,2009
"Cook",152142,6560,152,142,2008,2009
"Cook",152152,93674,152,152,2008,2009
"Cook",152176,4620,152,176,2008,2009
"Cook",152190,48320,152,190,2008,2009
"Cook",152195,1216,152,195,2008,2009
"Cook",176111,21,176,111,2008,2009
"Cook",176121,1,176,121,2008,2009
"Cook",176131,22,176,131,2008,2009
"Cook",176141,3534,176,141,2008,2009
"Cook",176142,438,176,142,2008,2009
"Cook",176152,8603,176,152,2008,2009
"Cook",176176,2296,176,176,2008,2009
"Cook",176190,10213,176,190,2008,2009
"Cook",176195,396,176,195,2008,2009
"Cook",190111,7961,190,111,2008,2009
"Cook",190131,12,190,131,2008,2009
"Cook",190141,62362,190,141,2008,2009
"Cook",190142,194409,190,142,2008,2009
"Cook",190143,96023,190,143,2008,2009
"Cook",190152,46998,190,152,2008,2009
"Cook",190176,3093,190,176,2008,2009
"Cook",190190,400931,190,190,2008,2009
"Cook",190195,3172,190,195,2008,2009
"Cook",195111,334,195,111,2008,2009
"Cook",195131,9,195,131,2008,2009
"Cook",195141,1357,195,141,2008,2009
"Cook",195142,354,195,142,2008,2009
"Cook",195152,1831,195,152,2008,2009
"Cook",195176,169,195,176,2008,2009
"Cook",195190,5250,195,190,2008,2009
"Cook",195195,579,195,195,2008,2009
"Cook",111143,244,111,143,2008,2009
"Cook",122124,1,122,124,2008,2009
"Cook",141143,146790,141,143,2008,2009
"Cook",142111,17915,142,111,2008,2009
"Cook",142143,185064,142,143,2008,2009
"Cook",143141,141917,143,141,2008,2009
"Cook",143142,150768,143,142,2008,2009
"Cook",152111,529,152,111,2008,2009
"Cook",122005,2,122,5,2008,2009
"Cook",143195,253,143,195,2008,2009
"Cook",111131,31,111,131,2008,2009
"Cook",121124,1,121,124,2008,2009
"Cook",121190,3,121,190,2008,2009
"Cook",131131,84,131,131,2008,2009
"Cook",131143,29,131,143,2008,2009
"Cook",131152,494,131,152,2008,2009
"Cook",143111,576,143,111,2008,2009
"Cook",143143,357742,143,143,2008,2009
"Cook",143152,17846,143,152,2008,2009
"Cook",143176,168,143,176,2008,2009
"Cook",152121,2,152,121,2008,2009
"Cook",152131,47,152,131,2008,2009
"Cook",152143,18445,152,143,2008,2009
"Cook",176122,5,176,122,2008,2009
"Cook",176123,30,176,123,2008,2009
"Cook",176143,740,176,143,2008,2009
"Cook",195143,303,195,143,2008,2009
"Cook",121142,1,121,142,2008,2009
"Cook",121152,7,121,152,2008,2009
"Cook",152124,1,152,124,2008,2009
"Cook",176124,1,176,124,2008,2009
"Cook",0,8135,0,0,2009,2010
"Cook",111028,1,111,28,2009,2010
"Cook",111111,412158,111,111,2009,2010
"Cook",111121,11,111,121,2009,2010
"Cook",111131,7,111,131,2009,2010
"Cook",111141,3193,111,141,2009,2010
"Cook",111142,15371,111,142,2009,2010
"Cook",111176,136,111,176,2009,2010
"Cook",111190,554,111,190,2009,2010
"Cook",111195,540,111,195,2009,2010
"Cook",121111,65,121,111,2009,2010
"Cook",121121,10685,121,121,2009,2010
"Cook",121122,2194,121,122,2009,2010
"Cook",121141,27620,121,141,2009,2010
"Cook",121142,25063,121,142,2009,2010
"Cook",121143,34,121,143,2009,2010
"Cook",121152,202,121,152,2009,2010
"Cook",121176,109,121,176,2009,2010
"Cook",121190,127,121,190,2009,2010
"Cook",121195,112,121,195,2009,2010
"Cook",122121,2292,122,121,2009,2010
"Cook",122122,3404,122,122,2009,2010
"Cook",122123,81,122,123,2009,2010
"Cook",122141,1284,122,141,2009,2010
"Cook",122142,344,122,142,2009,2010
"Cook",122176,37,122,176,2009,2010
"Cook",122190,7,122,190,2009,2010
"Cook",122195,35,122,195,2009,2010
"Cook",123111,44,123,111,2009,2010
"Cook",123121,75,123,121,2009,2010
"Cook",123122,1115,123,122,2009,2010
"Cook",123123,241,123,123,2009,2010
"Cook",123124,18,123,124,2009,2010
"Cook",123141,40,123,141,2009,2010
"Cook",123176,21,123,176,2009,2010
"Cook",124121,8,124,121,2009,2010
"Cook",124122,48,124,122,2009,2010
"Cook",124123,329,124,123,2009,2010
"Cook",124124,283,124,124,2009,2010
"Cook",124176,9,124,176,2009,2010
"Cook",124195,1,124,195,2009,2010
"Cook",131195,48,131,195,2009,2010
"Cook",141111,943,141,111,2009,2010
"Cook",141121,82,141,121,2009,2010
"Cook",141141,933297,141,141,2009,2010
"Cook",141142,129943,141,142,2009,2010
"Cook",141143,520,141,143,2009,2010
"Cook",141152,4844,141,152,2009,2010
"Cook",141176,2110,141,176,2009,2010
"Cook",141190,230,141,190,2009,2010
"Cook",141195,359,141,195,2009,2010
"Cook",142111,13302,142,111,2009,2010
"Cook",142121,4,142,121,2009,2010
"Cook",142141,301750,142,141,2009,2010
"Cook",142142,766432,142,142,2009,2010
"Cook",142152,4072,142,152,2009,2010
"Cook",142176,492,142,176,2009,2010
"Cook",142190,10750,142,190,2009,2010
"Cook",142195,585,142,195,2009,2010
"Cook",143141,495740,143,141,2009,2010
"Cook",152111,3546,152,111,2009,2010
"Cook",152141,127232,152,141,2009,2010
"Cook",152142,83055,152,142,2009,2010
"Cook",152152,23318,152,152,2009,2010
"Cook",152176,5521,152,176,2009,2010
"Cook",152190,243,152,190,2009,2010
"Cook",152195,928,152,195,2009,2010
"Cook",176111,145,176,111,2009,2010
"Cook",176141,5298,176,141,2009,2010
"Cook",176142,6227,176,142,2009,2010
"Cook",176152,182,176,152,2009,2010
"Cook",176176,45,176,176,2009,2010
"Cook",176190,10,176,190,2009,2010
"Cook",176195,70,176,195,2009,2010
"Cook",190111,9696,190,111,2009,2010
"Cook",190121,10,190,121,2009,2010
"Cook",190141,227196,190,141,2009,2010
"Cook",190142,598660,190,142,2009,2010
"Cook",190143,31,190,143,2009,2010
"Cook",190152,6215,190,152,2009,2010
"Cook",190176,639,190,176,2009,2010
"Cook",190190,21594,190,190,2009,2010
"Cook",190195,2896,190,195,2009,2010
"Cook",195111,656,195,111,2009,2010
"Cook",195141,2092,195,141,2009,2010
"Cook",195142,3203,195,142,2009,2010
"Cook",195152,780,195,152,2009,2010
"Cook",195176,122,195,176,2009,2010
"Cook",195190,24,195,190,2009,2010
"Cook",195195,328,195,195,2009,2010
"Cook",5122,3,5,122,2009,2010
"Cook",111143,4,111,143,2009,2010
"Cook",111152,841,111,152,2009,2010
"Cook",122111,22,122,111,2009,2010
"Cook",142143,141,142,143,2009,2010
"Cook",143142,305868,143,142,2009,2010
"Cook",143143,325,143,143,2009,2010
"Cook",143176,43,143,176,2009,2010
"Cook",143190,973,143,190,2009,2010
"Cook",143195,122,143,195,2009,2010
"Cook",152143,43,152,143,2009,2010
"Cook",121131,1,121,131,2009,2010
