"X","cropCode","numPixelsWiZone","cropCodeFrom","cropCodeTo","yearFrom","yearTo"
"Cottonwood",1005,625760,1,5,2008,2009
"Cottonwood",1023,924,1,23,2008,2009
"Cottonwood",1028,85,1,28,2008,2009
"Cottonwood",1036,729,1,36,2008,2009
"Cottonwood",1037,37,1,37,2008,2009
"Cottonwood",1044,37,1,44,2008,2009
"Cottonwood",1111,501,1,111,2008,2009
"Cottonwood",1121,1143,1,121,2008,2009
"Cottonwood",1152,4,1,152,2008,2009
"Cottonwood",1176,14122,1,176,2008,2009
"Cottonwood",1190,2,1,190,2008,2009
"Cottonwood",1195,6642,1,195,2008,2009
"Cottonwood",5005,42593,5,5,2008,2009
"Cottonwood",5023,6545,5,23,2008,2009
"Cottonwood",5024,2,5,24,2008,2009
"Cottonwood",5028,79,5,28,2008,2009
"Cottonwood",5036,1326,5,36,2008,2009
"Cottonwood",5037,28,5,37,2008,2009
"Cottonwood",5043,6,5,43,2008,2009
"Cottonwood",5044,150,5,44,2008,2009
"Cottonwood",5111,50,5,111,2008,2009
"Cottonwood",5121,750,5,121,2008,2009
"Cottonwood",5141,13,5,141,2008,2009
"Cottonwood",5152,5,5,152,2008,2009
"Cottonwood",5176,12188,5,176,2008,2009
"Cottonwood",5190,1,5,190,2008,2009
"Cottonwood",5195,3976,5,195,2008,2009
"Cottonwood",21005,3,21,5,2008,2009
"Cottonwood",21036,15,21,36,2008,2009
"Cottonwood",21176,5,21,176,2008,2009
"Cottonwood",21195,10,21,195,2008,2009
"Cottonwood",23005,2053,23,5,2008,2009
"Cottonwood",23023,214,23,23,2008,2009
"Cottonwood",23024,1,23,24,2008,2009
"Cottonwood",23028,1,23,28,2008,2009
"Cottonwood",23036,78,23,36,2008,2009
"Cottonwood",23037,1,23,37,2008,2009
"Cottonwood",23044,10,23,44,2008,2009
"Cottonwood",23111,6,23,111,2008,2009
"Cottonwood",23121,21,23,121,2008,2009
"Cottonwood",23131,8,23,131,2008,2009
"Cottonwood",23176,988,23,176,2008,2009
"Cottonwood",23195,139,23,195,2008,2009
"Cottonwood",24005,8,24,5,2008,2009
"Cottonwood",24176,2,24,176,2008,2009
"Cottonwood",24195,2,24,195,2008,2009
"Cottonwood",27176,6,27,176,2008,2009
"Cottonwood",27195,1,27,195,2008,2009
"Cottonwood",28005,64,28,5,2008,2009
"Cottonwood",28023,10,28,23,2008,2009
"Cottonwood",28036,18,28,36,2008,2009
"Cottonwood",28044,1,28,44,2008,2009
"Cottonwood",28176,116,28,176,2008,2009
"Cottonwood",28195,12,28,195,2008,2009
"Cottonwood",36005,1759,36,5,2008,2009
"Cottonwood",36023,15,36,23,2008,2009
"Cottonwood",36028,5,36,28,2008,2009
"Cottonwood",36036,3319,36,36,2008,2009
"Cottonwood",36037,21,36,37,2008,2009
"Cottonwood",36131,3,36,131,2008,2009
"Cottonwood",36152,1,36,152,2008,2009
"Cottonwood",36176,3548,36,176,2008,2009
"Cottonwood",36195,736,36,195,2008,2009
"Cottonwood",37005,35,37,5,2008,2009
"Cottonwood",37023,2,37,23,2008,2009
"Cottonwood",37028,1,37,28,2008,2009
"Cottonwood",37036,33,37,36,2008,2009
"Cottonwood",37037,3,37,37,2008,2009
"Cottonwood",37111,1,37,111,2008,2009
