"X","cropCode","numPixelsWiZone","cropCodeFrom","cropCodeTo","yearFrom","yearTo"
"Crow Wing",1005,2980,1,5,2008,2009
"Crow Wing",1023,463,1,23,2008,2009
"Crow Wing",1028,1688,1,28,2008,2009
"Crow Wing",1036,421,1,36,2008,2009
"Crow Wing",1037,218,1,37,2008,2009
"Crow Wing",1043,751,1,43,2008,2009
"Crow Wing",1044,4,1,44,2008,2009
"Crow Wing",1061,8,1,61,2008,2009
"Crow Wing",1111,73,1,111,2008,2009
"Crow Wing",1121,23,1,121,2008,2009
"Crow Wing",1152,56,1,152,2008,2009
"Crow Wing",1176,5705,1,176,2008,2009
"Crow Wing",1190,32,1,190,2008,2009
"Crow Wing",1195,1391,1,195,2008,2009
"Crow Wing",5005,730,5,5,2008,2009
"Crow Wing",5023,231,5,23,2008,2009
"Crow Wing",5024,50,5,24,2008,2009
"Crow Wing",5028,487,5,28,2008,2009
"Crow Wing",5036,171,5,36,2008,2009
"Crow Wing",5037,396,5,37,2008,2009
"Crow Wing",5043,17,5,43,2008,2009
"Crow Wing",5044,4,5,44,2008,2009
"Crow Wing",5058,5,5,58,2008,2009
"Crow Wing",5061,12,5,61,2008,2009
"Crow Wing",5111,23,5,111,2008,2009
"Crow Wing",5121,40,5,121,2008,2009
"Crow Wing",5141,90,5,141,2008,2009
"Crow Wing",5142,9,5,142,2008,2009
"Crow Wing",5152,10,5,152,2008,2009
"Crow Wing",5176,3664,5,176,2008,2009
"Crow Wing",5190,43,5,190,2008,2009
"Crow Wing",5195,683,5,195,2008,2009
"Crow Wing",6005,3,6,5,2008,2009
"Crow Wing",6023,13,6,23,2008,2009
"Crow Wing",6131,2,6,131,2008,2009
"Crow Wing",6176,80,6,176,2008,2009
"Crow Wing",6195,2,6,195,2008,2009
"Crow Wing",21005,5,21,5,2008,2009
"Crow Wing",21023,16,21,23,2008,2009
"Crow Wing",21028,17,21,28,2008,2009
"Crow Wing",21036,12,21,36,2008,2009
"Crow Wing",21037,9,21,37,2008,2009
"Crow Wing",21058,2,21,58,2008,2009
"Crow Wing",21061,1,21,61,2008,2009
"Crow Wing",21176,141,21,176,2008,2009
"Crow Wing",21195,2,21,195,2008,2009
"Crow Wing",23005,70,23,5,2008,2009
"Crow Wing",23023,178,23,23,2008,2009
"Crow Wing",23024,25,23,24,2008,2009
"Crow Wing",23028,93,23,28,2008,2009
"Crow Wing",23036,75,23,36,2008,2009
"Crow Wing",23037,125,23,37,2008,2009
"Crow Wing",23043,2,23,43,2008,2009
"Crow Wing",23044,5,23,44,2008,2009
"Crow Wing",23058,2,23,58,2008,2009
"Crow Wing",23061,7,23,61,2008,2009
"Crow Wing",23111,47,23,111,2008,2009
"Crow Wing",23121,3,23,121,2008,2009
"Crow Wing",23131,30,23,131,2008,2009
"Crow Wing",23141,29,23,141,2008,2009
"Crow Wing",23152,3,23,152,2008,2009
"Crow Wing",23176,1020,23,176,2008,2009
"Crow Wing",23190,16,23,190,2008,2009
"Crow Wing",23195,131,23,195,2008,2009
"Crow Wing",24005,37,24,5,2008,2009
"Crow Wing",24023,14,24,23,2008,2009
"Crow Wing",24028,20,24,28,2008,2009
"Crow Wing",24036,3,24,36,2008,2009
"Crow Wing",24037,37,24,37,2008,2009
"Crow Wing",24111,2,24,111,2008,2009
"Crow Wing",24131,4,24,131,2008,2009
"Crow Wing",24176,137,24,176,2008,2009
"Crow Wing",24195,5,24,195,2008,2009
"Crow Wing",27176,294,27,176,2008,2009
"Crow Wing",27195,4,27,195,2008,2009
"Crow Wing",28005,160,28,5,2008,2009
"Crow Wing",28023,154,28,23,2008,2009
"Crow Wing",28028,270,28,28,2008,2009
"Crow Wing",28036,378,28,36,2008,2009
"Crow Wing",28037,317,28,37,2008,2009
"Crow Wing",28058,105,28,58,2008,2009
"Crow Wing",28061,1,28,61,2008,2009
"Crow Wing",28141,20,28,141,2008,2009
"Crow Wing",28176,1778,28,176,2008,2009
"Crow Wing",28190,5,28,190,2008,2009
"Crow Wing",28195,77,28,195,2008,2009
"Crow Wing",36005,82,36,5,2008,2009
