"xCoords","yCoords","width","colorToUse"
1,6.4,0.43046334738272,"#ffd300"
1.2,6.4,0.43046334738272,"#ffd300"
1.4,6.4,0.43046334738272,"#ffd300"
2,6.4,0.43046334738272,"#ffd300"
1.8,6.4,0.43046334738272,"#ffd300"
1.6,6.4,0.43046334738272,"#ffd300"
1,6.4,0.0160710321597875,"#e41a1c"
1.2,5.9,0.0160710321597875,"#e41a1c"
1.4,5.9,0.0160710321597875,"#e41a1c"
2,1.9,0.0160710321597875,"#ffd300"
1.8,2.4,0.0160710321597875,"#ffd300"
1.6,2.4,0.0160710321597875,"#ffd300"
1,6.4,0.0126465505406926,"#f781bf"
1.2,6.2,0.0126465505406926,"#f781bf"
1.4,6.2,0.0126465505406926,"#f781bf"
2,4.6,0.0126465505406926,"#ffd300"
1.8,4.8,0.0126465505406926,"#ffd300"
1.6,4.8,0.0126465505406926,"#ffd300"
1,6.4,0.307542480844681,"#AAAAAA"
1.2,5.8,0.307542480844681,"#AAAAAA"
1.4,5.8,0.307542480844681,"#AAAAAA"
2,1,0.307542480844681,"#ffd300"
1.8,1.6,0.307542480844681,"#ffd300"
1.6,1.6,0.307542480844681,"#ffd300"
1,6.4,0.0895171510956389,"#4daf4a"
1.2,6.3,0.0895171510956389,"#4daf4a"
1.4,6.3,0.0895171510956389,"#4daf4a"
2,5.5,0.0895171510956389,"#ffd300"
1.8,5.6,0.0895171510956389,"#ffd300"
1.6,5.6,0.0895171510956389,"#ffd300"
1,6.4,0.013908201663517,"#a65628"
1.2,6.1,0.013908201663517,"#a65628"
1.4,6.1,0.013908201663517,"#a65628"
2,3.7,0.013908201663517,"#ffd300"
1.8,4,0.013908201663517,"#ffd300"
1.6,4,0.013908201663517,"#ffd300"
1,6.4,0.000390511061826612,"#377eb8"
1.2,6,0.000390511061826612,"#377eb8"
1.4,6,0.000390511061826612,"#377eb8"
2,2.8,0.000390511061826612,"#ffd300"
1.8,3.2,0.000390511061826612,"#ffd300"
1.6,3.2,0.000390511061826612,"#ffd300"
1,1.9,0.00513672242864236,"#ffd300"
1.2,2.4,0.00513672242864236,"#ffd300"
1.4,2.4,0.00513672242864236,"#ffd300"
2,6.4,0.00513672242864236,"#e41a1c"
1.8,5.9,0.00513672242864236,"#e41a1c"
1.6,5.9,0.00513672242864236,"#e41a1c"
1,1.9,6.00786248964019e-05,"#e41a1c"
1.2,1.9,6.00786248964019e-05,"#e41a1c"
1.4,1.9,6.00786248964019e-05,"#e41a1c"
2,1.9,6.00786248964019e-05,"#e41a1c"
1.8,1.9,6.00786248964019e-05,"#e41a1c"
1.6,1.9,6.00786248964019e-05,"#e41a1c"
1,1.9,0.000180235874689206,"#f781bf"
1.2,2.2,0.000180235874689206,"#f781bf"
1.4,2.2,0.000180235874689206,"#f781bf"
2,4.6,0.000180235874689206,"#e41a1c"
1.8,4.3,0.000180235874689206,"#e41a1c"
1.6,4.3,0.000180235874689206,"#e41a1c"
1,1.9,0.00820073229835886,"#AAAAAA"
1.2,1.8,0.00820073229835886,"#AAAAAA"
1.4,1.8,0.00820073229835886,"#AAAAAA"
2,1,0.00820073229835886,"#e41a1c"
1.8,1.1,0.00820073229835886,"#e41a1c"
1.6,1.1,0.00820073229835886,"#e41a1c"
1,1.9,0.000600786248964019,"#4daf4a"
1.2,2.3,0.000600786248964019,"#4daf4a"
1.4,2.3,0.000600786248964019,"#4daf4a"
2,5.5,0.000600786248964019,"#e41a1c"
1.8,5.1,0.000600786248964019,"#e41a1c"
1.6,5.1,0.000600786248964019,"#e41a1c"
1,1.9,0.000600786248964019,"#a65628"
1.2,2.1,0.000600786248964019,"#a65628"
1.4,2.1,0.000600786248964019,"#a65628"
2,3.7,0.000600786248964019,"#e41a1c"
1.8,3.5,0.000600786248964019,"#e41a1c"
1.6,3.5,0.000600786248964019,"#e41a1c"
1,4.6,0.0457799121710583,"#ffd300"
1.2,4.8,0.0457799121710583,"#ffd300"
1.4,4.8,0.0457799121710583,"#ffd300"
2,6.4,0.0457799121710583,"#f781bf"
1.8,6.2,0.0457799121710583,"#f781bf"
1.6,6.2,0.0457799121710583,"#f781bf"
1,4.6,3.0039312448201e-05,"#e41a1c"
1.2,4.3,3.0039312448201e-05,"#e41a1c"
1.4,4.3,3.0039312448201e-05,"#e41a1c"
2,1.9,3.0039312448201e-05,"#f781bf"
1.8,2.2,3.0039312448201e-05,"#f781bf"
1.6,2.2,3.0039312448201e-05,"#f781bf"
1,4.6,1.57090584447867,"#f781bf"
1.2,4.6,1.57090584447867,"#f781bf"
1.4,4.6,1.57090584447867,"#f781bf"
2,4.6,1.57090584447867,"#f781bf"
1.8,4.6,1.57090584447867,"#f781bf"
1.6,4.6,1.57090584447867,"#f781bf"
1,4.6,0.243018037705946,"#AAAAAA"
1.2,4.2,0.243018037705946,"#AAAAAA"
1.4,4.2,0.243018037705946,"#AAAAAA"
2,1,0.243018037705946,"#f781bf"
1.8,1.4,0.243018037705946,"#f781bf"
1.6,1.4,0.243018037705946,"#f781bf"
1,4.6,0.0109042704186969,"#4daf4a"
1.2,4.7,0.0109042704186969,"#4daf4a"
1.4,4.7,0.0109042704186969,"#4daf4a"
2,5.5,0.0109042704186969,"#f781bf"
1.8,5.4,0.0109042704186969,"#f781bf"
1.6,5.4,0.0109042704186969,"#f781bf"
1,4.6,0.00790033917387685,"#a65628"
1.2,4.5,0.00790033917387685,"#a65628"
1.4,4.5,0.00790033917387685,"#a65628"
2,3.7,0.00790033917387685,"#f781bf"
1.8,3.8,0.00790033917387685,"#f781bf"
1.6,3.8,0.00790033917387685,"#f781bf"
1,1,0.316313960079556,"#ffd300"
1.2,1.6,0.316313960079556,"#ffd300"
1.4,1.6,0.316313960079556,"#ffd300"
2,6.4,0.316313960079556,"#AAAAAA"
1.8,5.8,0.316313960079556,"#AAAAAA"
1.6,5.8,0.316313960079556,"#AAAAAA"
1,1,0.00273357743278629,"#e41a1c"
1.2,1.1,0.00273357743278629,"#e41a1c"
1.4,1.1,0.00273357743278629,"#e41a1c"
