"yearFrom","yearTo","cropRotate","cropFrom","cropTo","plottingColorFrom","plottingColorTo","plotXAxisFrom","plotXAxisTo","plotYAxisFrom","plotYAxisTo","xEndFrom","xEndTo","yEndFrom_streamlined","yEndTo_streamlined","totalNumPixels_cropTransition","totalPercPixelsWiArea_cropTransition","totalNumPixels_cropYearFrom","totalPercPixelsWiArea_cropYearFrom","totalNumPixels_cropYearTo","totalPercPixelsWiArea_cropYearTo"
2008,2009,"corn_corn","corn","corn","#ffd300","#ffd300",1,2,6.4,6.4,1.2,1.8,6.4,6.4,14330,0.43046334738272,28980,0.870539274748864,32155,0.965914091771902
2008,2009,"corn_dryBeans","corn","dryBeans","#ffd300","#e41a1c",1,2,6.4,1.9,1.2,1.8,5.9,2.4,535,0.0160710321597875,28980,0.870539274748864,662,0.019886024840709
2008,2009,"corn_hay","corn","hay","#ffd300","#f781bf",1,2,6.4,4.6,1.2,1.8,6.2,4.8,421,0.0126465505406926,28980,0.870539274748864,58486,1.75687922784548
2008,2009,"corn_other","corn","other","#ffd300","#AAAAAA",1,2,6.4,1,1.2,1.8,5.8,1.6,10238,0.307542480844681,28980,0.870539274748864,3225548,96.8932441886697
2008,2009,"corn_soy","corn","soy","#ffd300","#4daf4a",1,2,6.4,5.5,1.2,1.8,6.3,5.6,2980,0.0895171510956389,28980,0.870539274748864,8902,0.267409959413885
2008,2009,"corn_springWheat","corn","springWheat","#ffd300","#a65628",1,2,6.4,3.7,1.2,1.8,6.1,4,463,0.013908201663517,28980,0.870539274748864,3192,0.0958854853346575
2008,2009,"corn_sugarbeets","corn","sugarbeets","#ffd300","#377eb8",1,2,6.4,2.8,1.2,1.8,6,3.2,13,0.000390511061826612,28980,0.870539274748864,26,0.000781022123653225
2008,2009,"dryBeans_corn","dryBeans","corn","#e41a1c","#ffd300",1,2,1.9,6.4,1.2,1.8,2.4,5.9,171,0.00513672242864236,492,0.0147793417245149,32155,0.965914091771902
2008,2009,"dryBeans_dryBeans","dryBeans","dryBeans","#e41a1c","#e41a1c",1,2,1.9,1.9,1.2,1.8,1.9,1.9,2,6.00786248964019e-05,492,0.0147793417245149,662,0.019886024840709
2008,2009,"dryBeans_hay","dryBeans","hay","#e41a1c","#f781bf",1,2,1.9,4.6,1.2,1.8,2.2,4.3,6,0.000180235874689206,492,0.0147793417245149,58486,1.75687922784548
2008,2009,"dryBeans_other","dryBeans","other","#e41a1c","#AAAAAA",1,2,1.9,1,1.2,1.8,1.8,1.1,273,0.00820073229835886,492,0.0147793417245149,3225548,96.8932441886697
2008,2009,"dryBeans_soy","dryBeans","soy","#e41a1c","#4daf4a",1,2,1.9,5.5,1.2,1.8,2.3,5.1,20,0.000600786248964019,492,0.0147793417245149,8902,0.267409959413885
2008,2009,"dryBeans_springWheat","dryBeans","springWheat","#e41a1c","#a65628",1,2,1.9,3.7,1.2,1.8,2.1,3.5,20,0.000600786248964019,492,0.0147793417245149,3192,0.0958854853346575
2008,2009,"hay_corn","hay","corn","#f781bf","#ffd300",1,2,4.6,6.4,1.2,1.8,4.8,6.2,1524,0.0457799121710583,62536,1.8785384432607,32155,0.965914091771902
2008,2009,"hay_dryBeans","hay","dryBeans","#f781bf","#e41a1c",1,2,4.6,1.9,1.2,1.8,4.3,2.2,1,3.0039312448201e-05,62536,1.8785384432607,662,0.019886024840709
2008,2009,"hay_hay","hay","hay","#f781bf","#f781bf",1,2,4.6,4.6,1.2,1.8,4.6,4.6,52295,1.57090584447867,62536,1.8785384432607,58486,1.75687922784548
2008,2009,"hay_other","hay","other","#f781bf","#AAAAAA",1,2,4.6,1,1.2,1.8,4.2,1.4,8090,0.243018037705946,62536,1.8785384432607,3225548,96.8932441886697
2008,2009,"hay_soy","hay","soy","#f781bf","#4daf4a",1,2,4.6,5.5,1.2,1.8,4.7,5.4,363,0.0109042704186969,62536,1.8785384432607,8902,0.267409959413885
2008,2009,"hay_springWheat","hay","springWheat","#f781bf","#a65628",1,2,4.6,3.7,1.2,1.8,4.5,3.8,263,0.00790033917387685,62536,1.8785384432607,3192,0.0958854853346575
2008,2009,"other_corn","other","corn","#AAAAAA","#ffd300",1,2,1,6.4,1.2,1.8,1.6,5.8,10530,0.316313960079556,3222160,96.7914709980952,32155,0.965914091771902
2008,2009,"other_dryBeans","other","dryBeans","#AAAAAA","#e41a1c",1,2,1,1.9,1.2,1.8,1.1,1.8,91,0.00273357743278629,3222160,96.7914709980952,662,0.019886024840709
2008,2009,"other_hay","other","hay","#AAAAAA","#f781bf",1,2,1,4.6,1.2,1.8,1.4,4.2,5518,0.165756926089173,3222160,96.7914709980952,58486,1.75687922784548
2008,2009,"other_other","other","other","#AAAAAA","#AAAAAA",1,2,1,1,1.2,1.8,1,1,3199232,96.1027296422829,3222160,96.7914709980952,3225548,96.8932441886697
2008,2009,"other_soy","other","soy","#AAAAAA","#4daf4a",1,2,1,5.5,1.2,1.8,1.5,5,4739,0.142356301692024,3222160,96.7914709980952,8902,0.267409959413885
2008,2009,"other_springWheat","other","springWheat","#AAAAAA","#a65628",1,2,1,3.7,1.2,1.8,1.3,3.4,2037,0.0611900794569854,3222160,96.7914709980952,3192,0.0958854853346575
2008,2009,"other_sugarbeets","other","sugarbeets","#AAAAAA","#377eb8",1,2,1,2.8,1.2,1.8,1.2,2.6,13,0.000390511061826612,3222160,96.7914709980952,26,0.000781022123653225
2008,2009,"soy_corn","soy","corn","#4daf4a","#ffd300",1,2,5.5,6.4,1.2,1.8,5.6,6.3,5338,0.160349849848497,12187,0.366089100806225,32155,0.965914091771902
2008,2009,"soy_dryBeans","soy","dryBeans","#4daf4a","#e41a1c",1,2,5.5,1.9,1.2,1.8,5.1,2.3,29,0.000871140060997828,12187,0.366089100806225,662,0.019886024840709
2008,2009,"soy_hay","soy","hay","#4daf4a","#f781bf",1,2,5.5,4.6,1.2,1.8,5.4,4.7,171,0.00513672242864236,12187,0.366089100806225,58486,1.75687922784548
2008,2009,"soy_other","soy","other","#4daf4a","#AAAAAA",1,2,5.5,1,1.2,1.8,5,1.5,5688,0.170863609205367,12187,0.366089100806225,3225548,96.8932441886697
2008,2009,"soy_soy","soy","soy","#4daf4a","#4daf4a",1,2,5.5,5.5,1.2,1.8,5.5,5.5,730,0.0219286980871867,12187,0.366089100806225,8902,0.267409959413885
2008,2009,"soy_springWheat","soy","springWheat","#4daf4a","#a65628",1,2,5.5,3.7,1.2,1.8,5.3,3.9,231,0.00693908117553442,12187,0.366089100806225,3192,0.0958854853346575
2008,2009,"springWheat_corn","springWheat","corn","#a65628","#ffd300",1,2,3.7,6.4,1.2,1.8,4,6.1,260,0.00781022123653225,2609,0.0783725661773563,32155,0.965914091771902
2008,2009,"springWheat_dryBeans","springWheat","dryBeans","#a65628","#e41a1c",1,2,3.7,1.9,1.2,1.8,3.5,2.1,4,0.000120157249792804,2609,0.0783725661773563,662,0.019886024840709
2008,2009,"springWheat_hay","springWheat","hay","#a65628","#f781bf",1,2,3.7,4.6,1.2,1.8,3.8,4.5,75,0.00225294843361507,2609,0.0783725661773563,58486,1.75687922784548
2008,2009,"springWheat_other","springWheat","other","#a65628","#AAAAAA",1,2,3.7,1,1.2,1.8,3.4,1.3,2022,0.0607394897702623,2609,0.0783725661773563,3225548,96.8932441886697
2008,2009,"springWheat_soy","springWheat","soy","#a65628","#4daf4a",1,2,3.7,5.5,1.2,1.8,3.9,5.3,70,0.00210275187137407,2609,0.0783725661773563,8902,0.267409959413885
2008,2009,"springWheat_springWheat","springWheat","springWheat","#a65628","#a65628",1,2,3.7,3.7,1.2,1.8,3.7,3.7,178,0.00534699761577977,2609,0.0783725661773563,3192,0.0958854853346575
