"xCoords","yCoords","width","colorToUse"
1,6.4,8.16026462458223,"#ffd300"
1.2,6.4,8.16026462458223,"#ffd300"
1.4,6.4,8.16026462458223,"#ffd300"
2,6.4,8.16026462458223,"#ffd300"
1.8,6.4,8.16026462458223,"#ffd300"
1.6,6.4,8.16026462458223,"#ffd300"
1,6.4,0.000355296163038303,"#e41a1c"
1.2,5.9,0.000355296163038303,"#e41a1c"
1.4,5.9,0.000355296163038303,"#e41a1c"
2,1.9,0.000355296163038303,"#ffd300"
1.8,2.4,0.000355296163038303,"#ffd300"
1.6,2.4,0.000355296163038303,"#ffd300"
1,6.4,0.0911334658193248,"#f781bf"
1.2,6.2,0.0911334658193248,"#f781bf"
1.4,6.2,0.0911334658193248,"#f781bf"
2,4.6,0.0911334658193248,"#ffd300"
1.8,4.8,0.0911334658193248,"#ffd300"
1.6,4.8,0.0911334658193248,"#ffd300"
1,6.4,2.53545263546851,"#AAAAAA"
1.2,5.8,2.53545263546851,"#AAAAAA"
1.4,5.8,2.53545263546851,"#AAAAAA"
2,1,2.53545263546851,"#ffd300"
1.8,1.6,2.53545263546851,"#ffd300"
1.6,1.6,2.53545263546851,"#ffd300"
1,6.4,10.7082710578114,"#4daf4a"
1.2,6.3,10.7082710578114,"#4daf4a"
1.4,6.3,10.7082710578114,"#4daf4a"
2,5.5,10.7082710578114,"#ffd300"
1.8,5.6,10.7082710578114,"#ffd300"
1.6,5.6,10.7082710578114,"#ffd300"
1,6.4,0.0961668281290341,"#a65628"
1.2,6.1,0.0961668281290341,"#a65628"
1.4,6.1,0.0961668281290341,"#a65628"
2,3.7,0.0961668281290341,"#ffd300"
1.8,4,0.0961668281290341,"#ffd300"
1.6,4,0.0961668281290341,"#ffd300"
1,1.9,0.00124353657063406,"#ffd300"
1.2,2.4,0.00124353657063406,"#ffd300"
1.4,2.4,0.00124353657063406,"#ffd300"
2,6.4,0.00124353657063406,"#e41a1c"
1.8,5.9,0.00124353657063406,"#e41a1c"
1.6,5.9,0.00124353657063406,"#e41a1c"
1,1.9,0.00278315327713338,"#AAAAAA"
1.2,1.8,0.00278315327713338,"#AAAAAA"
1.4,1.8,0.00278315327713338,"#AAAAAA"
2,1,0.00278315327713338,"#e41a1c"
1.8,1.1,0.00278315327713338,"#e41a1c"
1.6,1.1,0.00278315327713338,"#e41a1c"
1,1.9,0.000473728217384404,"#4daf4a"
1.2,2.3,0.000473728217384404,"#4daf4a"
1.4,2.3,0.000473728217384404,"#4daf4a"
2,5.5,0.000473728217384404,"#e41a1c"
1.8,5.1,0.000473728217384404,"#e41a1c"
1.6,5.1,0.000473728217384404,"#e41a1c"
1,4.6,0.19624191405149,"#ffd300"
1.2,4.8,0.19624191405149,"#ffd300"
1.4,4.8,0.19624191405149,"#ffd300"
2,6.4,0.19624191405149,"#f781bf"
1.8,6.2,0.19624191405149,"#f781bf"
1.6,6.2,0.19624191405149,"#f781bf"
1,4.6,0.406695674624511,"#f781bf"
1.2,4.6,0.406695674624511,"#f781bf"
1.4,4.6,0.406695674624511,"#f781bf"
2,4.6,0.406695674624511,"#f781bf"
1.8,4.6,0.406695674624511,"#f781bf"
1.6,4.6,0.406695674624511,"#f781bf"
1,4.6,0.315325344696494,"#AAAAAA"
1.2,4.2,0.315325344696494,"#AAAAAA"
1.4,4.2,0.315325344696494,"#AAAAAA"
2,1,0.315325344696494,"#f781bf"
1.8,1.4,0.315325344696494,"#f781bf"
1.6,1.4,0.315325344696494,"#f781bf"
1,4.6,0.0567289540317824,"#4daf4a"
1.2,4.7,0.0567289540317824,"#4daf4a"
1.4,4.7,0.0567289540317824,"#4daf4a"
2,5.5,0.0567289540317824,"#f781bf"
1.8,5.4,0.0567289540317824,"#f781bf"
1.6,5.4,0.0567289540317824,"#f781bf"
1,4.6,0.00390825779342134,"#a65628"
1.2,4.5,0.00390825779342134,"#a65628"
1.4,4.5,0.00390825779342134,"#a65628"
2,3.7,0.00390825779342134,"#f781bf"
1.8,3.8,0.00390825779342134,"#f781bf"
1.6,3.8,0.00390825779342134,"#f781bf"
1,1,2.31262272521632,"#ffd300"
1.2,1.6,2.31262272521632,"#ffd300"
1.4,1.6,2.31262272521632,"#ffd300"
2,6.4,2.31262272521632,"#AAAAAA"
1.8,5.8,2.31262272521632,"#AAAAAA"
1.6,5.8,2.31262272521632,"#AAAAAA"
1,1,0.00136196862498016,"#e41a1c"
1.2,1.1,0.00136196862498016,"#e41a1c"
1.4,1.1,0.00136196862498016,"#e41a1c"
2,1.9,0.00136196862498016,"#AAAAAA"
1.8,1.8,0.00136196862498016,"#AAAAAA"
1.6,1.8,0.00136196862498016,"#AAAAAA"
1,1,0.358316180424129,"#f781bf"
1.2,1.4,0.358316180424129,"#f781bf"
1.4,1.4,0.358316180424129,"#f781bf"
2,4.6,0.358316180424129,"#AAAAAA"
1.8,4.2,0.358316180424129,"#AAAAAA"
1.6,4.2,0.358316180424129,"#AAAAAA"
1,1,57.4354012359569,"#AAAAAA"
1.2,1,57.4354012359569,"#AAAAAA"
1.4,1,57.4354012359569,"#AAAAAA"
2,1,57.4354012359569,"#AAAAAA"
1.8,1,57.4354012359569,"#AAAAAA"
1.6,1,57.4354012359569,"#AAAAAA"
1,1,1.61902539893837,"#4daf4a"
1.2,1.5,1.61902539893837,"#4daf4a"
1.4,1.5,1.61902539893837,"#4daf4a"
2,5.5,1.61902539893837,"#AAAAAA"
1.8,5,1.61902539893837,"#AAAAAA"
1.6,5,1.61902539893837,"#AAAAAA"
1,1,0.136670590715401,"#a65628"
1.2,1.3,0.136670590715401,"#a65628"
1.4,1.3,0.136670590715401,"#a65628"
2,3.7,0.136670590715401,"#AAAAAA"
1.8,3.4,0.136670590715401,"#AAAAAA"
1.6,3.4,0.136670590715401,"#AAAAAA"
1,5.5,10.686242695703,"#ffd300"
1.2,5.6,10.686242695703,"#ffd300"
1.4,5.6,10.686242695703,"#ffd300"
2,6.4,10.686242695703,"#4daf4a"
1.8,6.3,10.686242695703,"#4daf4a"
1.6,6.3,10.686242695703,"#4daf4a"
1,5.5,0.00112510451628796,"#e41a1c"
1.2,5.1,0.00112510451628796,"#e41a1c"
1.4,5.1,0.00112510451628796,"#e41a1c"
2,1.9,0.00112510451628796,"#4daf4a"
1.8,2.3,0.00112510451628796,"#4daf4a"
1.6,2.3,0.00112510451628796,"#4daf4a"
1,5.5,0.0570250341676477,"#f781bf"
1.2,5.4,0.0570250341676477,"#f781bf"
1.4,5.4,0.0570250341676477,"#f781bf"
2,4.6,0.0570250341676477,"#4daf4a"
1.8,4.7,0.0570250341676477,"#4daf4a"
1.6,4.7,0.0570250341676477,"#4daf4a"
1,5.5,1.99321147464488,"#AAAAAA"
1.2,5,1.99321147464488,"#AAAAAA"
1.4,5,1.99321147464488,"#AAAAAA"
2,1,1.99321147464488,"#4daf4a"
1.8,1.5,1.99321147464488,"#4daf4a"
1.6,1.5,1.99321147464488,"#4daf4a"
1,5.5,2.04141332076374,"#4daf4a"
1.2,5.5,2.04141332076374,"#4daf4a"
1.4,5.5,2.04141332076374,"#4daf4a"
2,5.5,2.04141332076374,"#4daf4a"
1.8,5.5,2.04141332076374,"#4daf4a"
1.6,5.5,2.04141332076374,"#4daf4a"
1,5.5,0.299692313522809,"#a65628"
1.2,5.3,0.299692313522809,"#a65628"
1.4,5.3,0.299692313522809,"#a65628"
2,3.7,0.299692313522809,"#4daf4a"
1.8,3.9,0.299692313522809,"#4daf4a"
1.6,3.9,0.299692313522809,"#4daf4a"
1,3.7,0.123169336519945,"#ffd300"
1.2,4,0.123169336519945,"#ffd300"
1.4,4,0.123169336519945,"#ffd300"
2,6.4,0.123169336519945,"#a65628"
1.8,6.1,0.123169336519945,"#a65628"
1.6,6.1,0.123169336519945,"#a65628"
1,3.7,5.92160271730505e-05,"#e41a1c"
1.2,3.5,5.92160271730505e-05,"#e41a1c"
1.4,3.5,5.92160271730505e-05,"#e41a1c"
2,1.9,5.92160271730505e-05,"#a65628"
1.8,2.1,5.92160271730505e-05,"#a65628"
1.6,2.1,5.92160271730505e-05,"#a65628"
1,3.7,0.0154553830921662,"#f781bf"
1.2,3.8,0.0154553830921662,"#f781bf"
1.4,3.8,0.0154553830921662,"#f781bf"
2,4.6,0.0154553830921662,"#a65628"
1.8,4.5,0.0154553830921662,"#a65628"
1.6,4.5,0.0154553830921662,"#a65628"
1,3.7,0.118195190237409,"#AAAAAA"
1.2,3.4,0.118195190237409,"#AAAAAA"
1.4,3.4,0.118195190237409,"#AAAAAA"
2,1,0.118195190237409,"#a65628"
1.8,1.3,0.118195190237409,"#a65628"
1.6,1.3,0.118195190237409,"#a65628"
1,3.7,0.21702673958923,"#4daf4a"
1.2,3.9,0.21702673958923,"#4daf4a"
1.4,3.9,0.21702673958923,"#4daf4a"
2,5.5,0.21702673958923,"#a65628"
1.8,5.3,0.21702673958923,"#a65628"
