"xCoords","yCoords","width","colorToUse"
1,6.4,11.2221962291827,"#ffd300"
1.2,6.4,11.2221962291827,"#ffd300"
1.4,6.4,11.2221962291827,"#ffd300"
2,6.4,11.2221962291827,"#ffd300"
1.8,6.4,11.2221962291827,"#ffd300"
1.6,6.4,11.2221962291827,"#ffd300"
1,6.4,0.0290050707502434,"#e41a1c"
1.2,5.9,0.0290050707502434,"#e41a1c"
1.4,5.9,0.0290050707502434,"#e41a1c"
2,1.9,0.0290050707502434,"#ffd300"
1.8,2.4,0.0290050707502434,"#ffd300"
1.6,2.4,0.0290050707502434,"#ffd300"
1,6.4,0.204537120167929,"#f781bf"
1.2,6.2,0.204537120167929,"#f781bf"
1.4,6.2,0.204537120167929,"#f781bf"
2,4.6,0.204537120167929,"#ffd300"
1.8,4.8,0.204537120167929,"#ffd300"
1.6,4.8,0.204537120167929,"#ffd300"
1,6.4,1.92745412931045,"#AAAAAA"
1.2,5.8,1.92745412931045,"#AAAAAA"
1.4,5.8,1.92745412931045,"#AAAAAA"
2,1,1.92745412931045,"#ffd300"
1.8,1.6,1.92745412931045,"#ffd300"
1.6,1.6,1.92745412931045,"#ffd300"
1,6.4,28.5029747979919,"#4daf4a"
1.2,6.3,28.5029747979919,"#4daf4a"
1.4,6.3,28.5029747979919,"#4daf4a"
2,5.5,28.5029747979919,"#ffd300"
1.8,5.6,28.5029747979919,"#ffd300"
1.6,5.6,28.5029747979919,"#ffd300"
1,6.4,0.0135146242460262,"#a65628"
1.2,6.1,0.0135146242460262,"#a65628"
1.4,6.1,0.0135146242460262,"#a65628"
2,3.7,0.0135146242460262,"#ffd300"
1.8,4,0.0135146242460262,"#ffd300"
1.6,4,0.0135146242460262,"#ffd300"
1,1.9,0.0222082421820665,"#ffd300"
1.2,2.4,0.0222082421820665,"#ffd300"
1.4,2.4,0.0222082421820665,"#ffd300"
2,6.4,0.0222082421820665,"#e41a1c"
1.8,5.9,0.0222082421820665,"#e41a1c"
1.6,5.9,0.0222082421820665,"#e41a1c"
1,1.9,0.0154114136138896,"#AAAAAA"
1.2,1.8,0.0154114136138896,"#AAAAAA"
1.4,1.8,0.0154114136138896,"#AAAAAA"
2,1,0.0154114136138896,"#e41a1c"
1.8,1.1,0.0154114136138896,"#e41a1c"
1.6,1.1,0.0154114136138896,"#e41a1c"
1,1.9,0.00150162491622514,"#4daf4a"
1.2,2.3,0.00150162491622514,"#4daf4a"
1.4,2.3,0.00150162491622514,"#4daf4a"
2,5.5,0.00150162491622514,"#e41a1c"
1.8,5.1,0.00150162491622514,"#e41a1c"
1.6,5.1,0.00150162491622514,"#e41a1c"
1,4.6,0.329962317117892,"#ffd300"
1.2,4.8,0.329962317117892,"#ffd300"
1.4,4.8,0.329962317117892,"#ffd300"
2,6.4,0.329962317117892,"#f781bf"
1.8,6.2,0.329962317117892,"#f781bf"
1.6,6.2,0.329962317117892,"#f781bf"
1,4.6,7.90328903276387e-05,"#e41a1c"
1.2,4.3,7.90328903276387e-05,"#e41a1c"
1.4,4.3,7.90328903276387e-05,"#e41a1c"
2,1.9,7.90328903276387e-05,"#f781bf"
1.8,2.2,7.90328903276387e-05,"#f781bf"
1.6,2.2,7.90328903276387e-05,"#f781bf"
1,4.6,0.610766176451992,"#f781bf"
1.2,4.6,0.610766176451992,"#f781bf"
1.4,4.6,0.610766176451992,"#f781bf"
2,4.6,0.610766176451992,"#f781bf"
1.8,4.6,0.610766176451992,"#f781bf"
1.6,4.6,0.610766176451992,"#f781bf"
1,4.6,0.467321480507328,"#AAAAAA"
1.2,4.2,0.467321480507328,"#AAAAAA"
1.4,4.2,0.467321480507328,"#AAAAAA"
2,1,0.467321480507328,"#f781bf"
1.8,1.4,0.467321480507328,"#f781bf"
1.6,1.4,0.467321480507328,"#f781bf"
1,4.6,0.0460761750610134,"#4daf4a"
1.2,4.7,0.0460761750610134,"#4daf4a"
1.4,4.7,0.0460761750610134,"#4daf4a"
2,5.5,0.0460761750610134,"#f781bf"
1.8,5.4,0.0460761750610134,"#f781bf"
1.6,5.4,0.0460761750610134,"#f781bf"
1,4.6,0.00158065780655278,"#a65628"
1.2,4.5,0.00158065780655278,"#a65628"
1.4,4.5,0.00158065780655278,"#a65628"
2,3.7,0.00158065780655278,"#f781bf"
1.8,3.8,0.00158065780655278,"#f781bf"
1.6,3.8,0.00158065780655278,"#f781bf"
1,1,1.60879351550941,"#ffd300"
1.2,1.6,1.60879351550941,"#ffd300"
1.4,1.6,1.60879351550941,"#ffd300"
2,6.4,1.60879351550941,"#AAAAAA"
1.8,5.8,1.60879351550941,"#AAAAAA"
1.6,5.8,1.60879351550941,"#AAAAAA"
1,1,0.00276615116146736,"#e41a1c"
1.2,1.1,0.00276615116146736,"#e41a1c"
1.4,1.1,0.00276615116146736,"#e41a1c"
2,1.9,0.00276615116146736,"#AAAAAA"
1.8,1.8,0.00276615116146736,"#AAAAAA"
1.6,1.8,0.00276615116146736,"#AAAAAA"
1,1,0.465977921371758,"#f781bf"
1.2,1.4,0.465977921371758,"#f781bf"
1.4,1.4,0.465977921371758,"#f781bf"
2,4.6,0.465977921371758,"#AAAAAA"
1.8,4.2,0.465977921371758,"#AAAAAA"
1.6,4.2,0.465977921371758,"#AAAAAA"
1,1,21.2045244749055,"#AAAAAA"
1.2,1,21.2045244749055,"#AAAAAA"
1.4,1,21.2045244749055,"#AAAAAA"
2,1,21.2045244749055,"#AAAAAA"
1.8,1,21.2045244749055,"#AAAAAA"
1.6,1,21.2045244749055,"#AAAAAA"
1,1,1.35035596413804,"#4daf4a"
1.2,1.5,1.35035596413804,"#4daf4a"
1.4,1.5,1.35035596413804,"#4daf4a"
