"yearFrom","yearTo","cropRotate","cropFrom","cropTo","plottingColorFrom","plottingColorTo","plotXAxisFrom","plotXAxisTo","plotYAxisFrom","plotYAxisTo","xEndFrom","xEndTo","yEndFrom_streamlined","yEndTo_streamlined","totalNumPixels_cropTransition","totalPercPixelsWiArea_cropTransition","totalNumPixels_cropYearFrom","totalPercPixelsWiArea_cropYearFrom","totalNumPixels_cropYearTo","totalPercPixelsWiArea_cropYearTo"
2008,2009,"corn_corn","corn","corn","#ffd300","#ffd300",1,2,6.4,6.4,1.2,1.8,6.4,6.4,141994,11.2221962291827,530155,41.8996819716493,520180,41.1113288906311
2008,2009,"corn_dryBeans","corn","dryBeans","#ffd300","#e41a1c",1,2,6.4,1.9,1.2,1.8,5.9,2.4,367,0.0290050707502434,530155,41.8996819716493,432,0.0341422086215399
2008,2009,"corn_hay","corn","hay","#ffd300","#f781bf",1,2,6.4,4.6,1.2,1.8,6.2,4.8,2588,0.204537120167929,530155,41.8996819716493,17627,1.39311275780529
2008,2009,"corn_other","corn","other","#ffd300","#AAAAAA",1,2,6.4,1,1.2,1.8,5.8,1.6,24388,1.92745412931045,530155,41.8996819716493,319580,25.2573310909068
2008,2009,"corn_soy","corn","soy","#ffd300","#4daf4a",1,2,6.4,5.5,1.2,1.8,6.3,5.6,360647,28.5029747979919,530155,41.8996819716493,407004,32.1667024949103
2008,2009,"corn_springWheat","corn","springWheat","#ffd300","#a65628",1,2,6.4,3.7,1.2,1.8,6.1,4,171,0.0135146242460262,530155,41.8996819716493,473,0.0373825571249731
2008,2009,"dryBeans_corn","dryBeans","corn","#e41a1c","#ffd300",1,2,1.9,6.4,1.2,1.8,2.4,5.9,281,0.0222082421820665,495,0.0391212807121812,520180,41.1113288906311
2008,2009,"dryBeans_other","dryBeans","other","#e41a1c","#AAAAAA",1,2,1.9,1,1.2,1.8,1.8,1.1,195,0.0154114136138896,495,0.0391212807121812,319580,25.2573310909068
2008,2009,"dryBeans_soy","dryBeans","soy","#e41a1c","#4daf4a",1,2,1.9,5.5,1.2,1.8,2.3,5.1,19,0.00150162491622514,495,0.0391212807121812,407004,32.1667024949103
2008,2009,"hay_corn","hay","corn","#f781bf","#ffd300",1,2,4.6,6.4,1.2,1.8,4.8,6.2,4175,0.329962317117892,18420,1.45578583983511,520180,41.1113288906311
2008,2009,"hay_dryBeans","hay","dryBeans","#f781bf","#e41a1c",1,2,4.6,1.9,1.2,1.8,4.3,2.2,1,7.90328903276387e-05,18420,1.45578583983511,432,0.0341422086215399
2008,2009,"hay_hay","hay","hay","#f781bf","#f781bf",1,2,4.6,4.6,1.2,1.8,4.6,4.6,7728,0.610766176451992,18420,1.45578583983511,17627,1.39311275780529
2008,2009,"hay_other","hay","other","#f781bf","#AAAAAA",1,2,4.6,1,1.2,1.8,4.2,1.4,5913,0.467321480507328,18420,1.45578583983511,319580,25.2573310909068
2008,2009,"hay_soy","hay","soy","#f781bf","#4daf4a",1,2,4.6,5.5,1.2,1.8,4.7,5.4,583,0.0460761750610134,18420,1.45578583983511,407004,32.1667024949103
2008,2009,"hay_springWheat","hay","springWheat","#f781bf","#a65628",1,2,4.6,3.7,1.2,1.8,4.5,3.8,20,0.00158065780655278,18420,1.45578583983511,473,0.0373825571249731
2008,2009,"other_corn","other","corn","#AAAAAA","#ffd300",1,2,1,6.4,1.2,1.8,1.6,5.8,20356,1.60879351550941,311735,24.6373180662865,520180,41.1113288906311
2008,2009,"other_dryBeans","other","dryBeans","#AAAAAA","#e41a1c",1,2,1,1.9,1.2,1.8,1.1,1.8,35,0.00276615116146736,311735,24.6373180662865,432,0.0341422086215399
2008,2009,"other_hay","other","hay","#AAAAAA","#f781bf",1,2,1,4.6,1.2,1.8,1.4,4.2,5896,0.465977921371758,311735,24.6373180662865,17627,1.39311275780529
2008,2009,"other_other","other","other","#AAAAAA","#AAAAAA",1,2,1,1,1.2,1.8,1,1,268300,21.2045244749055,311735,24.6373180662865,319580,25.2573310909068
2008,2009,"other_soy","other","soy","#AAAAAA","#4daf4a",1,2,1,5.5,1.2,1.8,1.5,5,17086,1.35035596413804,311735,24.6373180662865,407004,32.1667024949103
2008,2009,"other_springWheat","other","springWheat","#AAAAAA","#a65628",1,2,1,3.7,1.2,1.8,1.3,3.4,62,0.0049000392003136,311735,24.6373180662865,473,0.0373825571249731
2008,2009,"soy_corn","soy","corn","#4daf4a","#ffd300",1,2,5.5,6.4,1.2,1.8,5.6,6.3,352677,27.8730826620807,403261,31.8708823864139,520180,41.1113288906311
2008,2009,"soy_dryBeans","soy","dryBeans","#4daf4a","#e41a1c",1,2,5.5,1.9,1.2,1.8,5.1,2.3,29,0.00229195381950152,403261,31.8708823864139,432,0.0341422086215399
2008,2009,"soy_hay","soy","hay","#4daf4a","#f781bf",1,2,5.5,4.6,1.2,1.8,5.4,4.7,1311,0.103612119219534,403261,31.8708823864139,17627,1.39311275780529
2008,2009,"soy_other","soy","other","#4daf4a","#AAAAAA",1,2,5.5,1,1.2,1.8,5,1.5,20639,1.63115982347214,403261,31.8708823864139,319580,25.2573310909068
2008,2009,"soy_soy","soy","soy","#4daf4a","#4daf4a",1,2,5.5,5.5,1.2,1.8,5.5,5.5,28386,2.24342762484035,403261,31.8708823864139,407004,32.1667024949103
2008,2009,"soy_springWheat","soy","springWheat","#4daf4a","#a65628",1,2,5.5,3.7,1.2,1.8,5.3,3.9,219,0.0173082029817529,403261,31.8708823864139,473,0.0373825571249731
2008,2009,"springWheat_corn","springWheat","corn","#a65628","#ffd300",1,2,3.7,6.4,1.2,1.8,4,6.1,697,0.0550859245583642,1230,0.0972104551029957,520180,41.1113288906311
2008,2009,"springWheat_hay","springWheat","hay","#a65628","#f781bf",1,2,3.7,4.6,1.2,1.8,3.8,4.5,104,0.00821942059407443,1230,0.0972104551029957,17627,1.39311275780529
2008,2009,"springWheat_other","springWheat","other","#a65628","#AAAAAA",1,2,3.7,1,1.2,1.8,3.4,1.3,145,0.0114597690975076,1230,0.0972104551029957,319580,25.2573310909068
2008,2009,"springWheat_soy","springWheat","soy","#a65628","#4daf4a",1,2,3.7,5.5,1.2,1.8,3.9,5.3,283,0.0223663079627218,1230,0.0972104551029957,407004,32.1667024949103
2008,2009,"springWheat_springWheat","springWheat","springWheat","#a65628","#a65628",1,2,3.7,3.7,1.2,1.8,3.7,3.7,1,7.90328903276387e-05,1230,0.0972104551029957,473,0.0373825571249731
2009,2010,"corn_corn","corn","corn","#ffd300","#ffd300",2,3,6.4,6.4,2.2,2.8,6.4,6.4,135547,10.7126711852404,520180,41.1113288906311,522072,41.260859119131
2009,2010,"corn_dryBeans","corn","dryBeans","#ffd300","#e41a1c",2,3,6.4,1.9,2.2,2.8,5.9,2.4,1181,0.0933378434769414,520180,41.1113288906311,2776,0.219395303549525
2009,2010,"corn_hay","corn","hay","#ffd300","#f781bf",2,3,6.4,4.6,2.2,2.8,6.2,4.8,1410,0.111436375361971,520180,41.1113288906311,18948,1.4975152059281
