"X","cropCode","numPixelsWiZone","cropCodeFrom","cropCodeTo","yearFrom","yearTo"
"Douglas",1005,180334,1,5,2008,2009
"Douglas",1023,11778,1,23,2008,2009
"Douglas",1028,3016,1,28,2008,2009
"Douglas",1036,1566,1,36,2008,2009
"Douglas",1037,126,1,37,2008,2009
"Douglas",1043,9,1,43,2008,2009
"Douglas",1044,2,1,44,2008,2009
"Douglas",1061,149,1,61,2008,2009
"Douglas",1111,93,1,111,2008,2009
"Douglas",1121,238,1,121,2008,2009
"Douglas",1152,69,1,152,2008,2009
"Douglas",1176,22902,1,176,2008,2009
"Douglas",1190,24,1,190,2008,2009
"Douglas",1195,1827,1,195,2008,2009
"Douglas",5005,59339,5,5,2008,2009
"Douglas",5023,60104,5,23,2008,2009
"Douglas",5024,107,5,24,2008,2009
"Douglas",5028,1822,5,28,2008,2009
"Douglas",5031,1,5,31,2008,2009
"Douglas",5036,1300,5,36,2008,2009
"Douglas",5037,168,5,37,2008,2009
"Douglas",5043,235,5,43,2008,2009
"Douglas",5044,3,5,44,2008,2009
"Douglas",5058,6,5,58,2008,2009
"Douglas",5061,83,5,61,2008,2009
"Douglas",5111,56,5,111,2008,2009
"Douglas",5121,264,5,121,2008,2009
"Douglas",5141,501,5,141,2008,2009
"Douglas",5142,16,5,142,2008,2009
"Douglas",5152,36,5,152,2008,2009
"Douglas",5176,23965,5,176,2008,2009
"Douglas",5190,8,5,190,2008,2009
"Douglas",5195,975,5,195,2008,2009
"Douglas",6005,64,6,5,2008,2009
"Douglas",6023,5,6,23,2008,2009
"Douglas",6131,3,6,131,2008,2009
"Douglas",6176,119,6,176,2008,2009
"Douglas",6195,2,6,195,2008,2009
"Douglas",21005,20,21,5,2008,2009
"Douglas",21023,15,21,23,2008,2009
"Douglas",21028,3,21,28,2008,2009
"Douglas",21036,31,21,36,2008,2009
"Douglas",21037,1,21,37,2008,2009
"Douglas",21141,11,21,141,2008,2009
"Douglas",21176,44,21,176,2008,2009
"Douglas",21195,2,21,195,2008,2009
"Douglas",23005,45867,23,5,2008,2009
"Douglas",23023,8760,23,23,2008,2009
