"xCoords","yCoords","width","colorToUse"
1,6.4,2.15645564614335,"#ffd300"
1.2,6.4,2.15645564614335,"#ffd300"
1.4,6.4,2.15645564614335,"#ffd300"
2,6.4,2.15645564614335,"#ffd300"
1.8,6.4,2.15645564614335,"#ffd300"
1.6,6.4,2.15645564614335,"#ffd300"
1,6.4,0.0450929469325945,"#e41a1c"
1.2,5.9,0.0450929469325945,"#e41a1c"
1.4,5.9,0.0450929469325945,"#e41a1c"
2,1.9,0.0450929469325945,"#ffd300"
1.8,2.4,0.0450929469325945,"#ffd300"
1.6,2.4,0.0450929469325945,"#ffd300"
1,6.4,0.0755246576432545,"#f781bf"
1.2,6.2,0.0755246576432545,"#f781bf"
1.4,6.2,0.0755246576432545,"#f781bf"
2,4.6,0.0755246576432545,"#ffd300"
1.8,4.8,0.0755246576432545,"#ffd300"
1.6,4.8,0.0755246576432545,"#ffd300"
1,6.4,1.48604168324496,"#AAAAAA"
1.2,5.8,1.48604168324496,"#AAAAAA"
1.4,5.8,1.48604168324496,"#AAAAAA"
2,1,1.48604168324496,"#ffd300"
1.8,1.6,1.48604168324496,"#ffd300"
1.6,1.6,1.48604168324496,"#ffd300"
1,6.4,8.6971032001524,"#4daf4a"
1.2,6.3,8.6971032001524,"#4daf4a"
1.4,6.3,8.6971032001524,"#4daf4a"
2,5.5,8.6971032001524,"#ffd300"
1.8,5.6,8.6971032001524,"#ffd300"
1.6,5.6,8.6971032001524,"#ffd300"
1,6.4,0.5680264480985,"#a65628"
1.2,6.1,0.5680264480985,"#a65628"
1.4,6.1,0.5680264480985,"#a65628"
2,3.7,0.5680264480985,"#ffd300"
1.8,4,0.5680264480985,"#ffd300"
1.6,4,0.5680264480985,"#ffd300"
1,6.4,0.00163974352482162,"#377eb8"
1.2,6,0.00163974352482162,"#377eb8"
1.4,6,0.00163974352482162,"#377eb8"
2,2.8,0.00163974352482162,"#ffd300"
1.8,3.2,0.00163974352482162,"#ffd300"
1.6,3.2,0.00163974352482162,"#ffd300"
1,1.9,0.00520859707884514,"#ffd300"
1.2,2.4,0.00520859707884514,"#ffd300"
1.4,2.4,0.00520859707884514,"#ffd300"
2,6.4,0.00520859707884514,"#e41a1c"
1.8,5.9,0.00520859707884514,"#e41a1c"
1.6,5.9,0.00520859707884514,"#e41a1c"
1,1.9,0.000289366504380285,"#e41a1c"
1.2,1.9,0.000289366504380285,"#e41a1c"
1.4,1.9,0.000289366504380285,"#e41a1c"
2,1.9,0.000289366504380285,"#e41a1c"
1.8,1.9,0.000289366504380285,"#e41a1c"
1.6,1.9,0.000289366504380285,"#e41a1c"
1,1.9,0.00135037702044133,"#f781bf"
1.2,2.2,0.00135037702044133,"#f781bf"
1.4,2.2,0.00135037702044133,"#f781bf"
2,4.6,0.00135037702044133,"#e41a1c"
1.8,4.3,0.00135037702044133,"#e41a1c"
