"yearFrom","yearTo","cropRotate","cropFrom","cropTo","plottingColorFrom","plottingColorTo","plotXAxisFrom","plotXAxisTo","plotYAxisFrom","plotYAxisTo","xEndFrom","xEndTo","yEndFrom_streamlined","yEndTo_streamlined","totalNumPixels_cropTransition","totalPercPixelsWiArea_cropTransition","totalNumPixels_cropYearFrom","totalPercPixelsWiArea_cropYearFrom","totalNumPixels_cropYearTo","totalPercPixelsWiArea_cropYearTo"
2008,2009,"corn_corn","corn","corn","#ffd300","#ffd300",1,2,6.4,6.4,1.2,1.8,6.4,6.4,44714,2.15645564614335,270174,13.0298843257399,245674,11.8483044328537
2008,2009,"corn_dryBeans","corn","dryBeans","#ffd300","#e41a1c",1,2,6.4,1.9,1.2,1.8,5.9,2.4,935,0.0450929469325945,270174,13.0298843257399,2465,0.118881405549567
2008,2009,"corn_hay","corn","hay","#ffd300","#f781bf",1,2,6.4,4.6,1.2,1.8,6.2,4.8,1566,0.0755246576432545,270174,13.0298843257399,53602,2.58510389463201
2008,2009,"corn_other","corn","other","#ffd300","#AAAAAA",1,2,6.4,1,1.2,1.8,5.8,1.6,30813,1.48604168324496,270174,13.0298843257399,1372141,66.1752741144782
2008,2009,"corn_soy","corn","soy","#ffd300","#4daf4a",1,2,6.4,5.5,1.2,1.8,6.3,5.6,180334,8.6971032001524,270174,13.0298843257399,311487,15.0223173916503
2008,2009,"corn_springWheat","corn","springWheat","#ffd300","#a65628",1,2,6.4,3.7,1.2,1.8,6.1,4,11778,0.5680264480985,270174,13.0298843257399,88024,4.24519953026171
2008,2009,"corn_sugarbeets","corn","sugarbeets","#ffd300","#377eb8",1,2,6.4,2.8,1.2,1.8,6,3.2,34,0.00163974352482162,270174,13.0298843257399,102,0.00491923057446485
2008,2009,"dryBeans_corn","dryBeans","corn","#e41a1c","#ffd300",1,2,1.9,6.4,1.2,1.8,2.4,5.9,108,0.00520859707884514,1374,0.0662649295030854,245674,11.8483044328537
2008,2009,"dryBeans_dryBeans","dryBeans","dryBeans","#e41a1c","#e41a1c",1,2,1.9,1.9,1.2,1.8,1.9,1.9,6,0.000289366504380285,1374,0.0662649295030854,2465,0.118881405549567
2008,2009,"dryBeans_hay","dryBeans","hay","#e41a1c","#f781bf",1,2,1.9,4.6,1.2,1.8,2.2,4.3,28,0.00135037702044133,1374,0.0662649295030854,53602,2.58510389463201
2008,2009,"dryBeans_other","dryBeans","other","#e41a1c","#AAAAAA",1,2,1.9,1,1.2,1.8,1.8,1.1,321,0.0154811079843453,1374,0.0662649295030854,1372141,66.1752741144782
2008,2009,"dryBeans_soy","dryBeans","soy","#e41a1c","#4daf4a",1,2,1.9,5.5,1.2,1.8,2.3,5.1,848,0.0408971326190803,1374,0.0662649295030854,311487,15.0223173916503
2008,2009,"dryBeans_springWheat","dryBeans","springWheat","#e41a1c","#a65628",1,2,1.9,3.7,1.2,1.8,2.1,3.5,62,0.00299012054526295,1374,0.0662649295030854,88024,4.24519953026171
2008,2009,"dryBeans_sugarbeets","dryBeans","sugarbeets","#e41a1c","#377eb8",1,2,1.9,2.8,1.2,1.8,2,2.7,1,4.82277507300476e-05,1374,0.0662649295030854,102,0.00491923057446485
2008,2009,"hay_corn","hay","corn","#f781bf","#ffd300",1,2,4.6,6.4,1.2,1.8,4.8,6.2,6254,0.301616353065718,55908,2.6963170878155,245674,11.8483044328537
2008,2009,"hay_dryBeans","hay","dryBeans","#f781bf","#e41a1c",1,2,4.6,1.9,1.2,1.8,4.3,2.2,11,0.000530505258030523,55908,2.6963170878155,2465,0.118881405549567
2008,2009,"hay_hay","hay","hay","#f781bf","#f781bf",1,2,4.6,4.6,1.2,1.8,4.6,4.6,29410,1.4183781489707,55908,2.6963170878155,53602,2.58510389463201
2008,2009,"hay_other","hay","other","#f781bf","#AAAAAA",1,2,4.6,1,1.2,1.8,4.2,1.4,17655,0.85146093913899,55908,2.6963170878155,1372141,66.1752741144782
2008,2009,"hay_soy","hay","soy","#f781bf","#4daf4a",1,2,4.6,5.5,1.2,1.8,4.7,5.4,1587,0.0765374404085855,55908,2.6963170878155,311487,15.0223173916503
2008,2009,"hay_springWheat","hay","springWheat","#f781bf","#a65628",1,2,4.6,3.7,1.2,1.8,4.5,3.8,990,0.0477454732227471,55908,2.6963170878155,88024,4.24519953026171
2008,2009,"hay_sugarbeets","hay","sugarbeets","#f781bf","#377eb8",1,2,4.6,2.8,1.2,1.8,4.4,3,1,4.82277507300476e-05,55908,2.6963170878155,102,0.00491923057446485
2008,2009,"other_corn","other","corn","#AAAAAA","#ffd300",1,2,1,6.4,1.2,1.8,1.6,5.8,23284,1.12293494799843,1352932,65.2488672507047,245674,11.8483044328537
2008,2009,"other_dryBeans","other","dryBeans","#AAAAAA","#e41a1c",1,2,1,1.9,1.2,1.8,1.1,1.8,374,0.0180371787730378,1352932,65.2488672507047,2465,0.118881405549567
2008,2009,"other_hay","other","hay","#AAAAAA","#f781bf",1,2,1,4.6,1.2,1.8,1.4,4.2,17411,0.839693367960858,1352932,65.2488672507047,53602,2.58510389463201
2008,2009,"other_other","other","other","#AAAAAA","#AAAAAA",1,2,1,1,1.2,1.8,1,1,1281998,61.8278799804195,1352932,65.2488672507047,1372141,66.1752741144782
2008,2009,"other_soy","other","soy","#AAAAAA","#4daf4a",1,2,1,5.5,1.2,1.8,1.5,5,23496,1.1331592311532,1352932,65.2488672507047,311487,15.0223173916503
2008,2009,"other_springWheat","other","springWheat","#AAAAAA","#a65628",1,2,1,3.7,1.2,1.8,1.3,3.4,6328,0.305185206619741,1352932,65.2488672507047,88024,4.24519953026171
2008,2009,"other_sugarbeets","other","sugarbeets","#AAAAAA","#377eb8",1,2,1,2.8,1.2,1.8,1.2,2.6,41,0.00197733777993195,1352932,65.2488672507047,102,0.00491923057446485
2008,2009,"soy_corn","soy","corn","#4daf4a","#ffd300",1,2,5.5,6.4,1.2,1.8,5.6,6.3,150087,7.23835842382065,300069,14.4716529338146,245674,11.8483044328537
2008,2009,"soy_dryBeans","soy","dryBeans","#4daf4a","#e41a1c",1,2,5.5,1.9,1.2,1.8,5.1,2.3,419,0.0202074275558899,300069,14.4716529338146,2465,0.118881405549567
2008,2009,"soy_hay","soy","hay","#4daf4a","#f781bf",1,2,5.5,4.6,1.2,1.8,5.4,4.7,1300,0.0626960759490618,300069,14.4716529338146,53602,2.58510389463201
2008,2009,"soy_other","soy","other","#4daf4a","#AAAAAA",1,2,5.5,1,1.2,1.8,5,1.5,28806,1.38924858752975,300069,14.4716529338146,1372141,66.1752741144782
2008,2009,"soy_soy","soy","soy","#4daf4a","#4daf4a",1,2,5.5,5.5,1.2,1.8,5.5,5.5,59339,2.86178650057029,300069,14.4716529338146,311487,15.0223173916503
2008,2009,"soy_springWheat","soy","springWheat","#4daf4a","#a65628",1,2,5.5,3.7,1.2,1.8,5.3,3.9,60104,2.89868072987878,300069,14.4716529338146,88024,4.24519953026171
2008,2009,"soy_sugarbeets","soy","sugarbeets","#4daf4a","#377eb8",1,2,5.5,2.8,1.2,1.8,5.2,3.1,14,0.000675188510220666,300069,14.4716529338146,102,0.00491923057446485
2008,2009,"springWheat_corn","springWheat","corn","#a65628","#ffd300",1,2,3.7,6.4,1.2,1.8,4,6.1,21170,1.02098148295511,92910,4.48084032032872,245674,11.8483044328537
2008,2009,"springWheat_dryBeans","springWheat","dryBeans","#a65628","#e41a1c",1,2,3.7,1.9,1.2,1.8,3.5,2.1,718,0.0346275250241742,92910,4.48084032032872,2465,0.118881405549567
2008,2009,"springWheat_hay","springWheat","hay","#a65628","#f781bf",1,2,3.7,4.6,1.2,1.8,3.8,4.5,3878,0.187027217331125,92910,4.48084032032872,53602,2.58510389463201
2008,2009,"springWheat_other","springWheat","other","#a65628","#AAAAAA",1,2,3.7,1,1.2,1.8,3.4,1.3,12509,0.603280933882165,92910,4.48084032032872,1372141,66.1752741144782
2008,2009,"springWheat_soy","springWheat","soy","#a65628","#4daf4a",1,2,3.7,5.5,1.2,1.8,3.9,5.3,45867,2.21206224273509,92910,4.48084032032872,311487,15.0223173916503
2008,2009,"springWheat_springWheat","springWheat","springWheat","#a65628","#a65628",1,2,3.7,3.7,1.2,1.8,3.7,3.7,8760,0.422475096395217,92910,4.48084032032872,88024,4.24519953026171
2008,2009,"springWheat_sugarbeets","springWheat","sugarbeets","#a65628","#377eb8",1,2,3.7,2.8,1.2,1.8,3.6,2.9,8,0.000385822005840381,92910,4.48084032032872,102,0.00491923057446485
2008,2009,"sugarbeets_corn","sugarbeets","corn","#377eb8","#ffd300",1,2,2.8,6.4,1.2,1.8,3.2,6,57,0.00274898179161271,128,0.00617315209344609,245674,11.8483044328537
2008,2009,"sugarbeets_dryBeans","sugarbeets","dryBeans","#377eb8","#e41a1c",1,2,2.8,1.9,1.2,1.8,2.7,2,2,9.64555014600952e-05,128,0.00617315209344609,2465,0.118881405549567
2008,2009,"sugarbeets_hay","sugarbeets","hay","#377eb8","#f781bf",1,2,2.8,4.6,1.2,1.8,3,4.4,9,0.000434049756570428,128,0.00617315209344609,53602,2.58510389463201
2008,2009,"sugarbeets_other","sugarbeets","other","#377eb8","#AAAAAA",1,2,2.8,1,1.2,1.8,2.6,1.2,39,0.00188088227847186,128,0.00617315209344609,1372141,66.1752741144782
2008,2009,"sugarbeets_soy","sugarbeets","soy","#377eb8","#4daf4a",1,2,2.8,5.5,1.2,1.8,3.1,5.2,16,0.000771644011680761,128,0.00617315209344609,311487,15.0223173916503
2008,2009,"sugarbeets_springWheat","sugarbeets","springWheat","#377eb8","#a65628",1,2,2.8,3.7,1.2,1.8,2.9,3.6,2,9.64555014600952e-05,128,0.00617315209344609,88024,4.24519953026171
2008,2009,"sugarbeets_sugarbeets","sugarbeets","sugarbeets","#377eb8","#377eb8",1,2,2.8,2.8,1.2,1.8,2.8,2.8,3,0.000144683252190143,128,0.00617315209344609,102,0.00491923057446485
2009,2010,"corn_corn","corn","corn","#ffd300","#ffd300",2,3,6.4,6.4,2.2,2.8,6.4,6.4,35240,1.69954593572688,245674,11.8483044328537,259329,12.5068543690725
2009,2010,"corn_dryBeans","corn","dryBeans","#ffd300","#e41a1c",2,3,6.4,1.9,2.2,2.8,5.9,2.4,330,0.0159151577409157,245674,11.8483044328537,1231,0.0593683611486886
2009,2010,"corn_hay","corn","hay","#ffd300","#f781bf",2,3,6.4,4.6,2.2,2.8,6.2,4.8,870,0.0419581431351414,245674,11.8483044328537,44089,2.12631330193707
2009,2010,"corn_other","corn","other","#ffd300","#AAAAAA",2,3,6.4,1,2.2,2.8,5.8,1.6,23731,1.14449275257476,245674,11.8483044328537,1360819,65.6292395207126
2009,2010,"corn_soy","corn","soy","#ffd300","#4daf4a",2,3,6.4,5.5,2.2,2.8,6.3,5.6,172733,8.33052406685331,245674,11.8483044328537,320988,15.4805292513365
