"X","cropCode","numPixelsWiZone","cropCodeFrom","cropCodeTo","yearFrom","yearTo"
"Faribault",0,7,0,0,2008,2009
"Faribault",1005,723348,1,5,2008,2009
"Faribault",1023,281,1,23,2008,2009
"Faribault",1028,390,1,28,2008,2009
"Faribault",1036,162,1,36,2008,2009
"Faribault",1037,8,1,37,2008,2009
"Faribault",1043,32,1,43,2008,2009
"Faribault",1111,289,1,111,2008,2009
"Faribault",1121,2353,1,121,2008,2009
"Faribault",1176,12670,1,176,2008,2009
"Faribault",1190,4,1,190,2008,2009
"Faribault",1195,2919,1,195,2008,2009
"Faribault",5005,71976,5,5,2008,2009
"Faribault",5023,489,5,23,2008,2009
"Faribault",5024,35,5,24,2008,2009
"Faribault",5028,363,5,28,2008,2009
"Faribault",5036,286,5,36,2008,2009
"Faribault",5037,8,5,37,2008,2009
"Faribault",5061,2,5,61,2008,2009
"Faribault",5111,38,5,111,2008,2009
"Faribault",5121,632,5,121,2008,2009
"Faribault",5141,207,5,141,2008,2009
"Faribault",5142,4,5,142,2008,2009
"Faribault",5152,1,5,152,2008,2009
"Faribault",5176,9845,5,176,2008,2009
"Faribault",5190,9,5,190,2008,2009
"Faribault",5195,820,5,195,2008,2009
"Faribault",21005,1,21,5,2008,2009
"Faribault",21036,1,21,36,2008,2009
"Faribault",23005,110,23,5,2008,2009
"Faribault",23023,2,23,23,2008,2009
"Faribault",23024,2,23,24,2008,2009
"Faribault",23036,20,23,36,2008,2009
"Faribault",23037,1,23,37,2008,2009
"Faribault",23111,1,23,111,2008,2009
"Faribault",23176,34,23,176,2008,2009
"Faribault",23195,3,23,195,2008,2009
"Faribault",24005,477,24,5,2008,2009
"Faribault",24036,2,24,36,2008,2009
"Faribault",24111,1,24,111,2008,2009
"Faribault",24176,31,24,176,2008,2009
"Faribault",24195,1,24,195,2008,2009
"Faribault",27176,1,27,176,2008,2009
"Faribault",28005,77,28,5,2008,2009
"Faribault",28036,163,28,36,2008,2009
"Faribault",28176,106,28,176,2008,2009
"Faribault",28195,2,28,195,2008,2009
"Faribault",36005,315,36,5,2008,2009
"Faribault",36028,3,36,28,2008,2009
"Faribault",36036,828,36,36,2008,2009
"Faribault",36037,4,36,37,2008,2009
"Faribault",36131,9,36,131,2008,2009
"Faribault",36141,1,36,141,2008,2009
"Faribault",36176,1736,36,176,2008,2009
"Faribault",36195,85,36,195,2008,2009
"Faribault",37005,4,37,5,2008,2009
"Faribault",37036,9,37,36,2008,2009
"Faribault",37176,62,37,176,2008,2009
"Faribault",37195,1,37,195,2008,2009
"Faribault",41005,1,41,5,2008,2009
"Faribault",41195,1,41,195,2008,2009
"Faribault",42005,1,42,5,2008,2009
"Faribault",43195,1,43,195,2008,2009
"Faribault",44005,3,44,5,2008,2009
"Faribault",59005,7,59,5,2008,2009
"Faribault",59036,3,59,36,2008,2009
"Faribault",59131,1,59,131,2008,2009
"Faribault",59176,44,59,176,2008,2009
"Faribault",59195,4,59,195,2008,2009
"Faribault",61005,2,61,5,2008,2009
"Faribault",61176,6,61,176,2008,2009
"Faribault",61195,1,61,195,2008,2009
"Faribault",111005,225,111,5,2008,2009
"Faribault",111023,22,111,23,2008,2009
"Faribault",111028,3,111,28,2008,2009
"Faribault",111111,20830,111,111,2008,2009
"Faribault",111141,126,111,141,2008,2009
"Faribault",111152,4,111,152,2008,2009
"Faribault",111176,256,111,176,2008,2009
"Faribault",111190,132,111,190,2008,2009
"Faribault",111195,1457,111,195,2008,2009
"Faribault",121005,1778,121,5,2008,2009
"Faribault",121121,106813,121,121,2008,2009
"Faribault",121122,1440,121,122,2008,2009
"Faribault",121123,67,121,123,2008,2009
"Faribault",122121,1413,122,121,2008,2009
"Faribault",122122,16515,122,122,2008,2009
"Faribault",122123,929,122,123,2008,2009
"Faribault",122176,2,122,176,2008,2009
"Faribault",123001,4,123,1,2008,2009
"Faribault",123005,5,123,5,2008,2009
"Faribault",123121,164,123,121,2008,2009
"Faribault",123122,274,123,122,2008,2009
"Faribault",123123,4048,123,123,2008,2009
"Faribault",123124,84,123,124,2008,2009
"Faribault",123176,2,123,176,2008,2009
"Faribault",124001,3,124,1,2008,2009
"Faribault",124122,13,124,122,2008,2009
"Faribault",124123,85,124,123,2008,2009
"Faribault",124124,1000,124,124,2008,2009
"Faribault",131005,63,131,5,2008,2009
"Faribault",131023,1,131,23,2008,2009
"Faribault",131028,1,131,28,2008,2009
"Faribault",131061,1,131,61,2008,2009
"Faribault",131176,72,131,176,2008,2009
"Faribault",141005,192,141,5,2008,2009
"Faribault",141024,4,141,24,2008,2009
"Faribault",141037,1,141,37,2008,2009
"Faribault",141111,51,141,111,2008,2009
"Faribault",141121,2,141,121,2008,2009
"Faribault",141141,15812,141,141,2008,2009
"Faribault",141142,50,141,142,2008,2009
"Faribault",141152,15,141,152,2008,2009
"Faribault",141176,601,141,176,2008,2009
"Faribault",141190,3002,141,190,2008,2009
"Faribault",141195,221,141,195,2008,2009
"Faribault",142005,1,142,5,2008,2009
"Faribault",142141,11,142,141,2008,2009
"Faribault",142176,3,142,176,2008,2009
"Faribault",152005,5,152,5,2008,2009
"Faribault",152141,6,152,141,2008,2009
"Faribault",152176,6,152,176,2008,2009
"Faribault",152190,1,152,190,2008,2009
"Faribault",152195,1,152,195,2008,2009
"Faribault",176001,7507,176,1,2008,2009
"Faribault",176005,8644,176,5,2008,2009
"Faribault",176021,9,176,21,2008,2009
"Faribault",176023,21,176,23,2008,2009
"Faribault",176024,9,176,24,2008,2009
"Faribault",176027,5,176,27,2008,2009
"Faribault",176028,23,176,28,2008,2009
"Faribault",176036,1395,176,36,2008,2009
"Faribault",176037,37,176,37,2008,2009
"Faribault",176053,97,176,53,2008,2009
"Faribault",176059,2,176,59,2008,2009
"Faribault",176061,3,176,61,2008,2009
"Faribault",176111,270,176,111,2008,2009
"Faribault",176121,5,176,121,2008,2009
"Faribault",176131,59,176,131,2008,2009
"Faribault",176141,4378,176,141,2008,2009
"Faribault",176142,42,176,142,2008,2009
"Faribault",176152,33,176,152,2008,2009
"Faribault",176176,54119,176,176,2008,2009
"Faribault",176190,367,176,190,2008,2009
"Faribault",176195,7561,176,195,2008,2009
"Faribault",190005,32,190,5,2008,2009
"Faribault",190024,2,190,24,2008,2009
"Faribault",190111,105,190,111,2008,2009
"Faribault",190141,18292,190,141,2008,2009
"Faribault",190142,24,190,142,2008,2009
"Faribault",190143,37,190,143,2008,2009
"Faribault",190152,65,190,152,2008,2009
"Faribault",190176,499,190,176,2008,2009
"Faribault",190190,28876,190,190,2008,2009
"Faribault",190195,466,190,195,2008,2009
"Faribault",195001,1359,195,1,2008,2009
"Faribault",195005,990,195,5,2008,2009
"Faribault",195023,5,195,23,2008,2009
"Faribault",195024,4,195,24,2008,2009
"Faribault",195028,3,195,28,2008,2009
"Faribault",195036,161,195,36,2008,2009
"Faribault",195037,5,195,37,2008,2009
"Faribault",195061,2,195,61,2008,2009
"Faribault",195111,896,195,111,2008,2009
"Faribault",195131,4,195,131,2008,2009
"Faribault",195141,763,195,141,2008,2009
"Faribault",195142,2,195,142,2008,2009
"Faribault",195152,18,195,152,2008,2009
"Faribault",195176,9188,195,176,2008,2009
"Faribault",195190,250,195,190,2008,2009
"Faribault",195195,8620,195,195,2008,2009
"Faribault",1001,186993,1,1,2008,2009
"Faribault",1021,44,1,21,2008,2009
"Faribault",1024,6,1,24,2008,2009
"Faribault",1041,4,1,41,2008,2009
"Faribault",1042,1,1,42,2008,2009
"Faribault",1141,229,1,141,2008,2009
"Faribault",5001,685098,5,1,2008,2009
"Faribault",5021,11,5,21,2008,2009
"Faribault",5041,51,5,41,2008,2009
