"xCoords","yCoords","width","colorToUse"
1,6.4,9.00804250799072,"#ffd300"
1.2,6.4,9.00804250799072,"#ffd300"
1.4,6.4,9.00804250799072,"#ffd300"
2,6.4,9.00804250799072,"#ffd300"
1.8,6.4,9.00804250799072,"#ffd300"
1.6,6.4,9.00804250799072,"#ffd300"
1,6.4,4.81731535832396e-05,"#e41a1c"
1.2,5.9,4.81731535832396e-05,"#e41a1c"
1.4,5.9,4.81731535832396e-05,"#e41a1c"
2,1.9,4.81731535832396e-05,"#ffd300"
1.8,2.4,4.81731535832396e-05,"#ffd300"
1.6,2.4,4.81731535832396e-05,"#ffd300"
1,6.4,0.00780405088048481,"#f781bf"
1.2,6.2,0.00780405088048481,"#f781bf"
1.4,6.2,0.00780405088048481,"#f781bf"
2,4.6,0.00780405088048481,"#ffd300"
1.8,4.8,0.00780405088048481,"#ffd300"
1.6,4.8,0.00780405088048481,"#ffd300"
1,6.4,1.12884150791605,"#AAAAAA"
1.2,5.8,1.12884150791605,"#AAAAAA"
1.4,5.8,1.12884150791605,"#AAAAAA"
2,1,1.12884150791605,"#ffd300"
1.8,1.6,1.12884150791605,"#ffd300"
1.6,1.6,1.12884150791605,"#ffd300"
1,6.4,34.8459542981292,"#4daf4a"
1.2,6.3,34.8459542981292,"#4daf4a"
1.4,6.3,34.8459542981292,"#4daf4a"
2,5.5,34.8459542981292,"#ffd300"
1.8,5.6,34.8459542981292,"#ffd300"
1.6,5.6,34.8459542981292,"#ffd300"
1,6.4,0.0135366561568903,"#a65628"
1.2,6.1,0.0135366561568903,"#a65628"
1.4,6.1,0.0135366561568903,"#a65628"
2,3.7,0.0135366561568903,"#ffd300"
1.8,4,0.0135366561568903,"#ffd300"
1.6,4,0.0135366561568903,"#ffd300"
1,6.4,0.000192692614332958,"#377eb8"
1.2,6,0.000192692614332958,"#377eb8"
1.4,6,0.000192692614332958,"#377eb8"
2,2.8,0.000192692614332958,"#ffd300"
1.8,3.2,0.000192692614332958,"#ffd300"
1.6,3.2,0.000192692614332958,"#ffd300"
1,1.9,4.81731535832396e-05,"#AAAAAA"
1.2,1.8,4.81731535832396e-05,"#AAAAAA"
1.4,1.8,4.81731535832396e-05,"#AAAAAA"
2,1,4.81731535832396e-05,"#e41a1c"
1.8,1.1,4.81731535832396e-05,"#e41a1c"
1.6,1.1,4.81731535832396e-05,"#e41a1c"
1,1.9,4.81731535832396e-05,"#4daf4a"
1.2,2.3,4.81731535832396e-05,"#4daf4a"
1.4,2.3,4.81731535832396e-05,"#4daf4a"
2,5.5,4.81731535832396e-05,"#e41a1c"
1.8,5.1,4.81731535832396e-05,"#e41a1c"
1.6,5.1,4.81731535832396e-05,"#e41a1c"
1,4.6,0.0396465053990062,"#ffd300"
1.2,4.8,0.0396465053990062,"#ffd300"
1.4,4.8,0.0396465053990062,"#ffd300"
2,6.4,0.0396465053990062,"#f781bf"
1.8,6.2,0.0396465053990062,"#f781bf"
1.6,6.2,0.0396465053990062,"#f781bf"
1,4.6,0.0433558382249156,"#f781bf"
1.2,4.6,0.0433558382249156,"#f781bf"
1.4,4.6,0.0433558382249156,"#f781bf"
