"yearFrom","yearTo","cropRotate","cropFrom","cropTo","plottingColorFrom","plottingColorTo","plotXAxisFrom","plotXAxisTo","plotYAxisFrom","plotYAxisTo","xEndFrom","xEndTo","yEndFrom_streamlined","yEndTo_streamlined","totalNumPixels_cropTransition","totalPercPixelsWiArea_cropTransition","totalNumPixels_cropYearFrom","totalPercPixelsWiArea_cropYearFrom","totalNumPixels_cropYearTo","totalPercPixelsWiArea_cropYearTo"
2008,2009,"corn_corn","corn","corn","#ffd300","#ffd300",1,2,6.4,6.4,1.2,1.8,6.4,6.4,186993,9.00804250799072,934222,45.0044198868413,896559,43.1900744034357
2008,2009,"corn_dryBeans","corn","dryBeans","#ffd300","#e41a1c",1,2,6.4,1.9,1.2,1.8,5.9,2.4,1,4.81731535832396e-05,934222,45.0044198868413,1,4.81731535832396e-05
2008,2009,"corn_hay","corn","hay","#ffd300","#f781bf",1,2,6.4,4.6,1.2,1.8,6.2,4.8,162,0.00780405088048481,934222,45.0044198868413,3100,0.149336776108043
2008,2009,"corn_other","corn","other","#ffd300","#AAAAAA",1,2,6.4,1,1.2,1.8,5.8,1.6,23433,1.12884150791605,934222,45.0044198868413,360694,17.375767458553
2008,2009,"corn_soy","corn","soy","#ffd300","#4daf4a",1,2,6.4,5.5,1.2,1.8,6.3,5.6,723348,34.8459542981292,934222,45.0044198868413,814597,39.2417063894462
2008,2009,"corn_springWheat","corn","springWheat","#ffd300","#a65628",1,2,6.4,3.7,1.2,1.8,6.1,4,281,0.0135366561568903,934222,45.0044198868413,823,0.0396465053990062
2008,2009,"corn_sugarbeets","corn","sugarbeets","#ffd300","#377eb8",1,2,6.4,2.8,1.2,1.8,6,3.2,4,0.000192692614332958,934222,45.0044198868413,71,0.00342029390441001
2008,2009,"dryBeans_other","dryBeans","other","#e41a1c","#AAAAAA",1,2,1.9,1,1.2,1.8,1.8,1.1,1,4.81731535832396e-05,2,9.63463071664792e-05,360694,17.375767458553
2008,2009,"dryBeans_soy","dryBeans","soy","#e41a1c","#4daf4a",1,2,1.9,5.5,1.2,1.8,2.3,5.1,1,4.81731535832396e-05,2,9.63463071664792e-05,814597,39.2417063894462
2008,2009,"hay_corn","hay","corn","#f781bf","#ffd300",1,2,4.6,6.4,1.2,1.8,4.8,6.2,823,0.0396465053990062,3895,0.187634433206718,896559,43.1900744034357
2008,2009,"hay_hay","hay","hay","#f781bf","#f781bf",1,2,4.6,4.6,1.2,1.8,4.6,4.6,900,0.0433558382249156,3895,0.187634433206718,3100,0.149336776108043
2008,2009,"hay_other","hay","other","#f781bf","#AAAAAA",1,2,4.6,1,1.2,1.8,4.2,1.4,1853,0.089264853589743,3895,0.187634433206718,360694,17.375767458553
2008,2009,"hay_soy","hay","soy","#f781bf","#4daf4a",1,2,4.6,5.5,1.2,1.8,4.7,5.4,319,0.0153672359930534,3895,0.187634433206718,814597,39.2417063894462
2008,2009,"other_corn","other","corn","#AAAAAA","#ffd300",1,2,1,6.4,1.2,1.8,1.6,5.8,22978,1.10692272303568,358893,17.2890076089496,896559,43.1900744034357
2008,2009,"other_hay","other","hay","#AAAAAA","#f781bf",1,2,1,4.6,1.2,1.8,1.4,4.2,1732,0.083435902006171,358893,17.2890076089496,3100,0.149336776108043
2008,2009,"other_other","other","other","#AAAAAA","#AAAAAA",1,2,1,1,1.2,1.8,1,1,315274,15.1877428228023,358893,17.2890076089496,360694,17.375767458553
2008,2009,"other_soy","other","soy","#AAAAAA","#4daf4a",1,2,1,5.5,1.2,1.8,1.5,5,18842,0.9076785598154,358893,17.2890076089496,814597,39.2417063894462
2008,2009,"other_springWheat","other","springWheat","#AAAAAA","#a65628",1,2,1,3.7,1.2,1.8,1.3,3.4,51,0.00245683083274522,358893,17.2890076089496,823,0.0396465053990062
2008,2009,"other_sugarbeets","other","sugarbeets","#AAAAAA","#377eb8",1,2,1,2.8,1.2,1.8,1.2,2.6,16,0.000770770457331833,358893,17.2890076089496,71,0.00342029390441001
2008,2009,"soy_corn","soy","corn","#4daf4a","#ffd300",1,2,5.5,6.4,1.2,1.8,5.6,6.3,685098,33.0033311735703,777990,37.4782317562246,896559,43.1900744034357
2008,2009,"soy_hay","soy","hay","#4daf4a","#f781bf",1,2,5.5,4.6,1.2,1.8,5.4,4.7,286,0.0137775219248065,777990,37.4782317562246,3100,0.149336776108043
2008,2009,"soy_other","soy","other","#4daf4a","#AAAAAA",1,2,5.5,1,1.2,1.8,5,1.5,20090,0.967798655487283,777990,37.4782317562246,360694,17.375767458553
2008,2009,"soy_soy","soy","soy","#4daf4a","#4daf4a",1,2,5.5,5.5,1.2,1.8,5.5,5.5,71976,3.46731090230725,777990,37.4782317562246,814597,39.2417063894462
2008,2009,"soy_springWheat","soy","springWheat","#4daf4a","#a65628",1,2,5.5,3.7,1.2,1.8,5.3,3.9,489,0.0235566721022042,777990,37.4782317562246,823,0.0396465053990062
2008,2009,"soy_sugarbeets","soy","sugarbeets","#4daf4a","#377eb8",1,2,5.5,2.8,1.2,1.8,5.2,3.1,51,0.00245683083274522,777990,37.4782317562246,71,0.00342029390441001
2008,2009,"springWheat_corn","springWheat","corn","#a65628","#ffd300",1,2,3.7,6.4,1.2,1.8,4,6.1,667,0.0321314934400208,840,0.0404654490099213,896559,43.1900744034357
2008,2009,"springWheat_hay","springWheat","hay","#a65628","#f781bf",1,2,3.7,4.6,1.2,1.8,3.8,4.5,20,0.000963463071664792,840,0.0404654490099213,3100,0.149336776108043
2008,2009,"springWheat_other","springWheat","other","#a65628","#AAAAAA",1,2,3.7,1,1.2,1.8,3.4,1.3,41,0.00197509929691282,840,0.0404654490099213,360694,17.375767458553
2008,2009,"springWheat_soy","springWheat","soy","#a65628","#4daf4a",1,2,3.7,5.5,1.2,1.8,3.9,5.3,110,0.00529904689415636,840,0.0404654490099213,814597,39.2417063894462
2008,2009,"springWheat_springWheat","springWheat","springWheat","#a65628","#a65628",1,2,3.7,3.7,1.2,1.8,3.7,3.7,2,9.63463071664792e-05,840,0.0404654490099213,823,0.0396465053990062
2008,2009,"sugarbeets_other","sugarbeets","other","#377eb8","#AAAAAA",1,2,2.8,1,1.2,1.8,2.6,1.2,2,9.63463071664792e-05,3,0.000144519460749719,360694,17.375767458553
2008,2009,"sugarbeets_soy","sugarbeets","soy","#377eb8","#4daf4a",1,2,2.8,5.5,1.2,1.8,3.1,5.2,1,4.81731535832396e-05,3,0.000144519460749719,814597,39.2417063894462
