"xCoords","yCoords","width","colorToUse"
1,6.4,10.1319643425019,"#ffd300"
1.2,6.4,10.1319643425019,"#ffd300"
1.4,6.4,10.1319643425019,"#ffd300"
2,6.4,10.1319643425019,"#ffd300"
1.8,6.4,10.1319643425019,"#ffd300"
1.6,6.4,10.1319643425019,"#ffd300"
1,6.4,0.000161222128220765,"#e41a1c"
1.2,5.9,0.000161222128220765,"#e41a1c"
1.4,5.9,0.000161222128220765,"#e41a1c"
2,1.9,0.000161222128220765,"#ffd300"
1.8,2.4,0.000161222128220765,"#ffd300"
1.6,2.4,0.000161222128220765,"#ffd300"
1,6.4,0.271538369455823,"#f781bf"
1.2,6.2,0.271538369455823,"#f781bf"
1.4,6.2,0.271538369455823,"#f781bf"
2,4.6,0.271538369455823,"#ffd300"
1.8,4.8,0.271538369455823,"#ffd300"
1.6,4.8,0.271538369455823,"#ffd300"
1,6.4,2.48338505204855,"#AAAAAA"
1.2,5.8,2.48338505204855,"#AAAAAA"
1.4,5.8,2.48338505204855,"#AAAAAA"
2,1,2.48338505204855,"#ffd300"
1.8,1.6,2.48338505204855,"#ffd300"
1.6,1.6,2.48338505204855,"#ffd300"
1,6.4,12.3349438080425,"#4daf4a"
1.2,6.3,12.3349438080425,"#4daf4a"
1.4,6.3,12.3349438080425,"#4daf4a"
2,5.5,12.3349438080425,"#ffd300"
1.8,5.6,12.3349438080425,"#ffd300"
1.6,5.6,12.3349438080425,"#ffd300"
1,6.4,0.00532033023128523,"#a65628"
1.2,6.1,0.00532033023128523,"#a65628"
1.4,6.1,0.00532033023128523,"#a65628"
2,3.7,0.00532033023128523,"#ffd300"
1.8,4,0.00532033023128523,"#ffd300"
1.6,4,0.00532033023128523,"#ffd300"
1,1.9,0.00382902554524316,"#ffd300"
1.2,2.4,0.00382902554524316,"#ffd300"
1.4,2.4,0.00382902554524316,"#ffd300"
2,6.4,0.00382902554524316,"#e41a1c"
1.8,5.9,0.00382902554524316,"#e41a1c"
1.6,5.9,0.00382902554524316,"#e41a1c"
1,1.9,0.000967332769324588,"#f781bf"
1.2,2.2,0.000967332769324588,"#f781bf"
1.4,2.2,0.000967332769324588,"#f781bf"
2,4.6,0.000967332769324588,"#e41a1c"
1.8,4.3,0.000967332769324588,"#e41a1c"
1.6,4.3,0.000967332769324588,"#e41a1c"
1,1.9,0.00205558213481475,"#AAAAAA"
1.2,1.8,0.00205558213481475,"#AAAAAA"
1.4,1.8,0.00205558213481475,"#AAAAAA"
2,1,0.00205558213481475,"#e41a1c"
1.8,1.1,0.00205558213481475,"#e41a1c"
1.6,1.1,0.00205558213481475,"#e41a1c"
1,1.9,0.000604582980827868,"#4daf4a"
1.2,2.3,0.000604582980827868,"#4daf4a"
1.4,2.3,0.000604582980827868,"#4daf4a"
2,5.5,0.000604582980827868,"#e41a1c"
1.8,5.1,0.000604582980827868,"#e41a1c"
1.6,5.1,0.000604582980827868,"#e41a1c"
1,1.9,0.000161222128220765,"#a65628"
1.2,2.1,0.000161222128220765,"#a65628"
1.4,2.1,0.000161222128220765,"#a65628"
2,3.7,0.000161222128220765,"#e41a1c"
1.8,3.5,0.000161222128220765,"#e41a1c"
1.6,3.5,0.000161222128220765,"#e41a1c"
1,4.6,0.61671494597648,"#ffd300"
1.2,4.8,0.61671494597648,"#ffd300"
1.4,4.8,0.61671494597648,"#ffd300"
2,6.4,0.61671494597648,"#f781bf"
1.8,6.2,0.61671494597648,"#f781bf"
1.6,6.2,0.61671494597648,"#f781bf"
1,4.6,1.26285293035325,"#f781bf"
1.2,4.6,1.26285293035325,"#f781bf"
1.4,4.6,1.26285293035325,"#f781bf"
2,4.6,1.26285293035325,"#f781bf"
1.8,4.6,1.26285293035325,"#f781bf"
1.6,4.6,1.26285293035325,"#f781bf"
1,4.6,1.08663714420795,"#AAAAAA"
1.2,4.2,1.08663714420795,"#AAAAAA"
1.4,4.2,1.08663714420795,"#AAAAAA"
2,1,1.08663714420795,"#f781bf"
1.8,1.4,1.08663714420795,"#f781bf"
1.6,1.4,1.08663714420795,"#f781bf"
1,4.6,0.0786763985717332,"#4daf4a"
1.2,4.7,0.0786763985717332,"#4daf4a"
1.4,4.7,0.0786763985717332,"#4daf4a"
2,5.5,0.0786763985717332,"#f781bf"
1.8,5.4,0.0786763985717332,"#f781bf"
1.6,5.4,0.0786763985717332,"#f781bf"
1,4.6,0.000161222128220765,"#a65628"
1.2,4.5,0.000161222128220765,"#a65628"
1.4,4.5,0.000161222128220765,"#a65628"
2,3.7,0.000161222128220765,"#f781bf"
1.8,3.8,0.000161222128220765,"#f781bf"
1.6,3.8,0.000161222128220765,"#f781bf"
1,1,3.93482756688804,"#ffd300"
1.2,1.6,3.93482756688804,"#ffd300"
1.4,1.6,3.93482756688804,"#ffd300"
2,6.4,3.93482756688804,"#AAAAAA"
1.8,5.8,3.93482756688804,"#AAAAAA"
