"xCoords","yCoords","width","colorToUse"
1,6.4,10.1171399516186,"#ffd300"
1.2,6.4,10.1171399516186,"#ffd300"
1.4,6.4,10.1171399516186,"#ffd300"
2,6.4,10.1171399516186,"#ffd300"
1.8,6.4,10.1171399516186,"#ffd300"
1.6,6.4,10.1171399516186,"#ffd300"
1,6.4,0.00548912959738679,"#e41a1c"
1.2,5.9,0.00548912959738679,"#e41a1c"
1.4,5.9,0.00548912959738679,"#e41a1c"
2,1.9,0.00548912959738679,"#ffd300"
1.8,2.4,0.00548912959738679,"#ffd300"
1.6,2.4,0.00548912959738679,"#ffd300"
1,6.4,0.0375572025084359,"#f781bf"
1.2,6.2,0.0375572025084359,"#f781bf"
1.4,6.2,0.0375572025084359,"#f781bf"
2,4.6,0.0375572025084359,"#ffd300"
1.8,4.8,0.0375572025084359,"#ffd300"
1.6,4.8,0.0375572025084359,"#ffd300"
1,6.4,1.45433044174974,"#AAAAAA"
1.2,5.8,1.45433044174974,"#AAAAAA"
1.4,5.8,1.45433044174974,"#AAAAAA"
2,1,1.45433044174974,"#ffd300"
1.8,1.6,1.45433044174974,"#ffd300"
1.6,1.6,1.45433044174974,"#ffd300"
1,6.4,29.0970092910741,"#4daf4a"
1.2,6.3,29.0970092910741,"#4daf4a"
1.4,6.3,29.0970092910741,"#4daf4a"
2,5.5,29.0970092910741,"#ffd300"
1.8,5.6,29.0970092910741,"#ffd300"
1.6,5.6,29.0970092910741,"#ffd300"
1,6.4,0.01444507788786,"#a65628"
1.2,6.1,0.01444507788786,"#a65628"
1.4,6.1,0.01444507788786,"#a65628"
2,3.7,0.01444507788786,"#ffd300"
1.8,4,0.01444507788786,"#ffd300"
1.6,4,0.01444507788786,"#ffd300"
1,1.9,0.000866704673271598,"#ffd300"
1.2,2.4,0.000866704673271598,"#ffd300"
1.4,2.4,0.000866704673271598,"#ffd300"
2,6.4,0.000866704673271598,"#e41a1c"
1.8,5.9,0.000866704673271598,"#e41a1c"
1.6,5.9,0.000866704673271598,"#e41a1c"
1,1.9,4.81502596261999e-05,"#e41a1c"
1.2,1.9,4.81502596261999e-05,"#e41a1c"
1.4,1.9,4.81502596261999e-05,"#e41a1c"
2,1.9,4.81502596261999e-05,"#e41a1c"
1.8,1.9,4.81502596261999e-05,"#e41a1c"
1.6,1.9,4.81502596261999e-05,"#e41a1c"
1,1.9,0.000288901557757199,"#f781bf"
1.2,2.2,0.000288901557757199,"#f781bf"
1.4,2.2,0.000288901557757199,"#f781bf"
2,4.6,0.000288901557757199,"#e41a1c"
1.8,4.3,0.000288901557757199,"#e41a1c"
1.6,4.3,0.000288901557757199,"#e41a1c"
1,1.9,0.00351496895271259,"#AAAAAA"
1.2,1.8,0.00351496895271259,"#AAAAAA"
1.4,1.8,0.00351496895271259,"#AAAAAA"
2,1,0.00351496895271259,"#e41a1c"
1.8,1.1,0.00351496895271259,"#e41a1c"
1.6,1.1,0.00351496895271259,"#e41a1c"
1,1.9,0.001203756490655,"#4daf4a"
1.2,2.3,0.001203756490655,"#4daf4a"
1.4,2.3,0.001203756490655,"#4daf4a"
2,5.5,0.001203756490655,"#e41a1c"
1.8,5.1,0.001203756490655,"#e41a1c"
1.6,5.1,0.001203756490655,"#e41a1c"
1,1.9,9.63005192523998e-05,"#a65628"
1.2,2.1,9.63005192523998e-05,"#a65628"
1.4,2.1,9.63005192523998e-05,"#a65628"
2,3.7,9.63005192523998e-05,"#e41a1c"
1.8,3.5,9.63005192523998e-05,"#e41a1c"
1.6,3.5,9.63005192523998e-05,"#e41a1c"
1,4.6,0.0951930632809972,"#ffd300"
