"X","cropCode","numPixelsWiZone","cropCodeFrom","cropCodeTo","yearFrom","yearTo"
"Goodhue",0,594,0,0,2008,2009
"Goodhue",1005,336180,1,5,2008,2009
"Goodhue",1023,488,1,23,2008,2009
"Goodhue",1028,3181,1,28,2008,2009
"Goodhue",1036,5377,1,36,2008,2009
"Goodhue",1037,116,1,37,2008,2009
"Goodhue",1043,19,1,43,2008,2009
"Goodhue",1044,1,1,44,2008,2009
"Goodhue",1059,1,1,59,2008,2009
"Goodhue",1061,1,1,61,2008,2009
"Goodhue",1111,86,1,111,2008,2009
"Goodhue",1121,1966,1,121,2008,2009
"Goodhue",1152,7,1,152,2008,2009
"Goodhue",1176,44346,1,176,2008,2009
"Goodhue",1190,5,1,190,2008,2009
"Goodhue",1195,291,1,195,2008,2009
"Goodhue",5005,32823,5,5,2008,2009
"Goodhue",5023,970,5,23,2008,2009
"Goodhue",5024,247,5,24,2008,2009
"Goodhue",5028,1532,5,28,2008,2009
"Goodhue",5036,3300,5,36,2008,2009
"Goodhue",5037,141,5,37,2008,2009
"Goodhue",5043,7,5,43,2008,2009
"Goodhue",5059,7,5,59,2008,2009
"Goodhue",5061,1,5,61,2008,2009
"Goodhue",5111,78,5,111,2008,2009
"Goodhue",5121,1524,5,121,2008,2009
"Goodhue",5141,166,5,141,2008,2009
"Goodhue",5152,11,5,152,2008,2009
"Goodhue",5176,22153,5,176,2008,2009
"Goodhue",5190,5,5,190,2008,2009
"Goodhue",5195,114,5,195,2008,2009
"Goodhue",21005,24,21,5,2008,2009
"Goodhue",21023,1,21,23,2008,2009
"Goodhue",21028,2,21,28,2008,2009
"Goodhue",21036,427,21,36,2008,2009
"Goodhue",21176,154,21,176,2008,2009
"Goodhue",23005,1121,23,5,2008,2009
"Goodhue",23023,36,23,23,2008,2009
"Goodhue",23024,19,23,24,2008,2009
"Goodhue",23028,84,23,28,2008,2009
"Goodhue",23036,795,23,36,2008,2009
"Goodhue",23037,6,23,37,2008,2009
"Goodhue",23111,2,23,111,2008,2009
"Goodhue",23121,7,23,121,2008,2009
"Goodhue",23131,7,23,131,2008,2009
"Goodhue",23152,1,23,152,2008,2009
"Goodhue",23176,1474,23,176,2008,2009
"Goodhue",23195,7,23,195,2008,2009
"Goodhue",24005,136,24,5,2008,2009
"Goodhue",24028,3,24,28,2008,2009
"Goodhue",24036,31,24,36,2008,2009
"Goodhue",24037,2,24,37,2008,2009
"Goodhue",24176,99,24,176,2008,2009
"Goodhue",24195,1,24,195,2008,2009
"Goodhue",27176,51,27,176,2008,2009
"Goodhue",28005,118,28,5,2008,2009
"Goodhue",28023,6,28,23,2008,2009
"Goodhue",28028,31,28,28,2008,2009
"Goodhue",28036,1133,28,36,2008,2009
"Goodhue",28037,1,28,37,2008,2009
"Goodhue",28141,7,28,141,2008,2009
"Goodhue",28176,742,28,176,2008,2009
"Goodhue",28195,1,28,195,2008,2009
"Goodhue",36005,1433,36,5,2008,2009
"Goodhue",36023,13,36,23,2008,2009
"Goodhue",36028,59,36,28,2008,2009
"Goodhue",36036,19277,36,36,2008,2009
"Goodhue",36037,72,36,37,2008,2009
"Goodhue",36059,10,36,59,2008,2009
"Goodhue",36061,1,36,61,2008,2009
"Goodhue",36131,14,36,131,2008,2009
"Goodhue",36141,121,36,141,2008,2009
"Goodhue",36176,18434,36,176,2008,2009
"Goodhue",36190,4,36,190,2008,2009
"Goodhue",36195,21,36,195,2008,2009
"Goodhue",37005,44,37,5,2008,2009
"Goodhue",37023,1,37,23,2008,2009
"Goodhue",37024,6,37,24,2008,2009
"Goodhue",37028,8,37,28,2008,2009
"Goodhue",37036,327,37,36,2008,2009
"Goodhue",37037,2,37,37,2008,2009
"Goodhue",37141,5,37,141,2008,2009
"Goodhue",37176,751,37,176,2008,2009
"Goodhue",37190,2,37,190,2008,2009
"Goodhue",37195,3,37,195,2008,2009
"Goodhue",42005,2,42,5,2008,2009
"Goodhue",42176,2,42,176,2008,2009
"Goodhue",44005,8,44,5,2008,2009
"Goodhue",59005,17,59,5,2008,2009
"Goodhue",59036,12,59,36,2008,2009
"Goodhue",59042,1,59,42,2008,2009
"Goodhue",59059,3,59,59,2008,2009
"Goodhue",59131,3,59,131,2008,2009
"Goodhue",59141,2,59,141,2008,2009
"Goodhue",59176,73,59,176,2008,2009
"Goodhue",61005,16,61,5,2008,2009
"Goodhue",61036,52,61,36,2008,2009
"Goodhue",61176,36,61,176,2008,2009
"Goodhue",61195,1,61,195,2008,2009
"Goodhue",111005,49,111,5,2008,2009
"Goodhue",111023,33,111,23,2008,2009
"Goodhue",111028,24,111,28,2008,2009
"Goodhue",111037,2,111,37,2008,2009
"Goodhue",111111,68722,111,111,2008,2009
"Goodhue",111141,510,111,141,2008,2009
"Goodhue",111142,13,111,142,2008,2009
"Goodhue",111152,66,111,152,2008,2009
"Goodhue",111176,2461,111,176,2008,2009
"Goodhue",111190,2383,111,190,2008,2009
"Goodhue",111195,1061,111,195,2008,2009
"Goodhue",121005,800,121,5,2008,2009
"Goodhue",121036,20,121,36,2008,2009
"Goodhue",121059,1,121,59,2008,2009
"Goodhue",121121,94668,121,121,2008,2009
"Goodhue",121122,3544,121,122,2008,2009
"Goodhue",121123,139,121,123,2008,2009
"Goodhue",121176,234,121,176,2008,2009
"Goodhue",121195,2,121,195,2008,2009
"Goodhue",122121,2958,122,121,2008,2009
"Goodhue",122122,31823,122,122,2008,2009
"Goodhue",122123,749,122,123,2008,2009
"Goodhue",122176,28,122,176,2008,2009
"Goodhue",123001,3,123,1,2008,2009
"Goodhue",123005,28,123,5,2008,2009
"Goodhue",123023,1,123,23,2008,2009
"Goodhue",123036,1,123,36,2008,2009
"Goodhue",123059,1,123,59,2008,2009
"Goodhue",123121,349,123,121,2008,2009
"Goodhue",123122,747,123,122,2008,2009
"Goodhue",123123,7639,123,123,2008,2009
"Goodhue",123124,94,123,124,2008,2009
"Goodhue",123176,110,123,176,2008,2009
"Goodhue",124037,1,124,37,2008,2009
"Goodhue",124122,169,124,122,2008,2009
"Goodhue",124123,239,124,123,2008,2009
"Goodhue",124124,2840,124,124,2008,2009
"Goodhue",124176,16,124,176,2008,2009
"Goodhue",131005,281,131,5,2008,2009
"Goodhue",131023,1,131,23,2008,2009
"Goodhue",131028,3,131,28,2008,2009
