"xCoords","yCoords","width","colorToUse"
1,6.4,9.25613230847212,"#ffd300"
1.2,6.4,9.25613230847212,"#ffd300"
1.4,6.4,9.25613230847212,"#ffd300"
2,6.4,9.25613230847212,"#ffd300"
1.8,6.4,9.25613230847212,"#ffd300"
1.6,6.4,9.25613230847212,"#ffd300"
1,6.4,0.00080173995386432,"#e41a1c"
1.2,5.9,0.00080173995386432,"#e41a1c"
1.4,5.9,0.00080173995386432,"#e41a1c"
2,1.9,0.00080173995386432,"#ffd300"
1.8,2.4,0.00080173995386432,"#ffd300"
1.6,2.4,0.00080173995386432,"#ffd300"
1,6.4,0.239497540662691,"#f781bf"
1.2,6.2,0.239497540662691,"#f781bf"
1.4,6.2,0.239497540662691,"#f781bf"
2,4.6,0.239497540662691,"#ffd300"
1.8,4.8,0.239497540662691,"#ffd300"
1.6,4.8,0.239497540662691,"#ffd300"
1,6.4,2.61915080594909,"#AAAAAA"
1.2,5.8,2.61915080594909,"#AAAAAA"
1.4,5.8,2.61915080594909,"#AAAAAA"
2,1,2.61915080594909,"#ffd300"
1.8,1.6,2.61915080594909,"#ffd300"
1.6,1.6,2.61915080594909,"#ffd300"
1,6.4,14.9738298716726,"#4daf4a"
1.2,6.3,14.9738298716726,"#4daf4a"
1.4,6.3,14.9738298716726,"#4daf4a"
2,5.5,14.9738298716726,"#ffd300"
1.8,5.6,14.9738298716726,"#ffd300"
1.6,5.6,14.9738298716726,"#ffd300"
1,6.4,0.0217360609714327,"#a65628"
1.2,6.1,0.0217360609714327,"#a65628"
1.4,6.1,0.0217360609714327,"#a65628"
2,3.7,0.0217360609714327,"#ffd300"
1.8,4,0.0217360609714327,"#ffd300"
1.6,4,0.0217360609714327,"#ffd300"
1,1.9,0.000267246651288107,"#ffd300"
1.2,2.4,0.000267246651288107,"#ffd300"
1.4,2.4,0.000267246651288107,"#ffd300"
2,6.4,0.000267246651288107,"#e41a1c"
1.8,5.9,0.000267246651288107,"#e41a1c"
1.6,5.9,0.000267246651288107,"#e41a1c"
1,1.9,0.000267246651288107,"#AAAAAA"
1.2,1.8,0.000267246651288107,"#AAAAAA"
1.4,1.8,0.000267246651288107,"#AAAAAA"
2,1,0.000267246651288107,"#e41a1c"
1.8,1.1,0.000267246651288107,"#e41a1c"
1.6,1.1,0.000267246651288107,"#e41a1c"
1,1.9,8.90822170960355e-05,"#4daf4a"
1.2,2.3,8.90822170960355e-05,"#4daf4a"
1.4,2.3,8.90822170960355e-05,"#4daf4a"
2,5.5,8.90822170960355e-05,"#e41a1c"
1.8,5.1,8.90822170960355e-05,"#e41a1c"
1.6,5.1,8.90822170960355e-05,"#e41a1c"
1,4.6,0.607407097269318,"#ffd300"
1.2,4.8,0.607407097269318,"#ffd300"
1.4,4.8,0.607407097269318,"#ffd300"
2,6.4,0.607407097269318,"#f781bf"
1.8,6.2,0.607407097269318,"#f781bf"
1.6,6.2,0.607407097269318,"#f781bf"
1,4.6,8.90822170960355e-05,"#e41a1c"
1.2,4.3,8.90822170960355e-05,"#e41a1c"
1.4,4.3,8.90822170960355e-05,"#e41a1c"
2,1.9,8.90822170960355e-05,"#f781bf"
1.8,2.2,8.90822170960355e-05,"#f781bf"
1.6,2.2,8.90822170960355e-05,"#f781bf"
1,4.6,0.908727696596658,"#f781bf"
1.2,4.6,0.908727696596658,"#f781bf"
1.4,4.6,0.908727696596658,"#f781bf"
2,4.6,0.908727696596658,"#f781bf"
1.8,4.6,0.908727696596658,"#f781bf"
1.6,4.6,0.908727696596658,"#f781bf"
1,4.6,0.849354398902151,"#AAAAAA"
1.2,4.2,0.849354398902151,"#AAAAAA"
1.4,4.2,0.849354398902151,"#AAAAAA"
2,1,0.849354398902151,"#f781bf"
1.8,1.4,0.849354398902151,"#f781bf"
1.6,1.4,0.849354398902151,"#f781bf"
1,4.6,0.0657872173254222,"#4daf4a"
1.2,4.7,0.0657872173254222,"#4daf4a"
1.4,4.7,0.0657872173254222,"#4daf4a"
2,5.5,0.0657872173254222,"#f781bf"
1.8,5.4,0.0657872173254222,"#f781bf"
1.6,5.4,0.0657872173254222,"#f781bf"
1,4.6,0.000623575519672249,"#a65628"
1.2,4.5,0.000623575519672249,"#a65628"
1.4,4.5,0.000623575519672249,"#a65628"
2,3.7,0.000623575519672249,"#f781bf"
1.8,3.8,0.000623575519672249,"#f781bf"
1.6,3.8,0.000623575519672249,"#f781bf"
1,1,2.66667616876982,"#ffd300"
1.2,1.6,2.66667616876982,"#ffd300"
1.4,1.6,2.66667616876982,"#ffd300"
2,6.4,2.66667616876982,"#AAAAAA"
1.8,5.8,2.66667616876982,"#AAAAAA"
1.6,5.8,2.66667616876982,"#AAAAAA"
1,1,0.000979904388056391,"#e41a1c"
1.2,1.1,0.000979904388056391,"#e41a1c"
1.4,1.1,0.000979904388056391,"#e41a1c"
2,1.9,0.000979904388056391,"#AAAAAA"
1.8,1.8,0.000979904388056391,"#AAAAAA"
1.6,1.8,0.000979904388056391,"#AAAAAA"
1,1,1.07442062039528,"#f781bf"
1.2,1.4,1.07442062039528,"#f781bf"
1.4,1.4,1.07442062039528,"#f781bf"
2,4.6,1.07442062039528,"#AAAAAA"
1.8,4.2,1.07442062039528,"#AAAAAA"
1.6,4.2,1.07442062039528,"#AAAAAA"
1,1,46.8617003033695,"#AAAAAA"
1.2,1,46.8617003033695,"#AAAAAA"
1.4,1,46.8617003033695,"#AAAAAA"
2,1,46.8617003033695,"#AAAAAA"
1.8,1,46.8617003033695,"#AAAAAA"
1.6,1,46.8617003033695,"#AAAAAA"
1,1,1.34772486244592,"#4daf4a"
1.2,1.5,1.34772486244592,"#4daf4a"
1.4,1.5,1.34772486244592,"#4daf4a"
2,5.5,1.34772486244592,"#AAAAAA"
1.8,5,1.34772486244592,"#AAAAAA"
1.6,5,1.34772486244592,"#AAAAAA"
1,1,0.0161684224029304,"#a65628"
1.2,1.3,0.0161684224029304,"#a65628"
1.4,1.3,0.0161684224029304,"#a65628"
2,3.7,0.0161684224029304,"#AAAAAA"
1.8,3.4,0.0161684224029304,"#AAAAAA"
1.6,3.4,0.0161684224029304,"#AAAAAA"
1,5.5,15.1233098319598,"#ffd300"
1.2,5.6,15.1233098319598,"#ffd300"
1.4,5.6,15.1233098319598,"#ffd300"
2,6.4,15.1233098319598,"#4daf4a"
1.8,6.3,15.1233098319598,"#4daf4a"
1.6,6.3,15.1233098319598,"#4daf4a"
1,5.5,0.00040086997693216,"#e41a1c"
1.2,5.1,0.00040086997693216,"#e41a1c"
1.4,5.1,0.00040086997693216,"#e41a1c"
2,1.9,0.00040086997693216,"#4daf4a"
1.8,2.3,0.00040086997693216,"#4daf4a"
1.6,2.3,0.00040086997693216,"#4daf4a"
1,5.5,0.146985658208459,"#f781bf"
1.2,5.4,0.146985658208459,"#f781bf"
1.4,5.4,0.146985658208459,"#f781bf"
2,4.6,0.146985658208459,"#4daf4a"
1.8,4.7,0.146985658208459,"#4daf4a"
1.6,4.7,0.146985658208459,"#4daf4a"
1,5.5,1.50041178254853,"#AAAAAA"
1.2,5,1.50041178254853,"#AAAAAA"
1.4,5,1.50041178254853,"#AAAAAA"
2,1,1.50041178254853,"#4daf4a"
1.8,1.5,1.50041178254853,"#4daf4a"
1.6,1.5,1.50041178254853,"#4daf4a"
1,5.5,1.46197280587159,"#4daf4a"
1.2,5.5,1.46197280587159,"#4daf4a"
1.4,5.5,1.46197280587159,"#4daf4a"
2,5.5,1.46197280587159,"#4daf4a"
1.8,5.5,1.46197280587159,"#4daf4a"
1.6,5.5,1.46197280587159,"#4daf4a"
1,5.5,0.0432048752915772,"#a65628"
1.2,5.3,0.0432048752915772,"#a65628"
1.4,5.3,0.0432048752915772,"#a65628"
2,3.7,0.0432048752915772,"#4daf4a"
1.8,3.9,0.0432048752915772,"#4daf4a"
1.6,3.9,0.0432048752915772,"#4daf4a"
1,3.7,0.0514004392644125,"#ffd300"
1.2,4,0.0514004392644125,"#ffd300"
1.4,4,0.0514004392644125,"#ffd300"
2,6.4,0.0514004392644125,"#a65628"
1.8,6.1,0.0514004392644125,"#a65628"
1.6,6.1,0.0514004392644125,"#a65628"
1,3.7,0.0354101812956741,"#f781bf"
1.2,3.8,0.0354101812956741,"#f781bf"
1.4,3.8,0.0354101812956741,"#f781bf"
2,4.6,0.0354101812956741,"#a65628"
1.8,4.5,0.0354101812956741,"#a65628"
1.6,4.5,0.0354101812956741,"#a65628"
1,3.7,0.0739382401897095,"#AAAAAA"
1.2,3.4,0.0739382401897095,"#AAAAAA"
1.4,3.4,0.0739382401897095,"#AAAAAA"
2,1,0.0739382401897095,"#a65628"
1.8,1.3,0.0739382401897095,"#a65628"
1.6,1.3,0.0739382401897095,"#a65628"
1,3.7,0.0499305826823279,"#4daf4a"
1.2,3.9,0.0499305826823279,"#4daf4a"
1.4,3.9,0.0499305826823279,"#4daf4a"
2,5.5,0.0499305826823279,"#a65628"
1.8,5.3,0.0499305826823279,"#a65628"
1.6,5.3,0.0499305826823279,"#a65628"
1,3.7,0.00160347990772864,"#a65628"
1.2,3.7,0.00160347990772864,"#a65628"
1.4,3.7,0.00160347990772864,"#a65628"
2,3.7,0.00160347990772864,"#a65628"
1.8,3.7,0.00160347990772864,"#a65628"
1.6,3.7,0.00160347990772864,"#a65628"
2,6.4,8.90020431006491,"#ffd300"
2.2,6.4,8.90020431006491,"#ffd300"
2.4,6.4,8.90020431006491,"#ffd300"
3,6.4,8.90020431006491,"#ffd300"
2.8,6.4,8.90020431006491,"#ffd300"
2.6,6.4,8.90020431006491,"#ffd300"
2,6.4,0.00298425427271719,"#e41a1c"
2.2,5.9,0.00298425427271719,"#e41a1c"
2.4,5.9,0.00298425427271719,"#e41a1c"
3,1.9,0.00298425427271719,"#ffd300"
2.8,2.4,0.00298425427271719,"#ffd300"
2.6,2.4,0.00298425427271719,"#ffd300"
2,6.4,0.27570946191223,"#f781bf"
2.2,6.2,0.27570946191223,"#f781bf"
2.4,6.2,0.27570946191223,"#f781bf"
3,4.6,0.27570946191223,"#ffd300"
2.8,4.8,0.27570946191223,"#ffd300"
2.6,4.8,0.27570946191223,"#ffd300"
2,6.4,2.74880997293237,"#AAAAAA"
2.2,5.8,2.74880997293237,"#AAAAAA"
2.4,5.8,2.74880997293237,"#AAAAAA"
3,1,2.74880997293237,"#ffd300"
2.8,1.6,2.74880997293237,"#ffd300"
2.6,1.6,2.74880997293237,"#ffd300"
2,6.4,15.7526756957433,"#4daf4a"
2.2,6.3,15.7526756957433,"#4daf4a"
2.4,6.3,15.7526756957433,"#4daf4a"
3,5.5,15.7526756957433,"#ffd300"
2.8,5.6,15.7526756957433,"#ffd300"
2.6,5.6,15.7526756957433,"#ffd300"
2,6.4,0.0248093974612459,"#a65628"
2.2,6.1,0.0248093974612459,"#a65628"
2.4,6.1,0.0248093974612459,"#a65628"
3,3.7,0.0248093974612459,"#ffd300"
2.8,4,0.0248093974612459,"#ffd300"
2.6,4,0.0248093974612459,"#ffd300"
2,1.9,0.000222705542740089,"#ffd300"
2.2,2.4,0.000222705542740089,"#ffd300"
2.4,2.4,0.000222705542740089,"#ffd300"
3,6.4,0.000222705542740089,"#e41a1c"
2.8,5.9,0.000222705542740089,"#e41a1c"
2.6,5.9,0.000222705542740089,"#e41a1c"
2,1.9,0.000623575519672249,"#f781bf"
2.2,2.2,0.000623575519672249,"#f781bf"
2.4,2.2,0.000623575519672249,"#f781bf"
3,4.6,0.000623575519672249,"#e41a1c"
2.8,4.3,0.000623575519672249,"#e41a1c"
2.6,4.3,0.000623575519672249,"#e41a1c"
2,1.9,0.00106898660515243,"#AAAAAA"
2.2,1.8,0.00106898660515243,"#AAAAAA"
2.4,1.8,0.00106898660515243,"#AAAAAA"
3,1,0.00106898660515243,"#e41a1c"
2.8,1.1,0.00106898660515243,"#e41a1c"
2.6,1.1,0.00106898660515243,"#e41a1c"
2,1.9,0.000356328868384142,"#4daf4a"
2.2,2.3,0.000356328868384142,"#4daf4a"
2.4,2.3,0.000356328868384142,"#4daf4a"
3,5.5,0.000356328868384142,"#e41a1c"
2.8,5.1,0.000356328868384142,"#e41a1c"
2.6,5.1,0.000356328868384142,"#e41a1c"
2,4.6,0.529415616201739,"#ffd300"
2.2,4.8,0.529415616201739,"#ffd300"
2.4,4.8,0.529415616201739,"#ffd300"
3,6.4,0.529415616201739,"#f781bf"
2.8,6.2,0.529415616201739,"#f781bf"
2.6,6.2,0.529415616201739,"#f781bf"
2,4.6,0.000668116628220266,"#e41a1c"
2.2,4.3,0.000668116628220266,"#e41a1c"
2.4,4.3,0.000668116628220266,"#e41a1c"
3,1.9,0.000668116628220266,"#f781bf"
2.8,2.2,0.000668116628220266,"#f781bf"
2.6,2.2,0.000668116628220266,"#f781bf"
2,4.6,1.02520269544972,"#f781bf"
2.2,4.6,1.02520269544972,"#f781bf"
2.4,4.6,1.02520269544972,"#f781bf"
3,4.6,1.02520269544972,"#f781bf"
2.8,4.6,1.02520269544972,"#f781bf"
2.6,4.6,1.02520269544972,"#f781bf"
2,4.6,0.79724130190097,"#AAAAAA"
2.2,4.2,0.79724130190097,"#AAAAAA"
2.4,4.2,0.79724130190097,"#AAAAAA"
3,1,0.79724130190097,"#f781bf"
2.8,1.4,0.79724130190097,"#f781bf"
2.6,1.4,0.79724130190097,"#f781bf"
2,4.6,0.0531375424977852,"#4daf4a"
2.2,4.7,0.0531375424977852,"#4daf4a"
2.4,4.7,0.0531375424977852,"#4daf4a"
3,5.5,0.0531375424977852,"#f781bf"
2.8,5.4,0.0531375424977852,"#f781bf"
2.6,5.4,0.0531375424977852,"#f781bf"
2,4.6,0.000534493302576213,"#a65628"
2.2,4.5,0.000534493302576213,"#a65628"
2.4,4.5,0.000534493302576213,"#a65628"
3,3.7,0.000534493302576213,"#f781bf"
2.8,3.8,0.000534493302576213,"#f781bf"
2.6,3.8,0.000534493302576213,"#f781bf"
2,1,2.58694758446887,"#ffd300"
