"X","cropCode","numPixelsWiZone","cropCodeFrom","cropCodeTo","yearFrom","yearTo"
"Grant",1005,357263,1,5,2008,2009
"Grant",1023,7555,1,23,2008,2009
"Grant",1028,93,1,28,2008,2009
"Grant",1036,223,1,36,2008,2009
"Grant",1037,9,1,37,2008,2009
"Grant",1043,15,1,43,2008,2009
"Grant",1044,12,1,44,2008,2009
"Grant",1061,4933,1,61,2008,2009
"Grant",1111,195,1,111,2008,2009
"Grant",1121,686,1,121,2008,2009
"Grant",1152,3,1,152,2008,2009
"Grant",1176,6442,1,176,2008,2009
"Grant",1190,10,1,190,2008,2009
"Grant",1195,5331,1,195,2008,2009
"Grant",5005,44513,5,5,2008,2009
"Grant",5023,99671,5,23,2008,2009
"Grant",5024,99,5,24,2008,2009
"Grant",5028,91,5,28,2008,2009
"Grant",5036,535,5,36,2008,2009
"Grant",5037,34,5,37,2008,2009
"Grant",5043,20,5,43,2008,2009
"Grant",5044,5,5,44,2008,2009
"Grant",5059,2,5,59,2008,2009
"Grant",5061,376,5,61,2008,2009
"Grant",5111,151,5,111,2008,2009
"Grant",5121,447,5,121,2008,2009
"Grant",5141,256,5,141,2008,2009
"Grant",5142,6,5,142,2008,2009
"Grant",5152,7,5,152,2008,2009
"Grant",5176,13007,5,176,2008,2009
"Grant",5190,33,5,190,2008,2009
"Grant",5195,7891,5,195,2008,2009
"Grant",6005,517,6,5,2008,2009
"Grant",6023,48,6,23,2008,2009
"Grant",6061,2,6,61,2008,2009
"Grant",6176,89,6,176,2008,2009
"Grant",6195,49,6,195,2008,2009
"Grant",21005,669,21,5,2008,2009
"Grant",21023,8,21,23,2008,2009
"Grant",21028,1,21,28,2008,2009
"Grant",21036,8,21,36,2008,2009
"Grant",21037,1,21,37,2008,2009
"Grant",21141,9,21,141,2008,2009
"Grant",21176,14,21,176,2008,2009
"Grant",21195,3,21,195,2008,2009
"Grant",23005,70179,23,5,2008,2009
"Grant",23023,4744,23,23,2008,2009
"Grant",23024,55,23,24,2008,2009
"Grant",23028,28,23,28,2008,2009
"Grant",23036,626,23,36,2008,2009
"Grant",23037,5,23,37,2008,2009
"Grant",23043,15,23,43,2008,2009
"Grant",23044,10,23,44,2008,2009
"Grant",23061,150,23,61,2008,2009
"Grant",23111,234,23,111,2008,2009
"Grant",23121,153,23,121,2008,2009
"Grant",23131,40,23,131,2008,2009
"Grant",23141,69,23,141,2008,2009
"Grant",23142,1,23,142,2008,2009
"Grant",23152,2,23,152,2008,2009
"Grant",23176,3570,23,176,2008,2009
"Grant",23190,5,23,190,2008,2009
"Grant",23195,2066,23,195,2008,2009
"Grant",24005,10,24,5,2008,2009
"Grant",24023,11,24,23,2008,2009
"Grant",24111,1,24,111,2008,2009
"Grant",24131,5,24,131,2008,2009
"Grant",24176,36,24,176,2008,2009
"Grant",24195,11,24,195,2008,2009
"Grant",27176,1,27,176,2008,2009
"Grant",28005,76,28,5,2008,2009
"Grant",28023,43,28,23,2008,2009
"Grant",28028,1,28,28,2008,2009
"Grant",28036,20,28,36,2008,2009
"Grant",28044,1,28,44,2008,2009
"Grant",28176,117,28,176,2008,2009
"Grant",28195,19,28,195,2008,2009
"Grant",31005,5,31,5,2008,2009
"Grant",31176,3,31,176,2008,2009
"Grant",36005,243,36,5,2008,2009
"Grant",36006,14,36,6,2008,2009
"Grant",36023,333,36,23,2008,2009
"Grant",36028,3,36,28,2008,2009
"Grant",36036,5031,36,36,2008,2009
"Grant",36037,72,36,37,2008,2009
"Grant",36059,1,36,59,2008,2009
"Grant",36061,3,36,61,2008,2009
"Grant",36131,1,36,131,2008,2009
"Grant",36141,36,36,141,2008,2009
"Grant",36142,9,36,142,2008,2009
"Grant",36176,2870,36,176,2008,2009
"Grant",36190,12,36,190,2008,2009
"Grant",36195,244,36,195,2008,2009
"Grant",37005,22,37,5,2008,2009
"Grant",37023,6,37,23,2008,2009
"Grant",37036,10,37,36,2008,2009
"Grant",37037,1,37,37,2008,2009
"Grant",37061,1,37,61,2008,2009
"Grant",37111,1,37,111,2008,2009
"Grant",37141,14,37,141,2008,2009
"Grant",37142,1,37,142,2008,2009
"Grant",37176,72,37,176,2008,2009
"Grant",37190,1,37,190,2008,2009
"Grant",37195,12,37,195,2008,2009
"Grant",39005,12,39,5,2008,2009
"Grant",41005,15372,41,5,2008,2009
"Grant",41023,3578,41,23,2008,2009
"Grant",41195,123,41,195,2008,2009
"Grant",42005,734,42,5,2008,2009
"Grant",42023,2180,42,23,2008,2009
"Grant",42061,12,42,61,2008,2009
"Grant",42141,7,42,141,2008,2009
"Grant",42176,208,42,176,2008,2009
"Grant",42195,28,42,195,2008,2009
"Grant",43023,4,43,23,2008,2009
"Grant",43176,8,43,176,2008,2009
"Grant",43195,6,43,195,2008,2009
"Grant",44141,1,44,141,2008,2009
"Grant",61005,11,61,5,2008,2009
"Grant",61023,5,61,23,2008,2009
"Grant",61028,1,61,28,2008,2009
"Grant",61036,3,61,36,2008,2009
"Grant",61037,1,61,37,2008,2009
"Grant",61061,1,61,61,2008,2009
"Grant",61111,1,61,111,2008,2009
"Grant",61141,1,61,141,2008,2009
"Grant",61176,12,61,176,2008,2009
"Grant",61195,26,61,195,2008,2009
"Grant",111005,41,111,5,2008,2009
"Grant",111023,63,111,23,2008,2009
"Grant",111028,6,111,28,2008,2009
"Grant",111037,1,111,37,2008,2009
"Grant",111044,7,111,44,2008,2009
"Grant",111061,13,111,61,2008,2009
"Grant",111111,102104,111,111,2008,2009
"Grant",111141,409,111,141,2008,2009
"Grant",111152,2,111,152,2008,2009
"Grant",111176,285,111,176,2008,2009
