"xCoords","yCoords","width","colorToUse"
1,6.4,3.86730549719348,"#ffd300"
1.2,6.4,3.86730549719348,"#ffd300"
1.4,6.4,3.86730549719348,"#ffd300"
2,6.4,3.86730549719348,"#ffd300"
1.8,6.4,3.86730549719348,"#ffd300"
1.6,6.4,3.86730549719348,"#ffd300"
1,6.4,0.423107392052325,"#e41a1c"
1.2,5.9,0.423107392052325,"#e41a1c"
1.4,5.9,0.423107392052325,"#e41a1c"
2,1.9,0.423107392052325,"#ffd300"
1.8,2.4,0.423107392052325,"#ffd300"
1.6,2.4,0.423107392052325,"#ffd300"
1,6.4,0.0134751425917835,"#f781bf"
1.2,6.2,0.0134751425917835,"#f781bf"
1.4,6.2,0.0134751425917835,"#f781bf"
2,4.6,0.0134751425917835,"#ffd300"
1.8,4.8,0.0134751425917835,"#ffd300"
1.6,4.8,0.0134751425917835,"#ffd300"
1,6.4,1.34171330093256,"#AAAAAA"
1.2,5.8,1.34171330093256,"#AAAAAA"
1.4,5.8,1.34171330093256,"#AAAAAA"
2,1,1.34171330093256,"#ffd300"
1.8,1.6,1.34171330093256,"#ffd300"
1.6,1.6,1.34171330093256,"#ffd300"
1,6.4,21.5882056850599,"#4daf4a"
1.2,6.3,21.5882056850599,"#4daf4a"
1.4,6.3,21.5882056850599,"#4daf4a"
2,5.5,21.5882056850599,"#ffd300"
1.8,5.6,21.5882056850599,"#ffd300"
1.6,5.6,21.5882056850599,"#ffd300"
1,6.4,0.456523328614012,"#a65628"
1.2,6.1,0.456523328614012,"#a65628"
1.4,6.1,0.456523328614012,"#a65628"
2,3.7,0.456523328614012,"#ffd300"
1.8,4,0.456523328614012,"#ffd300"
1.6,4,0.456523328614012,"#ffd300"
1,6.4,0.668741717772505,"#377eb8"
1.2,6,0.668741717772505,"#377eb8"
1.4,6,0.668741717772505,"#377eb8"
2,2.8,0.668741717772505,"#ffd300"
1.8,3.2,0.668741717772505,"#ffd300"
1.6,3.2,0.668741717772505,"#ffd300"
1,1.9,0.170826135008843,"#ffd300"
1.2,2.4,0.170826135008843,"#ffd300"
1.4,2.4,0.170826135008843,"#ffd300"
2,6.4,0.170826135008843,"#e41a1c"
