"yearFrom","yearTo","cropRotate","cropFrom","cropTo","plottingColorFrom","plottingColorTo","plotXAxisFrom","plotXAxisTo","plotYAxisFrom","plotYAxisTo","xEndFrom","xEndTo","yEndFrom_streamlined","yEndTo_streamlined","totalNumPixels_cropTransition","totalPercPixelsWiArea_cropTransition","totalNumPixels_cropYearFrom","totalPercPixelsWiArea_cropYearFrom","totalNumPixels_cropYearTo","totalPercPixelsWiArea_cropYearTo"
2008,2009,"corn_corn","corn","corn","#ffd300","#ffd300",1,2,6.4,6.4,1.2,1.8,6.4,6.4,64000,3.86730549719348,469314,28.3590720642166,427665,25.8423625852696
2008,2009,"corn_dryBeans","corn","dryBeans","#ffd300","#e41a1c",1,2,6.4,1.9,1.2,1.8,5.9,2.4,7002,0.423107392052325,469314,28.3590720642166,11121,0.672004756785762
2008,2009,"corn_hay","corn","hay","#ffd300","#f781bf",1,2,6.4,4.6,1.2,1.8,6.2,4.8,223,0.0134751425917835,469314,28.3590720642166,8657,0.523113495143812
2008,2009,"corn_other","corn","other","#ffd300","#AAAAAA",1,2,6.4,1,1.2,1.8,5.8,1.6,22204,1.34171330093256,469314,28.3590720642166,546524,33.0246135866902
2008,2009,"corn_soy","corn","soy","#ffd300","#4daf4a",1,2,6.4,5.5,1.2,1.8,6.3,5.6,357263,21.5882056850599,469314,28.3590720642166,499728,30.196888148461
2008,2009,"corn_springWheat","corn","springWheat","#ffd300","#a65628",1,2,6.4,3.7,1.2,1.8,6.1,4,7555,0.456523328614012,469314,28.3590720642166,121686,7.35307713642947
2008,2009,"corn_sugarbeets","corn","sugarbeets","#ffd300","#377eb8",1,2,6.4,2.8,1.2,1.8,6,3.2,11067,0.668741717772505,469314,28.3590720642166,39518,2.38794029122019
2008,2009,"dryBeans_corn","dryBeans","corn","#e41a1c","#ffd300",1,2,1.9,6.4,1.2,1.8,2.4,5.9,2827,0.170826135008843,8103,0.489637131933731,427665,25.8423625852696
2008,2009,"dryBeans_dryBeans","dryBeans","dryBeans","#e41a1c","#e41a1c",1,2,1.9,1.9,1.2,1.8,1.9,1.9,81,0.0048945585198855,8103,0.489637131933731,11121,0.672004756785762
2008,2009,"dryBeans_hay","dryBeans","hay","#e41a1c","#f781bf",1,2,1.9,4.6,1.2,1.8,2.2,4.3,15,0.000906399725904723,8103,0.489637131933731,8657,0.523113495143812
2008,2009,"dryBeans_other","dryBeans","other","#e41a1c","#AAAAAA",1,2,1.9,1,1.2,1.8,1.8,1.1,358,0.0216327401249261,8103,0.489637131933731,546524,33.0246135866902
2008,2009,"dryBeans_soy","dryBeans","soy","#e41a1c","#4daf4a",1,2,1.9,5.5,1.2,1.8,2.3,5.1,734,0.0443531599209378,8103,0.489637131933731,499728,30.196888148461
2008,2009,"dryBeans_springWheat","dryBeans","springWheat","#e41a1c","#a65628",1,2,1.9,3.7,1.2,1.8,2.1,3.5,2180,0.131730093498153,8103,0.489637131933731,121686,7.35307713642947
2008,2009,"dryBeans_sugarbeets","dryBeans","sugarbeets","#e41a1c","#377eb8",1,2,1.9,2.8,1.2,1.8,2,2.7,1908,0.115294045135081,8103,0.489637131933731,39518,2.38794029122019
2008,2009,"hay_corn","hay","corn","#f781bf","#ffd300",1,2,4.6,6.4,1.2,1.8,4.8,6.2,1613,0.0974681838589545,10661,0.644208498524683,427665,25.8423625852696
2008,2009,"hay_dryBeans","hay","dryBeans","#f781bf","#e41a1c",1,2,4.6,1.9,1.2,1.8,4.3,2.2,5,0.000302133241968241,10661,0.644208498524683,11121,0.672004756785762
2008,2009,"hay_hay","hay","hay","#f781bf","#f781bf",1,2,4.6,4.6,1.2,1.8,4.6,4.6,5144,0.310834679336926,10661,0.644208498524683,8657,0.523113495143812
2008,2009,"hay_other","hay","other","#f781bf","#AAAAAA",1,2,4.6,1,1.2,1.8,4.2,1.4,3292,0.19892452651189,10661,0.644208498524683,546524,33.0246135866902
2008,2009,"hay_soy","hay","soy","#f781bf","#4daf4a",1,2,4.6,5.5,1.2,1.8,4.7,5.4,265,0.0160130618243168,10661,0.644208498524683,499728,30.196888148461
2008,2009,"hay_springWheat","hay","springWheat","#f781bf","#a65628",1,2,4.6,3.7,1.2,1.8,4.5,3.8,339,0.0204846338054467,10661,0.644208498524683,121686,7.35307713642947
2008,2009,"hay_sugarbeets","hay","sugarbeets","#f781bf","#377eb8",1,2,4.6,2.8,1.2,1.8,4.4,3,3,0.000181279945180945,10661,0.644208498524683,39518,2.38794029122019
2008,2009,"other_corn","other","corn","#AAAAAA","#ffd300",1,2,1,6.4,1.2,1.8,1.6,5.8,9080,0.548673967414326,512167,30.9485352278296,427665,25.8423625852696
2008,2009,"other_dryBeans","other","dryBeans","#AAAAAA","#e41a1c",1,2,1,1.9,1.2,1.8,1.1,1.8,94,0.00568010494900293,512167,30.9485352278296,11121,0.672004756785762
2008,2009,"other_hay","other","hay","#AAAAAA","#f781bf",1,2,1,4.6,1.2,1.8,1.4,4.2,2110,0.127500228110598,512167,30.9485352278296,8657,0.523113495143812
2008,2009,"other_other","other","other","#AAAAAA","#AAAAAA",1,2,1,1,1.2,1.8,1,1,484394,29.2703059219928,512167,30.9485352278296,546524,33.0246135866902
2008,2009,"other_soy","other","soy","#AAAAAA","#4daf4a",1,2,1,5.5,1.2,1.8,1.5,5,11402,0.688984644984377,512167,30.9485352278296,499728,30.196888148461
2008,2009,"other_springWheat","other","springWheat","#AAAAAA","#a65628",1,2,1,3.7,1.2,1.8,1.3,3.4,3619,0.218684040536613,512167,30.9485352278296,121686,7.35307713642947
2008,2009,"other_sugarbeets","other","sugarbeets","#AAAAAA","#377eb8",1,2,1,2.8,1.2,1.8,1.2,2.6,1468,0.0887063198418755,512167,30.9485352278296,39518,2.38794029122019
2008,2009,"soy_corn","soy","corn","#4daf4a","#ffd300",1,2,5.5,6.4,1.2,1.8,5.6,6.3,309087,18.6770914720475,487780,29.4749105534537,427665,25.8423625852696
2008,2009,"soy_dryBeans","soy","dryBeans","#4daf4a","#e41a1c",1,2,5.5,1.9,1.2,1.8,5.1,2.3,816,0.0493081450892169,487780,29.4749105534537,11121,0.672004756785762
2008,2009,"soy_hay","soy","hay","#4daf4a","#f781bf",1,2,5.5,4.6,1.2,1.8,5.4,4.7,535,0.0323282568906018,487780,29.4749105534537,8657,0.523113495143812
2008,2009,"soy_other","soy","other","#4daf4a","#AAAAAA",1,2,5.5,1,1.2,1.8,5,1.5,27041,1.63399699921264,487780,29.4749105534537,546524,33.0246135866902
2008,2009,"soy_soy","soy","soy","#4daf4a","#4daf4a",1,2,5.5,5.5,1.2,1.8,5.5,5.5,44513,2.68977139994646,487780,29.4749105534537,499728,30.196888148461
2008,2009,"soy_springWheat","soy","springWheat","#4daf4a","#a65628",1,2,5.5,3.7,1.2,1.8,5.3,3.9,99671,6.02278447204331,487780,29.4749105534537,121686,7.35307713642947
2008,2009,"soy_sugarbeets","soy","sugarbeets","#4daf4a","#377eb8",1,2,5.5,2.8,1.2,1.8,5.2,3.1,6117,0.369629808223946,487780,29.4749105534537,39518,2.38794029122019
2008,2009,"springWheat_corn","springWheat","corn","#a65628","#ffd300",1,2,3.7,6.4,1.2,1.8,4,6.1,25176,1.52130129995849,128518,7.76591199825488,427665,25.8423625852696
2008,2009,"springWheat_dryBeans","springWheat","dryBeans","#a65628","#e41a1c",1,2,3.7,1.9,1.2,1.8,3.5,2.1,1819,0.109916073428046,128518,7.76591199825488,11121,0.672004756785762
2008,2009,"springWheat_hay","springWheat","hay","#a65628","#f781bf",1,2,3.7,4.6,1.2,1.8,3.8,4.5,626,0.0378270818944238,128518,7.76591199825488,8657,0.523113495143812
2008,2009,"springWheat_other","springWheat","other","#a65628","#AAAAAA",1,2,3.7,1,1.2,1.8,3.4,1.3,7041,0.425464031339677,128518,7.76591199825488,546524,33.0246135866902
2008,2009,"springWheat_soy","springWheat","soy","#a65628","#4daf4a",1,2,3.7,5.5,1.2,1.8,3.9,5.3,70179,4.24068175761784,128518,7.76591199825488,499728,30.196888148461
2008,2009,"springWheat_springWheat","springWheat","springWheat","#a65628","#a65628",1,2,3.7,3.7,1.2,1.8,3.7,3.7,4744,0.286664019979467,128518,7.76591199825488,121686,7.35307713642947
2008,2009,"springWheat_sugarbeets","springWheat","sugarbeets","#a65628","#377eb8",1,2,3.7,2.8,1.2,1.8,3.6,2.9,18933,1.14405773403694,128518,7.76591199825488,39518,2.38794029122019
2008,2009,"sugarbeets_corn","sugarbeets","corn","#377eb8","#ffd300",1,2,2.8,6.4,1.2,1.8,3.2,6,15882,0.959696029787921,38356,2.31772452578677,427665,25.8423625852696
2008,2009,"sugarbeets_dryBeans","sugarbeets","dryBeans","#377eb8","#e41a1c",1,2,2.8,1.9,1.2,1.8,2.7,2,1304,0.0787963495053172,38356,2.31772452578677,11121,0.672004756785762
2008,2009,"sugarbeets_hay","sugarbeets","hay","#377eb8","#f781bf",1,2,2.8,4.6,1.2,1.8,3,4.4,4,0.000241706593574593,38356,2.31772452578677,8657,0.523113495143812
2008,2009,"sugarbeets_other","sugarbeets","other","#377eb8","#AAAAAA",1,2,2.8,1,1.2,1.8,2.6,1.2,2194,0.132576066575664,38356,2.31772452578677,546524,33.0246135866902
2008,2009,"sugarbeets_soy","sugarbeets","soy","#377eb8","#4daf4a",1,2,2.8,5.5,1.2,1.8,3.1,5.2,15372,0.92887843910716,38356,2.31772452578677,499728,30.196888148461
2008,2009,"sugarbeets_springWheat","sugarbeets","springWheat","#377eb8","#a65628",1,2,2.8,3.7,1.2,1.8,2.9,3.6,3578,0.216206547952473,38356,2.31772452578677,121686,7.35307713642947
2008,2009,"sugarbeets_sugarbeets","sugarbeets","sugarbeets","#377eb8","#377eb8",1,2,2.8,2.8,1.2,1.8,2.8,2.8,22,0.00132938626466026,38356,2.31772452578677,39518,2.38794029122019
2009,2010,"corn_corn","corn","corn","#ffd300","#ffd300",2,3,6.4,6.4,2.2,2.8,6.4,6.4,61273,3.70252202702401,427665,25.8423625852696,454900,27.4880823542706
2009,2010,"corn_dryBeans","corn","dryBeans","#ffd300","#e41a1c",2,3,6.4,1.9,2.2,2.8,5.9,2.4,10124,0.611759388337294,427665,25.8423625852696,14679,0.887002771770362
