"X","cropCode","numPixelsWiZone","cropCodeFrom","cropCodeTo","yearFrom","yearTo"
"Hennepin",1005,36118,1,5,2008,2009
"Hennepin",1023,686,1,23,2008,2009
"Hennepin",1028,27,1,28,2008,2009
"Hennepin",1036,103,1,36,2008,2009
"Hennepin",1037,1,1,37,2008,2009
"Hennepin",1061,23,1,61,2008,2009
"Hennepin",1111,82,1,111,2008,2009
"Hennepin",1121,122,1,121,2008,2009
"Hennepin",1152,8,1,152,2008,2009
"Hennepin",1176,4876,1,176,2008,2009
"Hennepin",1190,3,1,190,2008,2009
"Hennepin",1195,1248,1,195,2008,2009
"Hennepin",5005,10199,5,5,2008,2009
"Hennepin",5023,3580,5,23,2008,2009
"Hennepin",5024,33,5,24,2008,2009
"Hennepin",5028,69,5,28,2008,2009
"Hennepin",5036,212,5,36,2008,2009
"Hennepin",5037,12,5,37,2008,2009
"Hennepin",5058,1,5,58,2008,2009
"Hennepin",5061,287,5,61,2008,2009
"Hennepin",5111,137,5,111,2008,2009
"Hennepin",5121,169,5,121,2008,2009
"Hennepin",5141,66,5,141,2008,2009
"Hennepin",5142,2,5,142,2008,2009
"Hennepin",5152,6,5,152,2008,2009
"Hennepin",5176,6854,5,176,2008,2009
"Hennepin",5190,7,5,190,2008,2009
"Hennepin",5195,562,5,195,2008,2009
"Hennepin",21036,1,21,36,2008,2009
"Hennepin",21176,1,21,176,2008,2009
"Hennepin",23005,1635,23,5,2008,2009
"Hennepin",23023,307,23,23,2008,2009
"Hennepin",23024,736,23,24,2008,2009
"Hennepin",23028,5,23,28,2008,2009
"Hennepin",23036,318,23,36,2008,2009
"Hennepin",23037,19,23,37,2008,2009
"Hennepin",23061,50,23,61,2008,2009
"Hennepin",23111,3,23,111,2008,2009
"Hennepin",23121,1,23,121,2008,2009
"Hennepin",23176,822,23,176,2008,2009
"Hennepin",23195,25,23,195,2008,2009
"Hennepin",24005,2,24,5,2008,2009
"Hennepin",24023,5,24,23,2008,2009
"Hennepin",24036,4,24,36,2008,2009
"Hennepin",24111,1,24,111,2008,2009
