"xCoords","yCoords","width","colorToUse"
1,6.4,0.668431210556118,"#ffd300"
1.2,6.4,0.668431210556118,"#ffd300"
1.4,6.4,0.668431210556118,"#ffd300"
2,6.4,0.668431210556118,"#ffd300"
1.8,6.4,0.668431210556118,"#ffd300"
1.6,6.4,0.668431210556118,"#ffd300"
1,6.4,5.72532086129437e-05,"#e41a1c"
1.2,5.9,5.72532086129437e-05,"#e41a1c"
1.4,5.9,5.72532086129437e-05,"#e41a1c"
2,1.9,5.72532086129437e-05,"#ffd300"
1.8,2.4,5.72532086129437e-05,"#ffd300"
1.6,2.4,5.72532086129437e-05,"#ffd300"
1,6.4,0.0058970804871332,"#f781bf"
1.2,6.2,0.0058970804871332,"#f781bf"
1.4,6.2,0.0058970804871332,"#f781bf"
2,4.6,0.0058970804871332,"#ffd300"
1.8,4.8,0.0058970804871332,"#ffd300"
1.6,4.8,0.0058970804871332,"#ffd300"
1,6.4,0.379130747434913,"#AAAAAA"
1.2,5.8,0.379130747434913,"#AAAAAA"
1.4,5.8,0.379130747434913,"#AAAAAA"
2,1,0.379130747434913,"#ffd300"
1.8,1.6,0.379130747434913,"#ffd300"
1.6,1.6,0.379130747434913,"#ffd300"
1,6.4,2.0678713886823,"#4daf4a"
1.2,6.3,2.0678713886823,"#4daf4a"
1.4,6.3,2.0678713886823,"#4daf4a"
2,5.5,2.0678713886823,"#ffd300"
1.8,5.6,2.0678713886823,"#ffd300"
1.6,5.6,2.0678713886823,"#ffd300"
1,6.4,0.0392757011084794,"#a65628"
1.2,6.1,0.0392757011084794,"#a65628"
1.4,6.1,0.0392757011084794,"#a65628"
2,3.7,0.0392757011084794,"#ffd300"
1.8,4,0.0392757011084794,"#ffd300"
1.6,4,0.0392757011084794,"#ffd300"
1,6.4,0.000343519251677662,"#377eb8"
1.2,6,0.000343519251677662,"#377eb8"
1.4,6,0.000343519251677662,"#377eb8"
2,2.8,0.000343519251677662,"#ffd300"
1.8,3.2,0.000343519251677662,"#ffd300"
1.6,3.2,0.000343519251677662,"#ffd300"
1,1.9,5.72532086129437e-05,"#AAAAAA"
1.2,1.8,5.72532086129437e-05,"#AAAAAA"
1.4,1.8,5.72532086129437e-05,"#AAAAAA"
2,1,5.72532086129437e-05,"#e41a1c"
1.8,1.1,5.72532086129437e-05,"#e41a1c"
1.6,1.1,5.72532086129437e-05,"#e41a1c"
1,4.6,0.0429971596683207,"#ffd300"
1.2,4.8,0.0429971596683207,"#ffd300"
1.4,4.8,0.0429971596683207,"#ffd300"
2,6.4,0.0429971596683207,"#f781bf"
1.8,6.2,0.0429971596683207,"#f781bf"
1.6,6.2,0.0429971596683207,"#f781bf"
1,4.6,0.240177210131299,"#f781bf"
1.2,4.6,0.240177210131299,"#f781bf"
1.4,4.6,0.240177210131299,"#f781bf"
2,4.6,0.240177210131299,"#f781bf"
1.8,4.6,0.240177210131299,"#f781bf"
1.6,4.6,0.240177210131299,"#f781bf"
1,4.6,0.279910936908682,"#AAAAAA"
1.2,4.2,0.279910936908682,"#AAAAAA"
1.4,4.2,0.279910936908682,"#AAAAAA"
2,1,0.279910936908682,"#f781bf"
1.8,1.4,0.279910936908682,"#f781bf"
1.6,1.4,0.279910936908682,"#f781bf"
1,4.6,0.0143705553618489,"#4daf4a"
1.2,4.7,0.0143705553618489,"#4daf4a"
1.4,4.7,0.0143705553618489,"#4daf4a"
2,5.5,0.0143705553618489,"#f781bf"
1.8,5.4,0.0143705553618489,"#f781bf"
1.6,5.4,0.0143705553618489,"#f781bf"
1,4.6,0.00114506417225887,"#a65628"
1.2,4.5,0.00114506417225887,"#a65628"
1.4,4.5,0.00114506417225887,"#a65628"
2,3.7,0.00114506417225887,"#f781bf"
1.8,3.8,0.00114506417225887,"#f781bf"
1.6,3.8,0.00114506417225887,"#f781bf"
1,1,0.434838119415307,"#ffd300"
1.2,1.6,0.434838119415307,"#ffd300"
1.4,1.6,0.434838119415307,"#ffd300"
2,6.4,0.434838119415307,"#AAAAAA"
1.8,5.8,0.434838119415307,"#AAAAAA"
1.6,5.8,0.434838119415307,"#AAAAAA"
1,1,0.000171759625838831,"#e41a1c"
1.2,1.1,0.000171759625838831,"#e41a1c"
1.4,1.1,0.000171759625838831,"#e41a1c"
2,1.9,0.000171759625838831,"#AAAAAA"
1.8,1.8,0.000171759625838831,"#AAAAAA"
1.6,1.8,0.000171759625838831,"#AAAAAA"
1,1,0.181607177720257,"#f781bf"
1.2,1.4,0.181607177720257,"#f781bf"
1.4,1.4,0.181607177720257,"#f781bf"
2,4.6,0.181607177720257,"#AAAAAA"
1.8,4.2,0.181607177720257,"#AAAAAA"
1.6,4.2,0.181607177720257,"#AAAAAA"
1,1,91.4124194805187,"#AAAAAA"
1.2,1,91.4124194805187,"#AAAAAA"
1.4,1,91.4124194805187,"#AAAAAA"
2,1,91.4124194805187,"#AAAAAA"
1.8,1,91.4124194805187,"#AAAAAA"
1.6,1,91.4124194805187,"#AAAAAA"
1,1,0.346610924942761,"#4daf4a"
1.2,1.5,0.346610924942761,"#4daf4a"
1.4,1.5,0.346610924942761,"#4daf4a"
2,5.5,0.346610924942761,"#AAAAAA"
1.8,5,0.346610924942761,"#AAAAAA"
1.6,5,0.346610924942761,"#AAAAAA"
1,1,0.0931509704132594,"#a65628"
1.2,1.3,0.0931509704132594,"#a65628"
1.4,1.3,0.0931509704132594,"#a65628"
