"yearFrom","yearTo","cropRotate","cropFrom","cropTo","plottingColorFrom","plottingColorTo","plotXAxisFrom","plotXAxisTo","plotYAxisFrom","plotYAxisTo","xEndFrom","xEndTo","yEndFrom_streamlined","yEndTo_streamlined","totalNumPixels_cropTransition","totalPercPixelsWiArea_cropTransition","totalNumPixels_cropYearFrom","totalPercPixelsWiArea_cropYearFrom","totalNumPixels_cropYearTo","totalPercPixelsWiArea_cropYearTo"
2008,2009,"corn_corn","corn","corn","#ffd300","#ffd300",1,2,6.4,6.4,1.2,1.8,6.4,6.4,11675,0.668431210556118,55211,3.16100690072923,59647,3.41498213413625
2008,2009,"corn_dryBeans","corn","dryBeans","#ffd300","#e41a1c",1,2,6.4,1.9,1.2,1.8,5.9,2.4,1,5.72532086129437e-05,55211,3.16100690072923,7,0.000400772460290606
2008,2009,"corn_hay","corn","hay","#ffd300","#f781bf",1,2,6.4,4.6,1.2,1.8,6.2,4.8,103,0.0058970804871332,55211,3.16100690072923,8000,0.45802566890355
2008,2009,"corn_other","corn","other","#ffd300","#AAAAAA",1,2,6.4,1,1.2,1.8,5.8,1.6,6622,0.379130747434913,55211,3.16100690072923,1618435,92.6605966814895
2008,2009,"corn_soy","corn","soy","#ffd300","#4daf4a",1,2,6.4,5.5,1.2,1.8,6.3,5.6,36118,2.0678713886823,55211,3.16100690072923,54257,3.10638733971249
2008,2009,"corn_springWheat","corn","springWheat","#ffd300","#a65628",1,2,6.4,3.7,1.2,1.8,6.1,4,686,0.0392757011084794,55211,3.16100690072923,6220,0.35611495757251
2008,2009,"corn_sugarbeets","corn","sugarbeets","#ffd300","#377eb8",1,2,6.4,2.8,1.2,1.8,6,3.2,6,0.000343519251677662,55211,3.16100690072923,61,0.00349244572538957
2008,2009,"dryBeans_other","dryBeans","other","#e41a1c","#AAAAAA",1,2,1.9,1,1.2,1.8,1.8,1.1,1,5.72532086129437e-05,1,5.72532086129437e-05,1618435,92.6605966814895
2008,2009,"hay_corn","hay","corn","#f781bf","#ffd300",1,2,4.6,6.4,1.2,1.8,4.8,6.2,751,0.0429971596683207,10106,0.578600926242409,59647,3.41498213413625
2008,2009,"hay_hay","hay","hay","#f781bf","#f781bf",1,2,4.6,4.6,1.2,1.8,4.6,4.6,4195,0.240177210131299,10106,0.578600926242409,8000,0.45802566890355
2008,2009,"hay_other","hay","other","#f781bf","#AAAAAA",1,2,4.6,1,1.2,1.8,4.2,1.4,4889,0.279910936908682,10106,0.578600926242409,1618435,92.6605966814895
2008,2009,"hay_soy","hay","soy","#f781bf","#4daf4a",1,2,4.6,5.5,1.2,1.8,4.7,5.4,251,0.0143705553618489,10106,0.578600926242409,54257,3.10638733971249
2008,2009,"hay_springWheat","hay","springWheat","#f781bf","#a65628",1,2,4.6,3.7,1.2,1.8,4.5,3.8,20,0.00114506417225887,10106,0.578600926242409,6220,0.35611495757251
2008,2009,"other_corn","other","corn","#AAAAAA","#ffd300",1,2,1,6.4,1.2,1.8,1.6,5.8,7595,0.434838119415307,1615123,92.4709740545634,59647,3.41498213413625
2008,2009,"other_dryBeans","other","dryBeans","#AAAAAA","#e41a1c",1,2,1,1.9,1.2,1.8,1.1,1.8,3,0.000171759625838831,1615123,92.4709740545634,7,0.000400772460290606
2008,2009,"other_hay","other","hay","#AAAAAA","#f781bf",1,2,1,4.6,1.2,1.8,1.4,4.2,3172,0.181607177720257,1615123,92.4709740545634,8000,0.45802566890355
2008,2009,"other_other","other","other","#AAAAAA","#AAAAAA",1,2,1,1,1.2,1.8,1,1,1596634,91.4124194805187,1615123,92.4709740545634,1618435,92.6605966814895
2008,2009,"other_soy","other","soy","#AAAAAA","#4daf4a",1,2,1,5.5,1.2,1.8,1.5,5,6054,0.346610924942761,1615123,92.4709740545634,54257,3.10638733971249
2008,2009,"other_springWheat","other","springWheat","#AAAAAA","#a65628",1,2,1,3.7,1.2,1.8,1.3,3.4,1627,0.0931509704132594,1615123,92.4709740545634,6220,0.35611495757251
2008,2009,"other_sugarbeets","other","sugarbeets","#AAAAAA","#377eb8",1,2,1,2.8,1.2,1.8,1.2,2.6,38,0.00217562192729186,1615123,92.4709740545634,61,0.00349244572538957
2008,2009,"soy_corn","soy","corn","#4daf4a","#ffd300",1,2,5.5,6.4,1.2,1.8,5.6,6.3,39002,2.23298964232203,61609,3.52731292943485,59647,3.41498213413625
2008,2009,"soy_dryBeans","soy","dryBeans","#4daf4a","#e41a1c",1,2,5.5,1.9,1.2,1.8,5.1,2.3,3,0.000171759625838831,61609,3.52731292943485,7,0.000400772460290606
2008,2009,"soy_hay","soy","hay","#4daf4a","#f781bf",1,2,5.5,4.6,1.2,1.8,5.4,4.7,212,0.0121376802259441,61609,3.52731292943485,8000,0.45802566890355
2008,2009,"soy_other","soy","other","#4daf4a","#AAAAAA",1,2,5.5,1,1.2,1.8,5,1.5,8596,0.492148581236864,61609,3.52731292943485,1618435,92.6605966814895
2008,2009,"soy_soy","soy","soy","#4daf4a","#4daf4a",1,2,5.5,5.5,1.2,1.8,5.5,5.5,10199,0.583925474643413,61609,3.52731292943485,54257,3.10638733971249
2008,2009,"soy_springWheat","soy","springWheat","#4daf4a","#a65628",1,2,5.5,3.7,1.2,1.8,5.3,3.9,3580,0.204966486834338,61609,3.52731292943485,6220,0.35611495757251
2008,2009,"soy_sugarbeets","soy","sugarbeets","#4daf4a","#377eb8",1,2,5.5,2.8,1.2,1.8,5.2,3.1,17,0.000973304546420043,61609,3.52731292943485,61,0.00349244572538957
2008,2009,"springWheat_corn","springWheat","corn","#a65628","#ffd300",1,2,3.7,6.4,1.2,1.8,4,6.1,624,0.0357260021744769,4577,0.262047935821443,59647,3.41498213413625
2008,2009,"springWheat_hay","springWheat","hay","#a65628","#f781bf",1,2,3.7,4.6,1.2,1.8,3.8,4.5,318,0.0182065203389161,4577,0.262047935821443,8000,0.45802566890355
2008,2009,"springWheat_other","springWheat","other","#a65628","#AAAAAA",1,2,3.7,1,1.2,1.8,3.4,1.3,1693,0.0969296821817137,4577,0.262047935821443,1618435,92.6605966814895
2008,2009,"springWheat_soy","springWheat","soy","#a65628","#4daf4a",1,2,3.7,5.5,1.2,1.8,3.9,5.3,1635,0.0936089960821629,4577,0.262047935821443,54257,3.10638733971249
2008,2009,"springWheat_springWheat","springWheat","springWheat","#a65628","#a65628",1,2,3.7,3.7,1.2,1.8,3.7,3.7,307,0.0175767350441737,4577,0.262047935821443,6220,0.35611495757251
2009,2010,"corn_corn","corn","corn","#ffd300","#ffd300",2,3,6.4,6.4,2.2,2.8,6.4,6.4,12293,0.703813693478917,59647,3.41498213413625,56904,3.25793658291095
2009,2010,"corn_hay","corn","hay","#ffd300","#f781bf",2,3,6.4,4.6,2.2,2.8,6.2,4.8,86,0.00492377594071316,59647,3.41498213413625,6241,0.357317274953382
2009,2010,"corn_other","corn","other","#ffd300","#AAAAAA",2,3,6.4,1,2.2,2.8,5.8,1.6,9316,0.533370891438184,59647,3.41498213413625,1623530,92.9523017793725
2009,2010,"corn_soy","corn","soy","#ffd300","#4daf4a",2,3,6.4,5.5,2.2,2.8,6.3,5.6,37524,2.1483693999921,59647,3.41498213413625,57607,3.29818558856585
2009,2010,"corn_springWheat","corn","springWheat","#ffd300","#a65628",2,3,6.4,3.7,2.2,2.8,6.1,4,428,0.0245043732863399,59647,3.41498213413625,2335,0.133686242111224
2009,2010,"dryBeans_hay","dryBeans","hay","#e41a1c","#f781bf",2,3,1.9,4.6,2.2,2.8,2.2,4.3,1,5.72532086129437e-05,7,0.000400772460290606,6241,0.357317274953382
2009,2010,"dryBeans_other","dryBeans","other","#e41a1c","#AAAAAA",2,3,1.9,1,2.2,2.8,1.8,1.1,5,0.000286266043064718,7,0.000400772460290606,1623530,92.9523017793725
2009,2010,"dryBeans_soy","dryBeans","soy","#e41a1c","#4daf4a",2,3,1.9,5.5,2.2,2.8,2.3,5.1,1,5.72532086129437e-05,7,0.000400772460290606,57607,3.29818558856585
2009,2010,"hay_corn","hay","corn","#f781bf","#ffd300",2,3,4.6,6.4,2.2,2.8,4.8,6.2,1028,0.0588562984541061,7512,0.430086103100433,56904,3.25793658291095
2009,2010,"hay_hay","hay","hay","#f781bf","#f781bf",2,3,4.6,4.6,2.2,2.8,4.6,4.6,2634,0.150804951486494,7512,0.430086103100433,6241,0.357317274953382
2009,2010,"hay_other","hay","other","#f781bf","#AAAAAA",2,3,4.6,1,2.2,2.8,4.2,1.4,3706,0.212180391119569,7512,0.430086103100433,1623530,92.9523017793725
2009,2010,"hay_soy","hay","soy","#f781bf","#4daf4a",2,3,4.6,5.5,2.2,2.8,4.7,5.4,137,0.00784368957997329,7512,0.430086103100433,57607,3.29818558856585
2009,2010,"hay_springWheat","hay","springWheat","#f781bf","#a65628",2,3,4.6,3.7,2.2,2.8,4.5,3.8,5,0.000286266043064718,7512,0.430086103100433,2335,0.133686242111224
2009,2010,"hay_sugarbeets","hay","sugarbeets","#f781bf","#377eb8",2,3,4.6,2.8,2.2,2.8,4.4,3,2,0.000114506417225887,7512,0.430086103100433,7,0.000400772460290606
2009,2010,"other_corn","other","corn","#AAAAAA","#ffd300",2,3,1,6.4,2.2,2.8,1.6,5.8,7790,0.446002495094831,1618923,92.6885362472926,56904,3.25793658291095
2009,2010,"other_dryBeans","other","dryBeans","#AAAAAA","#e41a1c",2,3,1,1.9,2.2,2.8,1.1,1.8,2,0.000114506417225887,1618923,92.6885362472926,3,0.000171759625838831
2009,2010,"other_hay","other","hay","#AAAAAA","#f781bf",2,3,1,4.6,2.2,2.8,1.4,4.2,3191,0.182694988683903,1618923,92.6885362472926,6241,0.357317274953382
2009,2010,"other_other","other","other","#AAAAAA","#AAAAAA",2,3,1,1,2.2,2.8,1,1,1600272,91.6207066534526,1618923,92.6885362472926,1623530,92.9523017793725
2009,2010,"other_soy","other","soy","#AAAAAA","#4daf4a",2,3,1,5.5,2.2,2.8,1.5,5,7056,0.403978639972931,1618923,92.6885362472926,57607,3.29818558856585
