"X","cropCode","numPixelsWiZone","cropCodeFrom","cropCodeTo","yearFrom","yearTo"
"Houston",0,728,0,0,2008,2009
"Houston",1005,57178,1,5,2008,2009
"Houston",1023,21,1,23,2008,2009
"Houston",1028,497,1,28,2008,2009
"Houston",1036,2465,1,36,2008,2009
"Houston",1037,7,1,37,2008,2009
"Houston",1061,1,1,61,2008,2009
"Houston",1111,129,1,111,2008,2009
"Houston",1121,62,1,121,2008,2009
"Houston",1176,23866,1,176,2008,2009
"Houston",1190,40,1,190,2008,2009
"Houston",1195,130,1,195,2008,2009
"Houston",5005,8148,5,5,2008,2009
"Houston",5023,30,5,23,2008,2009
"Houston",5028,69,5,28,2008,2009
"Houston",5036,731,5,36,2008,2009
"Houston",5037,28,5,37,2008,2009
"Houston",5059,1,5,59,2008,2009
"Houston",5111,87,5,111,2008,2009
"Houston",5121,56,5,121,2008,2009
"Houston",5141,73,5,141,2008,2009
"Houston",5176,10989,5,176,2008,2009
"Houston",5190,16,5,190,2008,2009
"Houston",5195,247,5,195,2008,2009
"Houston",21005,3,21,5,2008,2009
"Houston",21036,118,21,36,2008,2009
"Houston",21176,40,21,176,2008,2009
"Houston",23036,2,23,36,2008,2009
"Houston",23111,2,23,111,2008,2009
"Houston",23176,6,23,176,2008,2009
"Houston",27176,11,27,176,2008,2009
"Houston",28005,1,28,5,2008,2009
"Houston",28036,44,28,36,2008,2009
"Houston",28037,9,28,37,2008,2009
"Houston",28176,37,28,176,2008,2009
"Houston",28190,2,28,190,2008,2009
"Houston",28195,12,28,195,2008,2009
"Houston",36005,474,36,5,2008,2009
"Houston",36028,40,36,28,2008,2009
"Houston",36036,5384,36,36,2008,2009
"Houston",36037,5,36,37,2008,2009
"Houston",36131,1,36,131,2008,2009
"Houston",36141,97,36,141,2008,2009
"Houston",36176,8937,36,176,2008,2009
"Houston",36190,4,36,190,2008,2009
"Houston",36195,67,36,195,2008,2009
"Houston",37005,1,37,5,2008,2009
"Houston",37036,4,37,36,2008,2009
"Houston",37037,1,37,37,2008,2009
"Houston",37111,14,37,111,2008,2009
"Houston",37141,8,37,141,2008,2009
"Houston",37176,75,37,176,2008,2009
"Houston",37195,36,37,195,2008,2009
"Houston",42005,29,42,5,2008,2009
"Houston",42176,14,42,176,2008,2009
"Houston",59005,6,59,5,2008,2009
"Houston",59028,1,59,28,2008,2009
"Houston",59036,24,59,36,2008,2009
"Houston",59042,1,59,42,2008,2009
"Houston",59059,4,59,59,2008,2009
"Houston",59131,1,59,131,2008,2009
"Houston",59141,2,59,141,2008,2009
"Houston",59176,132,59,176,2008,2009
"Houston",59190,1,59,190,2008,2009
"Houston",59195,2,59,195,2008,2009
"Houston",61005,1,61,5,2008,2009
"Houston",61036,1,61,36,2008,2009
"Houston",61061,2,61,61,2008,2009
"Houston",61141,9,61,141,2008,2009
"Houston",61176,40,61,176,2008,2009
"Houston",61195,21,61,195,2008,2009
"Houston",111005,158,111,5,2008,2009
"Houston",111028,4,111,28,2008,2009
"Houston",111037,2,111,37,2008,2009
"Houston",111061,3,111,61,2008,2009
"Houston",111111,36770,111,111,2008,2009
"Houston",111141,92,111,141,2008,2009
"Houston",111142,31,111,142,2008,2009
"Houston",111176,358,111,176,2008,2009
"Houston",111190,3613,111,190,2008,2009
"Houston",111195,3439,111,195,2008,2009
"Houston",121005,313,121,5,2008,2009
"Houston",121036,10,121,36,2008,2009
"Houston",121121,47146,121,121,2008,2009
"Houston",121122,1502,121,122,2008,2009
"Houston",121123,44,121,123,2008,2009
"Houston",121176,23,121,176,2008,2009
"Houston",122121,1148,122,121,2008,2009
"Houston",122122,17586,122,122,2008,2009
"Houston",122123,122,122,123,2008,2009
"Houston",122176,2,122,176,2008,2009
"Houston",123005,2,123,5,2008,2009
"Houston",123028,11,123,28,2008,2009
"Houston",123121,24,123,121,2008,2009
"Houston",123122,123,123,122,2008,2009
"Houston",123123,2295,123,123,2008,2009
"Houston",123124,12,123,124,2008,2009
"Houston",123176,8,123,176,2008,2009
"Houston",123195,30,123,195,2008,2009
"Houston",124001,2,124,1,2008,2009
"Houston",124122,5,124,122,2008,2009
"Houston",124123,113,124,123,2008,2009
"Houston",124124,480,124,124,2008,2009
"Houston",131005,50,131,5,2008,2009
"Houston",131111,8,131,111,2008,2009
"Houston",131176,435,131,176,2008,2009
"Houston",141005,32,141,5,2008,2009
"Houston",141028,2,141,28,2008,2009
"Houston",141036,80,141,36,2008,2009
"Houston",141037,26,141,37,2008,2009
"Houston",141061,4,141,61,2008,2009
"Houston",141111,134,141,111,2008,2009
"Houston",141121,39,141,121,2008,2009
"Houston",141141,606564,141,141,2008,2009
"Houston",141142,2455,141,142,2008,2009
"Houston",141152,1,141,152,2008,2009
"Houston",141176,20963,141,176,2008,2009
"Houston",141190,2702,141,190,2008,2009
"Houston",141195,433,141,195,2008,2009
