"xCoords","yCoords","width","colorToUse"
1,6.4,3.0562671789134,"#ffd300"
1.2,6.4,3.0562671789134,"#ffd300"
1.4,6.4,3.0562671789134,"#ffd300"
2,6.4,3.0562671789134,"#ffd300"
1.8,6.4,3.0562671789134,"#ffd300"
1.6,6.4,3.0562671789134,"#ffd300"
1,6.4,0.150463323267856,"#f781bf"
1.2,6.2,0.150463323267856,"#f781bf"
1.4,6.2,0.150463323267856,"#f781bf"
2,4.6,0.150463323267856,"#ffd300"
1.8,4.8,0.150463323267856,"#ffd300"
1.6,4.8,0.150463323267856,"#ffd300"
1,6.4,1.54278316251321,"#AAAAAA"
1.2,5.8,1.54278316251321,"#AAAAAA"
1.4,5.8,1.54278316251321,"#AAAAAA"
2,1,1.54278316251321,"#ffd300"
1.8,1.6,1.54278316251321,"#ffd300"
1.6,1.6,1.54278316251321,"#ffd300"
1,6.4,3.4901387009369,"#4daf4a"
1.2,6.3,3.4901387009369,"#4daf4a"
1.4,6.3,3.4901387009369,"#4daf4a"
2,5.5,3.4901387009369,"#ffd300"
1.8,5.6,3.4901387009369,"#ffd300"
1.6,5.6,3.4901387009369,"#ffd300"
1,6.4,0.00128183764244421,"#a65628"
1.2,6.1,0.00128183764244421,"#a65628"
1.4,6.1,0.00128183764244421,"#a65628"
2,3.7,0.00128183764244421,"#ffd300"
1.8,4,0.00128183764244421,"#ffd300"
1.6,4,0.00128183764244421,"#ffd300"
1,1.9,0.000122079775470877,"#ffd300"
1.2,2.4,0.000122079775470877,"#ffd300"
1.4,2.4,0.000122079775470877,"#ffd300"
2,6.4,0.000122079775470877,"#e41a1c"
1.8,5.9,0.000122079775470877,"#e41a1c"
1.6,5.9,0.000122079775470877,"#e41a1c"
1,1.9,0.00103767809150245,"#AAAAAA"
1.2,1.8,0.00103767809150245,"#AAAAAA"
1.4,1.8,0.00103767809150245,"#AAAAAA"
2,1,0.00103767809150245,"#e41a1c"
1.8,1.1,0.00103767809150245,"#e41a1c"
1.6,1.1,0.00103767809150245,"#e41a1c"
1,1.9,0.00177015674432772,"#4daf4a"
1.2,2.3,0.00177015674432772,"#4daf4a"
1.4,2.3,0.00177015674432772,"#4daf4a"
2,5.5,0.00177015674432772,"#e41a1c"
1.8,5.1,0.00177015674432772,"#e41a1c"
1.6,5.1,0.00177015674432772,"#e41a1c"
1,4.6,0.159924505866849,"#ffd300"
1.2,4.8,0.159924505866849,"#ffd300"
1.4,4.8,0.159924505866849,"#ffd300"
2,6.4,0.159924505866849,"#f781bf"
1.8,6.2,0.159924505866849,"#f781bf"
1.6,6.2,0.159924505866849,"#f781bf"
1,4.6,6.10398877354385e-05,"#e41a1c"
1.2,4.3,6.10398877354385e-05,"#e41a1c"
1.4,4.3,6.10398877354385e-05,"#e41a1c"
2,1.9,6.10398877354385e-05,"#f781bf"
1.8,2.2,6.10398877354385e-05,"#f781bf"
1.6,2.2,6.10398877354385e-05,"#f781bf"
1,4.6,0.337123299962827,"#f781bf"
1.2,4.6,0.337123299962827,"#f781bf"
1.4,4.6,0.337123299962827,"#f781bf"
2,4.6,0.337123299962827,"#f781bf"
1.8,4.6,0.337123299962827,"#f781bf"
1.6,4.6,0.337123299962827,"#f781bf"
1,4.6,0.560712408737738,"#AAAAAA"
1.2,4.2,0.560712408737738,"#AAAAAA"
1.4,4.2,0.560712408737738,"#AAAAAA"
2,1,0.560712408737738,"#f781bf"
1.8,1.4,0.560712408737738,"#f781bf"
1.6,1.4,0.560712408737738,"#f781bf"
1,4.6,0.0289939466743333,"#4daf4a"
1.2,4.7,0.0289939466743333,"#4daf4a"
1.4,4.7,0.0289939466743333,"#4daf4a"
2,5.5,0.0289939466743333,"#f781bf"
1.8,5.4,0.0289939466743333,"#f781bf"
1.6,5.4,0.0289939466743333,"#f781bf"
1,1,3.76603899350108,"#ffd300"
1.2,1.6,3.76603899350108,"#ffd300"
1.4,1.6,3.76603899350108,"#ffd300"
2,6.4,3.76603899350108,"#AAAAAA"
1.8,5.8,3.76603899350108,"#AAAAAA"
1.6,5.8,3.76603899350108,"#AAAAAA"
1,1,0.000244159550941754,"#e41a1c"
1.2,1.1,0.000244159550941754,"#e41a1c"
1.4,1.1,0.000244159550941754,"#e41a1c"
2,1.9,0.000244159550941754,"#AAAAAA"
1.8,1.8,0.000244159550941754,"#AAAAAA"
1.6,1.8,0.000244159550941754,"#AAAAAA"
1,1,1.1791685512732,"#f781bf"
1.2,1.4,1.1791685512732,"#f781bf"
1.4,1.4,1.1791685512732,"#f781bf"
2,4.6,1.1791685512732,"#AAAAAA"
1.8,4.2,1.1791685512732,"#AAAAAA"
1.6,4.2,1.1791685512732,"#AAAAAA"
1,1,79.4639232899523,"#AAAAAA"
1.2,1,79.4639232899523,"#AAAAAA"
1.4,1,79.4639232899523,"#AAAAAA"
2,1,79.4639232899523,"#AAAAAA"
1.8,1,79.4639232899523,"#AAAAAA"
1.6,1,79.4639232899523,"#AAAAAA"
1,1,1.36784284426344,"#4daf4a"
1.2,1.5,1.36784284426344,"#4daf4a"
