"X","cropCode","numPixelsWiZone","cropCodeFrom","cropCodeTo","yearFrom","yearTo"
"Isanti",1005,77844,1,5,2008,2009
"Isanti",1023,745,1,23,2008,2009
"Isanti",1028,128,1,28,2008,2009
"Isanti",1036,913,1,36,2008,2009
"Isanti",1037,97,1,37,2008,2009
"Isanti",1044,2,1,44,2008,2009
"Isanti",1059,6,1,59,2008,2009
"Isanti",1061,151,1,61,2008,2009
"Isanti",1111,32,1,111,2008,2009
"Isanti",1121,97,1,121,2008,2009
"Isanti",1152,10,1,152,2008,2009
"Isanti",1176,15360,1,176,2008,2009
"Isanti",1190,11,1,190,2008,2009
"Isanti",1195,2474,1,195,2008,2009
"Isanti",5005,38866,5,5,2008,2009
"Isanti",5023,5181,5,23,2008,2009
"Isanti",5024,48,5,24,2008,2009
"Isanti",5028,209,5,28,2008,2009
"Isanti",5036,502,5,36,2008,2009
"Isanti",5037,45,5,37,2008,2009
"Isanti",5043,3,5,43,2008,2009
"Isanti",5059,4,5,59,2008,2009
"Isanti",5061,1188,5,61,2008,2009
"Isanti",5111,4,5,111,2008,2009
"Isanti",5121,304,5,121,2008,2009
"Isanti",5141,42,5,141,2008,2009
"Isanti",5152,87,5,152,2008,2009
"Isanti",5176,16204,5,176,2008,2009
"Isanti",5190,3,5,190,2008,2009
"Isanti",5195,1360,5,195,2008,2009
"Isanti",6005,1,6,5,2008,2009
"Isanti",21005,60,21,5,2008,2009
"Isanti",21023,1,21,23,2008,2009
"Isanti",21036,14,21,36,2008,2009
"Isanti",21176,125,21,176,2008,2009
"Isanti",23005,1548,23,5,2008,2009
"Isanti",23023,144,23,23,2008,2009
"Isanti",23024,134,23,24,2008,2009
"Isanti",23028,2,23,28,2008,2009
"Isanti",23036,83,23,36,2008,2009
"Isanti",23037,38,23,37,2008,2009
"Isanti",23061,21,23,61,2008,2009
"Isanti",23111,1,23,111,2008,2009
"Isanti",23131,2,23,131,2008,2009
"Isanti",23152,1,23,152,2008,2009
"Isanti",23176,1174,23,176,2008,2009
"Isanti",23195,58,23,195,2008,2009
"Isanti",24005,577,24,5,2008,2009
"Isanti",24023,24,24,23,2008,2009
"Isanti",24036,13,24,36,2008,2009
"Isanti",24061,2,24,61,2008,2009
"Isanti",24176,127,24,176,2008,2009
"Isanti",24195,7,24,195,2008,2009
"Isanti",27176,947,27,176,2008,2009
"Isanti",27190,2,27,190,2008,2009
"Isanti",27195,45,27,195,2008,2009
"Isanti",28005,181,28,5,2008,2009
"Isanti",28023,9,28,23,2008,2009
"Isanti",28028,1,28,28,2008,2009
"Isanti",28036,7,28,36,2008,2009
"Isanti",28037,5,28,37,2008,2009
"Isanti",28061,1,28,61,2008,2009
"Isanti",28176,108,28,176,2008,2009
"Isanti",28190,1,28,190,2008,2009
"Isanti",28195,5,28,195,2008,2009
"Isanti",36005,586,36,5,2008,2009
"Isanti",36023,59,36,23,2008,2009
"Isanti",36028,3,36,28,2008,2009
"Isanti",36036,6937,36,36,2008,2009
"Isanti",36037,334,36,37,2008,2009
"Isanti",36058,4,36,58,2008,2009
"Isanti",36059,9,36,59,2008,2009
"Isanti",36061,14,36,61,2008,2009
"Isanti",36141,7,36,141,2008,2009
"Isanti",36152,6,36,152,2008,2009
"Isanti",36176,7968,36,176,2008,2009
"Isanti",36190,9,36,190,2008,2009
"Isanti",36195,91,36,195,2008,2009
"Isanti",37005,199,37,5,2008,2009
"Isanti",37023,25,37,23,2008,2009
"Isanti",37024,7,37,24,2008,2009
"Isanti",37028,2,37,28,2008,2009
"Isanti",37036,248,37,36,2008,2009
"Isanti",37037,116,37,37,2008,2009
"Isanti",37059,1,37,59,2008,2009
"Isanti",37061,17,37,61,2008,2009
"Isanti",37141,5,37,141,2008,2009
"Isanti",37152,22,37,152,2008,2009
"Isanti",37176,2688,37,176,2008,2009
"Isanti",37195,129,37,195,2008,2009
"Isanti",41023,1,41,23,2008,2009
"Isanti",43176,1,43,176,2008,2009
"Isanti",43195,1,43,195,2008,2009
"Isanti",59111,3,59,111,2008,2009
"Isanti",59176,1,59,176,2008,2009
"Isanti",59195,1,59,195,2008,2009
"Isanti",61005,387,61,5,2008,2009
"Isanti",61023,35,61,23,2008,2009
"Isanti",61024,3,61,24,2008,2009
"Isanti",61028,1,61,28,2008,2009
"Isanti",61036,2,61,36,2008,2009
"Isanti",61037,2,61,37,2008,2009
"Isanti",61059,9,61,59,2008,2009
"Isanti",61061,24,61,61,2008,2009
"Isanti",61111,1,61,111,2008,2009
"Isanti",61141,3,61,141,2008,2009
"Isanti",61152,13,61,152,2008,2009
"Isanti",61176,425,61,176,2008,2009
"Isanti",61195,109,61,195,2008,2009
"Isanti",70176,3,70,176,2008,2009
"Isanti",111005,71,111,5,2008,2009
"Isanti",111023,15,111,23,2008,2009
"Isanti",111028,1,111,28,2008,2009
"Isanti",111037,7,111,37,2008,2009
"Isanti",111044,131,111,44,2008,2009
"Isanti",111061,3,111,61,2008,2009
"Isanti",111111,35422,111,111,2008,2009
"Isanti",111141,327,111,141,2008,2009
"Isanti",111142,5,111,142,2008,2009
"Isanti",111152,7,111,152,2008,2009
"Isanti",111176,399,111,176,2008,2009
"Isanti",111190,285,111,190,2008,2009
"Isanti",111195,2085,111,195,2008,2009
"Isanti",121005,154,121,5,2008,2009
"Isanti",121023,8,121,23,2008,2009
"Isanti",121036,7,121,36,2008,2009
"Isanti",121061,11,121,61,2008,2009
"Isanti",121121,55377,121,121,2008,2009
"Isanti",121122,2606,121,122,2008,2009
"Isanti",121123,50,121,123,2008,2009
"Isanti",121176,212,121,176,2008,2009
"Isanti",121195,17,121,195,2008,2009
"Isanti",122023,9,122,23,2008,2009
"Isanti",122121,1958,122,121,2008,2009
"Isanti",122122,11153,122,122,2008,2009
"Isanti",122123,919,122,123,2008,2009
"Isanti",122176,46,122,176,2008,2009
"Isanti",123001,10,123,1,2008,2009
"Isanti",123005,11,123,5,2008,2009
"Isanti",123023,42,123,23,2008,2009
"Isanti",123061,3,123,61,2008,2009
"Isanti",123121,48,123,121,2008,2009
"Isanti",123122,410,123,122,2008,2009
"Isanti",123123,3689,123,123,2008,2009
"Isanti",123124,31,123,124,2008,2009
"Isanti",123176,109,123,176,2008,2009
"Isanti",123195,21,123,195,2008,2009
"Isanti",124061,1,124,61,2008,2009
"Isanti",124122,25,124,122,2008,2009
"Isanti",124123,110,124,123,2008,2009
"Isanti",124124,1331,124,124,2008,2009
"Isanti",124176,2,124,176,2008,2009
"Isanti",131005,2,131,5,2008,2009
"Isanti",131023,5,131,23,2008,2009
"Isanti",131176,4,131,176,2008,2009
"Isanti",131195,8,131,195,2008,2009
"Isanti",141005,291,141,5,2008,2009
"Isanti",141023,1,141,23,2008,2009
"Isanti",141036,27,141,36,2008,2009
"Isanti",141037,37,141,37,2008,2009
"Isanti",141058,2,141,58,2008,2009
"Isanti",141059,1,141,59,2008,2009
"Isanti",141061,1,141,61,2008,2009
"Isanti",141111,1121,141,111,2008,2009
"Isanti",141121,77,141,121,2008,2009
"Isanti",141131,2,141,131,2008,2009
"Isanti",141141,254389,141,141,2008,2009
"Isanti",141142,3138,141,142,2008,2009
"Isanti",141152,384,141,152,2008,2009
"Isanti",141176,6819,141,176,2008,2009
"Isanti",141190,15540,141,190,2008,2009
"Isanti",141195,22246,141,195,2008,2009
"Isanti",142005,4,142,5,2008,2009
"Isanti",142141,3951,142,141,2008,2009
"Isanti",142142,13146,142,142,2008,2009
"Isanti",142152,24,142,152,2008,2009
"Isanti",142176,190,142,176,2008,2009
"Isanti",142190,2095,142,190,2008,2009
"Isanti",142195,411,142,195,2008,2009
"Isanti",143190,101,143,190,2008,2009
"Isanti",152005,5,152,5,2008,2009
"Isanti",152023,1,152,23,2008,2009
"Isanti",152141,216,152,141,2008,2009
"Isanti",152142,14,152,142,2008,2009
"Isanti",152152,5,152,152,2008,2009
"Isanti",152176,206,152,176,2008,2009
"Isanti",152190,31,152,190,2008,2009
"Isanti",152195,90,152,195,2008,2009
"Isanti",176001,15664,176,1,2008,2009
"Isanti",176005,16629,176,5,2008,2009
"Isanti",176006,4,176,6,2008,2009
"Isanti",176021,4,176,21,2008,2009
"Isanti",176023,1792,176,23,2008,2009
"Isanti",176024,155,176,24,2008,2009
"Isanti",176027,2645,176,27,2008,2009
"Isanti",176028,88,176,28,2008,2009
"Isanti",176036,6462,176,36,2008,2009
"Isanti",176037,1999,176,37,2008,2009
"Isanti",176044,1,176,44,2008,2009
"Isanti",176053,1,176,53,2008,2009
"Isanti",176058,11,176,58,2008,2009
"Isanti",176059,67,176,59,2008,2009
"Isanti",176061,1042,176,61,2008,2009
"Isanti",176111,308,176,111,2008,2009
"Isanti",176121,971,176,121,2008,2009
"Isanti",176131,45,176,131,2008,2009
"Isanti",176141,7651,176,141,2008,2009
"Isanti",176142,350,176,142,2008,2009
"Isanti",176152,1060,176,152,2008,2009
"Isanti",176176,278268,176,176,2008,2009
"Isanti",176190,358,176,190,2008,2009
"Isanti",176195,49700,176,195,2008,2009
"Isanti",190005,25,190,5,2008,2009
"Isanti",190036,2,190,36,2008,2009
"Isanti",190037,1,190,37,2008,2009
"Isanti",190044,1,190,44,2008,2009
"Isanti",190111,306,190,111,2008,2009
"Isanti",190141,15232,190,141,2008,2009
"Isanti",190142,904,190,142,2008,2009
"Isanti",190143,52,190,143,2008,2009
"Isanti",190152,55,190,152,2008,2009
"Isanti",190176,299,190,176,2008,2009
"Isanti",190190,10854,190,190,2008,2009
"Isanti",190195,3907,190,195,2008,2009
"Isanti",195001,1266,195,1,2008,2009
"Isanti",195005,875,195,5,2008,2009
"Isanti",195006,2,195,6,2008,2009
"Isanti",195023,194,195,23,2008,2009
"Isanti",195024,10,195,24,2008,2009
"Isanti",195027,79,195,27,2008,2009
"Isanti",195028,5,195,28,2008,2009
"Isanti",195036,137,195,36,2008,2009
"Isanti",195037,106,195,37,2008,2009
"Isanti",195044,7,195,44,2008,2009
"Isanti",195059,8,195,59,2008,2009
"Isanti",195061,49,195,61,2008,2009
"Isanti",195111,2660,195,111,2008,2009
"Isanti",195131,3,195,131,2008,2009
"Isanti",195141,17235,195,141,2008,2009
"Isanti",195142,234,195,142,2008,2009
"Isanti",195152,259,195,152,2008,2009
"Isanti",195176,31894,195,176,2008,2009
"Isanti",195190,3839,195,190,2008,2009
"Isanti",195195,70630,195,195,2008,2009
"Isanti",1001,42975,1,1,2008,2009
"Isanti",1024,9,1,24,2008,2009
"Isanti",1042,1,1,42,2008,2009
"Isanti",1141,23,1,141,2008,2009
"Isanti",5001,70785,5,1,2008,2009
"Isanti",5006,2,5,6,2008,2009
"Isanti",5021,2,5,21,2008,2009
"Isanti",5042,5,5,42,2008,2009
"Isanti",5123,9,5,123,2008,2009
"Isanti",6001,1,6,1,2008,2009
"Isanti",21001,11,21,1,2008,2009
"Isanti",23001,1141,23,1,2008,2009
"Isanti",24001,190,24,1,2008,2009
"Isanti",24024,3,24,24,2008,2009
"Isanti",24121,7,24,121,2008,2009
"Isanti",27005,906,27,5,2008,2009
"Isanti",27023,75,27,23,2008,2009
"Isanti",27024,15,27,24,2008,2009
"Isanti",27036,15,27,36,2008,2009
"Isanti",27037,4,27,37,2008,2009
"Isanti",27059,1,27,59,2008,2009
"Isanti",27061,75,27,61,2008,2009
"Isanti",28001,59,28,1,2008,2009
"Isanti",28024,2,28,24,2008,2009
"Isanti",36001,963,36,1,2008,2009
"Isanti",36024,2,36,24,2008,2009
"Isanti",36111,4,36,111,2008,2009
"Isanti",36121,10,36,121,2008,2009
"Isanti",37001,200,37,1,2008,2009
"Isanti",61001,258,61,1,2008,2009
"Isanti",61042,1,61,42,2008,2009
"Isanti",111001,53,111,1,2008,2009
"Isanti",111036,15,111,36,2008,2009
"Isanti",111143,4,111,143,2008,2009
"Isanti",122124,18,122,124,2008,2009
"Isanti",141143,275,141,143,2008,2009
"Isanti",142111,59,142,111,2008,2009
"Isanti",142143,109,142,143,2008,2009
"Isanti",143141,145,143,141,2008,2009
"Isanti",143142,69,143,142,2008,2009
"Isanti",152001,7,152,1,2008,2009
"Isanti",152036,1,152,36,2008,2009
"Isanti",152111,1,152,111,2008,2009
"Isanti",176041,1,176,41,2008,2009
"Isanti",176042,1,176,42,2008,2009
"Isanti",176043,1,176,43,2008,2009
"Isanti",190001,8,190,1,2008,2009
"Isanti",1122,28,1,122,2008,2009
"Isanti",5027,2005,5,27,2008,2009
"Isanti",5131,38,5,131,2008,2009
"Isanti",23027,304,23,27,2008,2009
"Isanti",23122,1,23,122,2008,2009
"Isanti",24027,40,24,27,2008,2009
"Isanti",27001,273,27,1,2008,2009
"Isanti",27027,734,27,27,2008,2009
"Isanti",27028,3,27,28,2008,2009
"Isanti",27152,6,27,152,2008,2009
"Isanti",28121,2,28,121,2008,2009
"Isanti",36027,128,36,27,2008,2009
"Isanti",37027,54,37,27,2008,2009
"Isanti",37121,13,37,121,2008,2009
"Isanti",61121,10,61,121,2008,2009
"Isanti",61131,1,61,131,2008,2009
"Isanti",121024,2,121,24,2008,2009
"Isanti",122005,15,122,5,2008,2009
"Isanti",123111,1,123,111,2008,2009
"Isanti",123131,5,123,131,2008,2009
"Isanti",124121,19,124,121,2008,2009
"Isanti",141001,368,141,1,2008,2009
"Isanti",142001,7,142,1,2008,2009
"Isanti",143195,9,143,195,2008,2009
"Isanti",195121,28,195,121,2008,2009
"Isanti",195122,4,195,122,2008,2009
"Isanti",1123,1,1,123,2008,2009
"Isanti",5122,19,5,122,2008,2009
"Isanti",28131,2,28,131,2008,2009
"Isanti",37131,1,37,131,2008,2009
"Isanti",61123,1,61,123,2008,2009
"Isanti",111131,2,111,131,2008,2009
"Isanti",121001,285,121,1,2008,2009
"Isanti",121124,15,121,124,2008,2009
"Isanti",121141,12,121,141,2008,2009
"Isanti",122001,17,122,1,2008,2009
"Isanti",122195,2,122,195,2008,2009
"Isanti",131122,1,131,122,2008,2009
"Isanti",131123,1,131,123,2008,2009
"Isanti",141042,6,141,42,2008,2009
"Isanti",141123,1,141,123,2008,2009
"Isanti",143111,2,143,111,2008,2009
"Isanti",143143,3,143,143,2008,2009
"Isanti",143176,1,143,176,2008,2009
"Isanti",152122,1,152,122,2008,2009
"Isanti",176122,262,176,122,2008,2009
"Isanti",176123,22,176,123,2008,2009
"Isanti",176143,3,176,143,2008,2009
"Isanti",190027,1,190,27,2008,2009
"Isanti",190121,1,190,121,2008,2009
"Isanti",195123,2,195,123,2008,2009
"Isanti",195143,9,195,143,2008,2009
"Isanti",1131,4,1,131,2008,2009
"Isanti",28027,19,28,27,2008,2009
"Isanti",111012,3,111,12,2008,2009
"Isanti",111121,1,111,121,2008,2009
"Isanti",121021,1,121,21,2008,2009
"Isanti",121142,5,121,142,2008,2009
"Isanti",121152,3,121,152,2008,2009
"Isanti",122131,1,122,131,2008,2009
"Isanti",122141,6,122,141,2008,2009
"Isanti",122142,2,122,142,2008,2009
"Isanti",123141,2,123,141,2008,2009
"Isanti",123142,1,123,142,2008,2009
"Isanti",123190,1,123,190,2008,2009
"Isanti",124131,1,124,131,2008,2009
"Isanti",131001,2,131,1,2008,2009
"Isanti",142121,4,142,121,2008,2009
"Isanti",143001,1,143,1,2008,2009
"Isanti",176012,18,176,12,2008,2009
"Isanti",27042,1,27,42,2008,2009
"Isanti",36122,1,36,122,2008,2009
"Isanti",1012,8,1,12,2008,2009
"Isanti",1027,233,1,27,2008,2009
"Isanti",1058,4,1,58,2008,2009
"Isanti",5012,13,5,12,2008,2009
"Isanti",21027,60,21,27,2008,2009
"Isanti",24122,13,24,122,2008,2009
"Isanti",36123,1,36,123,2008,2009
"Isanti",37122,2,37,122,2008,2009
"Isanti",61027,79,61,27,2008,2009
"Isanti",61122,1,61,122,2008,2009
"Isanti",121027,33,121,27,2008,2009
"Isanti",131027,1,131,27,2008,2009
"Isanti",176060,12,176,60,2008,2009
"Isanti",195012,1,195,12,2008,2009
"Isanti",4176,1,4,176,2008,2009
"Isanti",27131,3,27,131,2008,2009
"Isanti",27121,23,27,121,2008,2009
"Isanti",60176,34,60,176,2008,2009
"Isanti",122027,2,122,27,2008,2009
"Isanti",27122,15,27,122,2008,2009
"Isanti",60152,11,60,152,2008,2009
"Isanti",123027,7,123,27,2008,2009
"Isanti",12001,2,12,1,2008,2009
"Isanti",1060,1,1,60,2008,2009
"Isanti",60001,3,60,1,2008,2009
"Isanti",60005,5,60,5,2008,2009
"Isanti",61012,1,61,12,2008,2009
"Isanti",195060,1,195,60,2008,2009
"Isanti",60023,1,60,23,2008,2009
"Isanti",1229,3,1,229,2008,2009
"Isanti",5229,3,5,229,2008,2009
"Isanti",53111,1,53,111,2008,2009
"Isanti",124027,1,124,27,2008,2009
"Isanti",37060,1,37,60,2008,2009
"Isanti",60027,3,60,27,2008,2009
"Isanti",60061,7,60,61,2008,2009
"Isanti",60195,39,60,195,2008,2009
"Isanti",70111,1,70,111,2008,2009
"Isanti",1176,11869,1,176,2009,2010
"Isanti",1195,1739,1,195,2009,2010
"Isanti",5001,76786,5,1,2009,2010
"Isanti",5005,38506,5,5,2009,2010
"Isanti",5021,2,5,21,2009,2010
"Isanti",5023,2406,5,23,2009,2010
"Isanti",5024,65,5,24,2009,2010
"Isanti",5028,359,5,28,2009,2010
"Isanti",5036,606,5,36,2009,2010
"Isanti",5037,224,5,37,2009,2010
"Isanti",5042,8,5,42,2009,2010
"Isanti",5044,15,5,44,2009,2010
"Isanti",5058,1,5,58,2009,2010
"Isanti",5061,1506,5,61,2009,2010
"Isanti",5063,98,5,63,2009,2010
"Isanti",5111,46,5,111,2009,2010
"Isanti",5121,143,5,121,2009,2010
"Isanti",5141,295,5,141,2009,2010
"Isanti",5142,22,5,142,2009,2010
"Isanti",5152,5,5,152,2009,2010
"Isanti",5176,14640,5,176,2009,2010
"Isanti",5195,1419,5,195,2009,2010
"Isanti",6176,6,6,176,2009,2010
"Isanti",23001,1583,23,1,2009,2010
"Isanti",23005,2391,23,5,2009,2010
"Isanti",23023,143,23,23,2009,2010
"Isanti",23024,651,23,24,2009,2010
"Isanti",23028,11,23,28,2009,2010
"Isanti",23036,107,23,36,2009,2010
"Isanti",23037,27,23,37,2009,2010
"Isanti",23042,2,23,42,2009,2010
"Isanti",23058,1,23,58,2009,2010
"Isanti",23061,61,23,61,2009,2010
"Isanti",23063,18,23,63,2009,2010
"Isanti",23111,13,23,111,2009,2010
"Isanti",23121,6,23,121,2009,2010
"Isanti",23131,1,23,131,2009,2010
"Isanti",23176,2669,23,176,2009,2010
"Isanti",23195,305,23,195,2009,2010
"Isanti",24005,185,24,5,2009,2010
"Isanti",24176,113,24,176,2009,2010
"Isanti",24195,9,24,195,2009,2010
"Isanti",27195,93,27,195,2009,2010
"Isanti",28005,176,28,5,2009,2010
"Isanti",28023,10,28,23,2009,2010
"Isanti",28024,6,28,24,2009,2010
"Isanti",28028,1,28,28,2009,2010
"Isanti",28036,19,28,36,2009,2010
"Isanti",28037,4,28,37,2009,2010
"Isanti",28061,5,28,61,2009,2010
"Isanti",28111,1,28,111,2009,2010
"Isanti",28176,105,28,176,2009,2010
"Isanti",28195,12,28,195,2009,2010
"Isanti",36005,296,36,5,2009,2010
"Isanti",36023,30,36,23,2009,2010
"Isanti",36024,18,36,24,2009,2010
"Isanti",36028,19,36,28,2009,2010
"Isanti",36036,6627,36,36,2009,2010
"Isanti",36037,310,36,37,2009,2010
"Isanti",36059,2,36,59,2009,2010
"Isanti",36061,13,36,61,2009,2010
"Isanti",36063,19,36,63,2009,2010
"Isanti",36111,15,36,111,2009,2010
"Isanti",36121,5,36,121,2009,2010
"Isanti",36141,26,36,141,2009,2010
"Isanti",36142,2,36,142,2009,2010
"Isanti",36152,3,36,152,2009,2010
"Isanti",36176,6537,36,176,2009,2010
"Isanti",36195,127,36,195,2009,2010
"Isanti",37001,80,37,1,2009,2010
"Isanti",37005,94,37,5,2009,2010
"Isanti",37023,3,37,23,2009,2010
"Isanti",37024,3,37,24,2009,2010
"Isanti",37036,245,37,36,2009,2010
"Isanti",37037,141,37,37,2009,2010
"Isanti",37042,1,37,42,2009,2010
"Isanti",37061,2,37,61,2009,2010
"Isanti",37063,2,37,63,2009,2010
"Isanti",37111,5,37,111,2009,2010
"Isanti",37121,1,37,121,2009,2010
"Isanti",37141,39,37,141,2009,2010
"Isanti",37152,2,37,152,2009,2010
"Isanti",37176,1994,37,176,2009,2010
"Isanti",37195,162,37,195,2009,2010
"Isanti",43023,2,43,23,2009,2010
"Isanti",43176,1,43,176,2009,2010
"Isanti",44111,131,44,111,2009,2010
"Isanti",44176,4,44,176,2009,2010
"Isanti",44195,7,44,195,2009,2010
"Isanti",58036,10,58,36,2009,2010
"Isanti",58037,1,58,37,2009,2010
"Isanti",58141,1,58,141,2009,2010
"Isanti",58176,8,58,176,2009,2010
"Isanti",58195,1,58,195,2009,2010
"Isanti",59005,2,59,5,2009,2010
"Isanti",59024,1,59,24,2009,2010
"Isanti",59036,34,59,36,2009,2010
"Isanti",59061,1,59,61,2009,2010
"Isanti",59141,1,59,141,2009,2010
"Isanti",59176,55,59,176,2009,2010
"Isanti",59195,10,59,195,2009,2010
"Isanti",61005,618,61,5,2009,2010
"Isanti",61023,18,61,23,2009,2010
"Isanti",61024,10,61,24,2009,2010
"Isanti",61028,7,61,28,2009,2010
"Isanti",61036,16,61,36,2009,2010
"Isanti",61037,19,61,37,2009,2010
"Isanti",61044,1,61,44,2009,2010
"Isanti",61061,135,61,61,2009,2010
"Isanti",61063,29,61,63,2009,2010
"Isanti",61122,2,61,122,2009,2010
"Isanti",61141,1,61,141,2009,2010
"Isanti",61176,1009,61,176,2009,2010
"Isanti",61195,76,61,195,2009,2010
"Isanti",111005,9,111,5,2009,2010
"Isanti",111037,4,111,37,2009,2010
"Isanti",111044,1,111,44,2009,2010
"Isanti",111061,1,111,61,2009,2010
