"xCoords","yCoords","width","colorToUse"
1,6.4,3.30572600204459,"#ffd300"
1.2,6.4,3.30572600204459,"#ffd300"
1.4,6.4,3.30572600204459,"#ffd300"
2,6.4,3.30572600204459,"#ffd300"
1.8,6.4,3.30572600204459,"#ffd300"
1.6,6.4,3.30572600204459,"#ffd300"
1,6.4,7.69220710190713e-05,"#e41a1c"
1.2,5.9,7.69220710190713e-05,"#e41a1c"
1.4,5.9,7.69220710190713e-05,"#e41a1c"
2,1.9,7.69220710190713e-05,"#ffd300"
1.8,2.4,7.69220710190713e-05,"#ffd300"
1.6,2.4,7.69220710190713e-05,"#ffd300"
1,6.4,0.0702298508404121,"#f781bf"
1.2,6.2,0.0702298508404121,"#f781bf"
1.4,6.2,0.0702298508404121,"#f781bf"
2,4.6,0.0702298508404121,"#ffd300"
1.8,4.8,0.0702298508404121,"#ffd300"
1.6,4.8,0.0702298508404121,"#ffd300"
1,6.4,1.43705813077829,"#AAAAAA"
1.2,5.8,1.43705813077829,"#AAAAAA"
1.4,5.8,1.43705813077829,"#AAAAAA"
2,1,1.43705813077829,"#ffd300"
1.8,1.6,1.43705813077829,"#ffd300"
1.6,1.6,1.43705813077829,"#ffd300"
1,6.4,5.98792169640859,"#4daf4a"
1.2,6.3,5.98792169640859,"#4daf4a"
1.4,6.3,5.98792169640859,"#4daf4a"
2,5.5,5.98792169640859,"#ffd300"
1.8,5.6,5.98792169640859,"#ffd300"
1.6,5.6,5.98792169640859,"#ffd300"
1,6.4,0.0573069429092081,"#a65628"
1.2,6.1,0.0573069429092081,"#a65628"
1.4,6.1,0.0573069429092081,"#a65628"
2,3.7,0.0573069429092081,"#ffd300"
1.8,4,0.0573069429092081,"#ffd300"
1.6,4,0.0573069429092081,"#ffd300"
1,4.6,0.0894603685951799,"#ffd300"
1.2,4.8,0.0894603685951799,"#ffd300"
1.4,4.8,0.0894603685951799,"#ffd300"
2,6.4,0.0894603685951799,"#f781bf"
1.8,6.2,0.0894603685951799,"#f781bf"
1.6,6.2,0.0894603685951799,"#f781bf"
1,4.6,0.787912773448347,"#f781bf"
1.2,4.6,0.787912773448347,"#f781bf"
1.4,4.6,0.787912773448347,"#f781bf"
2,4.6,0.787912773448347,"#f781bf"
1.8,4.6,0.787912773448347,"#f781bf"
1.6,4.6,0.787912773448347,"#f781bf"
1,4.6,0.660837512124841,"#AAAAAA"
1.2,4.2,0.660837512124841,"#AAAAAA"
1.4,4.2,0.660837512124841,"#AAAAAA"
2,1,0.660837512124841,"#f781bf"
1.8,1.4,0.660837512124841,"#f781bf"
1.6,1.4,0.660837512124841,"#f781bf"
1,4.6,0.060383825749971,"#4daf4a"
1.2,4.7,0.060383825749971,"#4daf4a"
1.4,4.7,0.060383825749971,"#4daf4a"
2,5.5,0.060383825749971,"#f781bf"
1.8,5.4,0.060383825749971,"#f781bf"
1.6,5.4,0.060383825749971,"#f781bf"
1,4.6,0.00646145396560199,"#a65628"
1.2,4.5,0.00646145396560199,"#a65628"
