"X","cropCode","numPixelsWiZone","cropCodeFrom","cropCodeTo","yearFrom","yearTo"
"Itasca",1005,253,1,5,2008,2009
"Itasca",1023,507,1,23,2008,2009
"Itasca",1028,38,1,28,2008,2009
"Itasca",1036,44,1,36,2008,2009
"Itasca",1037,27,1,37,2008,2009
"Itasca",1043,2,1,43,2008,2009
"Itasca",1061,1,1,61,2008,2009
"Itasca",1111,8,1,111,2008,2009
"Itasca",1121,9,1,121,2008,2009
"Itasca",1152,211,1,152,2008,2009
"Itasca",1176,743,1,176,2008,2009
"Itasca",1190,109,1,190,2008,2009
"Itasca",1195,428,1,195,2008,2009
"Itasca",5005,27,5,5,2008,2009
"Itasca",5023,243,5,23,2008,2009
"Itasca",5024,4,5,24,2008,2009
"Itasca",5028,21,5,28,2008,2009
"Itasca",5036,111,5,36,2008,2009
"Itasca",5037,43,5,37,2008,2009
"Itasca",5058,1,5,58,2008,2009
"Itasca",5061,9,5,61,2008,2009
"Itasca",5111,8,5,111,2008,2009
"Itasca",5121,27,5,121,2008,2009
"Itasca",5141,28,5,141,2008,2009
"Itasca",5142,1,5,142,2008,2009
"Itasca",5152,40,5,152,2008,2009
"Itasca",5176,930,5,176,2008,2009
"Itasca",5190,81,5,190,2008,2009
"Itasca",5195,310,5,195,2008,2009
"Itasca",6176,2,6,176,2008,2009
"Itasca",21176,7,21,176,2008,2009
"Itasca",21190,1,21,190,2008,2009
"Itasca",21195,2,21,195,2008,2009
"Itasca",23005,567,23,5,2008,2009
"Itasca",23023,167,23,23,2008,2009
"Itasca",23028,13,23,28,2008,2009
"Itasca",23036,18,23,36,2008,2009
"Itasca",23037,21,23,37,2008,2009
"Itasca",23044,5,23,44,2008,2009
"Itasca",23111,154,23,111,2008,2009
"Itasca",23121,3,23,121,2008,2009
"Itasca",23131,64,23,131,2008,2009
"Itasca",23141,99,23,141,2008,2009
"Itasca",23142,8,23,142,2008,2009
"Itasca",23152,56,23,152,2008,2009
"Itasca",23176,485,23,176,2008,2009
"Itasca",23190,336,23,190,2008,2009
"Itasca",23195,573,23,195,2008,2009
"Itasca",24131,2,24,131,2008,2009
"Itasca",24176,10,24,176,2008,2009
"Itasca",24195,1,24,195,2008,2009
"Itasca",27176,3,27,176,2008,2009
"Itasca",27190,1,27,190,2008,2009
"Itasca",28005,588,28,5,2008,2009
"Itasca",28023,119,28,23,2008,2009
"Itasca",28028,13,28,28,2008,2009
"Itasca",28031,2,28,31,2008,2009
"Itasca",28036,15,28,36,2008,2009
