"xCoords","yCoords","width","colorToUse"
1,6.4,0.00290786035006603,"#ffd300"
1.2,6.4,0.00290786035006603,"#ffd300"
1.4,6.4,0.00290786035006603,"#ffd300"
2,6.4,0.00290786035006603,"#ffd300"
1.8,6.4,0.00290786035006603,"#ffd300"
1.6,6.4,0.00290786035006603,"#ffd300"
1,6.4,1.18688177553716e-05,"#e41a1c"
1.2,5.9,1.18688177553716e-05,"#e41a1c"
1.4,5.9,1.18688177553716e-05,"#e41a1c"
2,1.9,1.18688177553716e-05,"#ffd300"
1.8,2.4,1.18688177553716e-05,"#ffd300"
1.6,2.4,1.18688177553716e-05,"#ffd300"
1,6.4,0.000522227981236349,"#f781bf"
1.2,6.2,0.000522227981236349,"#f781bf"
1.4,6.2,0.000522227981236349,"#f781bf"
2,4.6,0.000522227981236349,"#ffd300"
1.8,4.8,0.000522227981236349,"#ffd300"
1.6,4.8,0.000522227981236349,"#ffd300"
1,6.4,0.0208179063429217,"#AAAAAA"
1.2,5.8,0.0208179063429217,"#AAAAAA"
1.4,5.8,0.0208179063429217,"#AAAAAA"
2,1,0.0208179063429217,"#ffd300"
1.8,1.6,0.0208179063429217,"#ffd300"
1.6,1.6,0.0208179063429217,"#ffd300"
1,6.4,0.003002810892109,"#4daf4a"
1.2,6.3,0.003002810892109,"#4daf4a"
1.4,6.3,0.003002810892109,"#4daf4a"
2,5.5,0.003002810892109,"#ffd300"
1.8,5.6,0.003002810892109,"#ffd300"
1.6,5.6,0.003002810892109,"#ffd300"
1,6.4,0.00601749060197338,"#a65628"
1.2,6.1,0.00601749060197338,"#a65628"
1.4,6.1,0.00601749060197338,"#a65628"
2,3.7,0.00601749060197338,"#ffd300"
1.8,4,0.00601749060197338,"#ffd300"
1.6,4,0.00601749060197338,"#ffd300"
1,6.4,1.18688177553716e-05,"#377eb8"
1.2,6,1.18688177553716e-05,"#377eb8"
1.4,6,1.18688177553716e-05,"#377eb8"
2,2.8,1.18688177553716e-05,"#ffd300"
1.8,3.2,1.18688177553716e-05,"#ffd300"
1.6,3.2,1.18688177553716e-05,"#ffd300"
1,1.9,1.18688177553716e-05,"#AAAAAA"
1.2,1.8,1.18688177553716e-05,"#AAAAAA"
1.4,1.8,1.18688177553716e-05,"#AAAAAA"
2,1,1.18688177553716e-05,"#e41a1c"
1.8,1.1,1.18688177553716e-05,"#e41a1c"
1.6,1.1,1.18688177553716e-05,"#e41a1c"
1,4.6,0.00166163448575202,"#ffd300"
1.2,4.8,0.00166163448575202,"#ffd300"
1.4,4.8,0.00166163448575202,"#ffd300"
2,6.4,0.00166163448575202,"#f781bf"
1.8,6.2,0.00166163448575202,"#f781bf"
1.6,6.2,0.00166163448575202,"#f781bf"
1,4.6,2.37376355107431e-05,"#e41a1c"
1.2,4.3,2.37376355107431e-05,"#e41a1c"
1.4,4.3,2.37376355107431e-05,"#e41a1c"
2,1.9,2.37376355107431e-05,"#f781bf"
1.8,2.2,2.37376355107431e-05,"#f781bf"
1.6,2.2,2.37376355107431e-05,"#f781bf"
1,4.6,0.119708895880678,"#f781bf"
1.2,4.6,0.119708895880678,"#f781bf"
1.4,4.6,0.119708895880678,"#f781bf"
2,4.6,0.119708895880678,"#f781bf"
1.8,4.6,0.119708895880678,"#f781bf"
1.6,4.6,0.119708895880678,"#f781bf"
1,4.6,0.0512139486144283,"#AAAAAA"
1.2,4.2,0.0512139486144283,"#AAAAAA"
1.4,4.2,0.0512139486144283,"#AAAAAA"
2,1,0.0512139486144283,"#f781bf"
1.8,1.4,0.0512139486144283,"#f781bf"
1.6,1.4,0.0512139486144283,"#f781bf"
1,4.6,0.00236189473331894,"#4daf4a"
1.2,4.7,0.00236189473331894,"#4daf4a"
1.4,4.7,0.00236189473331894,"#4daf4a"
2,5.5,0.00236189473331894,"#f781bf"
1.8,5.4,0.00236189473331894,"#f781bf"
1.6,5.4,0.00236189473331894,"#f781bf"
1,4.6,0.000189901084085945,"#a65628"
1.2,4.5,0.000189901084085945,"#a65628"
1.4,4.5,0.000189901084085945,"#a65628"
2,3.7,0.000189901084085945,"#f781bf"
1.8,3.8,0.000189901084085945,"#f781bf"
1.6,3.8,0.000189901084085945,"#f781bf"
1,1,0.0417426320456418,"#ffd300"
1.2,1.6,0.0417426320456418,"#ffd300"
1.4,1.6,0.0417426320456418,"#ffd300"
2,6.4,0.0417426320456418,"#AAAAAA"
1.8,5.8,0.0417426320456418,"#AAAAAA"
1.6,5.8,0.0417426320456418,"#AAAAAA"
1,1,0.000783341971854523,"#e41a1c"
1.2,1.1,0.000783341971854523,"#e41a1c"
1.4,1.1,0.000783341971854523,"#e41a1c"
2,1.9,0.000783341971854523,"#AAAAAA"
1.8,1.8,0.000783341971854523,"#AAAAAA"
1.6,1.8,0.000783341971854523,"#AAAAAA"
1,1,0.0400691287421344,"#f781bf"
1.2,1.4,0.0400691287421344,"#f781bf"
1.4,1.4,0.0400691287421344,"#f781bf"
2,4.6,0.0400691287421344,"#AAAAAA"
1.8,4.2,0.0400691287421344,"#AAAAAA"
1.6,4.2,0.0400691287421344,"#AAAAAA"
1,1,99.5899560841874,"#AAAAAA"
1.2,1,99.5899560841874,"#AAAAAA"
1.4,1,99.5899560841874,"#AAAAAA"
2,1,99.5899560841874,"#AAAAAA"
1.8,1,99.5899560841874,"#AAAAAA"
1.6,1,99.5899560841874,"#AAAAAA"
1,1,0.0424784987464748,"#4daf4a"
1.2,1.5,0.0424784987464748,"#4daf4a"
1.4,1.5,0.0424784987464748,"#4daf4a"
2,5.5,0.0424784987464748,"#AAAAAA"
1.8,5,0.0424784987464748,"#AAAAAA"
1.6,5,0.0424784987464748,"#AAAAAA"
1,1,0.0183966675208259,"#a65628"
1.2,1.3,0.0183966675208259,"#a65628"
1.4,1.3,0.0183966675208259,"#a65628"
2,3.7,0.0183966675208259,"#AAAAAA"
1.8,3.4,0.0183966675208259,"#AAAAAA"
1.6,3.4,0.0183966675208259,"#AAAAAA"
1,1,0.000106819359798344,"#377eb8"
1.2,1.2,0.000106819359798344,"#377eb8"
1.4,1.2,0.000106819359798344,"#377eb8"
2,2.8,0.000106819359798344,"#AAAAAA"
1.8,2.6,0.000106819359798344,"#AAAAAA"
1.6,2.6,0.000106819359798344,"#AAAAAA"
1,5.5,0.000415408621438005,"#ffd300"
1.2,5.6,0.000415408621438005,"#ffd300"
1.4,5.6,0.000415408621438005,"#ffd300"
2,6.4,0.000415408621438005,"#4daf4a"
1.8,6.3,0.000415408621438005,"#4daf4a"
1.6,6.3,0.000415408621438005,"#4daf4a"
1,5.5,1.18688177553716e-05,"#e41a1c"
1.2,5.1,1.18688177553716e-05,"#e41a1c"
1.4,5.1,1.18688177553716e-05,"#e41a1c"
2,1.9,1.18688177553716e-05,"#4daf4a"
1.8,2.3,1.18688177553716e-05,"#4daf4a"
1.6,2.3,1.18688177553716e-05,"#4daf4a"
1,5.5,0.00131743877084624,"#f781bf"
1.2,5.4,0.00131743877084624,"#f781bf"
1.4,5.4,0.00131743877084624,"#f781bf"
2,4.6,0.00131743877084624,"#4daf4a"
1.8,4.7,0.00131743877084624,"#4daf4a"
1.6,4.7,0.00131743877084624,"#4daf4a"
1,5.5,0.0205923988055697,"#AAAAAA"
1.2,5,0.0205923988055697,"#AAAAAA"
1.4,5,0.0205923988055697,"#AAAAAA"
2,1,0.0205923988055697,"#4daf4a"
1.8,1.5,0.0205923988055697,"#4daf4a"
1.6,1.5,0.0205923988055697,"#4daf4a"
1,5.5,0.000320458079395032,"#4daf4a"
1.2,5.5,0.000320458079395032,"#4daf4a"
1.4,5.5,0.000320458079395032,"#4daf4a"
2,5.5,0.000320458079395032,"#4daf4a"
1.8,5.5,0.000320458079395032,"#4daf4a"
1.6,5.5,0.000320458079395032,"#4daf4a"
1,5.5,0.00288412271455529,"#a65628"
1.2,5.3,0.00288412271455529,"#a65628"
1.4,5.3,0.00288412271455529,"#a65628"
2,3.7,0.00288412271455529,"#4daf4a"
1.8,3.9,0.00288412271455529,"#4daf4a"
1.6,3.9,0.00288412271455529,"#4daf4a"
1,5.5,3.56064532661147e-05,"#377eb8"
1.2,5.2,3.56064532661147e-05,"#377eb8"
1.4,5.2,3.56064532661147e-05,"#377eb8"
2,2.8,3.56064532661147e-05,"#4daf4a"
1.8,3.1,3.56064532661147e-05,"#4daf4a"
1.6,3.1,3.56064532661147e-05,"#4daf4a"
1,3.7,0.00172097857452888,"#ffd300"
1.2,4,0.00172097857452888,"#ffd300"
1.4,4,0.00172097857452888,"#ffd300"
2,6.4,0.00172097857452888,"#a65628"
1.8,6.1,0.00172097857452888,"#a65628"
1.6,6.1,0.00172097857452888,"#a65628"
1,3.7,5.93440887768578e-05,"#e41a1c"
1.2,3.5,5.93440887768578e-05,"#e41a1c"
1.4,3.5,5.93440887768578e-05,"#e41a1c"
2,1.9,5.93440887768578e-05,"#a65628"
1.8,2.1,5.93440887768578e-05,"#a65628"
1.6,2.1,5.93440887768578e-05,"#a65628"
1,3.7,0.000213638719596688,"#f781bf"
1.2,3.8,0.000213638719596688,"#f781bf"
1.4,3.8,0.000213638719596688,"#f781bf"
2,4.6,0.000213638719596688,"#a65628"
1.8,4.5,0.000213638719596688,"#a65628"
1.6,4.5,0.000213638719596688,"#a65628"
1,3.7,0.02171993649233,"#AAAAAA"
1.2,3.4,0.02171993649233,"#AAAAAA"
1.4,3.4,0.02171993649233,"#AAAAAA"
2,1,0.02171993649233,"#a65628"
1.8,1.3,0.02171993649233,"#a65628"
1.6,1.3,0.02171993649233,"#a65628"
1,3.7,0.00672961966729567,"#4daf4a"
1.2,3.9,0.00672961966729567,"#4daf4a"
1.4,3.9,0.00672961966729567,"#4daf4a"
2,5.5,0.00672961966729567,"#a65628"
1.8,5.3,0.00672961966729567,"#a65628"
1.6,5.3,0.00672961966729567,"#a65628"
1,3.7,0.00198209256514705,"#a65628"
1.2,3.7,0.00198209256514705,"#a65628"
1.4,3.7,0.00198209256514705,"#a65628"
2,3.7,0.00198209256514705,"#a65628"
1.8,3.7,0.00198209256514705,"#a65628"
1.6,3.7,0.00198209256514705,"#a65628"
2,6.4,0.00337074424252552,"#ffd300"
2.2,6.4,0.00337074424252552,"#ffd300"
2.4,6.4,0.00337074424252552,"#ffd300"
3,6.4,0.00337074424252552,"#ffd300"
2.8,6.4,0.00337074424252552,"#ffd300"
2.6,6.4,0.00337074424252552,"#ffd300"
2,6.4,0.00105632478022807,"#f781bf"
2.2,6.2,0.00105632478022807,"#f781bf"
2.4,6.2,0.00105632478022807,"#f781bf"
3,4.6,0.00105632478022807,"#ffd300"
2.8,4.8,0.00105632478022807,"#ffd300"
2.6,4.8,0.00105632478022807,"#ffd300"
2,6.4,0.0399267029290699,"#AAAAAA"
2.2,5.8,0.0399267029290699,"#AAAAAA"
2.4,5.8,0.0399267029290699,"#AAAAAA"
3,1,0.0399267029290699,"#ffd300"
2.8,1.6,0.0399267029290699,"#ffd300"
2.6,1.6,0.0399267029290699,"#ffd300"
2,6.4,0.000249245172862803,"#4daf4a"
2.2,6.3,0.000249245172862803,"#4daf4a"
2.4,6.3,0.000249245172862803,"#4daf4a"
3,5.5,0.000249245172862803,"#ffd300"
2.8,5.6,0.000249245172862803,"#ffd300"
2.6,5.6,0.000249245172862803,"#ffd300"
2,6.4,0.00384549695274039,"#a65628"
2.2,6.1,0.00384549695274039,"#a65628"
2.4,6.1,0.00384549695274039,"#a65628"
3,3.7,0.00384549695274039,"#ffd300"
2.8,4,0.00384549695274039,"#ffd300"
2.6,4,0.00384549695274039,"#ffd300"
2,1.9,0.000130556995309087,"#ffd300"
2.2,2.4,0.000130556995309087,"#ffd300"
2.4,2.4,0.000130556995309087,"#ffd300"
3,6.4,0.000130556995309087,"#e41a1c"
2.8,5.9,0.000130556995309087,"#e41a1c"
2.6,5.9,0.000130556995309087,"#e41a1c"
2,1.9,1.18688177553716e-05,"#f781bf"
2.2,2.2,1.18688177553716e-05,"#f781bf"
2.4,2.2,1.18688177553716e-05,"#f781bf"
3,4.6,1.18688177553716e-05,"#e41a1c"
2.8,4.3,1.18688177553716e-05,"#e41a1c"
2.6,4.3,1.18688177553716e-05,"#e41a1c"
