"X","cropCode","numPixelsWiZone","cropCodeFrom","cropCodeTo","yearFrom","yearTo"
"Jackson",0,605,0,0,2008,2009
"Jackson",1005,746399,1,5,2008,2009
"Jackson",1023,343,1,23,2008,2009
"Jackson",1028,37,1,28,2008,2009
"Jackson",1036,559,1,36,2008,2009
"Jackson",1037,17,1,37,2008,2009
"Jackson",1044,2,1,44,2008,2009
"Jackson",1061,3,1,61,2008,2009
"Jackson",1111,215,1,111,2008,2009
"Jackson",1121,1645,1,121,2008,2009
"Jackson",1152,5,1,152,2008,2009
"Jackson",1176,9867,1,176,2008,2009
"Jackson",1190,1,1,190,2008,2009
"Jackson",1195,6178,1,195,2008,2009
"Jackson",5005,46514,5,5,2008,2009
"Jackson",5023,149,5,23,2008,2009
"Jackson",5024,3,5,24,2008,2009
"Jackson",5028,15,5,28,2008,2009
"Jackson",5036,632,5,36,2008,2009
"Jackson",5037,28,5,37,2008,2009
"Jackson",5044,9,5,44,2008,2009
"Jackson",5111,69,5,111,2008,2009
"Jackson",5121,1027,5,121,2008,2009
"Jackson",5141,91,5,141,2008,2009
"Jackson",5142,13,5,142,2008,2009
"Jackson",5152,4,5,152,2008,2009
"Jackson",5176,9329,5,176,2008,2009
"Jackson",5190,15,5,190,2008,2009
"Jackson",5195,3494,5,195,2008,2009
"Jackson",6005,2,6,5,2008,2009
"Jackson",6176,1,6,176,2008,2009
"Jackson",6195,1,6,195,2008,2009
"Jackson",21005,3,21,5,2008,2009
"Jackson",21036,1,21,36,2008,2009
"Jackson",21176,2,21,176,2008,2009
"Jackson",23005,143,23,5,2008,2009
"Jackson",23023,13,23,23,2008,2009
"Jackson",23036,86,23,36,2008,2009
"Jackson",23037,3,23,37,2008,2009
"Jackson",23111,9,23,111,2008,2009
"Jackson",23121,21,23,121,2008,2009
"Jackson",23131,3,23,131,2008,2009
"Jackson",23176,236,23,176,2008,2009
"Jackson",23195,45,23,195,2008,2009
"Jackson",24005,18,24,5,2008,2009
"Jackson",24023,3,24,23,2008,2009
"Jackson",24036,1,24,36,2008,2009
"Jackson",24176,17,24,176,2008,2009
"Jackson",24195,2,24,195,2008,2009
"Jackson",27176,4,27,176,2008,2009
"Jackson",27195,2,27,195,2008,2009
"Jackson",28005,37,28,5,2008,2009
"Jackson",28023,2,28,23,2008,2009
"Jackson",28036,22,28,36,2008,2009
"Jackson",28176,74,28,176,2008,2009
"Jackson",28195,19,28,195,2008,2009
"Jackson",36005,1750,36,5,2008,2009
"Jackson",36023,2,36,23,2008,2009
"Jackson",36028,2,36,28,2008,2009
"Jackson",36036,1517,36,36,2008,2009
"Jackson",36037,16,36,37,2008,2009
"Jackson",36131,5,36,131,2008,2009
"Jackson",36141,1,36,141,2008,2009
"Jackson",36152,1,36,152,2008,2009
"Jackson",36176,1296,36,176,2008,2009
"Jackson",36195,420,36,195,2008,2009
"Jackson",37005,161,37,5,2008,2009
"Jackson",37023,4,37,23,2008,2009
"Jackson",37024,1,37,24,2008,2009
"Jackson",37036,35,37,36,2008,2009
"Jackson",37037,16,37,37,2008,2009
"Jackson",37061,1,37,61,2008,2009
"Jackson",37111,3,37,111,2008,2009
"Jackson",37141,47,37,141,2008,2009
"Jackson",37142,1,37,142,2008,2009
"Jackson",37152,1,37,152,2008,2009
"Jackson",37176,749,37,176,2008,2009
"Jackson",37190,7,37,190,2008,2009
"Jackson",37195,152,37,195,2008,2009
"Jackson",41005,35,41,5,2008,2009
"Jackson",41195,48,41,195,2008,2009
"Jackson",42005,13,42,5,2008,2009
"Jackson",42176,32,42,176,2008,2009
"Jackson",42195,10,42,195,2008,2009
"Jackson",43176,1,43,176,2008,2009
"Jackson",44111,3,44,111,2008,2009
"Jackson",44195,2,44,195,2008,2009
"Jackson",59036,1,59,36,2008,2009
"Jackson",59176,1,59,176,2008,2009
"Jackson",61005,10,61,5,2008,2009
"Jackson",61023,1,61,23,2008,2009
"Jackson",61036,1,61,36,2008,2009
"Jackson",61037,1,61,37,2008,2009
"Jackson",61111,1,61,111,2008,2009
"Jackson",61176,6,61,176,2008,2009
"Jackson",61195,5,61,195,2008,2009
"Jackson",111005,202,111,5,2008,2009
"Jackson",111023,12,111,23,2008,2009
"Jackson",111028,6,111,28,2008,2009
"Jackson",111061,9,111,61,2008,2009
"Jackson",111111,48940,111,111,2008,2009
"Jackson",111141,4,111,141,2008,2009
"Jackson",111152,1,111,152,2008,2009
"Jackson",111176,339,111,176,2008,2009
"Jackson",111190,4,111,190,2008,2009
"Jackson",111195,3120,111,195,2008,2009
"Jackson",121005,1157,121,5,2008,2009
"Jackson",121121,92635,121,121,2008,2009
"Jackson",121122,1102,121,122,2008,2009
"Jackson",121123,84,121,123,2008,2009
"Jackson",121176,3,121,176,2008,2009
"Jackson",122121,963,122,121,2008,2009
"Jackson",122122,11106,122,122,2008,2009
"Jackson",122123,546,122,123,2008,2009
"Jackson",122176,7,122,176,2008,2009
"Jackson",123001,2,123,1,2008,2009
"Jackson",123023,1,123,23,2008,2009
"Jackson",123121,173,123,121,2008,2009
"Jackson",123122,384,123,122,2008,2009
"Jackson",123123,4499,123,123,2008,2009
"Jackson",123124,62,123,124,2008,2009
"Jackson",123176,5,123,176,2008,2009
"Jackson",123195,1,123,195,2008,2009
"Jackson",124023,1,124,23,2008,2009
"Jackson",124122,5,124,122,2008,2009
"Jackson",124123,120,124,123,2008,2009
"Jackson",124124,746,124,124,2008,2009
"Jackson",131005,23,131,5,2008,2009
"Jackson",131028,6,131,28,2008,2009
"Jackson",131111,1,131,111,2008,2009
"Jackson",131176,125,131,176,2008,2009
"Jackson",131195,21,131,195,2008,2009
"Jackson",141005,21,141,5,2008,2009
"Jackson",141111,149,141,111,2008,2009
"Jackson",141141,978,141,141,2008,2009
"Jackson",141142,5,141,142,2008,2009
"Jackson",141176,26,141,176,2008,2009
"Jackson",141190,363,141,190,2008,2009
"Jackson",141195,131,141,195,2008,2009
"Jackson",143190,799,143,190,2008,2009
"Jackson",152005,11,152,5,2008,2009
"Jackson",152176,24,152,176,2008,2009
"Jackson",176001,10879,176,1,2008,2009
"Jackson",176005,15958,176,5,2008,2009
"Jackson",176021,1,176,21,2008,2009
"Jackson",176023,94,176,23,2008,2009
"Jackson",176024,4,176,24,2008,2009
"Jackson",176027,4,176,27,2008,2009
"Jackson",176028,62,176,28,2008,2009
"Jackson",176036,1580,176,36,2008,2009
"Jackson",176037,226,176,37,2008,2009
"Jackson",176044,4,176,44,2008,2009
"Jackson",176053,25,176,53,2008,2009
"Jackson",176061,2,176,61,2008,2009
"Jackson",176111,245,176,111,2008,2009
"Jackson",176121,3,176,121,2008,2009
"Jackson",176131,115,176,131,2008,2009
"Jackson",176141,6,176,141,2008,2009
"Jackson",176152,155,176,152,2008,2009
"Jackson",176176,81513,176,176,2008,2009
"Jackson",176195,18904,176,195,2008,2009
"Jackson",190005,1,190,5,2008,2009
"Jackson",190111,13,190,111,2008,2009
"Jackson",190141,121,190,141,2008,2009
"Jackson",190142,1,190,142,2008,2009
"Jackson",190143,530,190,143,2008,2009
"Jackson",190176,1,190,176,2008,2009
"Jackson",190190,60,190,190,2008,2009
"Jackson",190195,9,190,195,2008,2009
"Jackson",195001,10915,195,1,2008,2009
"Jackson",195005,5109,195,5,2008,2009
"Jackson",195023,62,195,23,2008,2009
"Jackson",195028,5,195,28,2008,2009
"Jackson",195036,538,195,36,2008,2009
"Jackson",195037,43,195,37,2008,2009
"Jackson",195111,1898,195,111,2008,2009
"Jackson",195131,22,195,131,2008,2009
"Jackson",195141,11,195,141,2008,2009
"Jackson",195152,26,195,152,2008,2009
"Jackson",195176,18324,195,176,2008,2009
"Jackson",195190,19,195,190,2008,2009
"Jackson",195195,32728,195,195,2008,2009
"Jackson",1001,95225,1,1,2008,2009
"Jackson",1021,1,1,21,2008,2009
"Jackson",1041,20,1,41,2008,2009
"Jackson",1042,6,1,42,2008,2009
"Jackson",1141,8,1,141,2008,2009
"Jackson",5001,721612,5,1,2008,2009
"Jackson",5021,1,5,21,2008,2009
"Jackson",5041,13,5,41,2008,2009
"Jackson",5042,8,5,42,2008,2009
"Jackson",6041,2,6,41,2008,2009
"Jackson",6111,1,6,111,2008,2009
"Jackson",21001,1,21,1,2008,2009
"Jackson",23001,1192,23,1,2008,2009
"Jackson",24001,21,24,1,2008,2009
"Jackson",27005,1,27,5,2008,2009
"Jackson",28001,160,28,1,2008,2009
"Jackson",28111,1,28,111,2008,2009
"Jackson",36001,1506,36,1,2008,2009
"Jackson",36041,1,36,41,2008,2009
"Jackson",36111,1,36,111,2008,2009
"Jackson",36121,9,36,121,2008,2009
"Jackson",37001,223,37,1,2008,2009
"Jackson",37041,3,37,41,2008,2009
"Jackson",41001,58,41,1,2008,2009
"Jackson",41036,2,41,36,2008,2009
"Jackson",41041,1,41,41,2008,2009
