"xCoords","yCoords","width","colorToUse"
1,6.4,4.59950606931935,"#ffd300"
1.2,6.4,4.59950606931935,"#ffd300"
1.4,6.4,4.59950606931935,"#ffd300"
2,6.4,4.59950606931935,"#ffd300"
1.8,6.4,4.59950606931935,"#ffd300"
1.6,6.4,4.59950606931935,"#ffd300"
1,6.4,0.000289808731067641,"#e41a1c"
1.2,5.9,0.000289808731067641,"#e41a1c"
1.4,5.9,0.000289808731067641,"#e41a1c"
2,1.9,0.000289808731067641,"#ffd300"
1.8,2.4,0.000289808731067641,"#ffd300"
1.6,2.4,0.000289808731067641,"#ffd300"
1,6.4,0.0270005134444685,"#f781bf"
1.2,6.2,0.0270005134444685,"#f781bf"
1.4,6.2,0.0270005134444685,"#f781bf"
2,4.6,0.0270005134444685,"#ffd300"
1.8,4.8,0.0270005134444685,"#ffd300"
1.6,4.8,0.0270005134444685,"#ffd300"
1,6.4,0.882515887556144,"#AAAAAA"
1.2,5.8,0.882515887556144,"#AAAAAA"
1.4,5.8,0.882515887556144,"#AAAAAA"
2,1,0.882515887556144,"#ffd300"
1.8,1.6,0.882515887556144,"#ffd300"
1.6,1.6,0.882515887556144,"#ffd300"
1,6.4,36.0521578433593,"#4daf4a"
1.2,6.3,36.0521578433593,"#4daf4a"
1.4,6.3,36.0521578433593,"#4daf4a"
2,5.5,36.0521578433593,"#ffd300"
1.8,5.6,36.0521578433593,"#ffd300"
1.6,5.6,36.0521578433593,"#ffd300"
1,6.4,0.0165673991260335,"#a65628"
1.2,6.1,0.0165673991260335,"#a65628"
1.4,6.1,0.0165673991260335,"#a65628"
2,3.7,0.0165673991260335,"#ffd300"
1.8,4,0.0165673991260335,"#ffd300"
1.6,4,0.0165673991260335,"#ffd300"
1,6.4,0.000966029103558803,"#377eb8"
1.2,6,0.000966029103558803,"#377eb8"
1.4,6,0.000966029103558803,"#377eb8"
2,2.8,0.000966029103558803,"#ffd300"
1.8,3.2,0.000966029103558803,"#ffd300"
1.6,3.2,0.000966029103558803,"#ffd300"
1,1.9,0.000676220372491162,"#ffd300"
1.2,2.4,0.000676220372491162,"#ffd300"
1.4,2.4,0.000676220372491162,"#ffd300"
2,6.4,0.000676220372491162,"#e41a1c"
1.8,5.9,0.000676220372491162,"#e41a1c"
1.6,5.9,0.000676220372491162,"#e41a1c"
1,1.9,4.83014551779401e-05,"#f781bf"
1.2,2.2,4.83014551779401e-05,"#f781bf"
1.4,2.2,4.83014551779401e-05,"#f781bf"
2,4.6,4.83014551779401e-05,"#e41a1c"
1.8,4.3,4.83014551779401e-05,"#e41a1c"
1.6,4.3,4.83014551779401e-05,"#e41a1c"
1,1.9,0.00280148440032053,"#AAAAAA"
1.2,1.8,0.00280148440032053,"#AAAAAA"
1.4,1.8,0.00280148440032053,"#AAAAAA"
2,1,0.00280148440032053,"#e41a1c"
1.8,1.1,0.00280148440032053,"#e41a1c"
1.6,1.1,0.00280148440032053,"#e41a1c"
1,1.9,0.000627918917313222,"#4daf4a"
1.2,2.3,0.000627918917313222,"#4daf4a"
1.4,2.3,0.000627918917313222,"#4daf4a"
2,5.5,0.000627918917313222,"#e41a1c"
1.8,5.1,0.000627918917313222,"#e41a1c"
1.6,5.1,0.000627918917313222,"#e41a1c"
1,1.9,9.66029103558803e-05,"#377eb8"
1.2,2,9.66029103558803e-05,"#377eb8"
1.4,2,9.66029103558803e-05,"#377eb8"
2,2.8,9.66029103558803e-05,"#e41a1c"
1.8,2.7,9.66029103558803e-05,"#e41a1c"
1.6,2.7,9.66029103558803e-05,"#e41a1c"
1,4.6,0.0835132160026585,"#ffd300"
1.2,4.8,0.0835132160026585,"#ffd300"
1.4,4.8,0.0835132160026585,"#ffd300"
2,6.4,0.0835132160026585,"#f781bf"
1.8,6.2,0.0835132160026585,"#f781bf"
1.6,6.2,0.0835132160026585,"#f781bf"
1,4.6,0.132152781366844,"#f781bf"
1.2,4.6,0.132152781366844,"#f781bf"
1.4,4.6,0.132152781366844,"#f781bf"
2,4.6,0.132152781366844,"#f781bf"
1.8,4.6,0.132152781366844,"#f781bf"
1.6,4.6,0.132152781366844,"#f781bf"
1,4.6,0.0853969727545982,"#AAAAAA"
1.2,4.2,0.0853969727545982,"#AAAAAA"
1.4,4.2,0.0853969727545982,"#AAAAAA"
2,1,0.0853969727545982,"#f781bf"
1.8,1.4,0.0853969727545982,"#f781bf"
1.6,1.4,0.0853969727545982,"#f781bf"
1,4.6,0.0923040808450436,"#4daf4a"
1.2,4.7,0.0923040808450436,"#4daf4a"
1.4,4.7,0.0923040808450436,"#4daf4a"
2,5.5,0.0923040808450436,"#f781bf"
1.8,5.4,0.0923040808450436,"#f781bf"
1.6,5.4,0.0923040808450436,"#f781bf"
1,4.6,0.000289808731067641,"#a65628"
1.2,4.5,0.000289808731067641,"#a65628"
1.4,4.5,0.000289808731067641,"#a65628"
2,3.7,0.000289808731067641,"#f781bf"
1.8,3.8,0.000289808731067641,"#f781bf"
1.6,3.8,0.000289808731067641,"#f781bf"
1,4.6,4.83014551779401e-05,"#377eb8"
1.2,4.4,4.83014551779401e-05,"#377eb8"
1.4,4.4,4.83014551779401e-05,"#377eb8"
2,2.8,4.83014551779401e-05,"#f781bf"
1.8,3,4.83014551779401e-05,"#f781bf"
1.6,3,4.83014551779401e-05,"#f781bf"
1,1,1.18551091588736,"#ffd300"
1.2,1.6,1.18551091588736,"#ffd300"
1.4,1.6,1.18551091588736,"#ffd300"
2,6.4,1.18551091588736,"#AAAAAA"
1.8,5.8,1.18551091588736,"#AAAAAA"
1.6,5.8,1.18551091588736,"#AAAAAA"
1,1,0.00246337421407495,"#e41a1c"
1.2,1.1,0.00246337421407495,"#e41a1c"
1.4,1.1,0.00246337421407495,"#e41a1c"
2,1.9,0.00246337421407495,"#AAAAAA"
1.8,1.8,0.00246337421407495,"#AAAAAA"
1.6,1.8,0.00246337421407495,"#AAAAAA"
1,1,0.10505566501202,"#f781bf"
1.2,1.4,0.10505566501202,"#f781bf"
1.4,1.4,0.10505566501202,"#f781bf"
2,4.6,0.10505566501202,"#AAAAAA"
1.8,4.2,0.10505566501202,"#AAAAAA"
1.6,4.2,0.10505566501202,"#AAAAAA"
1,1,17.6266500380857,"#AAAAAA"
1.2,1,17.6266500380857,"#AAAAAA"
1.4,1,17.6266500380857,"#AAAAAA"
2,1,17.6266500380857,"#AAAAAA"
1.8,1,17.6266500380857,"#AAAAAA"
1.6,1,17.6266500380857,"#AAAAAA"
1,1,1.13798228399227,"#4daf4a"
1.2,1.5,1.13798228399227,"#4daf4a"
1.4,1.5,1.13798228399227,"#4daf4a"
2,5.5,1.13798228399227,"#AAAAAA"
1.8,5,1.13798228399227,"#AAAAAA"
1.6,5,1.13798228399227,"#AAAAAA"
1,1,0.00956368812523215,"#a65628"
1.2,1.3,0.00956368812523215,"#a65628"
1.4,1.3,0.00956368812523215,"#a65628"
2,3.7,0.00956368812523215,"#AAAAAA"
1.8,3.4,0.00956368812523215,"#AAAAAA"
1.6,3.4,0.00956368812523215,"#AAAAAA"
1,1,0.00985349685629979,"#377eb8"
1.2,1.2,0.00985349685629979,"#377eb8"
1.4,1.2,0.00985349685629979,"#377eb8"
2,2.8,0.00985349685629979,"#AAAAAA"
1.8,2.6,0.00985349685629979,"#AAAAAA"
1.6,2.6,0.00985349685629979,"#AAAAAA"
1,5.5,34.8549096738637,"#ffd300"
1.2,5.6,34.8549096738637,"#ffd300"
1.4,5.6,34.8549096738637,"#ffd300"
2,6.4,34.8549096738637,"#4daf4a"
1.8,6.3,34.8549096738637,"#4daf4a"
1.6,6.3,34.8549096738637,"#4daf4a"
1,5.5,0.000386411641423521,"#e41a1c"
1.2,5.1,0.000386411641423521,"#e41a1c"
1.4,5.1,0.000386411641423521,"#e41a1c"
2,1.9,0.000386411641423521,"#4daf4a"
1.8,2.3,0.000386411641423521,"#4daf4a"
1.6,2.3,0.000386411641423521,"#4daf4a"
1,5.5,0.0305265196724582,"#f781bf"
1.2,5.4,0.0305265196724582,"#f781bf"
1.4,5.4,0.0305265196724582,"#f781bf"
2,4.6,0.0305265196724582,"#4daf4a"
1.8,4.7,0.0305265196724582,"#4daf4a"
1.6,4.7,0.0305265196724582,"#4daf4a"
1,5.5,0.712687971150507,"#AAAAAA"
1.2,5,0.712687971150507,"#AAAAAA"
1.4,5,0.712687971150507,"#AAAAAA"
2,1,0.712687971150507,"#4daf4a"
1.8,1.5,0.712687971150507,"#4daf4a"
1.6,1.5,0.712687971150507,"#4daf4a"
1,5.5,2.24669388614671,"#4daf4a"
1.2,5.5,2.24669388614671,"#4daf4a"
1.4,5.5,2.24669388614671,"#4daf4a"
2,5.5,2.24669388614671,"#4daf4a"
1.8,5.5,2.24669388614671,"#4daf4a"
1.6,5.5,2.24669388614671,"#4daf4a"
1,5.5,0.00719691682151308,"#a65628"
1.2,5.3,0.00719691682151308,"#a65628"
1.4,5.3,0.00719691682151308,"#a65628"
2,3.7,0.00719691682151308,"#4daf4a"
1.8,3.9,0.00719691682151308,"#4daf4a"
1.6,3.9,0.00719691682151308,"#4daf4a"
1,5.5,0.000627918917313222,"#377eb8"
1.2,5.2,0.000627918917313222,"#377eb8"
1.4,5.2,0.000627918917313222,"#377eb8"
2,2.8,0.000627918917313222,"#4daf4a"
1.8,3.1,0.000627918917313222,"#4daf4a"
1.6,3.1,0.000627918917313222,"#4daf4a"
1,3.7,0.0575753345721047,"#ffd300"
1.2,4,0.0575753345721047,"#ffd300"
1.4,4,0.0575753345721047,"#ffd300"
2,6.4,0.0575753345721047,"#a65628"
1.8,6.1,0.0575753345721047,"#a65628"
1.6,6.1,0.0575753345721047,"#a65628"
1,3.7,0.00415392514530285,"#f781bf"
1.2,3.8,0.00415392514530285,"#f781bf"
1.4,3.8,0.00415392514530285,"#f781bf"
2,4.6,0.00415392514530285,"#a65628"
1.8,4.5,0.00415392514530285,"#a65628"
1.6,4.5,0.00415392514530285,"#a65628"
1,3.7,0.015359862746585,"#AAAAAA"
1.2,3.4,0.015359862746585,"#AAAAAA"
1.4,3.4,0.015359862746585,"#AAAAAA"
2,1,0.015359862746585,"#a65628"
1.8,1.3,0.015359862746585,"#a65628"
1.6,1.3,0.015359862746585,"#a65628"
1,3.7,0.00690710809044544,"#4daf4a"
1.2,3.9,0.00690710809044544,"#4daf4a"
1.4,3.9,0.00690710809044544,"#4daf4a"
2,5.5,0.00690710809044544,"#a65628"
1.8,5.3,0.00690710809044544,"#a65628"
1.6,5.3,0.00690710809044544,"#a65628"
1,3.7,0.000627918917313222,"#a65628"
1.2,3.7,0.000627918917313222,"#a65628"
1.4,3.7,0.000627918917313222,"#a65628"
2,3.7,0.000627918917313222,"#a65628"
1.8,3.7,0.000627918917313222,"#a65628"
1.6,3.7,0.000627918917313222,"#a65628"
1,2.8,0.00280148440032053,"#ffd300"
1.2,3.2,0.00280148440032053,"#ffd300"
1.4,3.2,0.00280148440032053,"#ffd300"
2,6.4,0.00280148440032053,"#377eb8"
1.8,6,0.00280148440032053,"#377eb8"
1.6,6,0.00280148440032053,"#377eb8"
1,2.8,9.66029103558803e-05,"#f781bf"
1.2,3,9.66029103558803e-05,"#f781bf"
1.4,3,9.66029103558803e-05,"#f781bf"
2,4.6,9.66029103558803e-05,"#377eb8"
1.8,4.4,9.66029103558803e-05,"#377eb8"
1.6,4.4,9.66029103558803e-05,"#377eb8"
1,2.8,0.00367091059352345,"#AAAAAA"
1.2,2.6,0.00367091059352345,"#AAAAAA"
1.4,2.6,0.00367091059352345,"#AAAAAA"
2,1,0.00367091059352345,"#377eb8"
1.8,1.2,0.00367091059352345,"#377eb8"
1.6,1.2,0.00367091059352345,"#377eb8"
1,2.8,0.00169055093122791,"#4daf4a"
1.2,3.1,0.00169055093122791,"#4daf4a"
1.4,3.1,0.00169055093122791,"#4daf4a"
2,5.5,0.00169055093122791,"#377eb8"
1.8,5.2,0.00169055093122791,"#377eb8"
1.6,5.2,0.00169055093122791,"#377eb8"
1,2.8,4.83014551779401e-05,"#377eb8"
1.2,2.8,4.83014551779401e-05,"#377eb8"
1.4,2.8,4.83014551779401e-05,"#377eb8"
2,2.8,4.83014551779401e-05,"#377eb8"
1.8,2.8,4.83014551779401e-05,"#377eb8"
1.6,2.8,4.83014551779401e-05,"#377eb8"
2,6.4,4.86009242000434,"#ffd300"
2.2,6.4,4.86009242000434,"#ffd300"
2.4,6.4,4.86009242000434,"#ffd300"
3,6.4,4.86009242000434,"#ffd300"
2.8,6.4,4.86009242000434,"#ffd300"
2.6,6.4,4.86009242000434,"#ffd300"
2,6.4,0.0124617754359086,"#f781bf"
2.2,6.2,0.0124617754359086,"#f781bf"
2.4,6.2,0.0124617754359086,"#f781bf"
3,4.6,0.0124617754359086,"#ffd300"
2.8,4.8,0.0124617754359086,"#ffd300"
2.6,4.8,0.0124617754359086,"#ffd300"
2,6.4,1.22980335028553,"#AAAAAA"
2.2,5.8,1.22980335028553,"#AAAAAA"
2.4,5.8,1.22980335028553,"#AAAAAA"
3,1,1.22980335028553,"#ffd300"
2.8,1.6,1.22980335028553,"#ffd300"
2.6,1.6,1.22980335028553,"#ffd300"
2,6.4,34.6742139300431,"#4daf4a"
2.2,6.3,34.6742139300431,"#4daf4a"
2.4,6.3,34.6742139300431,"#4daf4a"
3,5.5,34.6742139300431,"#ffd300"
2.8,5.6,34.6742139300431,"#ffd300"
2.6,5.6,34.6742139300431,"#ffd300"
2,6.4,0.00739012264222484,"#a65628"
2.2,6.1,0.00739012264222484,"#a65628"
2.4,6.1,0.00739012264222484,"#a65628"
3,3.7,0.00739012264222484,"#ffd300"
2.8,4,0.00739012264222484,"#ffd300"
2.6,4,0.00739012264222484,"#ffd300"
2,6.4,0.000531316006957342,"#377eb8"
2.2,6,0.000531316006957342,"#377eb8"
2.4,6,0.000531316006957342,"#377eb8"
3,2.8,0.000531316006957342,"#ffd300"
2.8,3.2,0.000531316006957342,"#ffd300"
2.6,3.2,0.000531316006957342,"#ffd300"
2,1.9,0.000241507275889701,"#ffd300"
2.2,2.4,0.000241507275889701,"#ffd300"
2.4,2.4,0.000241507275889701,"#ffd300"
3,6.4,0.000241507275889701,"#e41a1c"
2.8,5.9,0.000241507275889701,"#e41a1c"
2.6,5.9,0.000241507275889701,"#e41a1c"
2,1.9,0.00241507275889701,"#AAAAAA"
2.2,1.8,0.00241507275889701,"#AAAAAA"
2.4,1.8,0.00241507275889701,"#AAAAAA"
3,1,0.00241507275889701,"#e41a1c"
2.8,1.1,0.00241507275889701,"#e41a1c"
2.6,1.1,0.00241507275889701,"#e41a1c"
2,1.9,0.000483014551779401,"#4daf4a"
2.2,2.3,0.000483014551779401,"#4daf4a"
2.4,2.3,0.000483014551779401,"#4daf4a"
3,5.5,0.000483014551779401,"#e41a1c"
2.8,5.1,0.000483014551779401,"#e41a1c"
2.6,5.1,0.000483014551779401,"#e41a1c"
2,4.6,0.0326034822451096,"#ffd300"
2.2,4.8,0.0326034822451096,"#ffd300"
2.4,4.8,0.0326034822451096,"#ffd300"
3,6.4,0.0326034822451096,"#f781bf"
2.8,6.2,0.0326034822451096,"#f781bf"
2.6,6.2,0.0326034822451096,"#f781bf"
