"X","cropCode","numPixelsWiZone","cropCodeFrom","cropCodeTo","yearFrom","yearTo"
"Kanabec",1005,21355,1,5,2008,2009
"Kanabec",1023,1959,1,23,2008,2009
"Kanabec",1028,112,1,28,2008,2009
"Kanabec",1036,716,1,36,2008,2009
"Kanabec",1037,109,1,37,2008,2009
"Kanabec",1043,4,1,43,2008,2009
"Kanabec",1059,1,1,59,2008,2009
"Kanabec",1061,6,1,61,2008,2009
"Kanabec",1111,8,1,111,2008,2009
"Kanabec",1121,29,1,121,2008,2009
"Kanabec",1152,26,1,152,2008,2009
"Kanabec",1176,8842,1,176,2008,2009
"Kanabec",1190,45,1,190,2008,2009
"Kanabec",1195,2993,1,195,2008,2009
"Kanabec",5005,8514,5,5,2008,2009
"Kanabec",5023,7315,5,23,2008,2009
"Kanabec",5024,22,5,24,2008,2009
"Kanabec",5028,239,5,28,2008,2009
"Kanabec",5036,455,5,36,2008,2009
"Kanabec",5037,178,5,37,2008,2009
"Kanabec",5058,1,5,58,2008,2009
"Kanabec",5061,23,5,61,2008,2009
"Kanabec",5111,23,5,111,2008,2009
"Kanabec",5121,63,5,121,2008,2009
"Kanabec",5141,13,5,141,2008,2009
"Kanabec",5152,11,5,152,2008,2009
"Kanabec",5176,8104,5,176,2008,2009
"Kanabec",5190,22,5,190,2008,2009
"Kanabec",5195,2216,5,195,2008,2009
"Kanabec",21005,1,21,5,2008,2009
"Kanabec",21036,1,21,36,2008,2009
"Kanabec",21176,2,21,176,2008,2009
"Kanabec",23005,4978,23,5,2008,2009
"Kanabec",23023,632,23,23,2008,2009
"Kanabec",23024,37,23,24,2008,2009
"Kanabec",23028,23,23,28,2008,2009
"Kanabec",23036,203,23,36,2008,2009
"Kanabec",23037,107,23,37,2008,2009
"Kanabec",23111,2,23,111,2008,2009
"Kanabec",23121,1,23,121,2008,2009
"Kanabec",23131,19,23,131,2008,2009
"Kanabec",23141,2,23,141,2008,2009
"Kanabec",23152,5,23,152,2008,2009
"Kanabec",23176,1771,23,176,2008,2009
"Kanabec",23190,5,23,190,2008,2009
"Kanabec",23195,247,23,195,2008,2009
"Kanabec",24005,128,24,5,2008,2009
"Kanabec",24023,17,24,23,2008,2009
"Kanabec",24028,2,24,28,2008,2009
"Kanabec",24131,3,24,131,2008,2009
"Kanabec",24176,36,24,176,2008,2009
"Kanabec",24195,7,24,195,2008,2009
"Kanabec",27176,33,27,176,2008,2009
"Kanabec",27195,2,27,195,2008,2009
"Kanabec",28005,127,28,5,2008,2009
"Kanabec",28023,31,28,23,2008,2009
"Kanabec",28028,2,28,28,2008,2009
"Kanabec",28036,67,28,36,2008,2009
"Kanabec",28037,14,28,37,2008,2009
"Kanabec",28176,150,28,176,2008,2009
"Kanabec",28195,36,28,195,2008,2009
"Kanabec",36005,529,36,5,2008,2009
"Kanabec",36023,66,36,23,2008,2009
"Kanabec",36036,9805,36,36,2008,2009
"Kanabec",36037,1351,36,37,2008,2009
"Kanabec",36058,10,36,58,2008,2009
"Kanabec",36059,2,36,59,2008,2009
"Kanabec",36061,2,36,61,2008,2009
"Kanabec",36131,3,36,131,2008,2009
"Kanabec",36141,5,36,141,2008,2009
"Kanabec",36142,1,36,142,2008,2009
"Kanabec",36152,6,36,152,2008,2009
"Kanabec",36176,10619,36,176,2008,2009
"Kanabec",36190,3,36,190,2008,2009
"Kanabec",36195,114,36,195,2008,2009
"Kanabec",37005,374,37,5,2008,2009
"Kanabec",37023,63,37,23,2008,2009
"Kanabec",37024,13,37,24,2008,2009
"Kanabec",37028,11,37,28,2008,2009
"Kanabec",37036,883,37,36,2008,2009
"Kanabec",37037,4313,37,37,2008,2009
"Kanabec",37058,3,37,58,2008,2009
"Kanabec",37111,6,37,111,2008,2009
"Kanabec",37141,28,37,141,2008,2009
"Kanabec",37142,1,37,142,2008,2009
"Kanabec",37152,5,37,152,2008,2009
"Kanabec",37176,18450,37,176,2008,2009
"Kanabec",37190,22,37,190,2008,2009
"Kanabec",37195,333,37,195,2008,2009
"Kanabec",42005,5,42,5,2008,2009
"Kanabec",42023,1,42,23,2008,2009
"Kanabec",42176,5,42,176,2008,2009
"Kanabec",43176,1,43,176,2008,2009
"Kanabec",43195,1,43,195,2008,2009
"Kanabec",44195,1,44,195,2008,2009
"Kanabec",58036,2,58,36,2008,2009
"Kanabec",58176,4,58,176,2008,2009
"Kanabec",61005,177,61,5,2008,2009
"Kanabec",61023,93,61,23,2008,2009
"Kanabec",61024,1,61,24,2008,2009
"Kanabec",61036,37,61,36,2008,2009
"Kanabec",61037,6,61,37,2008,2009
"Kanabec",61058,1,61,58,2008,2009
"Kanabec",61176,232,61,176,2008,2009
"Kanabec",61190,6,61,190,2008,2009
"Kanabec",61195,33,61,195,2008,2009
"Kanabec",111005,72,111,5,2008,2009
"Kanabec",111023,112,111,23,2008,2009
"Kanabec",111028,6,111,28,2008,2009
"Kanabec",111037,15,111,37,2008,2009
"Kanabec",111044,34,111,44,2008,2009
"Kanabec",111061,3,111,61,2008,2009
"Kanabec",111111,24524,111,111,2008,2009
"Kanabec",111141,600,111,141,2008,2009
"Kanabec",111142,9,111,142,2008,2009
"Kanabec",111152,21,111,152,2008,2009
"Kanabec",111176,518,111,176,2008,2009
"Kanabec",111190,1000,111,190,2008,2009
"Kanabec",111195,2002,111,195,2008,2009
"Kanabec",121005,25,121,5,2008,2009
"Kanabec",121023,1,121,23,2008,2009
"Kanabec",121036,1,121,36,2008,2009
"Kanabec",121121,52294,121,121,2008,2009
"Kanabec",121122,1904,121,122,2008,2009
"Kanabec",121123,34,121,123,2008,2009
"Kanabec",121176,35,121,176,2008,2009
"Kanabec",121195,6,121,195,2008,2009
"Kanabec",122121,1833,122,121,2008,2009
"Kanabec",122122,5748,122,122,2008,2009
"Kanabec",122123,463,122,123,2008,2009
"Kanabec",122176,3,122,176,2008,2009
"Kanabec",123001,15,123,1,2008,2009
"Kanabec",123005,5,123,5,2008,2009
"Kanabec",123023,57,123,23,2008,2009
"Kanabec",123028,1,123,28,2008,2009
"Kanabec",123061,2,123,61,2008,2009
"Kanabec",123121,11,123,121,2008,2009
"Kanabec",123122,166,123,122,2008,2009
"Kanabec",123123,1318,123,123,2008,2009
"Kanabec",123124,21,123,124,2008,2009
"Kanabec",123176,61,123,176,2008,2009
"Kanabec",123195,28,123,195,2008,2009
"Kanabec",124122,1,124,122,2008,2009
"Kanabec",124123,64,124,123,2008,2009
"Kanabec",124124,698,124,124,2008,2009
"Kanabec",124176,2,124,176,2008,2009
"Kanabec",124195,1,124,195,2008,2009
"Kanabec",131005,4,131,5,2008,2009
"Kanabec",131023,50,131,23,2008,2009
"Kanabec",131028,1,131,28,2008,2009
"Kanabec",131111,6,131,111,2008,2009
"Kanabec",131176,37,131,176,2008,2009
"Kanabec",131195,25,131,195,2008,2009
"Kanabec",141005,69,141,5,2008,2009
"Kanabec",141023,78,141,23,2008,2009
"Kanabec",141028,14,141,28,2008,2009
"Kanabec",141036,81,141,36,2008,2009
"Kanabec",141037,73,141,37,2008,2009
"Kanabec",141058,5,141,58,2008,2009
"Kanabec",141061,2,141,61,2008,2009
"Kanabec",141111,658,141,111,2008,2009
"Kanabec",141121,18,141,121,2008,2009
"Kanabec",141131,4,141,131,2008,2009
"Kanabec",141141,545419,141,141,2008,2009
"Kanabec",141142,665,141,142,2008,2009
"Kanabec",141152,1806,141,152,2008,2009
"Kanabec",141176,10312,141,176,2008,2009
"Kanabec",141190,30231,141,190,2008,2009
"Kanabec",141195,20241,141,195,2008,2009
"Kanabec",142005,4,142,5,2008,2009
"Kanabec",142023,3,142,23,2008,2009
"Kanabec",142036,3,142,36,2008,2009
"Kanabec",142037,4,142,37,2008,2009
"Kanabec",142141,533,142,141,2008,2009
"Kanabec",142142,1059,142,142,2008,2009
"Kanabec",142152,17,142,152,2008,2009
"Kanabec",142176,88,142,176,2008,2009
"Kanabec",142190,1715,142,190,2008,2009
"Kanabec",142195,122,142,195,2008,2009
"Kanabec",143037,1,143,37,2008,2009
"Kanabec",143190,176,143,190,2008,2009
"Kanabec",152005,12,152,5,2008,2009
"Kanabec",152023,15,152,23,2008,2009
"Kanabec",152037,8,152,37,2008,2009
"Kanabec",152141,729,152,141,2008,2009
"Kanabec",152142,10,152,142,2008,2009
"Kanabec",152152,70,152,152,2008,2009
"Kanabec",152176,691,152,176,2008,2009
"Kanabec",152190,184,152,190,2008,2009
"Kanabec",152195,376,152,195,2008,2009
"Kanabec",176001,10548,176,1,2008,2009
"Kanabec",176005,6684,176,5,2008,2009
"Kanabec",176006,2,176,6,2008,2009
"Kanabec",176021,1,176,21,2008,2009
"Kanabec",176023,2110,176,23,2008,2009
"Kanabec",176024,71,176,24,2008,2009
"Kanabec",176027,68,176,27,2008,2009
"Kanabec",176028,181,176,28,2008,2009
"Kanabec",176036,8785,176,36,2008,2009
"Kanabec",176037,15182,176,37,2008,2009
"Kanabec",176058,46,176,58,2008,2009
"Kanabec",176059,3,176,59,2008,2009
"Kanabec",176061,96,176,61,2008,2009
"Kanabec",176111,262,176,111,2008,2009
"Kanabec",176121,36,176,121,2008,2009
"Kanabec",176131,66,176,131,2008,2009
"Kanabec",176141,5512,176,141,2008,2009
"Kanabec",176142,73,176,142,2008,2009
"Kanabec",176152,1143,176,152,2008,2009
"Kanabec",176176,317861,176,176,2008,2009
"Kanabec",176190,1612,176,190,2008,2009
"Kanabec",176195,30849,176,195,2008,2009
"Kanabec",190005,34,190,5,2008,2009
"Kanabec",190023,15,190,23,2008,2009
"Kanabec",190028,1,190,28,2008,2009
"Kanabec",190036,14,190,36,2008,2009
"Kanabec",190037,11,190,37,2008,2009
"Kanabec",190058,2,190,58,2008,2009
"Kanabec",190059,1,190,59,2008,2009
"Kanabec",190061,1,190,61,2008,2009
"Kanabec",190111,986,190,111,2008,2009
"Kanabec",190141,50225,190,141,2008,2009
"Kanabec",190142,1050,190,142,2008,2009
