"X","cropCode","numPixelsWiZone","cropCodeFrom","cropCodeTo","yearFrom","yearTo"
"Kandiyohi",1005,417033,1,5,2008,2009
"Kandiyohi",1023,7948,1,23,2008,2009
"Kandiyohi",1028,833,1,28,2008,2009
"Kandiyohi",1036,3376,1,36,2008,2009
"Kandiyohi",1037,80,1,37,2008,2009
"Kandiyohi",1043,12,1,43,2008,2009
"Kandiyohi",1059,1,1,59,2008,2009
"Kandiyohi",1061,20,1,61,2008,2009
"Kandiyohi",1111,467,1,111,2008,2009
"Kandiyohi",1121,777,1,121,2008,2009
"Kandiyohi",1152,131,1,152,2008,2009
"Kandiyohi",1176,34480,1,176,2008,2009
"Kandiyohi",1190,43,1,190,2008,2009
"Kandiyohi",1195,10362,1,195,2008,2009
"Kandiyohi",5005,23360,5,5,2008,2009
"Kandiyohi",5023,17487,5,23,2008,2009
"Kandiyohi",5024,7,5,24,2008,2009
"Kandiyohi",5028,1373,5,28,2008,2009
"Kandiyohi",5036,3549,5,36,2008,2009
"Kandiyohi",5037,115,5,37,2008,2009
"Kandiyohi",5043,5,5,43,2008,2009
"Kandiyohi",5058,3,5,58,2008,2009
"Kandiyohi",5061,2,5,61,2008,2009
"Kandiyohi",5111,72,5,111,2008,2009
"Kandiyohi",5121,400,5,121,2008,2009
"Kandiyohi",5141,269,5,141,2008,2009
"Kandiyohi",5152,24,5,152,2008,2009
"Kandiyohi",5176,17572,5,176,2008,2009
"Kandiyohi",5190,5,5,190,2008,2009
"Kandiyohi",5195,2350,5,195,2008,2009
"Kandiyohi",6005,2,6,5,2008,2009
"Kandiyohi",6176,6,6,176,2008,2009
"Kandiyohi",21005,15,21,5,2008,2009
"Kandiyohi",21023,18,21,23,2008,2009
"Kandiyohi",21028,1,21,28,2008,2009
"Kandiyohi",21036,34,21,36,2008,2009
"Kandiyohi",21176,32,21,176,2008,2009
"Kandiyohi",23005,10105,23,5,2008,2009
"Kandiyohi",23023,2591,23,23,2008,2009
"Kandiyohi",23024,5,23,24,2008,2009
"Kandiyohi",23028,351,23,28,2008,2009
"Kandiyohi",23036,1357,23,36,2008,2009
"Kandiyohi",23037,14,23,37,2008,2009
"Kandiyohi",23043,1,23,43,2008,2009
"Kandiyohi",23061,3,23,61,2008,2009
"Kandiyohi",23111,45,23,111,2008,2009
"Kandiyohi",23121,10,23,121,2008,2009
"Kandiyohi",23131,24,23,131,2008,2009
"Kandiyohi",23141,5,23,141,2008,2009
"Kandiyohi",23152,2,23,152,2008,2009
"Kandiyohi",23176,3320,23,176,2008,2009
"Kandiyohi",23195,251,23,195,2008,2009
"Kandiyohi",24005,64,24,5,2008,2009
"Kandiyohi",24023,1,24,23,2008,2009
"Kandiyohi",24028,1,24,28,2008,2009
"Kandiyohi",24131,1,24,131,2008,2009
"Kandiyohi",24176,22,24,176,2008,2009
"Kandiyohi",27176,16,27,176,2008,2009
"Kandiyohi",28005,530,28,5,2008,2009
"Kandiyohi",28023,456,28,23,2008,2009
"Kandiyohi",28028,186,28,28,2008,2009
"Kandiyohi",28036,280,28,36,2008,2009
"Kandiyohi",28037,4,28,37,2008,2009
"Kandiyohi",28141,5,28,141,2008,2009
"Kandiyohi",28176,631,28,176,2008,2009
"Kandiyohi",28195,18,28,195,2008,2009
"Kandiyohi",29005,2,29,5,2008,2009
"Kandiyohi",31176,1,31,176,2008,2009
"Kandiyohi",36005,2357,36,5,2008,2009
"Kandiyohi",36006,3,36,6,2008,2009
"Kandiyohi",36023,261,36,23,2008,2009
"Kandiyohi",36028,84,36,28,2008,2009
"Kandiyohi",36036,17610,36,36,2008,2009
"Kandiyohi",36037,100,36,37,2008,2009
"Kandiyohi",36058,1,36,58,2008,2009
