"xCoords","yCoords","width","colorToUse"
1,6.4,7.38097761970958,"#ffd300"
1.2,6.4,7.38097761970958,"#ffd300"
1.4,6.4,7.38097761970958,"#ffd300"
2,6.4,7.38097761970958,"#ffd300"
1.8,6.4,7.38097761970958,"#ffd300"
1.6,6.4,7.38097761970958,"#ffd300"
1,6.4,0.338967065379532,"#e41a1c"
1.2,5.9,0.338967065379532,"#e41a1c"
1.4,5.9,0.338967065379532,"#e41a1c"
2,1.9,0.338967065379532,"#ffd300"
1.8,2.4,0.338967065379532,"#ffd300"
1.6,2.4,0.338967065379532,"#ffd300"
1,6.4,0.136070489027503,"#f781bf"
1.2,6.2,0.136070489027503,"#f781bf"
1.4,6.2,0.136070489027503,"#f781bf"
2,4.6,0.136070489027503,"#ffd300"
1.8,4.8,0.136070489027503,"#ffd300"
1.6,4.8,0.136070489027503,"#ffd300"
1,6.4,2.32915918836533,"#AAAAAA"
1.2,5.8,2.32915918836533,"#AAAAAA"
1.4,5.8,2.32915918836533,"#AAAAAA"
2,1,2.32915918836533,"#ffd300"
1.8,1.6,2.32915918836533,"#ffd300"
1.6,1.6,2.32915918836533,"#ffd300"
1,6.4,16.8086150031418,"#4daf4a"
1.2,6.3,16.8086150031418,"#4daf4a"
1.4,6.3,16.8086150031418,"#4daf4a"
2,5.5,16.8086150031418,"#ffd300"
1.8,5.6,16.8086150031418,"#ffd300"
1.6,5.6,16.8086150031418,"#ffd300"
1,6.4,0.32034604466546,"#a65628"
1.2,6.1,0.32034604466546,"#a65628"
1.4,6.1,0.32034604466546,"#a65628"
2,3.7,0.32034604466546,"#ffd300"
1.8,4,0.32034604466546,"#ffd300"
1.6,4,0.32034604466546,"#ffd300"
1,6.4,1.46062157934469,"#377eb8"
1.2,6,1.46062157934469,"#377eb8"
1.4,6,1.46062157934469,"#377eb8"
2,2.8,1.46062157934469,"#ffd300"
1.8,3.2,1.46062157934469,"#ffd300"
1.6,3.2,1.46062157934469,"#ffd300"
1,1.9,0.434772620005828,"#ffd300"
1.2,2.4,0.434772620005828,"#ffd300"
1.4,2.4,0.434772620005828,"#ffd300"
2,6.4,0.434772620005828,"#e41a1c"
1.8,5.9,0.434772620005828,"#e41a1c"
1.6,5.9,0.434772620005828,"#e41a1c"
1,1.9,0.000523968115331025,"#e41a1c"
1.2,1.9,0.000523968115331025,"#e41a1c"
1.4,1.9,0.000523968115331025,"#e41a1c"
2,1.9,0.000523968115331025,"#e41a1c"
1.8,1.9,0.000523968115331025,"#e41a1c"
1.6,1.9,0.000523968115331025,"#e41a1c"
