"yearFrom","yearTo","cropRotate","cropFrom","cropTo","plottingColorFrom","plottingColorTo","plotXAxisFrom","plotXAxisTo","plotYAxisFrom","plotYAxisTo","xEndFrom","xEndTo","yEndFrom_streamlined","yEndTo_streamlined","totalNumPixels_cropTransition","totalPercPixelsWiArea_cropTransition","totalNumPixels_cropYearFrom","totalPercPixelsWiArea_cropYearFrom","totalNumPixels_cropYearTo","totalPercPixelsWiArea_cropYearTo"
2008,2009,"corn_corn","corn","corn","#ffd300","#ffd300",1,2,6.4,6.4,1.2,1.8,6.4,6.4,183127,7.38097761970958,713921,28.7747569896339,686258,27.6597931454491
2008,2009,"corn_dryBeans","corn","dryBeans","#ffd300","#e41a1c",1,2,6.4,1.9,1.2,1.8,5.9,2.4,8410,0.338967065379532,713921,28.7747569896339,14292,0.576042484947001
2008,2009,"corn_hay","corn","hay","#ffd300","#f781bf",1,2,6.4,4.6,1.2,1.8,6.2,4.8,3376,0.136070489027503,713921,28.7747569896339,39761,1.60257663335976
2008,2009,"corn_other","corn","other","#ffd300","#AAAAAA",1,2,6.4,1,1.2,1.8,5.8,1.6,57788,2.32915918836533,713921,28.7747569896339,1159296,46.7257030946766
2008,2009,"corn_soy","corn","soy","#ffd300","#4daf4a",1,2,6.4,5.5,1.2,1.8,6.3,5.6,417033,16.8086150031418,713921,28.7747569896339,490786,19.7812473423733
2008,2009,"corn_springWheat","corn","springWheat","#ffd300","#a65628",1,2,6.4,3.7,1.2,1.8,6.1,4,7948,0.32034604466546,713921,28.7747569896339,37793,1.52325592174657
2008,2009,"corn_sugarbeets","corn","sugarbeets","#ffd300","#377eb8",1,2,6.4,2.8,1.2,1.8,6,3.2,36239,1.46062157934469,713921,28.7747569896339,52881,2.13138137744769
2008,2009,"dryBeans_corn","dryBeans","corn","#e41a1c","#ffd300",1,2,1.9,6.4,1.2,1.8,2.4,5.9,10787,0.434772620005828,13519,0.544886534704625,686258,27.6597931454491
2008,2009,"dryBeans_dryBeans","dryBeans","dryBeans","#e41a1c","#e41a1c",1,2,1.9,1.9,1.2,1.8,1.9,1.9,13,0.000523968115331025,13519,0.544886534704625,14292,0.576042484947001
2008,2009,"dryBeans_hay","dryBeans","hay","#e41a1c","#f781bf",1,2,1.9,4.6,1.2,1.8,2.2,4.3,111,0.00447388160013414,13519,0.544886534704625,39761,1.60257663335976
2008,2009,"dryBeans_other","dryBeans","other","#e41a1c","#AAAAAA",1,2,1.9,1,1.2,1.8,1.8,1.1,844,0.0340176222568758,13519,0.544886534704625,1159296,46.7257030946766
2008,2009,"dryBeans_soy","dryBeans","soy","#e41a1c","#4daf4a",1,2,1.9,5.5,1.2,1.8,2.3,5.1,1438,0.0579589346035395,13519,0.544886534704625,490786,19.7812473423733
2008,2009,"dryBeans_springWheat","dryBeans","springWheat","#e41a1c","#a65628",1,2,1.9,3.7,1.2,1.8,2.1,3.5,251,0.0101166151498529,13519,0.544886534704625,37793,1.52325592174657
2008,2009,"dryBeans_sugarbeets","dryBeans","sugarbeets","#e41a1c","#377eb8",1,2,1.9,2.8,1.2,1.8,2,2.7,75,0.00302289297306361,13519,0.544886534704625,52881,2.13138137744769
2008,2009,"hay_corn","hay","corn","#f781bf","#ffd300",1,2,4.6,6.4,1.2,1.8,4.8,6.2,7237,0.291689019280817,42774,1.72401632039764,686258,27.6597931454491
2008,2009,"hay_dryBeans","hay","dryBeans","#f781bf","#e41a1c",1,2,4.6,1.9,1.2,1.8,4.3,2.2,41,0.00165251482527477,42774,1.72401632039764,14292,0.576042484947001
2008,2009,"hay_hay","hay","hay","#f781bf","#f781bf",1,2,4.6,4.6,1.2,1.8,4.6,4.6,19772,0.796915198178848,42774,1.72401632039764,39761,1.60257663335976
2008,2009,"hay_other","hay","other","#f781bf","#AAAAAA",1,2,4.6,1,1.2,1.8,4.2,1.4,12805,0.51610859360106,42774,1.72401632039764,1159296,46.7257030946766
2008,2009,"hay_soy","hay","soy","#f781bf","#4daf4a",1,2,4.6,5.5,1.2,1.8,4.7,5.4,2533,0.102093172010268,42774,1.72401632039764,490786,19.7812473423733
2008,2009,"hay_springWheat","hay","springWheat","#f781bf","#a65628",1,2,4.6,3.7,1.2,1.8,4.5,3.8,357,0.0143889705517828,42774,1.72401632039764,37793,1.52325592174657
2008,2009,"hay_sugarbeets","hay","sugarbeets","#f781bf","#377eb8",1,2,4.6,2.8,1.2,1.8,4.4,3,29,0.00116885194958459,42774,1.72401632039764,52881,2.13138137744769
2008,2009,"other_corn","other","corn","#AAAAAA","#ffd300",1,2,1,6.4,1.2,1.8,1.6,5.8,43386,1.74868312705783,1134085,45.7095676980912,686258,27.6597931454491
2008,2009,"other_dryBeans","other","dryBeans","#AAAAAA","#e41a1c",1,2,1,1.9,1.2,1.8,1.1,1.8,668,0.0269239000800865,1134085,45.7095676980912,14292,0.576042484947001
2008,2009,"other_hay","other","hay","#AAAAAA","#f781bf",1,2,1,4.6,1.2,1.8,1.4,4.2,11438,0.46101133101202,1134085,45.7095676980912,39761,1.60257663335976
2008,2009,"other_other","other","other","#AAAAAA","#AAAAAA",1,2,1,1,1.2,1.8,1,1,1038922,41.8740001781492,1134085,45.7095676980912,1159296,46.7257030946766
2008,2009,"other_soy","other","soy","#AAAAAA","#4daf4a",1,2,1,5.5,1.2,1.8,1.5,5,25630,1.03302329199494,1134085,45.7095676980912,490786,19.7812473423733
2008,2009,"other_springWheat","other","springWheat","#AAAAAA","#a65628",1,2,1,3.7,1.2,1.8,1.3,3.4,5741,0.231392380778109,1134085,45.7095676980912,37793,1.52325592174657
2008,2009,"other_sugarbeets","other","sugarbeets","#AAAAAA","#377eb8",1,2,1,2.8,1.2,1.8,1.2,2.6,8300,0.334533489019039,1134085,45.7095676980912,52881,2.13138137744769
2008,2009,"soy_corn","soy","corn","#4daf4a","#ffd300",1,2,5.5,6.4,1.2,1.8,5.6,6.3,386111,15.5622963829675,476336,19.198836629563,686258,27.6597931454491
2008,2009,"soy_dryBeans","soy","dryBeans","#4daf4a","#e41a1c",1,2,5.5,1.9,1.2,1.8,5.1,2.3,660,0.0266014581629597,476336,19.198836629563,14292,0.576042484947001
2008,2009,"soy_hay","soy","hay","#4daf4a","#f781bf",1,2,5.5,4.6,1.2,1.8,5.4,4.7,3549,0.14304329548537,476336,19.198836629563,39761,1.60257663335976
2008,2009,"soy_other","soy","other","#4daf4a","#AAAAAA",1,2,5.5,1,1.2,1.8,5,1.5,37725,1.52051516545099,476336,19.198836629563,1159296,46.7257030946766
2008,2009,"soy_soy","soy","soy","#4daf4a","#4daf4a",1,2,5.5,5.5,1.2,1.8,5.5,5.5,23360,0.941530398010211,476336,19.198836629563,490786,19.7812473423733
2008,2009,"soy_springWheat","soy","springWheat","#4daf4a","#a65628",1,2,5.5,3.7,1.2,1.8,5.3,3.9,17487,0.70481772559951,476336,19.198836629563,37793,1.52325592174657
2008,2009,"soy_sugarbeets","soy","sugarbeets","#4daf4a","#377eb8",1,2,5.5,2.8,1.2,1.8,5.2,3.1,7444,0.300032203886473,476336,19.198836629563,52881,2.13138137744769
2008,2009,"springWheat_corn","springWheat","corn","#a65628","#ffd300",1,2,3.7,6.4,1.2,1.8,4,6.1,17907,0.721745926248666,37377,1.50648894205598,686258,27.6597931454491
2008,2009,"springWheat_dryBeans","springWheat","dryBeans","#a65628","#e41a1c",1,2,3.7,1.9,1.2,1.8,3.5,2.1,252,0.0101569203894937,37377,1.50648894205598,14292,0.576042484947001
2008,2009,"springWheat_hay","springWheat","hay","#a65628","#f781bf",1,2,3.7,4.6,1.2,1.8,3.8,4.5,1357,0.0546942101926308,37377,1.50648894205598,39761,1.60257663335976
2008,2009,"springWheat_other","springWheat","other","#a65628","#AAAAAA",1,2,3.7,1,1.2,1.8,3.4,1.3,4734,0.190805004459775,37377,1.50648894205598,1159296,46.7257030946766
2008,2009,"springWheat_soy","springWheat","soy","#a65628","#4daf4a",1,2,3.7,5.5,1.2,1.8,3.9,5.3,10105,0.40728444657077,37377,1.50648894205598,490786,19.7812473423733
2008,2009,"springWheat_springWheat","springWheat","springWheat","#a65628","#a65628",1,2,3.7,3.7,1.2,1.8,3.7,3.7,2591,0.104430875909437,37377,1.50648894205598,37793,1.52325592174657
2008,2009,"springWheat_sugarbeets","springWheat","sugarbeets","#a65628","#377eb8",1,2,3.7,2.8,1.2,1.8,3.6,2.9,431,0.0173715582852055,37377,1.50648894205598,52881,2.13138137744769
2008,2009,"sugarbeets_corn","sugarbeets","corn","#377eb8","#ffd300",1,2,2.8,6.4,1.2,1.8,3.2,6,37703,1.51962845017889,63055,2.54144688555368,686258,27.6597931454491
2008,2009,"sugarbeets_dryBeans","sugarbeets","dryBeans","#377eb8","#e41a1c",1,2,2.8,1.9,1.2,1.8,2.7,2,4248,0.171216657994323,63055,2.54144688555368,14292,0.576042484947001
2008,2009,"sugarbeets_hay","sugarbeets","hay","#377eb8","#f781bf",1,2,2.8,4.6,1.2,1.8,3,4.4,158,0.00636822786325399,63055,2.54144688555368,39761,1.60257663335976
2008,2009,"sugarbeets_other","sugarbeets","other","#377eb8","#AAAAAA",1,2,2.8,1,1.2,1.8,2.6,1.2,6478,0.261097342393414,63055,2.54144688555368,1159296,46.7257030946766
2008,2009,"sugarbeets_soy","sugarbeets","soy","#377eb8","#4daf4a",1,2,2.8,5.5,1.2,1.8,3.1,5.2,10687,0.430742096041743,63055,2.54144688555368,490786,19.7812473423733
2008,2009,"sugarbeets_springWheat","sugarbeets","springWheat","#377eb8","#a65628",1,2,2.8,3.7,1.2,1.8,2.9,3.6,3418,0.137763309092419,63055,2.54144688555368,37793,1.52325592174657
2008,2009,"sugarbeets_sugarbeets","sugarbeets","sugarbeets","#377eb8","#377eb8",1,2,2.8,2.8,1.2,1.8,2.8,2.8,363,0.0146308019896278,63055,2.54144688555368,52881,2.13138137744769
2009,2010,"corn_corn","corn","corn","#ffd300","#ffd300",2,3,6.4,6.4,2.2,2.8,6.4,6.4,188873,7.6125715266859,686258,27.6597931454491,708388,28.5517480987011
2009,2010,"corn_dryBeans","corn","dryBeans","#ffd300","#e41a1c",2,3,6.4,1.9,2.2,2.8,5.9,2.4,8598,0.346544450432012,686258,27.6597931454491,12239,0.49329582796434
2009,2010,"corn_hay","corn","hay","#ffd300","#f781bf",2,3,6.4,4.6,2.2,2.8,6.2,4.8,3519,0.141834138296144,686258,27.6597931454491,32086,1.29323391911625
2009,2010,"corn_other","corn","other","#ffd300","#AAAAAA",2,3,6.4,1,2.2,2.8,5.8,1.6,40249,1.62224559030449,686258,27.6597931454491,1159351,46.7279198828569
2009,2010,"corn_soy","corn","soy","#ffd300","#4daf4a",2,3,6.4,5.5,2.2,2.8,6.3,5.6,403032,16.2443013429303,686258,27.6597931454491,484683,19.5352644648452
2009,2010,"corn_springWheat","corn","springWheat","#ffd300","#a65628",2,3,6.4,3.7,2.2,2.8,6.1,4,4176,0.168314680740182,686258,27.6597931454491,21902,0.882765358613855
2009,2010,"corn_sugarbeets","corn","sugarbeets","#ffd300","#377eb8",2,3,6.4,2.8,2.2,2.8,6,3.2,37811,1.52398141606011,686258,27.6597931454491,62418,2.51577244790245
2009,2010,"dryBeans_corn","dryBeans","corn","#e41a1c","#ffd300",2,3,1.9,6.4,2.2,2.8,2.4,5.9,12296,0.495593226623868,14303,0.57648584258305,708388,28.5517480987011
2009,2010,"dryBeans_dryBeans","dryBeans","dryBeans","#e41a1c","#e41a1c",2,3,1.9,1.9,2.2,2.8,1.9,1.9,95,0.00382899776588057,14303,0.57648584258305,12239,0.49329582796434
2009,2010,"dryBeans_hay","dryBeans","hay","#e41a1c","#f781bf",2,3,1.9,4.6,2.2,2.8,2.2,4.3,68,0.00274075629557767,14303,0.57648584258305,32086,1.29323391911625
2009,2010,"dryBeans_other","dryBeans","other","#e41a1c","#AAAAAA",2,3,1.9,1,2.2,2.8,1.8,1.1,971,0.0391363876912635,14303,0.57648584258305,1159351,46.7279198828569
2009,2010,"dryBeans_soy","dryBeans","soy","#e41a1c","#4daf4a",2,3,1.9,5.5,2.2,2.8,2.3,5.1,661,0.0266417634026006,14303,0.57648584258305,484683,19.5352644648452
2009,2010,"dryBeans_springWheat","dryBeans","springWheat","#e41a1c","#a65628",2,3,1.9,3.7,2.2,2.8,2.1,3.5,28,0.00112854670994375,14303,0.57648584258305,21902,0.882765358613855
2009,2010,"dryBeans_sugarbeets","dryBeans","sugarbeets","#e41a1c","#377eb8",2,3,1.9,2.8,2.2,2.8,2,2.7,184,0.00741616409391605,14303,0.57648584258305,62418,2.51577244790245
2009,2010,"hay_corn","hay","corn","#f781bf","#ffd300",2,3,4.6,6.4,2.2,2.8,4.8,6.2,6498,0.261903447186231,40322,1.62518787279828,708388,28.5517480987011
2009,2010,"hay_dryBeans","hay","dryBeans","#f781bf","#e41a1c",2,3,4.6,1.9,2.2,2.8,4.3,2.2,48,0.00193465150276071,40322,1.62518787279828,12239,0.49329582796434
2009,2010,"hay_hay","hay","hay","#f781bf","#f781bf",2,3,4.6,4.6,2.2,2.8,4.6,4.6,15913,0.641377278404815,40322,1.62518787279828,32086,1.29323391911625
2009,2010,"hay_other","hay","other","#f781bf","#AAAAAA",2,3,4.6,1,2.2,2.8,4.2,1.4,14771,0.595348694734967,40322,1.62518787279828,1159351,46.7279198828569
2009,2010,"hay_soy","hay","soy","#f781bf","#4daf4a",2,3,4.6,5.5,2.2,2.8,4.7,5.4,2582,0.10406812875267,40322,1.62518787279828,484683,19.5352644648452
2009,2010,"hay_springWheat","hay","springWheat","#f781bf","#a65628",2,3,4.6,3.7,2.2,2.8,4.5,3.8,463,0.0186613259537127,40322,1.62518787279828,21902,0.882765358613855
2009,2010,"hay_sugarbeets","hay","sugarbeets","#f781bf","#377eb8",2,3,4.6,2.8,2.2,2.8,4.4,3,47,0.00189434626311986,40322,1.62518787279828,62418,2.51577244790245
2009,2010,"other_corn","other","corn","#AAAAAA","#ffd300",2,3,1,6.4,2.2,2.8,1.6,5.8,45831,1.84722943797971,1158721,46.7025275818831,708388,28.5517480987011
2009,2010,"other_dryBeans","other","dryBeans","#AAAAAA","#e41a1c",2,3,1,1.9,2.2,2.8,1.1,1.8,325,0.0130992028832756,1158721,46.7025275818831,12239,0.49329582796434
2009,2010,"other_hay","other","hay","#AAAAAA","#f781bf",2,3,1,4.6,2.2,2.8,1.4,4.2,9003,0.362868072486555,1158721,46.7025275818831,32086,1.29323391911625
2009,2010,"other_other","other","other","#AAAAAA","#AAAAAA",2,3,1,1,2.2,2.8,1,1,1055823,42.5551990333191,1158721,46.7025275818831,1159351,46.7279198828569
2009,2010,"other_soy","other","soy","#AAAAAA","#4daf4a",2,3,1,5.5,2.2,2.8,1.5,5,28917,1.1655066146944,1158721,46.7025275818831,484683,19.5352644648452
2009,2010,"other_springWheat","other","springWheat","#AAAAAA","#a65628",2,3,1,3.7,2.2,2.8,1.3,3.4,3670,0.147920229481912,1158721,46.7025275818831,21902,0.882765358613855
2009,2010,"other_sugarbeets","other","sugarbeets","#AAAAAA","#377eb8",2,3,1,2.8,2.2,2.8,1.2,2.6,15152,0.61070499103813,1158721,46.7025275818831,62418,2.51577244790245
2009,2010,"soy_corn","soy","corn","#4daf4a","#ffd300",2,3,5.5,6.4,2.2,2.8,5.6,6.3,404534,16.3048398128708,490786,19.7812473423733,708388,28.5517480987011
2009,2010,"soy_dryBeans","soy","dryBeans","#4daf4a","#e41a1c",2,3,5.5,1.9,2.2,2.8,5.1,2.3,585,0.0235785651898961,490786,19.7812473423733,12239,0.49329582796434
2009,2010,"soy_hay","soy","hay","#4daf4a","#f781bf",2,3,5.5,4.6,2.2,2.8,5.4,4.7,1880,0.0757738505247944,490786,19.7812473423733,32086,1.29323391911625
2009,2010,"soy_other","soy","other","#4daf4a","#AAAAAA",2,3,5.5,1,2.2,2.8,5,1.5,36147,1.45691349729774,490786,19.7812473423733,1159351,46.7279198828569
2009,2010,"soy_soy","soy","soy","#4daf4a","#4daf4a",2,3,5.5,5.5,2.2,2.8,5.5,5.5,27653,1.11456079178837,490786,19.7812473423733,484683,19.5352644648452
2009,2010,"soy_springWheat","soy","springWheat","#4daf4a","#a65628",2,3,5.5,3.7,2.2,2.8,5.3,3.9,11611,0.467984137469887,490786,19.7812473423733,21902,0.882765358613855
2009,2010,"soy_sugarbeets","soy","sugarbeets","#4daf4a","#377eb8",2,3,5.5,2.8,2.2,2.8,5.2,3.1,8376,0.337596687231743,490786,19.7812473423733,62418,2.51577244790245
2009,2010,"springWheat_corn","springWheat","corn","#a65628","#ffd300",2,3,3.7,6.4,2.2,2.8,4,6.1,17274,0.69623270955601,37793,1.52325592174657,708388,28.5517480987011
2009,2010,"springWheat_dryBeans","springWheat","dryBeans","#a65628","#e41a1c",2,3,3.7,1.9,2.2,2.8,3.5,2.1,208,0.0083834898452964,37793,1.52325592174657,12239,0.49329582796434
2009,2010,"springWheat_hay","springWheat","hay","#a65628","#f781bf",2,3,3.7,4.6,2.2,2.8,3.8,4.5,1627,0.0655766248956598,37793,1.52325592174657,32086,1.29323391911625
2009,2010,"springWheat_other","springWheat","other","#a65628","#AAAAAA",2,3,3.7,1,2.2,2.8,3.4,1.3,8138,0.328004040197222,37793,1.52325592174657,1159351,46.7279198828569
2009,2010,"springWheat_soy","springWheat","soy","#a65628","#4daf4a",2,3,3.7,5.5,2.2,2.8,3.9,5.3,9054,0.364923639708238,37793,1.52325592174657,484683,19.5352644648452
2009,2010,"springWheat_springWheat","springWheat","springWheat","#a65628","#a65628",2,3,3.7,3.7,2.2,2.8,3.7,3.7,1202,0.0484468980482994,37793,1.52325592174657,21902,0.882765358613855
2009,2010,"springWheat_sugarbeets","springWheat","sugarbeets","#a65628","#377eb8",2,3,3.7,2.8,2.2,2.8,3.6,2.9,290,0.0116885194958459,37793,1.52325592174657,62418,2.51577244790245
2009,2010,"sugarbeets_corn","sugarbeets","corn","#377eb8","#ffd300",2,3,2.8,6.4,2.2,2.8,3.2,6,33082,1.33337793779854,52884,2.13150229316661,708388,28.5517480987011
2009,2010,"sugarbeets_dryBeans","sugarbeets","dryBeans","#377eb8","#e41a1c",2,3,2.8,1.9,2.2,2.8,2.7,2,2380,0.0959264703452184,52884,2.13150229316661,12239,0.49329582796434
2009,2010,"sugarbeets_hay","sugarbeets","hay","#377eb8","#f781bf",2,3,2.8,4.6,2.2,2.8,3,4.4,76,0.00306319821270445,52884,2.13150229316661,32086,1.29323391911625
2009,2010,"sugarbeets_other","sugarbeets","other","#377eb8","#AAAAAA",2,3,2.8,1,2.2,2.8,2.6,1.2,3252,0.131072639312038,52884,2.13150229316661,1159351,46.7279198828569
2009,2010,"sugarbeets_soy","sugarbeets","soy","#377eb8","#4daf4a",2,3,2.8,5.5,2.2,2.8,3.1,5.2,12784,0.515262183568602,52884,2.13150229316661,484683,19.5352644648452
2009,2010,"sugarbeets_springWheat","sugarbeets","springWheat","#377eb8","#a65628",2,3,2.8,3.7,2.2,2.8,2.9,3.6,752,0.0303095402099177,52884,2.13150229316661,21902,0.882765358613855
2009,2010,"sugarbeets_sugarbeets","sugarbeets","sugarbeets","#377eb8","#377eb8",2,3,2.8,2.8,2.2,2.8,2.8,2.8,558,0.0224903237195932,52884,2.13150229316661,62418,2.51577244790245
2010,2011,"corn_corn","corn","corn","#ffd300","#ffd300",3,4,6.4,6.4,3.2,3.8,6.4,6.4,205403,8.27881713794912,708388,28.5517480987011,734164,29.5906559556836
